,c,h,l,o,s,t,v
0,20.22,20.47,19.76,20.2,ok,1420156800,91900
1,20.48,21.37,20.04,20.04,ok,1420416000,163900
2,21.93,22.07,20.5,20.6,ok,1420502400,85900
3,22.54,22.76,21.75,22.03,ok,1420588800,235200
4,23.29,23.99,22.53,22.78,ok,1420675200,169200
5,23.0,24.03,22.66,23.39,ok,1420761600,84300
6,23.19,23.99,21.71,23.23,ok,1421020800,94100
7,23.99,24.48,23.11,23.4,ok,1421107200,87100
8,24.12,24.3,23.34,23.74,ok,1421193600,45900
9,22.84,24.2,22.28,24.2,ok,1421280000,69000
10,22.52,23.37,22.19,22.75,ok,1421366400,106500
11,23.05,23.44,21.23,22.46,ok,1421712000,137100
12,22.91,23.79,22.76,22.93,ok,1421798400,61200
13,23.02,23.47,22.46,22.46,ok,1421884800,41500
14,21.78,23.0,21.45,22.93,ok,1421971200,50600
15,22.53,22.64,21.4,22.22,ok,1422230400,60800
16,23.06,23.61,22.2,22.3,ok,1422316800,50200
17,21.74,23.15,21.01,23.15,ok,1422403200,20400
18,21.66,22.16,21.1,21.83,ok,1422489600,41000
19,20.59,22.21,20.51,21.91,ok,1422576000,56800
20,21.22,21.32,20.35,20.56,ok,1422835200,60000
21,21.41,22.18,20.59,21.35,ok,1422921600,274500
22,20.89,21.39,20.46,21.39,ok,1423008000,19000
23,21.51,21.63,19.08,19.08,ok,1423094400,24400
24,21.15,21.55,20.0,21.55,ok,1423180800,52900
25,20.73,21.37,20.67,20.69,ok,1423440000,50200
26,20.59,20.91,20.24,20.79,ok,1423526400,31600
27,20.45,21.08,20.2,21.05,ok,1423612800,25900
28,21.01,21.01,20.18,20.99,ok,1423699200,35900
29,21.29,21.99,21.2,21.2,ok,1423785600,743600
30,22.53,22.84,21.58,21.58,ok,1424131200,43800
31,22.92,23.3,21.94,22.56,ok,1424217600,40100
32,22.85,23.04,22.03,22.95,ok,1424304000,55700
33,22.5,22.93,22.28,22.92,ok,1424390400,28800
34,23.3,23.47,22.29,22.39,ok,1424649600,158200
35,22.82,23.49,22.03,23.49,ok,1424736000,68900
36,22.95,23.72,22.66,22.71,ok,1424822400,136000
37,22.89,23.27,22.04,23.01,ok,1424908800,32000
38,22.81,22.95,22.5,22.5,ok,1424995200,13000
39,22.72,23.16,22.3,22.59,ok,1425254400,55200
40,23.15,23.17,22.39,22.68,ok,1425340800,40100
41,25.38,25.5,23.15,23.15,ok,1425427200,50100
42,25.27,26.43,24.51,25.28,ok,1425513600,45000
43,24.11,25.18,24.03,25.18,ok,1425600000,31500
44,24.7,24.85,23.84,24.07,ok,1425859200,35400
45,25.19,25.97,24.02,24.29,ok,1425945600,53100
46,25.21,25.93,24.5,25.4,ok,1426032000,54100
47,24.54,25.42,23.98,25.42,ok,1426118400,92400
48,25.86,26.4,24.5,24.73,ok,1426204800,36900
49,26.14,26.39,24.63,25.86,ok,1426464000,100500
50,26.81,26.97,25.3,26.11,ok,1426550400,151800
51,26.7,26.89,25.8,26.82,ok,1426636800,123800
52,29.06,29.27,27.0,27.0,ok,1426723200,80800
