,c,h,l,o,s,t,v
0,14.8665,15.3164,14.6865,15.2964,ok,1420156800,376100
1,14.6185,14.7985,14.5785,14.7785,ok,1420416000,400000
2,14.3529,14.6529,14.2629,14.6529,ok,1420502400,563400
3,14.468,14.538,14.228,14.458,ok,1420588800,419300
4,14.7691,14.8091,14.4791,14.6191,ok,1420675200,603700
5,14.4237,14.8837,14.3837,14.8837,ok,1420761600,335300
6,14.2998,14.4898,14.1898,14.3798,ok,1421020800,400000
7,14.3175,14.6075,14.0975,14.4575,ok,1421107200,394000
8,14.0873,14.1973,13.8273,14.0773,ok,1421193600,411800
9,13.9013,14.1313,13.7913,14.1013,ok,1421280000,394700
10,14.1404,14.1604,13.7904,13.7904,ok,1421366400,508200
11,13.9633,14.2933,13.6833,14.1333,ok,1421712000,499500
12,13.7774,14.3074,13.5574,13.9374,ok,1421798400,1126500
13,14.4237,14.5337,13.7737,13.8537,ok,1421884800,399000
14,14.2821,14.5121,14.1821,14.4421,ok,1421971200,226300
15,14.4149,14.4849,14.0149,14.2749,ok,1422230400,264800
16,14.167,14.417,14.147,14.197,ok,1422316800,252200
17,13.8128,14.3228,13.7728,14.2428,ok,1422403200,516200
18,13.9633,14.0633,13.6633,13.8633,ok,1422489600,467200
19,13.6357,13.9857,13.6057,13.8157,ok,1422576000,360800
20,14.0341,14.0441,13.5241,13.6641,ok,1422835200,375400
21,14.4149,14.5549,13.9849,14.1549,ok,1422921600,352700
22,14.2998,14.5398,14.2498,14.3798,ok,1423008000,210700
23,14.6451,14.6851,14.2851,14.3551,ok,1423094400,284600
24,14.8842,15.0742,14.7142,14.7142,ok,1423180800,429100
25,14.6185,14.8785,14.5985,14.8085,ok,1423440000,264000
26,14.7513,14.7713,14.4213,14.7713,ok,1423526400,200200
27,14.5654,14.7854,14.4554,14.7854,ok,1423612800,184600
28,14.955,14.985,14.615,14.675,ok,1423699200,278900
29,15.0258,15.0658,14.7558,14.9258,ok,1423785600,330200
30,15.0967,15.1067,14.8567,14.9867,ok,1424131200,405200
31,14.8133,15.0833,14.7133,15.0833,ok,1424217600,316800
32,14.7336,14.8536,14.5236,14.7336,ok,1424304000,198600
33,14.893,14.913,14.393,14.653,ok,1424390400,392200
34,14.9727,14.9827,14.6627,14.7727,ok,1424649600,481000
35,15.2118,15.3718,14.9018,15.0218,ok,1424736000,311600
36,15.1144,15.2144,15.0044,15.1444,ok,1424822400,290600
37,15.2383,15.2483,14.9283,15.0383,ok,1424908800,352200
38,15.1409,15.2709,15.1409,15.2409,ok,1424995200,434300
39,15.3269,15.3969,15.0569,15.1569,ok,1425254400,564300
40,15.2295,15.3395,15.1395,15.1695,ok,1425340800,455400
41,15.1232,15.1432,14.9932,15.1032,ok,1425427200,504400
42,15.2383,15.2683,14.9683,15.1783,ok,1425513600,698500
43,15.3003,15.6103,15.2103,15.2103,ok,1425600000,461000
44,15.4774,15.5374,15.3274,15.4574,ok,1425859200,554500
45,15.1321,15.4721,15.1021,15.2821,ok,1425945600,346100
46,15.1232,15.2832,15.0732,15.1632,ok,1426032000,626500
47,15.5925,15.6325,15.0725,15.1625,ok,1426118400,597200
48,15.5128,15.6728,15.2928,15.6228,ok,1426204800,383100
49,15.4685,15.7185,15.4485,15.5685,ok,1426464000,252800
50,15.5837,15.6337,15.2737,15.3537,ok,1426550400,358400
51,15.3534,15.8534,15.1934,15.5134,ok,1426636800,400200
52,15.3092,15.3392,15.0892,15.3392,ok,1426723200,257200
53,15.5128,15.5628,15.2428,15.3828,ok,1426809600,746600
54,15.4508,15.6208,15.3008,15.5008,ok,1427068800,209900
55,15.38,15.58,15.27,15.43,ok,1427155200,347800
56,15.113,15.553,15.093,15.433,ok,1427241600,304300
57,15.2287,15.2887,14.8687,15.0787,ok,1427328000,313200
58,15.1397,15.2597,14.9497,15.2597,ok,1427414400,222800
59,15.4868,15.5668,15.1468,15.1968,ok,1427673600,392700
60,15.4601,15.5401,15.3201,15.4201,ok,1427760000,328100
61,15.3889,15.5089,15.1889,15.3889,ok,1427846400,411700
62,15.4512,15.5712,15.2912,15.4012,ok,1427932800,226800
63,15.3177,15.4377,15.0477,15.2577,ok,1428278400,240800
64,15.4067,15.4867,15.2167,15.2767,ok,1428364800,198400
65,15.38,15.54,15.32,15.38,ok,1428451200,162700
66,15.3533,15.4933,15.2433,15.4133,ok,1428537600,266400
67,15.3711,15.5211,15.2811,15.3711,ok,1428624000,206500
68,15.5758,15.5958,15.3458,15.3458,ok,1428883200,196600
69,15.5224,15.5324,15.2624,15.5224,ok,1428969600,241900
70,15.7805,15.9105,15.4005,15.4805,ok,1429056000,485000
71,15.7449,15.8349,15.5349,15.7749,ok,1429142400,190600
72,15.4601,15.7201,15.3201,15.6101,ok,1429228800,384100
73,15.5402,15.7402,15.3902,15.5902,ok,1429488000,213000
74,15.4957,15.6757,15.4157,15.5657,ok,1429574400,210900
75,15.5402,15.6802,15.1602,15.6002,ok,1429660800,396900
76,15.4245,15.5845,15.3645,15.5845,ok,1429747200,299600
77,15.2999,15.5599,15.2699,15.4799,ok,1429833600,232400
78,15.2465,15.5765,15.0665,15.3765,ok,1430092800,307900
79,15.5758,15.6058,15.1058,15.2258,ok,1430179200,356600
80,15.558,15.768,15.548,15.548,ok,1430265600,256400
81,15.2198,15.6298,15.2098,15.5398,ok,1430352000,433300
82,15.0507,15.3607,15.0307,15.3607,ok,1430438400,461900
83,15.1842,15.2442,15.0642,15.1042,ok,1430697600,297400
84,15.1219,15.2919,15.0219,15.1119,ok,1430784000,396900
85,15.2643,15.2843,15.0143,15.1743,ok,1430870400,448000
86,15.1842,15.3342,15.0642,15.1942,ok,1430956800,321500
87,15.2821,15.3321,15.1221,15.2821,ok,1431043200,180800
88,15.5046,15.5546,15.2446,15.2546,ok,1431302400,294000
89,15.6114,15.6414,15.2214,15.4314,ok,1431388800,297200
90,15.7449,15.7749,15.4249,15.6349,ok,1431475200,380800
91,15.7449,15.8549,15.6549,15.8449,ok,1431561600,283000
92,15.5046,15.8246,15.3646,15.7246,ok,1431648000,242000
93,15.7716,15.8116,15.4216,15.5116,ok,1431907200,399800
94,15.9852,16.0152,15.7652,15.8152,ok,1431993600,302800
95,15.9051,15.9951,15.7651,15.9951,ok,1432080000,248900
96,15.8784,15.9784,15.7584,15.8484,ok,1432166400,250400
97,15.7894,15.9194,15.7094,15.8394,ok,1432252800,204200
98,15.736,15.756,15.526,15.726,ok,1432598400,266500
99,15.914,15.944,15.594,15.754,ok,1432684800,225300
100,15.9941,15.9941,15.6341,15.8541,ok,1432771200,234700
101,15.8072,16.0372,15.6472,15.9572,ok,1432857600,324900
102,15.7805,15.9405,15.6405,15.9105,ok,1433116800,343300
