,c,h,l,o,s,t,v
0,10.7587,10.7687,10.7587,10.7687,ok,1420156800,4500
1,10.7659,10.8759,10.7459,10.7459,ok,1420416000,15300
2,10.7514,10.7614,10.7514,10.7514,ok,1420502400,3100
3,10.7587,10.7687,10.7487,10.7587,ok,1420588800,1300
4,10.7587,10.8087,10.7587,10.8087,ok,1420675200,500
5,10.8239,10.8239,10.7239,10.7939,ok,1420761600,2300
6,10.7659,10.7759,10.7059,10.7759,ok,1421020800,12900
7,10.7442,10.7842,10.7442,10.7742,ok,1421107200,2700
8,10.7225,10.7625,10.7025,10.7625,ok,1421193600,6700
9,10.7297,10.8397,10.7197,10.7997,ok,1421280000,7200
10,10.7225,10.7925,10.7125,10.7125,ok,1421366400,2700
11,10.7152,10.7252,10.6652,10.7052,ok,1421712000,14300
12,10.7007,10.8207,10.6807,10.8207,ok,1421798400,2800
13,10.7659,10.7659,10.6259,10.6259,ok,1421884800,15400
14,10.7152,10.7152,10.6552,10.6552,ok,1421971200,7500
15,10.708,10.748,10.688,10.698,ok,1422230400,3200
16,10.6718,10.7418,10.6418,10.6718,ok,1422316800,2100
17,10.679,10.769,10.649,10.729,ok,1422403200,9400
18,10.7152,10.7352,10.6852,10.7352,ok,1422489600,5600
19,10.7659,10.7759,10.6959,10.7059,ok,1422576000,12300
20,10.704,10.814,10.704,10.804,ok,1422835200,26000
21,10.6894,10.7094,10.6894,10.7094,ok,1422921600,7700
22,10.6384,10.7684,10.6084,10.7684,ok,1423008000,9900
23,10.6603,10.7003,10.6403,10.6403,ok,1423094400,3300
24,10.7259,10.7559,10.6659,10.7159,ok,1423180800,11900
25,10.7769,10.7869,10.6769,10.6769,ok,1423440000,20800
26,10.7477,10.7877,10.7477,10.7577,ok,1423526400,6400
27,10.7696,10.7896,10.7396,10.7796,ok,1423612800,9100
28,10.7623,10.7623,10.7623,10.7623,ok,1423699200,1200
29,10.8497,10.8497,10.7497,10.7497,ok,1423785600,9400
30,10.8352,10.8952,10.8252,10.8852,ok,1424131200,28800
31,10.857,10.927,10.817,10.927,ok,1424217600,14400
32,10.8497,10.8497,10.8097,10.8097,ok,1424304000,200
33,10.857,10.897,10.817,10.897,ok,1424390400,4200
34,10.8497,10.8597,10.7497,10.7497,ok,1424649600,7900
35,10.755,10.875,10.745,10.875,ok,1424736000,23700
36,10.7623,10.8423,10.7223,10.7723,ok,1424822400,18500
37,10.7842,10.8842,10.7542,10.7542,ok,1424908800,16900
38,10.7623,10.8423,10.7323,10.7623,ok,1424995200,18200
39,10.7879,10.8879,10.7279,10.7479,ok,1425254400,3700
40,10.7586,10.7886,10.7586,10.7786,ok,1425340800,5000
41,10.7586,10.7986,10.7486,10.7486,ok,1425427200,5700
42,10.7513,10.7813,10.7513,10.7813,ok,1425513600,10900
43,10.722,10.802,10.712,10.722,ok,1425600000,12500
