,c,h,l,o,s,t,v
0,32.05,32.45,29.37,30.25,ok,1493251200,9424200
1,32.4,32.4,31.0,31.64,ok,1493337600,978700
2,33.54,35.44,32.4,32.4,ok,1493596800,330000
3,33.51,34.37,33.3,34.0,ok,1493683200,172200
4,36.36,38.494,33.412,33.45,ok,1493769600,814200
5,36.93,37.63,35.67,36.5,ok,1493856000,359800
6,36.73,37.52,36.51,37.21,ok,1493942400,234400
7,35.5,36.9,35.17,36.38,ok,1494201600,490000
8,36.11,36.56,35.53,35.68,ok,1494288000,377900
9,36.77,37.49,35.645,36.35,ok,1494374400,297600
10,36.73,36.95,36.0,36.84,ok,1494460800,161300
11,37.31,37.95,36.75,36.93,ok,1494547200,294400
12,37.91,39.49,37.56,37.62,ok,1494806400,369400
13,36.62,39.06,36.55,38.14,ok,1494892800,308500
14,36.28,36.986,35.61,36.74,ok,1494979200,159000
15,37.25,37.52,36.33,36.34,ok,1495065600,90000
16,37.05,38.246,36.59,37.44,ok,1495152000,134600
17,36.28,37.35,35.88,37.23,ok,1495411200,325400
18,37.4,37.69,36.35,36.45,ok,1495497600,305400
19,37.23,37.97,36.03,37.25,ok,1495584000,262500
20,38.14,39.499,36.62,37.35,ok,1495670400,578200
21,42.38,43.1,37.25,39.0,ok,1495756800,646200
22,39.21,41.99,39.1,41.18,ok,1496102400,694800
23,38.71,39.78,37.8,39.36,ok,1496188800,274500
24,39.85,40.35,38.531,38.56,ok,1496275200,256800
25,40.0,40.933,39.83,39.92,ok,1496361600,190200
26,41.5,42.25,40.19,40.19,ok,1496620800,358700
27,40.37,42.003,39.96,41.6,ok,1496707200,291700
28,40.67,41.5,40.0,40.52,ok,1496793600,167100
29,41.28,41.861,40.732,40.82,ok,1496880000,100100
30,41.1,42.94,40.45,41.02,ok,1496966400,222000
31,39.43,41.21,39.31,40.98,ok,1497225600,266700
32,39.59,40.73,39.27,39.73,ok,1497312000,160100
33,40.79,41.11,39.45,39.45,ok,1497398400,223300
34,40.5,41.139,39.76,40.71,ok,1497484800,207200
35,40.42,41.66,40.101,40.63,ok,1497571200,956700
36,43.14,45.6,40.7,41.31,ok,1497830400,1333500
37,43.9,46.32,43.6,44.39,ok,1497916800,806600
38,46.31,46.95,44.6,44.6,ok,1498003200,653300
39,44.51,46.82,44.28,46.82,ok,1498089600,355000
40,41.51,44.949,40.5,44.68,ok,1498176000,1712700
41,43.99,45.38,42.0,42.25,ok,1498435200,469000
42,43.38,44.423,42.724,43.78,ok,1498521600,279400
43,42.22,43.74,41.34,43.2,ok,1498608000,297400
44,40.7,42.147,40.245,41.93,ok,1498694400,391700
45,39.26,40.81,39.05,40.56,ok,1498780800,497800
46,38.33,39.8,37.42,39.3,ok,1499040000,294400
47,37.9,38.25,35.92,38.21,ok,1499212800,588300
48,38.54,38.85,37.3,37.89,ok,1499299200,330000
49,39.6,39.81,38.49,38.54,ok,1499385600,378800
50,38.44,39.959,38.025,39.5,ok,1499644800,389800
51,38.12,38.58,37.69,38.0,ok,1499731200,249300
52,37.98,38.59,37.35,38.25,ok,1499817600,243700
53,38.11,38.57,37.815,38.12,ok,1499904000,136100
54,39.41,39.63,38.06,38.28,ok,1499990400,207500
55,39.47,39.9,39.39,39.52,ok,1500249600,157500
56,39.11,39.64,36.99,37.291,ok,1500336000,1298600
57,40.96,42.44,39.46,39.57,ok,1500422400,1056800
58,38.5,40.2,38.27,40.1,ok,1500508800,7872400
59,37.4,38.55,37.085,38.38,ok,1500595200,2312600
60,37.88,38.25,37.21,38.15,ok,1500854400,977000
61,38.57,38.88,37.89,37.93,ok,1500940800,946100
62,37.59,38.88,37.42,38.78,ok,1501027200,637500
63,38.1,38.46,37.13,37.53,ok,1501113600,870400
64,35.54,37.72,34.89,36.53,ok,1501200000,2137000
65,34.62,35.27,33.63,35.08,ok,1501459200,1979200
66,34.95,35.26,34.52,35.16,ok,1501545600,791600
67,33.6,34.99,32.91,34.86,ok,1501632000,1032700
68,33.89,33.98,33.372,33.45,ok,1501718400,591800
69,34.44,34.9,33.932,34.0,ok,1501804800,897600
70,35.0,35.05,34.3,34.71,ok,1502064000,363000
71,34.94,35.37,34.65,35.11,ok,1502150400,404100
72,35.04,35.22,34.565,34.71,ok,1502236800,399400
73,34.27,35.08,34.02,34.65,ok,1502323200,525700
74,36.14,36.24,34.352,34.49,ok,1502409600,435500
75,35.65,36.25,35.28,36.15,ok,1502668800,303500
76,34.01,35.62,34.01,35.62,ok,1502755200,282100
77,34.31,34.52,33.77,33.88,ok,1502841600,243800
78,34.32,34.7,33.81,34.09,ok,1502928000,270100
79,33.29,34.25,33.23,34.14,ok,1503014400,419500
80,32.95,33.51,32.94,33.23,ok,1503273600,312500
81,33.91,33.98,32.721,33.14,ok,1503360000,278800
82,33.84,34.26,33.28,33.5,ok,1503446400,180700
83,34.3,34.64,33.822,33.89,ok,1503532800,219800
84,34.16,34.45,33.6,34.3,ok,1503619200,239400
85,35.6,35.85,34.31,34.75,ok,1503878400,350100
86,35.92,36.275,35.22,35.23,ok,1503964800,410500
87,35.22,36.434,34.85,35.92,ok,1504051200,365000
88,35.94,36.15,35.1,35.22,ok,1504137600,249200
89,35.96,36.1,35.49,36.1,ok,1504224000,187500
90,36.7,36.79,35.78,36.1,ok,1504569600,299400
91,37.95,38.72,36.485,36.9,ok,1504656000,617300
92,39.33,40.0,38.34,39.1,ok,1504742400,692100
93,40.19,40.64,39.5,39.5,ok,1504828800,813800
94,40.04,40.19,38.95,39.78,ok,1505088000,419800
