,c,h,l,o,s,t,v
0,21.5593,22.6593,21.0993,22.2993,ok,1420156800,234400
1,21.9793,22.4193,21.4293,21.4293,ok,1420416000,152600
2,23.1664,23.6764,22.3264,22.7664,ok,1420502400,312900
3,24.1434,24.2634,23.4134,23.4234,ok,1420588800,179200
4,23.8786,24.8086,23.8086,24.2886,ok,1420675200,155500
5,23.5225,24.1425,23.2025,24.0125,ok,1420761600,102600
6,23.696,24.096,23.326,23.636,ok,1421020800,122400
7,23.8786,24.3186,23.3986,23.7286,ok,1421107200,150500
8,23.9699,24.1799,23.5299,23.5399,ok,1421193600,92500
9,23.559,24.029,23.369,24.019,ok,1421280000,106900
10,24.2713,24.3213,23.3013,23.3913,ok,1421366400,119000
11,24.1982,24.6182,23.9182,24.3682,ok,1421712000,92700
12,24.253,24.403,23.603,24.033,ok,1421798400,123100
13,25.3579,25.3979,24.1279,24.2479,ok,1421884800,196100
14,25.1936,25.5936,24.9436,25.4836,ok,1421971200,101300
15,25.641,25.691,24.481,25.161,ok,1422230400,95800
16,26.408,26.428,25.268,25.318,ok,1422316800,147800
17,27.0746,27.3346,26.4346,26.6946,ok,1422403200,198400
18,27.5684,27.5684,26.9184,27.1184,ok,1422489600,134400
19,26.6174,27.8574,26.5774,27.3574,ok,1422576000,153600
20,27.2118,27.2918,26.0018,26.5418,ok,1422835200,111100
21,27.7696,27.7795,27.2195,27.2395,ok,1422921600,138900
22,27.6781,28.0481,27.5181,27.7781,ok,1423008000,94400
23,27.5227,28.0627,27.1227,27.7727,ok,1423094400,108900
24,27.5135,27.9635,27.3035,27.5835,ok,1423180800,80500
25,26.8186,27.5286,26.6886,27.4286,ok,1423440000,143100
26,27.3398,27.4398,26.6898,26.8998,ok,1423526400,106900
27,27.4312,27.6712,27.0112,27.3812,ok,1423612800,84500
28,27.3672,28.0072,27.1972,27.6172,ok,1423699200,60000
29,27.1021,27.5321,26.9321,27.3621,ok,1423785600,77500
30,26.9375,27.2075,26.7675,27.0275,ok,1424131200,84800
31,27.3672,27.4372,26.7672,26.8472,ok,1424217600,77000
32,26.5443,27.5843,26.0443,27.4343,ok,1424304000,171300
33,25.9865,26.6465,25.2465,26.5265,ok,1424390400,203500
34,26.3431,26.3631,25.3431,25.9631,ok,1424649600,90500
35,26.2517,26.8717,26.0417,26.2917,ok,1424736000,71600
36,26.3523,26.8123,25.8123,26.3223,ok,1424822400,72800
37,27.5227,27.7427,26.2227,26.2927,ok,1424908800,151700
38,26.4529,29.3929,26.3729,27.9129,ok,1424995200,246800
39,27.5318,28.2818,26.4218,26.4218,ok,1425254400,192700
40,26.9283,27.6783,25.9783,27.5583,ok,1425340800,132700
41,26.6266,27.0966,26.0066,26.7866,ok,1425427200,82000
42,25.9499,27.1199,25.7199,26.8899,ok,1425513600,384200
43,26.4711,26.5411,25.5311,25.7311,ok,1425600000,138200
44,26.3523,26.5823,26.1523,26.4223,ok,1425859200,88100
45,26.3248,26.5348,25.9248,25.9548,ok,1425945600,93500
46,26.2243,26.5443,26.0143,26.3443,ok,1426032000,54100
47,27.2849,27.4349,26.1349,26.2949,ok,1426118400,114600
48,26.9832,27.5532,26.9532,27.3232,ok,1426204800,63200
49,26.9466,27.4366,26.7966,27.0766,ok,1426464000,69700
50,26.846,27.216,26.696,26.786,ok,1426550400,42600
51,26.6174,27.0874,26.2574,26.7174,ok,1426636800,71400
52,26.718,26.858,26.338,26.338,ok,1426723200,64900
53,26.5809,26.8909,25.6109,26.8809,ok,1426809600,123500
54,27.9707,28.2707,26.3207,26.3207,ok,1427068800,143600
55,27.5867,27.9867,27.0467,27.9267,ok,1427155200,74900
56,27.2484,27.9484,27.1884,27.6584,ok,1427241600,72000
57,26.9283,27.2083,26.5383,27.2083,ok,1427328000,59700
58,26.2425,27.1625,25.6725,26.9325,ok,1427414400,123000
59,26.8918,27.3318,26.2118,26.2118,ok,1427673600,71200
60,27.9799,29.2199,26.6099,26.6099,ok,1427760000,450200
61,28.7662,28.8362,27.4262,27.6762,ok,1427846400,118500
62,27.5775,29.1075,27.5175,28.9175,ok,1427932800,66700
63,27.8701,27.9201,27.0701,27.4901,ok,1428278400,85600
64,27.5684,28.3384,27.4384,27.9484,ok,1428364800,53800
65,28.5833,28.8433,27.4733,27.4733,ok,1428451200,102100
66,28.5833,28.8833,28.1533,28.6633,ok,1428537600,144000
67,28.5742,29.0842,27.1442,28.8742,ok,1428624000,215500
68,28.3547,28.7447,27.9147,28.7147,ok,1428883200,81100
69,27.5958,28.3158,27.3158,28.3158,ok,1428969600,78900
70,27.4495,27.9095,27.3795,27.6295,ok,1429056000,64700
71,27.7055,27.7955,26.8755,27.3255,ok,1429142400,92100
72,26.9832,27.5432,26.6032,27.5432,ok,1429228800,116300
73,27.6507,27.7107,26.7807,27.0107,ok,1429488000,113900
74,27.4952,27.8052,26.7552,27.6852,ok,1429574400,100300
75,28.0256,28.0756,27.2256,27.5556,ok,1429660800,63000
76,27.605,28.325,27.555,28.105,ok,1429747200,74100
77,27.7238,27.9838,27.3538,27.3538,ok,1429833600,52000
78,26.9375,28.1475,26.8075,27.9375,ok,1430092800,76800
79,27.2392,27.5392,26.5592,26.8692,ok,1430179200,41200
80,27.2392,27.5692,26.7492,27.1792,ok,1430265600,61000
81,26.3694,27.1694,24.9294,27.1194,ok,1430352000,247600
82,23.4395,26.4795,22.6995,26.4795,ok,1430438400,369500
83,24.2818,25.2518,23.8818,24.1118,ok,1430697600,197200
84,23.6775,24.4075,23.1175,24.1475,ok,1430784000,168400
85,24.3917,24.4717,23.3217,23.6417,ok,1430870400,166800
86,24.3093,24.6493,23.7693,24.2993,ok,1430956800,94000
87,24.7671,25.0671,24.2271,24.4771,ok,1431043200,172200
88,24.0621,24.8521,23.8521,24.4421,ok,1431302400,96700
89,23.9064,24.2664,23.4964,23.8564,ok,1431388800,113100
90,23.8606,24.1206,23.1606,23.9206,ok,1431475200,125100
91,24.3551,24.7451,23.7951,23.9151,ok,1431561600,243900
92,23.6134,24.3134,23.3734,24.3134,ok,1431648000,56000
93,24.3642,24.4442,23.4642,23.4642,ok,1431907200,106100
94,24.3184,24.5284,23.8284,24.2184,ok,1431993600,97900
95,23.9613,24.2813,23.6614,24.2813,ok,1432080000,86600
96,23.531,24.011,23.251,23.851,ok,1432166400,88200
97,23.4852,23.8652,23.0852,23.5252,ok,1432252800,69800
98,23.3662,23.4762,22.9062,23.2462,ok,1432598400,93400
99,23.8789,23.9589,23.1189,23.3289,ok,1432684800,68600
100,23.4486,24.0186,23.4186,23.7086,ok,1432771200,60500
101,23.5127,23.8927,23.2327,23.4527,ok,1432857600,81600
102,23.5219,23.9319,23.2719,23.5119,ok,1433116800,82500
103,23.1831,23.7831,22.9931,23.2931,ok,1433203200,105400
104,23.3479,23.4379,22.9079,23.2679,ok,1433289600,183500
105,23.2838,23.5738,23.1938,23.2138,ok,1433376000,50500
106,23.4852,23.6352,23.1952,23.2852,ok,1433462400,68600
107,22.707,23.047,21.957,22.347,ok,1433721600,288900
108,22.6795,22.9095,22.4495,22.4895,ok,1433808000,132600
109,22.826,23.206,22.416,22.746,ok,1433894400,93800
110,23.1556,23.2056,22.4356,22.7656,ok,1433980800,57600
111,23.2197,23.3597,23.0097,23.0197,ok,1434067200,53500
112,23.3021,23.7221,22.4421,22.9121,ok,1434326400,155900
113,23.9064,24.0464,22.9364,23.2264,ok,1434412800,101200
114,23.4578,23.9478,23.0778,23.8378,ok,1434499200,84700
115,23.6226,23.7826,23.3826,23.5726,ok,1434585600,105700
116,22.9084,23.7884,22.8984,23.7384,ok,1434672000,110400
117,22.4781,22.9181,21.7181,22.8681,ok,1434931200,372100
118,23.2106,23.3506,22.1406,22.4806,ok,1435017600,136500
119,22.5147,23.5647,22.4747,23.2847,ok,1435104000,93900
120,21.9928,22.9128,21.8228,22.7328,ok,1435190400,146700
121,22.002,22.642,21.922,22.072,ok,1435276800,463600
122,21.8372,22.3472,21.2472,21.9771,ok,1435536000,149300
123,22.1576,22.4476,21.5876,22.0076,ok,1435622400,656500
124,22.6703,23.2503,22.4603,22.7203,ok,1435708800,222000
125,22.5971,22.9971,22.5071,22.6671,ok,1435795200,67300
126,22.707,22.977,22.347,22.677,ok,1436140800,84900
127,22.8901,23.0601,22.1901,22.6601,ok,1436227200,80200
128,22.2217,22.7317,22.0817,22.7117,ok,1436313600,36900
129,21.8829,22.4629,21.8129,22.3329,ok,1436400000,62400
130,22.4689,22.4889,21.6689,21.9789,ok,1436486400,48500
131,22.6703,23.3703,22.3703,22.4603,ok,1436745600,101100
132,23.0274,23.1674,22.5774,22.6374,ok,1436832000,103500
133,23.3662,23.7462,23.0562,23.0562,ok,1436918400,110100
134,23.0915,23.6815,22.8015,23.5115,ok,1437004800,107800
135,23.3021,23.3521,22.8121,23.1721,ok,1437091200,71100
136,22.121,23.321,22.021,23.321,ok,1437350400,159800
137,22.6795,22.7895,22.0095,22.1695,ok,1437436800,78000
138,22.5422,22.8622,22.2022,22.6222,ok,1437523200,84300
139,22.0844,22.9144,21.8844,22.6744,ok,1437609600,114700
140,21.9287,22.5087,21.5587,22.1687,ok,1437696000,138600
141,21.8555,22.0655,21.7355,21.8655,ok,1437955200,56100
142,21.6449,22.0949,21.5449,22.0049,ok,1438041600,82200
143,21.4892,21.9592,21.2092,21.5192,ok,1438128000,51400
144,21.746,21.836,21.256,21.426,ok,1438214400,49200
145,21.636,22.336,21.486,21.886,ok,1438300800,55100
146,22.0028,22.4128,21.5228,21.5228,ok,1438560000,77000
147,22.2321,22.4121,21.5021,21.9621,ok,1438646400,139000
148,22.3238,22.8438,22.1238,22.4338,ok,1438732800,145600
149,22.6815,23.6815,21.7615,22.6715,ok,1438819200,190200
150,22.388,22.678,21.768,22.608,ok,1438905600,91800
151,22.0854,23.5154,22.0354,22.6154,ok,1439164800,92100
