,c,h,l,o,s,t,v
0,14.0999,14.5499,13.7199,14.5499,ok,1420156800,30900
1,13.9177,14.1977,13.8677,13.9777,ok,1420416000,7300
2,13.6484,14.1784,13.6384,13.9184,ok,1420502400,18800
3,13.5533,14.0733,13.4533,13.8633,ok,1420588800,10100
4,13.4583,13.6583,12.9983,13.6483,ok,1420675200,78800
5,13.6088,14.3188,13.4488,13.4488,ok,1420761600,27300
6,13.5296,13.7996,13.4696,13.6496,ok,1421020800,8000
7,13.6722,13.7122,13.5322,13.6422,ok,1421107200,12600
8,13.688,14.038,13.468,13.468,ok,1421193600,35600
9,13.49,13.7,13.46,13.7,ok,1421280000,11400
10,13.5533,13.6833,13.4433,13.4433,ok,1421366400,14100
11,13.3236,13.6436,13.2736,13.6436,ok,1421712000,10900
12,13.3157,13.5757,13.2957,13.2957,ok,1421798400,12700
13,13.5454,13.6154,13.2354,13.4454,ok,1421884800,19300
14,13.3791,13.6691,13.3091,13.4591,ok,1421971200,14400
15,13.4424,13.4724,13.2724,13.2924,ok,1422230400,11000
16,13.5217,13.6917,13.3017,13.3117,ok,1422316800,10700
17,13.2286,13.7786,13.1886,13.6186,ok,1422403200,23500
18,13.4028,13.4728,13.1428,13.3228,ok,1422489600,19300
19,13.1335,13.6735,13.0835,13.4435,ok,1422576000,24200
20,13.4583,13.7083,13.0383,13.0383,ok,1422835200,15000
21,13.4424,13.7724,13.2824,13.4224,ok,1422921600,16900
22,13.284,13.694,13.174,13.504,ok,1423008000,11700
23,13.3632,13.4932,13.2132,13.3132,ok,1423094400,9300
24,13.4979,13.5079,13.2779,13.3779,ok,1423180800,11700
25,13.387,13.787,13.337,13.527,ok,1423440000,22300
26,13.3474,13.6074,13.3074,13.4974,ok,1423526400,8400
27,13.2761,13.3561,13.2161,13.3261,ok,1423612800,15200
28,13.3316,13.5316,13.1116,13.2816,ok,1423699200,23600
29,13.3712,13.4912,13.3012,13.3012,ok,1423785600,14700
30,13.3949,13.4649,13.3549,13.3849,ok,1424131200,8100
31,13.3949,13.6249,13.3349,13.3349,ok,1424217600,24700
32,13.2999,13.4999,13.2799,13.4199,ok,1424304000,13100
33,13.4028,13.4728,13.2428,13.3228,ok,1424390400,10400
34,13.2444,13.4944,13.2244,13.4744,ok,1424649600,18600
35,13.2523,13.3223,13.2323,13.3223,ok,1424736000,12600
36,13.1335,13.4535,13.1335,13.4535,ok,1424822400,21700
37,13.1414,13.2614,13.1014,13.1014,ok,1424908800,12300
38,13.1494,13.3594,13.1194,13.1594,ok,1424995200,60900
39,13.1573,13.3673,13.0773,13.0973,ok,1425254400,10900
40,13.1494,13.2794,13.1194,13.1994,ok,1425340800,23700
41,13.0701,13.2101,13.0401,13.1701,ok,1425427200,16200
42,13.0147,13.4447,13.0047,13.4447,ok,1425513600,28000
43,12.9989,13.3089,12.9989,13.0389,ok,1425600000,26200
44,13.1494,13.2694,12.8494,12.9594,ok,1425859200,31800
45,12.9672,13.0672,12.7972,12.7972,ok,1425945600,18600
46,12.9593,13.1293,12.9493,12.9593,ok,1426032000,16700
47,13.0464,13.2264,12.9264,13.0564,ok,1426118400,40800
48,13.0068,13.0968,12.9768,13.0768,ok,1426204800,9600
49,13.2127,13.2327,13.0327,13.0527,ok,1426464000,11000
50,13.2603,13.2603,13.0903,13.1703,ok,1426550400,10200
51,13.2444,13.2744,13.0544,13.2644,ok,1426636800,8500
52,13.2365,13.2365,13.1265,13.1665,ok,1426723200,6500
53,13.3395,13.5095,13.1495,13.2495,ok,1426809600,45800
54,13.49,13.59,13.29,13.41,ok,1427068800,11300
55,13.5137,13.6237,13.3637,13.5037,ok,1427155200,4600
56,13.4583,13.6483,13.4583,13.6483,ok,1427241600,11100
57,13.6088,13.8788,13.4388,13.5088,ok,1427328000,19800
58,13.5296,13.6996,13.4496,13.6996,ok,1427414400,17300
59,13.7197,13.7997,13.3997,13.5197,ok,1427673600,13000
60,13.8227,13.8527,13.6527,13.7827,ok,1427760000,41500
61,14.0151,14.0351,13.7551,13.8351,ok,1427846400,15900
62,13.9269,14.1269,13.8669,13.9969,ok,1427932800,21900
63,13.8307,13.9407,13.7107,13.8807,ok,1428278400,15900
64,13.5982,13.9782,13.5482,13.9782,ok,1428364800,14400
65,13.502,13.602,13.452,13.602,ok,1428451200,13100
66,13.4298,13.5298,13.1598,13.4298,ok,1428537600,17700
67,13.3015,13.5015,13.1215,13.5015,ok,1428624000,62500
68,13.3817,13.6417,13.2917,13.3217,ok,1428883200,10700
69,13.502,13.632,13.232,13.632,ok,1428969600,11600
70,13.51,13.58,13.4,13.56,ok,1429056000,7000
71,13.542,13.592,13.312,13.422,ok,1429142400,8100
72,13.3496,13.5896,13.3496,13.4796,ok,1429228800,23800
73,13.542,13.582,13.412,13.412,ok,1429488000,7600
74,13.4859,13.5359,13.3859,13.4659,ok,1429574400,6400
75,13.502,13.542,13.412,13.512,ok,1429660800,28000
76,13.5661,13.6961,13.4461,13.5261,ok,1429747200,27500
77,13.5741,13.7441,13.5041,13.5041,ok,1429833600,20200
78,13.4458,13.8058,13.2858,13.5558,ok,1430092800,21300
79,13.6703,13.8003,13.3403,13.4803,ok,1430179200,12900
80,13.5821,13.8021,13.4521,13.6821,ok,1430265600,12000
81,13.3737,13.7037,13.2137,13.6737,ok,1430352000,24800
82,13.3657,13.6557,13.2957,13.4057,ok,1430438400,14200
83,13.2133,13.4833,13.1633,13.4833,ok,1430697600,17700
84,13.2294,13.5394,13.1394,13.1994,ok,1430784000,24800
85,13.2614,13.3414,13.1514,13.1714,ok,1430870400,20400
86,13.2855,13.4655,13.1555,13.2055,ok,1430956800,13200
87,13.3737,13.3937,13.2137,13.3837,ok,1431043200,13200
88,13.3095,13.5795,13.2495,13.3595,ok,1431302400,10900
89,13.3496,13.3896,13.1096,13.2996,ok,1431388800,19700
90,13.3496,13.4896,13.2296,13.4696,ok,1431475200,13000
91,13.3737,13.5537,13.2437,13.2437,ok,1431561600,10600
92,13.4218,13.4518,13.2818,13.3318,ok,1431648000,18400
93,13.4539,13.5639,13.2839,13.4439,ok,1431907200,33100
94,13.4298,13.5598,13.3798,13.4198,ok,1431993600,21400
95,13.4779,13.6179,13.3779,13.4879,ok,1432080000,18100
96,13.526,13.776,13.366,13.366,ok,1432166400,7400
97,13.526,13.726,13.476,13.606,ok,1432252800,15900
98,13.518,13.758,13.328,13.588,ok,1432598400,24800
99,13.7265,13.7665,13.4165,13.5665,ok,1432684800,11700
100,13.7184,13.8384,13.5884,13.7084,ok,1432771200,22900
101,13.6783,13.9183,13.5483,13.7183,ok,1432857600,27800
102,13.7024,13.9024,13.4924,13.8224,ok,1433116800,15100
103,13.7585,13.8785,13.5685,13.7085,ok,1433203200,31100
104,13.951,13.951,13.741,13.781,ok,1433289600,16900
105,13.951,14.031,13.821,13.841,ok,1433376000,27900
106,14.0311,14.0311,13.8611,13.8611,ok,1433462400,9400
107,14.1033,14.2133,13.9133,13.9133,ok,1433721600,13900
108,14.1113,14.1913,14.0113,14.0513,ok,1433808000,6200
109,14.2797,14.4697,14.0597,14.0597,ok,1433894400,39100
110,14.3037,14.4337,14.2137,14.3637,ok,1433980800,8900
111,14.3518,14.4418,14.2318,14.3318,ok,1434067200,14200
112,14.4962,14.6162,14.2262,14.3362,ok,1434326400,64100
113,14.5282,14.6582,14.4382,14.5382,ok,1434412800,64000
114,14.5443,14.6243,14.4243,14.6043,ok,1434499200,9100
115,14.7126,14.7526,14.4226,14.5626,ok,1434585600,32100
116,14.865,14.875,14.425,14.735,ok,1434672000,43400
117,15.0253,15.0353,14.8053,14.8753,ok,1434931200,15300
118,15.1456,15.1556,14.8556,15.0856,ok,1435017600,17800
119,15.33,15.59,15.01,15.01,ok,1435104000,37100
120,15.5385,15.5585,15.3085,15.3585,ok,1435190400,24800
121,15.6427,15.8627,15.4227,15.5427,ok,1435276800,97200
122,15.4102,15.8402,15.3802,15.6402,ok,1435536000,29600
123,15.5866,15.8866,14.9766,15.8266,ok,1435622400,43200
124,15.692,15.812,15.522,15.792,ok,1435708800,21100
125,15.4974,15.7474,15.4374,15.7474,ok,1435795200,12800
126,15.7001,15.7801,15.3601,15.4501,ok,1436140800,13500
127,15.6596,15.7996,15.3796,15.6496,ok,1436227200,17800
128,15.5217,15.8817,15.4617,15.6017,ok,1436313600,9400
129,15.5785,15.6885,15.3585,15.5585,ok,1436400000,20200
130,15.7974,15.9174,15.4074,15.6374,ok,1436486400,16600
131,15.765,16.325,15.725,15.825,ok,1436745600,20000
132,15.8948,15.9148,15.6948,15.6948,ok,1436832000,5200
133,15.8461,16.0761,15.8061,15.8061,ok,1436918400,8200
134,15.8948,16.1448,15.8148,15.9148,ok,1437004800,11900
135,15.9677,16.0277,15.8677,15.9577,ok,1437091200,9900
136,15.9434,16.2834,15.9134,16.0334,ok,1437350400,59500
137,15.7244,16.0244,15.5144,16.0244,ok,1437436800,27800
138,15.8542,16.2942,15.7542,15.8842,ok,1437523200,7200
139,15.3595,16.3595,15.1695,16.1395,ok,1437609600,23200
140,15.1325,15.6325,15.1325,15.4325,ok,1437696000,25300
141,15.2217,15.3817,15.1817,15.1817,ok,1437955200,12800
142,15.2946,15.4046,15.0446,15.3846,ok,1438041600,18800
143,15.1162,15.5862,14.9762,15.2962,ok,1438128000,16300
144,15.1487,15.1687,14.6187,15.1487,ok,1438214400,21500
