,c,h,l,o,s,t,v
0,13.02,13.12,12.76,13.0,ok,1420156800,270200
1,12.48,12.9,12.47,12.89,ok,1420416000,304300
2,12.39,12.63,12.11,12.49,ok,1420502400,439500
3,12.47,12.58,12.09,12.45,ok,1420588800,422200
4,12.8,13.14,12.56,12.63,ok,1420675200,467200
5,12.53,12.87,12.5,12.8,ok,1420761600,214200
6,12.19,12.58,12.18,12.57,ok,1421020800,295900
7,12.23,12.5,11.98,12.35,ok,1421107200,335900
8,12.01,12.11,11.67,12.05,ok,1421193600,684700
9,11.74,12.12,11.73,12.11,ok,1421280000,353600
10,11.99,12.04,11.65,11.7,ok,1421366400,355800
11,11.98,12.08,11.83,12.04,ok,1421712000,183600
12,12.0,12.08,11.79,11.96,ok,1421798400,196800
13,12.24,12.33,11.97,12.15,ok,1421884800,310800
14,11.94,12.29,11.91,12.28,ok,1421971200,184600
15,11.83,12.07,11.8,11.97,ok,1422230400,329200
16,11.74,11.79,11.41,11.7,ok,1422316800,558900
17,11.39,11.97,11.25,11.86,ok,1422403200,413800
18,11.35,11.5,11.17,11.43,ok,1422489600,506300
19,11.13,11.46,11.11,11.28,ok,1422576000,608200
20,11.22,11.36,11.14,11.27,ok,1422835200,568300
21,11.8,11.87,11.35,11.37,ok,1422921600,471200
22,11.69,11.92,11.65,11.71,ok,1423008000,322700
23,12.14,12.19,11.75,11.8,ok,1423094400,347800
24,12.24,12.28,12.09,12.17,ok,1423180800,273800
25,11.96,12.23,11.93,12.23,ok,1423440000,212600
26,11.92,12.17,11.78,12.11,ok,1423526400,226200
27,11.93,12.05,11.84,11.93,ok,1423612800,206600
28,12.04,12.23,11.94,12.11,ok,1423699200,333200
29,12.18,12.28,12.05,12.16,ok,1423785600,244600
30,12.22,12.24,12.11,12.15,ok,1424131200,262000
31,12.33,12.34,12.15,12.15,ok,1424217600,295800
32,12.37,12.52,12.15,12.22,ok,1424304000,441600
33,12.43,12.44,12.06,12.39,ok,1424390400,253900
34,12.47,12.51,12.2,12.32,ok,1424649600,262500
35,12.66,12.67,12.45,12.46,ok,1424736000,350200
36,12.68,12.9,12.58,12.65,ok,1424822400,1036900
37,13.03,13.49,12.75,13.4,ok,1424908800,1157800
38,12.75,13.09,12.71,12.97,ok,1424995200,765600
39,12.49,12.78,12.43,12.68,ok,1425254400,1018700
40,12.66,12.68,12.34,12.42,ok,1425340800,609400
41,12.71,12.82,12.55,12.62,ok,1425427200,348500
42,12.74,12.77,12.5,12.71,ok,1425513600,483200
43,12.65,12.78,12.52,12.58,ok,1425600000,412900
44,12.71,12.83,12.56,12.66,ok,1425859200,609400
45,12.55,12.61,12.42,12.58,ok,1425945600,403500
46,12.38,12.61,12.12,12.59,ok,1426032000,652200
47,12.66,12.7,12.43,12.43,ok,1426118400,318100
48,12.58,12.75,12.34,12.6,ok,1426204800,297200
49,12.54,12.68,12.31,12.65,ok,1426464000,413500
50,12.41,12.57,12.27,12.43,ok,1426550400,322000
51,12.53,12.68,12.12,12.3,ok,1426636800,588400
52,12.28,12.5,12.26,12.42,ok,1426723200,236500
53,12.3,12.45,12.29,12.4,ok,1426809600,595100
54,12.32,12.5,12.27,12.27,ok,1427068800,219600
55,12.31,12.4,12.25,12.29,ok,1427155200,160600
56,12.23,12.42,12.15,12.36,ok,1427241600,294400
57,12.38,12.39,12.09,12.25,ok,1427328000,418600
58,12.49,12.53,12.24,12.41,ok,1427414400,328800
59,12.64,12.78,12.54,12.63,ok,1427673600,396100
60,12.55,12.62,12.43,12.52,ok,1427760000,678700
61,12.47,12.65,12.31,12.48,ok,1427846400,394900
62,12.43,12.6,12.38,12.44,ok,1427932800,319000
63,13.0,13.0,12.39,12.42,ok,1428278400,392300
64,12.76,13.0,12.75,12.92,ok,1428364800,471300
65,12.8,12.9,12.66,12.74,ok,1428451200,395000
66,12.98,12.99,12.79,12.83,ok,1428537600,235200
67,13.03,13.11,12.95,13.04,ok,1428624000,334200
68,12.9,13.03,12.75,12.96,ok,1428883200,904800
69,12.74,12.94,12.7,12.94,ok,1428969600,291100
70,12.86,12.94,12.78,12.81,ok,1429056000,335700
71,12.88,12.91,12.77,12.82,ok,1429142400,211100
72,12.64,12.89,12.64,12.74,ok,1429228800,355900
73,12.85,12.86,12.66,12.69,ok,1429488000,303200
74,12.69,12.92,12.59,12.91,ok,1429574400,356500
75,12.64,12.76,12.52,12.66,ok,1429660800,192100
76,12.62,12.69,12.45,12.64,ok,1429747200,244200
77,12.62,12.74,12.56,12.64,ok,1429833600,250100
78,12.56,12.76,12.5,12.65,ok,1430092800,354600
79,12.49,12.61,12.43,12.56,ok,1430179200,548300
80,12.16,12.44,12.15,12.42,ok,1430265600,594000
81,13.49,13.74,12.81,13.45,ok,1430352000,2289400
82,13.79,13.9,13.5,13.58,ok,1430438400,903900
83,13.8,13.97,13.72,13.8,ok,1430697600,819900
84,13.83,14.0,13.73,13.9,ok,1430784000,541400
85,13.85,14.0,13.75,13.96,ok,1430870400,520900
86,13.97,14.09,13.79,13.84,ok,1430956800,405300
87,13.97,14.22,13.96,14.17,ok,1431043200,370000
88,13.98,14.11,13.93,13.98,ok,1431302400,469200
89,14.23,14.45,13.98,14.18,ok,1431388800,904700
90,14.37,14.46,14.17,14.25,ok,1431475200,434700
91,14.76,14.77,14.33,14.49,ok,1431561600,573200
92,14.65,14.95,14.56,14.69,ok,1431648000,1023500
93,14.59,14.76,14.44,14.63,ok,1431907200,788700
94,14.39,14.58,14.23,14.58,ok,1431993600,687200
95,14.42,14.51,14.3,14.45,ok,1432080000,524100
96,14.79,14.81,14.3,14.48,ok,1432166400,782000
97,15.0,15.06,14.67,14.74,ok,1432252800,671000
98,14.69,14.88,14.59,14.88,ok,1432598400,492100
99,15.0,15.02,14.57,14.64,ok,1432684800,819200
100,14.95,15.04,14.94,14.98,ok,1432771200,461200
101,15.17,15.32,14.89,14.9,ok,1432857600,947900
102,15.65,15.65,15.11,15.22,ok,1433116800,1186700
103,15.74,15.79,15.39,15.6,ok,1433203200,981600
104,16.13,16.13,15.7,15.73,ok,1433289600,968900
105,15.93,16.11,15.74,16.11,ok,1433376000,757500
106,15.91,16.05,15.76,15.91,ok,1433462400,539400
107,15.76,16.03,15.75,15.86,ok,1433721600,331100
108,15.73,15.82,15.63,15.79,ok,1433808000,659600
109,15.85,16.02,15.8,15.86,ok,1433894400,742000
110,15.98,16.06,15.88,15.89,ok,1433980800,784800
111,16.14,16.18,15.82,15.97,ok,1434067200,966700
112,15.81,15.94,15.58,15.91,ok,1434326400,1217400
113,15.85,15.91,15.71,15.75,ok,1434412800,597200
114,15.77,15.91,15.67,15.89,ok,1434499200,1002300
115,16.01,16.03,15.78,15.87,ok,1434585600,482700
116,16.35,16.44,16.0,16.01,ok,1434672000,994500
117,16.52,16.7,16.43,16.44,ok,1434931200,582400
118,16.98,17.0,16.56,16.61,ok,1435017600,832200
119,16.7,17.0,16.64,17.0,ok,1435104000,508900
120,16.71,16.75,16.58,16.72,ok,1435190400,745700
121,17.07,17.09,16.6,16.76,ok,1435276800,1032700
122,16.55,17.0,16.54,16.97,ok,1435536000,748500
123,16.78,16.83,16.55,16.68,ok,1435622400,820600
124,16.66,17.07,16.61,16.96,ok,1435708800,715900
125,16.58,16.74,16.45,16.69,ok,1435795200,708500
126,16.45,16.67,16.29,16.39,ok,1436140800,892600
127,16.48,16.52,16.1,16.45,ok,1436227200,473000
128,16.15,16.37,16.04,16.22,ok,1436313600,1362400
129,16.08,16.38,16.03,16.38,ok,1436400000,389600
130,16.37,16.39,16.23,16.23,ok,1436486400,216400
131,16.39,16.56,16.31,16.31,ok,1436745600,416000
132,16.41,16.49,16.34,16.35,ok,1436832000,450800
133,16.26,16.43,16.14,16.34,ok,1436918400,379800
134,16.23,16.32,16.16,16.26,ok,1437004800,297400
135,15.89,16.19,15.77,16.18,ok,1437091200,646400
136,15.84,16.22,15.8,15.88,ok,1437350400,438200
137,15.79,15.94,15.62,15.81,ok,1437436800,418500
138,15.63,15.79,15.56,15.71,ok,1437523200,313400
139,15.25,15.75,15.22,15.71,ok,1437609600,786200
140,14.98,15.23,14.85,15.22,ok,1437696000,864400
141,14.73,14.85,14.64,14.85,ok,1437955200,622000
142,15.08,15.13,14.59,14.75,ok,1438041600,448900
143,15.35,15.57,15.01,15.01,ok,1438128000,1094500
144,13.99,14.18,12.6,13.39,ok,1438214400,4056800
145,13.89,14.02,13.59,13.96,ok,1438300800,1104000
146,13.94,14.07,13.59,13.77,ok,1438560000,1490400
147,13.87,14.0,13.69,13.91,ok,1438646400,799200
148,13.74,14.04,13.64,13.89,ok,1438732800,882700
149,13.77,13.87,13.7,13.76,ok,1438819200,616900
150,13.63,13.83,13.61,13.7,ok,1438905600,1189500
151,13.79,13.88,13.65,13.7,ok,1439164800,638400
152,13.45,13.71,13.2,13.56,ok,1439251200,1570900
153,13.22,13.4,13.08,13.35,ok,1439337600,1279600
154,13.15,13.32,13.14,13.29,ok,1439424000,430700
155,13.05,13.15,12.93,13.07,ok,1439510400,463900
156,13.11,13.2,12.93,13.01,ok,1439769600,462100
157,13.01,13.11,12.98,13.11,ok,1439856000,437000
158,12.61,12.98,12.54,12.92,ok,1439942400,520100
159,12.26,12.53,12.18,12.45,ok,1440028800,494400
160,11.97,12.18,11.55,12.07,ok,1440115200,795000
161,11.66,12.0,11.08,11.22,ok,1440374400,942100
162,11.59,12.0,11.58,12.0,ok,1440460800,718000
163,11.65,11.74,11.45,11.7,ok,1440547200,890400
164,12.26,12.28,11.8,12.06,ok,1440633600,1052000
165,12.39,12.5,12.1,12.2,ok,1440720000,625000
166,12.3,12.44,12.14,12.23,ok,1440979200,306700
167,11.97,12.19,11.89,12.03,ok,1441065600,515200
168,12.04,12.14,11.84,12.14,ok,1441152000,371600
169,12.38,12.52,12.11,12.11,ok,1441238400,654800
170,12.24,12.25,11.99,12.18,ok,1441324800,792700
171,12.24,12.44,12.17,12.39,ok,1441670400,1096600
172,12.15,12.6,12.12,12.36,ok,1441756800,690600
173,12.07,12.22,12.02,12.17,ok,1441843200,722400
174,12.24,12.28,11.98,12.0,ok,1441929600,487700
175,12.0,12.19,11.88,12.19,ok,1442188800,561200
176,12.17,12.21,11.87,12.05,ok,1442275200,440600
177,12.49,12.53,12.18,12.23,ok,1442361600,459600
178,12.45,12.64,12.31,12.49,ok,1442448000,435800
