,c,h,l,o,s,t,v
0,4.35,5.27,3.805,5.15,ok,1446595200,463000
1,4.59,4.73,4.15,4.28,ok,1446681600,212100
2,4.61,4.75,4.4,4.75,ok,1446768000,117500
3,3.98,4.69,3.92,4.5,ok,1447027200,192200
4,3.64,4.116,3.5,3.93,ok,1447113600,160100
5,3.81,3.85,3.55,3.79,ok,1447200000,67800
6,3.8,3.95,3.69,3.82,ok,1447286400,69800
7,3.74,3.9,3.6,3.65,ok,1447372800,11400
8,3.5,3.8,3.43,3.77,ok,1447632000,52200
9,3.0,3.8,2.75,3.8,ok,1447718400,204600
10,3.02,3.11,2.763,2.8,ok,1447804800,52800
11,2.886,3.0,2.78,2.95,ok,1447891200,49300
12,2.94,2.98,2.817,2.817,ok,1447977600,18900
13,2.9,2.9,2.77,2.9,ok,1448236800,15000
14,3.22,3.39,2.95,3.37,ok,1448323200,77200
15,4.07,4.13,3.33,3.33,ok,1448409600,178300
16,3.7,4.25,3.6,4.1,ok,1448582400,64800
17,3.56,3.83,3.39,3.59,ok,1448841600,35800
18,3.47,3.49,3.23,3.43,ok,1448928000,21600
19,3.6,4.05,3.31,3.37,ok,1449014400,109300
20,3.48,3.75,3.4,3.53,ok,1449100800,27800
21,3.2,3.57,3.2,3.42,ok,1449187200,57700
22,3.35,3.51,3.2,3.23,ok,1449446400,20700
23,3.25,3.35,3.15,3.35,ok,1449532800,9500
24,3.1,3.3,3.0,3.18,ok,1449619200,22800
25,3.22,3.3,2.95,3.28,ok,1449705600,28400
26,3.15,3.31,3.0,3.02,ok,1449792000,15200
27,2.99,3.123,2.91,3.1,ok,1450051200,19300
28,2.961,3.1,2.91,3.1,ok,1450137600,4700
29,3.09,3.09,2.71,2.96,ok,1450224000,8400
30,3.099,3.13,2.9,3.13,ok,1450310400,13900
31,2.97,3.021,2.9,2.97,ok,1450396800,17500
32,3.042,3.06,2.908,3.05,ok,1450656000,7000
33,3.06,3.12,2.92,3.1,ok,1450742400,22300
34,3.02,3.02,2.983,3.01,ok,1450828800,1200
35,2.92,2.94,2.92,2.94,ok,1450915200,2900
36,3.0,3.0,2.85,2.88,ok,1451260800,7700
37,2.99,3.0,2.851,2.921,ok,1451347200,22400
38,2.85,3.0,2.7,2.99,ok,1451433600,25000
39,2.56,2.84,2.241,2.8,ok,1451520000,166600
40,2.415,2.73,2.4,2.4,ok,1451865600,19100
41,2.35,2.579,2.35,2.5,ok,1451952000,17200
42,2.37,2.51,2.35,2.51,ok,1452038400,7800
43,2.37,2.85,2.35,2.35,ok,1452124800,22100
44,2.8,2.8,2.35,2.66,ok,1452211200,91900
45,3.02,3.049,2.62,2.84,ok,1452470400,31500
46,2.972,3.1,2.66,2.97,ok,1452556800,19000
47,2.83,3.1,2.73,3.03,ok,1452643200,12400
48,2.84,3.08,2.73,2.95,ok,1452729600,32100
49,2.95,2.98,2.78,2.902,ok,1452816000,13800
50,2.88,2.98,2.71,2.81,ok,1453161600,21300
51,2.8,2.94,2.75,2.905,ok,1453248000,35500
52,2.84,2.92,2.785,2.92,ok,1453334400,10200
53,2.69,2.89,2.67,2.89,ok,1453420800,17100
54,2.71,2.839,2.6,2.82,ok,1453680000,14600
55,2.7,2.72,2.61,2.7,ok,1453766400,11000
56,2.84,2.85,2.57,2.66,ok,1453852800,27500
57,2.84,2.84,2.62,2.83,ok,1453939200,1900
58,3.0,3.0,2.74,2.83,ok,1454025600,37700
59,3.0,3.15,3.0,3.07,ok,1454284800,12500
60,3.077,3.15,2.93,3.09,ok,1454371200,38100
61,3.08,3.15,3.0,3.1,ok,1454457600,12600
62,2.981,3.08,2.97,3.08,ok,1454544000,9500
63,3.08,3.08,2.957,2.957,ok,1454630400,2300
64,3.05,3.05,2.9,3.05,ok,1454889600,8600
65,3.16,3.3,2.95,2.987,ok,1454976000,6300
66,3.2,3.2,3.06,3.17,ok,1455062400,21700
67,3.16,3.16,3.16,3.16,ok,1455148800,200
68,3.25,3.45,3.18,3.19,ok,1455235200,4100
69,3.35,3.38,3.2,3.38,ok,1455580800,12900
70,3.299,3.35,3.16,3.27,ok,1455667200,10300
71,3.219,3.3,3.1,3.258,ok,1455753600,7300
72,3.14,3.29,2.99,3.29,ok,1455840000,4800
73,3.13,3.133,3.08,3.09,ok,1456099200,1300
74,3.18,3.18,3.18,3.18,ok,1456185600,100
75,3.16,3.18,2.98,3.14,ok,1456272000,6800
76,2.99,3.08,2.898,3.071,ok,1456358400,8500
77,2.93,3.0,2.7,3.0,ok,1456444800,20600
78,2.75,2.95,2.5,2.79,ok,1456704000,22700
79,2.74,2.768,2.5,2.74,ok,1456790400,21500
80,2.79,2.79,2.74,2.74,ok,1456876800,5300
81,2.69,2.849,2.53,2.83,ok,1456963200,18300
82,2.59,2.73,2.5,2.5,ok,1457049600,13100
83,2.69,2.75,2.55,2.74,ok,1457308800,6500
84,2.686,2.72,2.65,2.72,ok,1457395200,3600
85,2.71,2.71,2.62,2.7,ok,1457481600,4700
86,2.7,2.7,2.55,2.57,ok,1457568000,3900
87,2.71,2.71,2.56,2.56,ok,1457654400,1000
88,2.702,2.719,2.63,2.711,ok,1457913600,2600
89,2.69,2.71,2.61,2.7,ok,1458000000,1300
90,2.67,2.67,2.35,2.55,ok,1458086400,26400
91,2.56,2.7,2.56,2.7,ok,1458172800,2400
92,2.61,2.62,2.61,2.615,ok,1458259200,500
93,2.673,2.89,2.55,2.89,ok,1458518400,6500
94,2.471,2.75,2.471,2.75,ok,1458604800,1000
95,2.62,2.63,2.31,2.48,ok,1458691200,7500
96,2.65,2.65,2.63,2.63,ok,1458777600,1100
97,2.66,2.66,2.65,2.65,ok,1459123200,300
98,2.27,2.66,2.26,2.61,ok,1459209600,21900
99,2.52,2.66,2.27,2.46,ok,1459296000,18800
100,2.61,3.0,2.32,3.0,ok,1459382400,22100
101,2.7,2.72,2.42,2.639,ok,1459468800,10000
102,2.57,2.82,2.55,2.82,ok,1459728000,2300
103,2.62,2.8,2.49,2.67,ok,1459814400,63000
104,2.619,2.63,2.26,2.62,ok,1459900800,19500
105,2.63,2.63,2.5,2.62,ok,1459987200,7300
106,2.59,2.64,2.47,2.63,ok,1460332800,2500
107,2.69,2.69,2.47,2.51,ok,1460419200,6200
108,2.69,2.69,2.69,2.69,ok,1460505600,100
109,2.65,2.7,2.5,2.7,ok,1460592000,3500
110,2.45,2.62,2.36,2.47,ok,1460678400,7800
111,2.549,2.57,2.46,2.57,ok,1460937600,800
112,2.46,2.5,2.45,2.45,ok,1461024000,6200
113,2.51,2.589,2.45,2.5,ok,1461110400,8700
114,2.45,2.569,2.45,2.569,ok,1461196800,300
115,2.45,2.53,2.45,2.53,ok,1461283200,300
116,2.32,2.52,2.32,2.45,ok,1461542400,6600
117,2.47,2.7,2.3,2.35,ok,1461628800,27100
118,2.68,2.749,2.5,2.64,ok,1461715200,60400
119,2.62,2.69,2.54,2.69,ok,1461801600,7900
120,2.51,2.63,2.46,2.53,ok,1461888000,6300
121,2.63,2.69,2.46,2.69,ok,1462147200,8800
122,2.47,2.62,2.47,2.488,ok,1462233600,5200
123,2.52,2.62,2.52,2.62,ok,1462320000,7400
124,2.5,2.5,2.43,2.44,ok,1462406400,2600
125,2.464,2.49,2.41,2.41,ok,1462492800,400
126,2.3,2.54,2.3,2.54,ok,1462752000,15000
127,2.381,2.5,2.324,2.49,ok,1462838400,22900
128,2.39,2.4,2.33,2.35,ok,1462924800,3600
129,2.4,2.4,2.386,2.386,ok,1463011200,2100
130,2.32,2.4,2.32,2.37,ok,1463097600,7600
131,2.21,2.34,1.8,2.31,ok,1463356800,9700
132,2.3,2.3,2.04,2.26,ok,1463443200,14800
133,2.31,2.4,2.26,2.31,ok,1463529600,6100
134,2.18,2.347,2.16,2.347,ok,1463616000,7100
135,2.3,2.39,2.17,2.25,ok,1463702400,10000
136,2.38,2.479,2.1,2.36,ok,1463961600,10900
137,2.2,2.38,2.2,2.38,ok,1464048000,3800
138,2.25,2.54,2.25,2.54,ok,1464134400,900
139,2.31,2.37,2.2,2.37,ok,1464220800,10100
140,2.13,2.3,2.13,2.187,ok,1464652800,12800
141,2.16,2.26,2.14,2.14,ok,1464739200,6600
142,2.27,2.27,2.27,2.27,ok,1464825600,100
143,2.17,2.18,2.1,2.1,ok,1464912000,3100
144,1.84,2.07,1.68,2.06,ok,1465171200,48100
145,2.089,2.129,1.9,1.9,ok,1465257600,15900
146,2.245,2.28,2.104,2.127,ok,1465344000,17700
147,2.26,2.3,1.83,2.27,ok,1465430400,22400
148,2.11,2.26,2.1,2.26,ok,1465516800,5800
149,2.06,2.295,2.01,2.295,ok,1465776000,6400
150,2.246,2.25,2.19,2.25,ok,1465862400,2600
151,2.11,2.25,2.1,2.23,ok,1465948800,5500
152,2.24,2.25,2.11,2.22,ok,1466035200,12800
153,2.28,2.35,2.169,2.35,ok,1466121600,9500
154,2.21,2.29,2.21,2.28,ok,1466380800,4600
155,2.17,2.27,2.16,2.27,ok,1466467200,3900
156,2.13,2.25,2.12,2.25,ok,1466553600,6800
157,2.27,2.27,2.225,2.23,ok,1466640000,1700
158,2.33,2.33,2.21,2.27,ok,1466726400,9800
159,2.3,2.32,2.11,2.32,ok,1466985600,13700
160,2.3,2.3,2.19,2.29,ok,1467072000,2600
161,2.25,2.25,2.18,2.25,ok,1467158400,7400
162,2.2,2.2,2.2,2.2,ok,1467244800,1400
163,2.2,2.2,2.18,2.18,ok,1467331200,2900
164,2.189,2.23,2.1,2.19,ok,1467676800,6100
165,2.19,2.21,2.17,2.2,ok,1467763200,7500
166,2.2,2.2,2.11,2.11,ok,1467849600,2700
167,2.12,2.2,2.12,2.124,ok,1467936000,4500
168,2.12,2.12,2.12,2.12,ok,1468195200,100
169,2.16,2.316,2.08,2.08,ok,1468281600,17400
170,2.177,2.24,2.15,2.24,ok,1468368000,7800
171,2.14,2.19,2.11,2.13,ok,1468454400,10300
172,2.03,2.17,2.03,2.11,ok,1468540800,13300
173,2.06,2.173,1.92,2.13,ok,1468800000,14500
174,2.099,2.2,1.96,2.095,ok,1468886400,13800
175,2.0,2.1,1.94,2.01,ok,1468972800,11600
176,1.9,2.01,1.9,1.906,ok,1469059200,10900
177,1.9,2.085,1.9,2.085,ok,1469145600,6400
178,1.909,1.949,1.81,1.901,ok,1469404800,13400
179,1.91,1.97,1.872,1.97,ok,1469491200,5200
180,2.086,2.12,1.88,1.956,ok,1469577600,50000
181,1.97,2.097,1.97,2.09,ok,1469664000,1500
182,2.028,2.045,2.0,2.045,ok,1469750400,4200
183,2.035,2.1,1.97,1.99,ok,1470009600,11700
184,1.92,2.09,1.92,2.09,ok,1470096000,7100
185,1.91,1.939,1.83,1.86,ok,1470182400,11600
186,2.1,2.16,1.8,1.82,ok,1470268800,137600
187,2.91,2.97,2.08,2.1,ok,1470355200,78900
188,2.84,3.3,2.56,3.04,ok,1470614400,186800
189,2.65,2.98,2.5,2.8,ok,1470700800,25600
190,2.58,2.71,2.45,2.66,ok,1470787200,14100
191,2.4,2.56,2.4,2.5,ok,1470873600,6000
192,2.43,2.59,2.35,2.59,ok,1470960000,1800
193,2.45,2.571,2.35,2.571,ok,1471219200,6700
194,2.48,2.57,2.17,2.4,ok,1471305600,16400
195,2.384,2.4,2.16,2.4,ok,1471392000,8800
196,2.33,2.33,2.33,2.33,ok,1471478400,100
197,2.15,2.3,2.15,2.3,ok,1471564800,2000
198,2.26,2.33,2.14,2.14,ok,1471824000,8700
199,2.3,2.38,2.283,2.316,ok,1471910400,8500
200,2.229,2.29,2.229,2.29,ok,1471996800,2800
201,2.18,2.233,2.18,2.233,ok,1472083200,1800
202,2.17,2.33,2.17,2.33,ok,1472169600,1200
203,2.24,2.25,2.065,2.25,ok,1472428800,7500
204,2.279,2.279,2.279,2.279,ok,1472515200,800
205,2.205,2.29,2.12,2.28,ok,1472601600,6800
206,2.16,2.19,2.16,2.19,ok,1472688000,300
207,2.06,2.172,2.06,2.16,ok,1472774400,2500
208,1.99,2.1,1.95,2.06,ok,1473120000,5100
209,1.83,1.93,1.81,1.91,ok,1473206400,10600
210,2.05,2.05,1.89,1.89,ok,1473292800,4600
211,2.07,2.1,2.052,2.09,ok,1473379200,18700
212,2.08,2.13,2.042,2.12,ok,1473638400,4300
213,2.09,2.2,1.9,2.0,ok,1473724800,86600
214,2.52,2.52,2.15,2.28,ok,1473811200,35100
215,2.49,2.55,2.34,2.55,ok,1473897600,10900
216,2.3,2.43,2.12,2.43,ok,1473984000,15700
217,2.3,2.34,2.06,2.34,ok,1474243200,16500
218,2.34,2.72,2.29,2.29,ok,1474329600,82900
219,2.43,2.599,2.35,2.59,ok,1474416000,21600
220,2.46,2.65,2.34,2.4,ok,1474502400,40700
221,2.33,2.58,2.25,2.4,ok,1474588800,23400
222,2.35,2.529,2.26,2.31,ok,1474848000,36400
223,2.32,2.489,2.23,2.48,ok,1474934400,66600
224,2.29,2.46,2.25,2.27,ok,1475020800,94700
225,2.33,2.395,2.2,2.379,ok,1475107200,18300
226,2.34,2.37,2.34,2.37,ok,1475193600,1400
227,2.24,2.36,2.23,2.3,ok,1475452800,36000
228,2.19,2.33,2.15,2.19,ok,1475539200,11700
229,2.17,2.309,2.16,2.24,ok,1475625600,23100
230,2.16,2.269,2.16,2.16,ok,1475712000,4700
231,2.16,2.23,2.16,2.23,ok,1475798400,3200
232,2.04,2.167,2.03,2.13,ok,1476057600,14300
233,2.0,2.14,2.0,2.14,ok,1476144000,11800
234,2.056,2.056,2.056,2.056,ok,1476230400,700
235,1.99,2.12,1.98,2.0,ok,1476316800,3800
236,2.03,2.139,2.02,2.08,ok,1476403200,3800
237,2.15,2.15,1.95,1.95,ok,1476662400,400
238,2.1,2.25,2.1,2.25,ok,1476748800,900
239,2.05,2.2,2.05,2.2,ok,1476835200,300
240,2.05,2.15,2.05,2.15,ok,1477008000,5500
241,2.05,2.25,2.05,2.2,ok,1477267200,3900
242,2.1,2.2,2.05,2.05,ok,1477353600,7300
243,2.05,2.25,2.0,2.25,ok,1477440000,24600
244,1.85,2.1,1.85,2.1,ok,1477526400,23500
245,1.9,2.1,1.85,1.9,ok,1477612800,34500
246,1.7,2.05,1.7,1.9,ok,1477872000,60000
247,1.9,1.95,1.7,1.7,ok,1477958400,60200
248,1.9,2.0,1.85,2.0,ok,1478044800,3000
249,2.0,2.0,1.9,1.9,ok,1478131200,18900
250,2.1,2.1,1.8,1.8,ok,1478217600,29100
251,2.15,2.15,2.05,2.1,ok,1478476800,17400
252,2.3,2.3,2.1,2.15,ok,1478563200,23000
253,2.35,2.45,2.2,2.2,ok,1478649600,21000
254,2.15,2.4,2.15,2.35,ok,1478736000,7600
255,2.177,2.3,2.1,2.3,ok,1478822400,10600
256,2.2,2.3,2.1,2.2,ok,1479081600,12100
257,2.15,2.15,1.95,2.1,ok,1479168000,25300
258,2.15,2.2,2.05,2.15,ok,1479254400,16700
259,2.25,2.25,2.1,2.15,ok,1479340800,5000
260,2.0,2.15,2.0,2.15,ok,1479427200,42900
261,2.1,2.2,2.05,2.05,ok,1479686400,45600
262,2.1,2.2,2.05,2.05,ok,1479772800,49900
263,2.0,2.1,2.0,2.06,ok,1479859200,24100
264,2.05,2.05,1.95,2.0,ok,1480032000,29700
265,1.95,2.05,1.95,2.05,ok,1480291200,3200
266,2.05,2.15,2.008,2.05,ok,1480377600,38500
267,2.15,2.15,2.05,2.1,ok,1480464000,22300
268,2.15,2.15,2.1,2.1,ok,1480550400,25000
269,2.2,2.2,2.1,2.1,ok,1480636800,25300
270,2.25,2.3,2.107,2.15,ok,1480896000,21700
271,2.3,2.3,2.1,2.1,ok,1480982400,15600
272,2.35,2.35,2.25,2.3,ok,1481068800,16800
273,2.5,2.5,2.35,2.35,ok,1481155200,23200
274,2.5,2.5,2.27,2.27,ok,1481241600,6700
275,2.55,2.55,2.45,2.5,ok,1481500800,21800
276,2.5,2.55,2.4,2.5,ok,1481587200,13400
277,2.5,2.5,2.4,2.45,ok,1481673600,9900
278,2.55,2.55,2.469,2.5,ok,1481760000,6100
279,2.6,2.6,2.45,2.6,ok,1481846400,9700
280,2.65,2.65,2.55,2.55,ok,1482105600,14800
281,2.695,2.7,2.6,2.675,ok,1482192000,3200
282,2.55,2.65,2.55,2.65,ok,1482278400,4800
283,2.6,2.65,2.55,2.65,ok,1482364800,5500
284,2.55,2.65,2.55,2.6,ok,1482451200,2900
285,2.6,2.6,2.6,2.6,ok,1482796800,100
286,2.6,2.6,2.5,2.6,ok,1482883200,5100
287,2.532,2.65,2.532,2.65,ok,1482969600,2200
288,2.5,2.6,2.5,2.575,ok,1483056000,2600
289,2.6,2.6,2.6,2.6,ok,1483401600,2000
290,2.505,2.6,2.505,2.6,ok,1483488000,9300
291,2.6,2.6,2.55,2.6,ok,1483574400,1500
292,2.5,2.595,2.475,2.595,ok,1483660800,1200
293,2.475,2.6,2.455,2.6,ok,1483920000,4400
294,2.6,2.6,2.45,2.45,ok,1484006400,1300
295,2.55,2.6,2.5,2.6,ok,1484092800,300
296,2.6,2.6,2.6,2.6,ok,1484179200,300
297,2.5,2.5,2.5,2.5,ok,1484265600,200
298,2.45,2.5,2.45,2.5,ok,1484611200,300
299,2.5,2.5,2.5,2.5,ok,1484697600,400
300,2.3,2.5,2.3,2.5,ok,1484784000,1300
301,2.4,2.4,2.35,2.35,ok,1484870400,1100
302,2.4,2.4,2.3,2.4,ok,1485129600,700
303,2.3,2.4,2.3,2.4,ok,1485216000,5400
304,2.35,2.4,2.307,2.307,ok,1485302400,1500
305,2.355,2.355,2.35,2.355,ok,1485388800,1200
306,2.45,2.45,2.35,2.45,ok,1485475200,1700
307,2.55,2.609,2.45,2.5,ok,1485734400,95500
308,2.9,3.05,2.6,2.6,ok,1485820800,127300
309,3.1,3.19,2.9,3.0,ok,1485907200,34900
310,3.245,3.245,2.9,3.0,ok,1485993600,32100
311,3.2,3.2,2.85,2.905,ok,1486080000,8800
312,3.25,3.25,3.1,3.2,ok,1486339200,19500
313,3.3,3.3,3.1,3.25,ok,1486425600,9900
314,3.3,3.35,3.2,3.2,ok,1486512000,15700
315,3.195,3.201,3.173,3.173,ok,1486598400,3000
316,3.25,3.25,3.25,3.25,ok,1486684800,100
317,3.3,3.3,3.15,3.15,ok,1486944000,9600
318,3.3,3.3,3.237,3.275,ok,1487030400,5200
319,3.35,3.4,3.3,3.3,ok,1487116800,5800
320,3.4,3.4,3.3,3.4,ok,1487203200,9300
321,3.45,3.45,3.3,3.4,ok,1487289600,6200
322,3.45,3.5,3.4,3.45,ok,1487635200,4200
323,3.675,3.695,3.46,3.5,ok,1487721600,13200
324,3.7,3.7,3.65,3.7,ok,1487808000,1400
325,3.65,3.7,3.6,3.7,ok,1487894400,6800
326,3.65,3.65,3.55,3.65,ok,1488153600,500
327,3.55,3.6,3.505,3.6,ok,1488240000,7800
328,3.425,3.55,3.3,3.55,ok,1488326400,22900
329,3.15,3.4,3.0,3.4,ok,1488412800,12900
330,3.2,3.25,3.05,3.1,ok,1488499200,10700
331,3.25,3.25,3.16,3.225,ok,1488758400,1700
332,3.0,3.275,2.9,3.1,ok,1488844800,13300
333,3.125,3.2,3.105,3.15,ok,1488931200,4200
334,3.2,3.2,3.1,3.125,ok,1489017600,2900
335,3.1,3.2,3.1,3.2,ok,1489104000,1600
336,3.15,3.2,3.15,3.15,ok,1489363200,4400
337,3.1,3.15,3.05,3.1,ok,1489536000,4600
338,3.1,3.105,2.805,3.0,ok,1489622400,7600
339,3.136,3.15,3.0,3.15,ok,1489708800,4100
340,3.0,3.145,2.9,3.145,ok,1489968000,6200
341,3.05,3.15,2.95,2.95,ok,1490054400,42800
342,3.1,3.1,3.1,3.1,ok,1490140800,200
343,3.1,3.1,3.1,3.1,ok,1490227200,100
344,3.1,3.1,3.1,3.1,ok,1490313600,200
345,3.0,3.0,3.0,3.0,ok,1490572800,200
346,3.092,3.1,3.092,3.1,ok,1490659200,300
347,3.25,3.25,3.05,3.05,ok,1490745600,2800
348,3.125,3.125,3.125,3.125,ok,1490832000,200
349,3.25,3.25,3.25,3.25,ok,1491177600,100
350,3.2,3.2,3.2,3.2,ok,1491264000,400
351,3.005,3.195,3.0,3.025,ok,1491523200,1300
352,3.095,3.15,3.095,3.15,ok,1491868800,200
353,3.1,3.1,3.0,3.0,ok,1492041600,8600
354,3.0,3.0,2.95,3.0,ok,1492473600,4300
355,3.05,3.05,3.043,3.043,ok,1492560000,400
356,2.9,3.0,2.9,3.0,ok,1492646400,700
357,3.0,3.0,2.65,2.75,ok,1492732800,5200
358,2.975,2.982,2.85,2.982,ok,1492992000,3800
359,3.0,3.0,2.85,2.9,ok,1493078400,2500
360,2.955,2.955,2.955,2.955,ok,1493164800,200
361,2.905,2.95,2.85,2.85,ok,1493337600,4100
362,2.864,2.95,2.864,2.95,ok,1493683200,1100
363,2.95,2.95,2.95,2.95,ok,1493769600,7300
364,2.855,2.925,2.855,2.855,ok,1493856000,2200
365,2.9,2.9,2.9,2.9,ok,1493942400,300
366,2.85,2.85,2.85,2.85,ok,1494201600,2300
367,2.9,2.9,2.9,2.9,ok,1494374400,200
368,2.9,2.9,2.9,2.9,ok,1494460800,100
369,3.059,3.059,2.9,2.9,ok,1494547200,51200
370,3.1,3.15,3.1,3.1,ok,1494806400,7300
371,3.1,3.25,3.1,3.2,ok,1494892800,3400
372,3.1,3.1,3.1,3.1,ok,1494979200,1100
373,3.15,3.3,3.15,3.3,ok,1495065600,2500
374,3.069,3.2,3.069,3.2,ok,1495152000,6500
375,3.15,3.15,3.15,3.15,ok,1495411200,2300
376,3.229,3.229,3.145,3.15,ok,1495497600,5100
377,3.275,3.275,3.275,3.275,ok,1495584000,100
378,3.245,3.25,3.198,3.198,ok,1495670400,1100
379,3.21,3.35,3.21,3.3,ok,1495756800,1100
380,3.25,3.314,3.25,3.314,ok,1496102400,3000
381,3.22,3.281,3.22,3.281,ok,1496188800,2000
382,3.25,3.25,3.25,3.25,ok,1496275200,100
383,3.2,3.2,3.0,3.2,ok,1496361600,3500
384,3.35,3.4,3.0,3.0,ok,1496620800,15500
385,3.395,3.395,3.355,3.355,ok,1496707200,1800
386,3.35,3.422,3.35,3.4,ok,1496793600,900
387,3.437,3.5,3.275,3.4,ok,1496880000,10200
