,c,h,l,o,s,t,v
0,20.0404,20.0504,19.8404,19.8404,ok,1423094400,23300
1,19.5368,20.1768,19.4868,20.1768,ok,1423180800,31800
2,19.4555,19.8555,19.4555,19.8555,ok,1423440000,26800
3,19.5124,19.7924,19.2824,19.7924,ok,1423526400,31500
4,19.4799,19.8399,19.3959,19.8399,ok,1423612800,31900
5,19.6992,19.7792,19.4492,19.7792,ok,1423699200,20200
6,19.6018,19.7718,19.4768,19.7318,ok,1423785600,27900
7,19.553,19.793,19.523,19.743,ok,1424131200,36000
8,19.6992,19.7692,19.3692,19.7692,ok,1424217600,26300
9,19.3499,19.7699,19.3279,19.7699,ok,1424304000,35600
10,19.5189,19.5909,19.3109,19.5909,ok,1424390400,15800
11,19.6196,19.6476,19.4676,19.6476,ok,1424649600,25100
12,19.3256,19.7256,19.2656,19.7256,ok,1424736000,51400
13,19.3662,19.5762,19.3262,19.5762,ok,1424822400,22300
14,19.2037,19.6437,19.1687,19.6437,ok,1424908800,29500
15,19.3256,19.3656,19.1176,19.2856,ok,1424995200,22600
16,19.4312,19.6312,19.3512,19.3912,ok,1425254400,22000
17,19.3743,19.5443,19.2043,19.5443,ok,1425340800,16600
18,19.2037,19.4037,19.1937,19.4037,ok,1425427200,9700
19,19.2606,19.4406,19.2606,19.3606,ok,1425513600,15500
20,18.6838,19.4338,18.6838,19.4338,ok,1425600000,51700
21,18.8544,18.8544,18.7444,18.8344,ok,1425859200,15800
22,18.83,18.86,18.73,18.83,ok,1425945600,17400
23,18.8138,18.9438,18.7338,18.9438,ok,1426032000,18500
24,19.09,19.09,18.88,18.98,ok,1426118400,7700
25,19.0575,19.1175,18.9175,19.0375,ok,1426204800,24000
26,19.2281,19.3081,19.2081,19.2381,ok,1426464000,43800
27,19.2118,19.3018,19.1318,19.3018,ok,1426550400,27400
28,19.6018,19.6518,19.0218,19.2018,ok,1426636800,27100
29,19.5855,19.7155,19.5655,19.7155,ok,1426723200,17400
30,20.0282,20.0282,19.5442,19.7942,ok,1426809600,16800
31,20.0086,20.1686,20.0086,20.0686,ok,1427068800,31900
32,19.8858,20.0658,19.8738,20.0658,ok,1427155200,14200
33,19.534,20.074,19.513,20.074,ok,1427241600,38500
34,19.4227,19.5987,19.3887,19.5987,ok,1427328000,17300
35,19.493,19.513,19.283,19.283,ok,1427414400,20300
36,19.7058,19.7158,19.4758,19.6158,ok,1427673600,13500
37,19.5749,19.8149,19.5449,19.8049,ok,1427760000,24300
38,19.5421,19.6401,19.4121,19.6321,ok,1427846400,29600
39,19.7058,19.7558,19.6058,19.6258,ok,1427932800,11200
40,19.8613,19.9013,19.7313,19.8213,ok,1428278400,20600
41,19.583,20.0231,19.583,20.0231,ok,1428364800,52600
42,19.5994,19.8394,19.5594,19.8394,ok,1428451200,10900
43,19.268,19.733,19.233,19.733,ok,1428537600,30000
44,19.2475,19.4875,19.2275,19.3175,ok,1428624000,29700
45,19.2312,19.3412,19.2312,19.3312,ok,1428883200,23300
46,19.2647,19.3437,19.2437,19.3437,ok,1428969600,23100
47,19.1739,19.3539,19.1739,19.3539,ok,1429056000,30600
48,19.2393,19.2593,19.0193,19.1593,ok,1429142400,19900
49,19.1166,19.2566,19.0256,19.2566,ok,1429228800,19800
50,19.1526,19.2486,19.0986,19.2386,ok,1429488000,8400
51,19.1821,19.2921,19.1231,19.1421,ok,1429574400,25600
52,19.1821,19.2921,19.1821,19.2721,ok,1429660800,13500
