,c,h,l,o,s,t,v
0,8.0,8.03,7.51,7.51,ok,1517961600,9400
1,7.8,8.01,5.56,7.85,ok,1518048000,9100
2,7.8,7.8,7.7,7.8,ok,1518134400,9800
3,7.8,7.8,7.75,7.75,ok,1518393600,1300
4,7.9,7.9,7.5,7.5,ok,1518480000,5600
5,7.65,7.9,7.65,7.9,ok,1518566400,300
6,7.75,7.75,7.5,7.65,ok,1518652800,8900
7,7.5,8.0,7.5,7.9,ok,1518739200,10100
8,7.79,7.8,7.5,7.78,ok,1519084800,9800
9,7.79,7.8,7.79,7.79,ok,1519171200,18800
10,7.75,7.8,7.7,7.7,ok,1519344000,5400
11,7.8,7.8,7.8,7.8,ok,1519603200,200
12,7.76,7.8,7.75,7.8,ok,1519689600,4100
13,7.77,7.77,6.9,7.5,ok,1519776000,3400
14,7.3,7.77,7.06,7.06,ok,1519862400,9200
15,7.66,7.66,7.66,7.66,ok,1519948800,100
16,7.55,7.7,7.05,7.05,ok,1520208000,5100
17,7.55,7.64,7.55,7.6,ok,1520294400,3200
18,7.5,7.55,7.5,7.55,ok,1520380800,5100
19,7.8,7.8,7.5,7.6,ok,1520467200,9600
20,7.75,7.76,7.65,7.65,ok,1520553600,11000
21,7.7,7.7,7.7,7.7,ok,1520812800,200
22,7.0,7.6,7.0,7.05,ok,1520899200,1400
23,7.0,7.2,6.8,7.2,ok,1520985600,3000
24,7.3,7.3,6.71,7.0,ok,1521072000,500
25,7.5,7.5,6.7,6.7,ok,1521158400,600
26,7.0,7.0,7.0,7.0,ok,1521417600,100
27,7.0,7.0,7.0,7.0,ok,1521504000,1700
28,7.0,7.01,7.0,7.01,ok,1521590400,2300
29,7.07,7.07,6.61,6.65,ok,1521676800,25800
30,7.49,7.8,6.7,7.0,ok,1521763200,11800
31,7.2,7.2,6.56,6.56,ok,1522108800,800
32,6.45,7.4,6.45,7.4,ok,1522195200,3700
33,6.85,6.85,6.3,6.5,ok,1522281600,2600
34,6.85,6.85,6.8,6.8,ok,1522627200,200
35,6.9,6.9,6.6,6.6,ok,1522713600,800
36,7.25,7.25,6.95,6.95,ok,1522800000,700
37,7.2,7.2,6.27,6.27,ok,1522886400,700
38,7.05,7.05,6.5,6.5,ok,1522972800,10000
39,7.05,7.05,6.15,6.55,ok,1523232000,2600
40,7.06,7.06,7.06,7.06,ok,1523318400,200
41,7.03,7.03,6.15,6.44,ok,1523404800,7500
42,7.13,7.15,6.9,7.0,ok,1523491200,10500
43,7.1,7.15,6.8,7.15,ok,1523577600,9200
44,7.0,7.29,6.95,7.0,ok,1523836800,32000
45,6.9,7.0,6.7,7.0,ok,1523923200,2700
46,6.8,6.85,6.8,6.85,ok,1524009600,300
47,6.2,6.65,6.2,6.4,ok,1524096000,2300
48,6.35,6.4,6.06,6.4,ok,1524182400,2000
49,6.35,6.35,6.35,6.35,ok,1524441600,100
50,6.39,6.4,6.05,6.35,ok,1524528000,5200
51,6.0,6.18,6.0,6.18,ok,1524614400,1100
52,6.0,6.0,5.7,5.87,ok,1524700800,900
53,5.98,5.98,5.55,5.55,ok,1524787200,1000
54,6.2,6.2,5.4,5.4,ok,1525046400,1200
55,6.25,6.25,6.15,6.15,ok,1525132800,4100
56,6.25,6.27,6.2,6.25,ok,1525219200,4300
57,6.27,6.27,6.15,6.25,ok,1525305600,7300
58,6.15,6.25,6.1,6.25,ok,1525392000,20200
59,6.5,6.5,5.95,6.15,ok,1525651200,3300
60,6.5,6.5,6.25,6.4,ok,1525737600,25500
61,6.3,6.45,6.25,6.25,ok,1525824000,1700
62,6.6,6.6,6.2,6.2,ok,1525910400,11900
63,6.65,6.65,5.9,5.9,ok,1525996800,1600
64,6.6,6.75,6.6,6.65,ok,1526256000,7400
65,6.75,6.75,6.75,6.75,ok,1526342400,600
66,6.8,6.8,6.5,6.5,ok,1526428800,200
67,6.9,6.9,6.8,6.8,ok,1526515200,1400
68,7.0,7.0,6.92,6.92,ok,1526601600,700
69,6.95,6.95,6.85,6.85,ok,1526947200,6700
70,7.0,7.0,6.95,6.95,ok,1527033600,2200
71,7.15,7.15,7.05,7.05,ok,1527120000,8900
72,7.25,7.3,7.15,7.15,ok,1527206400,11100
73,7.2,7.2,7.2,7.2,ok,1527552000,600
74,7.3,7.3,7.2,7.24,ok,1527638400,24600
75,7.25,7.3,7.25,7.3,ok,1527724800,12100
76,7.4,7.4,7.35,7.35,ok,1527811200,7000
77,7.4,7.45,7.3,7.4,ok,1528070400,33300
78,7.4,7.45,7.4,7.45,ok,1528156800,8800
79,7.46,7.47,7.44,7.45,ok,1528243200,13500
80,7.47,7.49,7.44,7.46,ok,1528329600,20900
