,c,h,l,o,s,t,v
0,95.98,96.9,94.9,94.9,ok,1522713600,6000
1,98.8,98.8,95.0,95.0,ok,1522800000,2100
2,98.42,100.34,98.42,98.99,ok,1523232000,30900
3,101.34,101.71,99.57,99.57,ok,1523318400,28000
4,100.44,101.26,99.96,100.78,ok,1523404800,16200
5,102.08,102.6,101.9,102.09,ok,1523491200,13300
6,100.9,102.6,100.52,102.6,ok,1523577600,106800
7,103.03,103.24,102.22,102.22,ok,1523836800,8000
8,106.0,106.49,104.78,104.8,ok,1523923200,46700
9,106.65,106.91,105.98,105.98,ok,1524009600,26500
10,104.76,105.54,103.92,105.12,ok,1524096000,51800
11,101.83,104.02,101.83,104.02,ok,1524182400,144900
12,101.55,102.96,101.55,102.55,ok,1524441600,16000
13,97.91,102.45,97.9,102.45,ok,1524528000,19900
14,98.75,98.75,96.55,96.55,ok,1524614400,13300
15,101.68,102.01,99.91,99.91,ok,1524700800,41600
16,102.02,102.55,101.33,102.47,ok,1524787200,95000
17,100.25,102.96,100.25,102.9,ok,1525046400,44100
18,101.598,101.61,99.333,100.42,ok,1525132800,18600
19,101.286,101.94,101.03,101.37,ok,1525219200,11700
20,100.485,101.14,98.88,98.965,ok,1525305600,13500
21,104.0,104.64,101.16,101.16,ok,1525392000,98900
22,104.58,105.07,104.48,104.91,ok,1525651200,8600
23,104.7,104.72,103.793,104.37,ok,1525737600,62100
24,106.46,106.93,104.905,104.905,ok,1525824000,14200
25,108.55,108.76,107.75,107.78,ok,1525910400,13200
26,108.79,109.35,108.14,108.86,ok,1525996800,121100
27,109.08,109.96,109.07,109.84,ok,1526256000,66500
28,106.97,107.58,106.661,107.11,ok,1526342400,19900
29,107.99,108.64,107.51,107.51,ok,1526428800,9200
30,107.85,108.8,107.675,107.97,ok,1526515200,10500
31,108.04,108.49,107.7,107.836,ok,1526601600,73200
32,109.4,109.81,109.31,109.63,ok,1526860800,127000
33,108.79,109.39,108.79,109.31,ok,1526947200,15000
34,109.72,109.72,107.67,107.9,ok,1527033600,16900
35,109.74,109.98,108.2,108.99,ok,1527120000,12300
36,109.7,111.48,109.105,109.79,ok,1527206400,78700
37,107.71,109.15,107.24,109.15,ok,1527552000,98600
38,110.305,110.51,109.76,109.76,ok,1527638400,18700
39,109.0,110.75,108.81,110.57,ok,1527724800,45900
40,110.95,113.52,110.2,111.46,ok,1527811200,17300
41,113.21,113.45,112.14,112.14,ok,1528070400,77600
42,113.78,114.25,113.0,113.68,ok,1528156800,74900
43,115.29,115.62,113.867,113.867,ok,1528243200,11000
44,114.675,116.1,113.9,115.65,ok,1528329600,35200
45,115.135,115.46,113.971,114.5,ok,1528416000,62400
46,115.91,116.39,114.98,115.66,ok,1528675200,73800
47,116.81,116.84,115.969,116.06,ok,1528761600,64300
48,116.28,117.03,115.91,117.03,ok,1528848000,14400
49,116.95,117.38,116.49,116.7,ok,1528934400,15100
50,117.09,117.1,116.17,116.4,ok,1529020800,18400
51,116.06,117.02,115.47,115.746,ok,1529280000,161300
52,115.35,115.73,113.485,114.92,ok,1529366400,36900
53,116.53,116.89,115.955,116.63,ok,1529452800,46800
54,114.67,115.61,114.66,115.52,ok,1529539200,17000
55,115.2,115.27,114.5,114.81,ok,1529625600,23100
56,110.31,112.15,109.6,112.14,ok,1529884800,199700
57,111.79,112.46,111.15,111.22,ok,1529971200,26100
58,109.68,112.86,109.488,112.29,ok,1530057600,19000
59,110.59,111.2,108.36,109.34,ok,1530144000,49800
60,111.2,112.5,111.2,112.31,ok,1530230400,24700
61,111.28,112.1,109.606,110.74,ok,1530489600,123000
62,110.81,112.55,110.548,112.55,ok,1530576000,17200
63,112.41,112.41,110.51,111.7,ok,1530748800,56800
64,114.78,114.96,113.7,113.71,ok,1530835200,11600
65,117.04,117.04,115.825,116.1,ok,1531094400,11100
