,c,h,l,o,s,t,v
0,26.7881,26.7881,20.8361,23.2381,ok,1433203200,22200
1,26.8455,27.7655,25.7755,25.7855,ok,1433289600,41900
2,26.6637,27.2937,26.3437,26.6137,ok,1433376000,57700
3,26.6542,26.9642,26.4342,26.7942,ok,1433462400,16800
4,26.7594,27.2394,25.9894,26.6694,ok,1433721600,49000
5,24.6833,27.0233,24.3833,26.9933,ok,1433808000,55700
6,24.9235,25.3125,24.1925,25.1025,ok,1433894400,84800
7,24.9034,25.2934,24.3434,24.9034,ok,1433980800,121200
8,24.8364,24.8984,24.4064,24.7364,ok,1434067200,114800
9,24.3198,24.4998,23.8998,23.9198,ok,1434326400,35400
10,23.8223,24.4773,23.4723,24.3623,ok,1434412800,65300
11,23.8319,23.8719,23.4719,23.7319,ok,1434499200,10200
12,23.8032,24.4332,23.6232,23.8032,ok,1434585600,40600
13,23.8701,24.0401,23.5001,23.6001,ok,1434672000,211100
14,24.1667,24.2367,23.7467,23.8267,ok,1434931200,118300
15,24.779,25.659,23.869,24.429,ok,1435017600,44100
16,24.7981,24.9481,24.4551,24.7781,ok,1435104000,56000
17,25.3435,25.3635,24.9535,25.2935,ok,1435190400,42200
18,25.814,26.004,25.104,25.714,ok,1435276800,46600
19,25.622,26.052,24.652,24.802,ok,1435536000,52000
20,26.6688,26.8988,24.9388,25.6088,ok,1435622400,39500
21,26.88,26.99,26.62,26.64,ok,1435708800,41400
22,27.9364,29.3464,26.6564,26.6564,ok,1435795200,51800
23,28.6279,28.6979,27.2679,27.5579,ok,1436140800,18900
24,28.1861,28.5661,27.5131,28.5661,ok,1436227200,37900
25,27.0529,28.0079,26.5729,27.8429,ok,1436313600,8400
26,26.7552,27.2152,25.7852,27.0452,ok,1436400000,18000
27,28.0228,28.5428,27.0028,27.0328,ok,1436486400,44900
28,27.6003,27.7203,27.2703,27.2703,ok,1436745600,17700
29,27.2354,27.3774,27.0654,27.2554,ok,1436832000,19900
30,26.8992,27.0792,26.7192,27.0092,ok,1436918400,14000
31,28.7335,28.7835,26.7235,27.0285,ok,1437004800,27000
32,28.7719,29.0119,28.5419,28.6519,ok,1437091200,13700
33,28.3878,29.1678,28.3178,29.0778,ok,1437350400,15900
34,28.2437,28.9937,28.0937,28.4837,ok,1437436800,11600
35,27.4178,28.1578,27.3678,27.4878,ok,1437523200,12400
36,27.2065,27.7665,27.0465,27.4265,ok,1437609600,19500
37,26.9857,27.0557,26.5057,26.7957,ok,1437696000,33300
38,26.5343,26.7943,26.2443,26.7343,ok,1437955200,106300
39,27.7347,27.8247,26.4547,26.7247,ok,1438041600,20400
40,28.6663,28.8863,27.3663,27.8563,ok,1438128000,15500
41,28.2341,29.8041,28.2341,29.4341,ok,1438214400,5700
42,28.6087,28.8686,27.9486,28.4486,ok,1438300800,21300
43,29.7707,30.5507,29.0907,30.4707,ok,1438560000,25900
