,c,h,l,o,s,t,v
0,35.34,35.82,35.08,35.75,ok,1420156800,14400
1,34.7825,35.6425,34.7325,35.6425,ok,1420416000,21400
2,34.5037,34.9437,34.3237,34.9337,ok,1420502400,21400
3,34.9219,35.0019,34.6419,34.7819,ok,1420588800,28700
4,35.5445,35.6145,35.3545,35.3545,ok,1420675200,22400
5,35.2471,35.5371,35.1971,35.4671,ok,1420761600,38700
6,35.0613,35.3813,34.9513,35.3813,ok,1421020800,14100
7,34.9683,35.6183,34.8383,35.4883,ok,1421107200,17700
8,34.8104,34.8304,34.5004,34.6204,ok,1421193600,36900
9,34.7081,35.0681,34.7081,34.8481,ok,1421280000,20100
10,35.0891,35.0891,34.5391,34.6591,ok,1421366400,23800
11,35.0984,35.2684,34.7584,35.2684,ok,1421712000,43000
12,35.117,35.187,34.937,35.037,ok,1421798400,8700
13,35.6746,35.7046,35.0946,35.2746,ok,1421884800,12200
14,35.4608,35.6608,35.4208,35.6608,ok,1421971200,36200
15,35.4794,35.4794,35.2294,35.4694,ok,1422230400,16900
16,35.1542,35.3542,34.9142,35.1142,ok,1422316800,18000
17,34.7825,35.4525,34.7325,35.0025,ok,1422403200,23400
18,35.1263,35.1263,34.5563,34.8363,ok,1422489600,32000
19,34.5316,35.0216,34.5316,34.9716,ok,1422576000,10100
20,34.894,34.894,34.194,34.584,ok,1422835200,6300
21,35.4608,35.4908,35.0408,35.0608,ok,1422921600,15500
22,35.3772,35.6072,35.2872,35.5072,ok,1423008000,23200
23,35.7396,35.7596,35.5596,35.6796,ok,1423094400,10200
24,35.6281,35.8781,35.5481,35.6681,ok,1423180800,31200
25,35.4144,35.5944,35.3044,35.5944,ok,1423440000,20800
26,35.7861,35.7861,35.4861,35.6561,ok,1423526400,12600
27,35.7861,35.8761,35.6461,35.7861,ok,1423612800,25100
28,36.0742,36.0842,35.8942,35.9742,ok,1423699200,14300
29,36.1392,36.1792,36.0592,36.1792,ok,1423785600,16300
30,36.1671,36.2571,36.1071,36.1071,ok,1424131200,10200
31,36.2228,36.2228,36.0928,36.1928,ok,1424217600,8000
32,36.2507,36.2707,36.1807,36.2207,ok,1424304000,5000
33,36.4923,36.5523,36.0723,36.2523,ok,1424390400,10500
34,36.4923,36.5723,36.3923,36.5723,ok,1424649600,6500
35,36.5946,36.6446,36.5046,36.5446,ok,1424736000,14200
36,36.5481,36.6881,36.4581,36.6881,ok,1424822400,5500
37,36.4738,36.6038,36.4238,36.6038,ok,1424908800,5500
38,36.3901,36.5401,36.3901,36.5401,ok,1424995200,14300
39,36.7154,36.7254,36.4254,36.4254,ok,1425254400,10400
40,36.4923,36.5323,36.3423,36.5323,ok,1425340800,20100
41,36.2693,36.4793,36.0993,36.4793,ok,1425427200,17400
42,36.3901,36.4201,36.2901,36.3801,ok,1425513600,14400
43,35.8047,36.2747,35.8047,36.2747,ok,1425600000,32200
44,36.0742,36.1542,35.7142,35.7142,ok,1425859200,6000
45,35.5352,35.7652,35.5252,35.7552,ok,1425945600,21300
46,35.4051,35.6151,35.3651,35.6151,ok,1426032000,10000
47,35.9348,35.9548,35.5548,35.5548,ok,1426118400,5200
48,35.7024,35.9325,35.4524,35.9325,ok,1426204800,17700
49,36.1485,36.1585,35.8885,35.8885,ok,1426464000,45400
50,35.9812,36.0712,35.8512,35.9312,ok,1426550400,14800
51,36.3344,36.4944,35.5744,35.8944,ok,1426636800,15100
52,36.195,36.385,36.125,36.385,ok,1426723200,19000
53,36.5574,36.6374,36.3574,36.4374,ok,1426809600,7200
54,36.5946,36.6346,36.5846,36.6246,ok,1427068800,14300
55,36.3808,36.5908,36.3808,36.5408,ok,1427155200,5000
56,35.8331,36.4831,35.8331,36.4831,ok,1427241600,11700
57,35.7864,35.9264,35.5364,35.7764,ok,1427328000,10800
58,35.8704,35.8804,35.7504,35.7904,ok,1427414400,25400
59,36.2903,36.3203,36.0903,36.1003,ok,1427673600,9100
60,35.9917,36.2517,35.9917,36.2517,ok,1427760000,7800
61,35.7677,36.0177,35.5877,36.0177,ok,1427846400,7700
62,35.9264,36.0164,35.7864,35.8564,ok,1427932800,8900
63,36.169,36.259,35.729,35.799,ok,1428278400,15900
64,36.085,36.315,36.055,36.235,ok,1428364800,28000
65,36.1783,36.2383,36.0883,36.2383,ok,1428451200,13000
66,36.2436,36.2436,36.0336,36.0336,ok,1428537600,7400
67,36.3183,36.3483,36.1983,36.2983,ok,1428624000,24500
68,36.169,36.389,36.129,36.359,ok,1428883200,24200
69,36.1783,36.2583,35.9583,36.1583,ok,1428969600,7100
70,36.2623,36.4323,36.2023,36.4023,ok,1429056000,13400
71,36.1503,36.2303,36.0903,36.0903,ok,1429142400,8300
72,35.6651,36.0151,35.5651,36.0151,ok,1429228800,24200
73,35.9824,36.0724,35.9124,35.9124,ok,1429488000,13400
74,35.9544,36.2044,35.9244,36.2044,ok,1429574400,8300
75,36.029,36.069,35.719,35.789,ok,1429660800,8600
76,36.1037,36.1937,35.9637,35.9737,ok,1429747200,6400
77,36.085,36.205,36.035,36.205,ok,1429833600,37500
78,35.8797,36.1697,35.8797,36.0897,ok,1430092800,17100
79,35.9264,36.0764,35.5564,36.0564,ok,1430179200,26600
80,35.7397,35.9397,35.6297,35.9397,ok,1430265600,8900
81,35.3665,35.7965,35.3165,35.7965,ok,1430352000,16100
82,35.8237,35.8337,35.4337,35.4337,ok,1430438400,3100
83,36.001,36.071,35.961,35.961,ok,1430697600,7300
84,35.6838,35.8938,35.6138,35.8538,ok,1430784000,14500
85,35.4878,35.6078,35.4478,35.6078,ok,1430870400,6500
86,35.7584,35.7784,35.5584,35.6384,ok,1430956800,8900
87,36.197,36.227,36.067,36.137,ok,1431043200,7300
88,36.113,36.253,36.063,36.063,ok,1431302400,7600
89,36.141,36.211,35.911,36.211,ok,1431388800,15700
90,36.1223,36.3223,36.0523,36.2523,ok,1431475200,27900
91,36.5236,36.5236,36.2636,36.3136,ok,1431561600,4300
92,36.5703,36.5903,36.4203,36.4203,ok,1431648000,11100
93,36.6542,36.6642,36.5542,36.5942,ok,1431907200,7000
94,36.6542,36.7942,36.5842,36.7242,ok,1431993600,11300
95,36.6822,36.8022,36.6222,36.8022,ok,1432080000,17300
96,36.6729,36.7129,36.6229,36.7129,ok,1432166400,10300
97,36.5609,36.6709,36.5609,36.6709,ok,1432252800,7800
98,36.2063,36.5963,36.1363,36.5963,ok,1432598400,11400
99,36.4583,36.4783,36.2883,36.3183,ok,1432684800,17600
100,36.3743,36.4343,36.3043,36.4343,ok,1432771200,11200
101,36.169,36.459,36.129,36.459,ok,1432857600,10500
102,36.2996,36.3396,36.0896,36.2696,ok,1433116800,9100
103,36.1597,36.3197,36.0297,36.0297,ok,1433203200,7800
104,36.2716,36.3616,36.2216,36.3016,ok,1433289600,7700
105,35.9171,36.2071,35.8771,36.1571,ok,1433376000,10000
106,35.8237,35.9437,35.7937,35.9437,ok,1433462400,16200
107,35.6744,35.7544,35.6744,35.7344,ok,1433721600,6500
108,35.6558,35.6958,35.6058,35.6158,ok,1433808000,9300
109,35.9637,36.0537,35.7737,35.7737,ok,1433894400,10700
110,36.1503,36.2203,36.1303,36.1803,ok,1433980800,41400
111,36.0104,36.1904,35.9304,36.1904,ok,1434067200,13400
112,35.7211,35.8511,35.5911,35.5911,ok,1434326400,32200
113,35.9544,35.9544,35.6044,35.6044,ok,1434412800,7500
114,36.0477,36.1177,35.8177,36.0677,ok,1434499200,6300
115,36.4209,36.4509,36.1409,36.1509,ok,1434585600,7100
116,36.197,36.457,36.187,36.457,ok,1434672000,13000
117,36.3556,36.4956,36.3056,36.4756,ok,1434931200,17500
118,36.365,36.485,36.225,36.485,ok,1435017600,25000
119,36.0025,36.2525,35.9925,36.2225,ok,1435104000,17200
120,35.8807,36.0407,35.8507,36.0207,ok,1435190400,60900
121,35.9557,36.0357,35.9057,36.0157,ok,1435276800,7900
122,35.3001,35.8101,35.3001,35.7901,ok,1435536000,14800
123,35.3188,35.5688,35.2088,35.2088,ok,1435622400,18200
124,35.6279,35.6679,35.5079,35.5679,ok,1435708800,12900
125,35.5061,35.7161,35.4661,35.5961,ok,1435795200,10400
126,35.5436,35.6036,35.2936,35.4436,ok,1436140800,9300
127,35.8152,35.8552,35.2152,35.6452,ok,1436227200,18100
128,35.3937,35.6537,35.3237,35.6537,ok,1436313600,17700
129,35.5717,35.8617,35.5117,35.7217,ok,1436400000,11100
130,35.862,35.962,35.732,35.732,ok,1436486400,7800
131,36.2741,36.2841,36.1541,36.1941,ok,1436745600,10200
132,36.3209,36.3709,36.2109,36.3109,ok,1436832000,27800
133,36.2554,36.3454,36.2454,36.3454,ok,1436918400,10100
134,36.4521,36.4721,36.3521,36.3821,ok,1437004800,9200
135,36.4052,36.4352,36.3052,36.4352,ok,1437091200,29200
136,36.4521,36.4921,36.3521,36.3821,ok,1437350400,14500
137,36.1711,36.4411,36.0811,36.4411,ok,1437436800,10800
138,36.1805,36.3005,36.0305,36.0305,ok,1437523200,22500
139,36.0306,36.2606,36.0206,36.2206,ok,1437609600,89900
140,35.7964,36.0564,35.7564,36.0564,ok,1437696000,8100
141,35.581,35.651,35.511,35.591,ok,1437955200,22600
142,36.0119,36.0619,35.7119,35.9119,ok,1438041600,14100
143,36.4146,36.4546,36.1146,36.1146,ok,1438128000,36400
144,36.3959,36.4259,36.1759,36.3459,ok,1438214400,11100
145,36.349,36.589,36.329,36.589,ok,1438300800,4800
146,36.2554,36.4054,36.0954,36.4054,ok,1438560000,4000
147,36.2273,36.3973,36.1973,36.2273,ok,1438646400,13600
148,36.4895,36.5695,36.3895,36.4295,ok,1438732800,64700
149,36.1805,36.5305,36.1105,36.5305,ok,1438819200,14300
150,36.0962,36.2462,35.9062,36.2162,ok,1438905600,25100
151,36.4427,36.5027,36.3727,36.4327,ok,1439164800,9900
152,36.1524,36.3024,36.0324,36.2124,ok,1439251200,12600
153,36.0587,36.1187,35.5387,35.8287,ok,1439337600,64300
154,36.1336,36.2536,36.0436,36.1436,ok,1439424000,37400
155,36.2179,36.2579,36.1179,36.1179,ok,1439510400,9100
156,36.2741,36.3341,35.9441,36.1541,ok,1439769600,26100
157,36.2366,36.3266,36.1966,36.3266,ok,1439856000,17000
158,36.0774,36.2674,35.8074,36.2574,ok,1439942400,15400
159,35.3094,35.8594,35.2694,35.8594,ok,1440028800,37800
160,34.3728,35.1628,34.3428,35.1628,ok,1440115200,44300
161,33.1084,33.9584,20.9984,32.4684,ok,1440374400,287600
162,32.6963,34.0963,32.6963,33.6663,ok,1440460800,83800
163,33.7266,33.7366,32.6966,33.4866,ok,1440547200,23500
164,34.4197,34.4697,33.6797,34.1797,ok,1440633600,34000
165,34.2885,34.4085,34.1585,34.2985,ok,1440720000,40600
166,34.0544,34.2144,33.9644,34.1244,ok,1440979200,6800
167,33.1459,33.5459,32.9859,33.3159,ok,1441065600,36200
168,33.6798,33.6798,33.2798,33.5598,ok,1441152000,261300
169,33.9326,34.1526,33.8126,33.9026,ok,1441238400,18700
170,33.4643,33.5043,33.1543,33.4643,ok,1441324800,12400
171,34.0825,34.1025,33.7325,33.8025,ok,1441670400,12400
172,33.6329,34.4829,33.6329,34.4829,ok,1441756800,17200
173,33.7828,33.9828,33.5628,33.7128,ok,1441843200,19200
174,33.9326,33.9726,33.6726,33.8426,ok,1441929600,14200
175,33.8764,33.9964,33.8164,33.9964,ok,1442188800,16800
176,34.3073,34.3773,33.8473,33.8473,ok,1442275200,49400
177,34.5227,34.5427,34.2527,34.4027,ok,1442361600,9800
178,34.5227,34.9827,34.4427,34.4427,ok,1442448000,17000
179,33.9139,34.3039,33.8539,34.1739,ok,1442534400,22100
180,34.1012,34.3412,33.9712,34.0112,ok,1442793600,11000
181,33.7172,33.7272,33.4872,33.6572,ok,1442880000,16500
182,33.6834,33.7634,33.5234,33.7234,ok,1442966400,6900
183,33.6364,33.6564,33.2364,33.2364,ok,1443052800,13600
184,33.6552,34.0452,33.5552,33.9952,ok,1443139200,11300
185,33.1571,33.5271,33.0471,33.5271,ok,1443398400,52600
