,c,h,l,o,s,t,v
0,3.73,3.86,3.71,3.83,ok,1420156800,34000
1,3.63,3.74,3.62,3.73,ok,1420416000,79500
2,3.68,3.76,3.63,3.63,ok,1420502400,55900
3,3.67,3.7,3.66,3.7,ok,1420588800,27200
4,3.66,3.7,3.66,3.7,ok,1420675200,67300
5,3.66,3.72,3.64,3.66,ok,1420761600,10700
6,3.57,3.67,3.5,3.66,ok,1421020800,116300
7,3.5,3.63,3.5,3.55,ok,1421107200,48900
8,3.52,3.56,3.5,3.5,ok,1421193600,58500
9,3.46,3.64,3.4,3.53,ok,1421280000,84400
10,3.47,3.49,3.44,3.46,ok,1421366400,34200
11,3.52,3.54,3.46,3.46,ok,1421712000,32400
12,3.47,3.55,3.44,3.55,ok,1421798400,42100
13,3.35,3.54,3.3,3.46,ok,1421884800,94300
14,3.3,3.36,3.3,3.32,ok,1421971200,77500
15,3.41,3.43,3.27,3.3,ok,1422230400,53900
16,3.33,3.38,3.26,3.36,ok,1422316800,66100
17,3.3,3.33,3.2,3.31,ok,1422403200,179300
18,3.24,3.35,3.22,3.28,ok,1422489600,30000
19,3.23,3.28,3.21,3.26,ok,1422576000,23100
20,3.21,3.24,3.2,3.2,ok,1422835200,43000
21,3.28,3.37,3.2,3.2,ok,1422921600,85700
22,3.25,3.32,3.24,3.24,ok,1423008000,22600
23,3.28,3.32,3.24,3.24,ok,1423094400,38900
24,3.37,3.37,3.28,3.31,ok,1423180800,35100
25,3.32,3.37,3.31,3.34,ok,1423440000,42000
26,3.21,3.4,3.2,3.31,ok,1423526400,33500
27,3.18,3.22,3.15,3.22,ok,1423612800,38300
28,3.3,3.37,3.2,3.2,ok,1423699200,32700
29,3.31,3.34,3.23,3.29,ok,1423785600,26100
30,3.25,3.28,3.2,3.27,ok,1424131200,41300
31,3.2,3.22,3.13,3.22,ok,1424217600,35600
32,3.2,3.2,3.15,3.15,ok,1424304000,49900
33,3.2,3.31,3.17,3.2,ok,1424390400,111100
34,3.2,3.22,3.17,3.17,ok,1424649600,39500
35,3.19,3.21,3.17,3.17,ok,1424736000,27600
36,3.19,3.2,3.14,3.14,ok,1424822400,33800
37,3.22,3.26,3.16,3.21,ok,1424908800,48600
38,3.24,3.31,3.2,3.2,ok,1424995200,67700
39,3.19,3.3,3.19,3.25,ok,1425254400,44700
40,3.19,3.22,3.15,3.22,ok,1425340800,68800
41,3.2,3.2,3.14,3.2,ok,1425427200,24200
42,3.2,3.2,3.15,3.17,ok,1425513600,38400
43,3.16,3.2,3.15,3.2,ok,1425600000,28500
44,3.13,3.18,3.13,3.17,ok,1425859200,33100
45,3.1,3.15,3.1,3.14,ok,1425945600,35800
46,3.1,3.13,3.09,3.09,ok,1426032000,24700
47,3.14,3.16,3.12,3.15,ok,1426118400,17500
48,3.19,3.19,3.08,3.16,ok,1426204800,21200
49,3.18,3.2,3.08,3.11,ok,1426464000,60400
50,3.05,3.16,3.03,3.11,ok,1426550400,438800
51,3.13,3.17,3.0,3.02,ok,1426636800,68000
52,3.2,3.2,3.11,3.11,ok,1426723200,109000
53,3.16,3.2,3.15,3.15,ok,1426809600,60800
54,3.15,3.2,3.15,3.15,ok,1427068800,23100
55,3.1,3.17,3.09,3.17,ok,1427155200,26700
56,3.01,3.11,3.01,3.11,ok,1427241600,64400
57,3.03,3.05,3.01,3.04,ok,1427328000,14000
58,3.05,3.09,3.01,3.01,ok,1427414400,16800
59,3.12,3.12,3.04,3.08,ok,1427673600,44800
60,3.13,3.2,3.08,3.08,ok,1427760000,46600
61,3.1,3.16,3.03,3.09,ok,1427846400,114000
62,3.15,3.15,3.09,3.1,ok,1427932800,10900
63,3.04,3.1,3.02,3.1,ok,1428278400,55400
64,3.11,3.14,3.06,3.06,ok,1428364800,31100
65,3.09,3.15,3.06,3.08,ok,1428451200,27200
66,3.03,3.09,3.03,3.07,ok,1428537600,45400
67,3.06,3.07,3.03,3.07,ok,1428624000,22600
68,3.0,3.05,2.98,3.03,ok,1428883200,95800
69,3.0,3.05,2.99,3.05,ok,1428969600,59500
70,2.99,3.01,2.98,3.01,ok,1429056000,27000
71,2.99,3.0,2.98,2.98,ok,1429142400,68500
72,2.91,2.98,2.89,2.98,ok,1429228800,56300
73,2.87,2.91,2.87,2.89,ok,1429488000,41700
74,2.85,2.87,2.78,2.87,ok,1429574400,105100
75,2.86,2.92,2.81,2.84,ok,1429660800,86700
76,2.86,2.92,2.81,2.83,ok,1429747200,48400
77,2.85,2.86,2.83,2.83,ok,1429833600,24900
78,2.85,2.85,2.83,2.84,ok,1430092800,14100
79,2.83,2.91,2.8,2.8,ok,1430179200,53000
80,2.83,2.85,2.81,2.83,ok,1430265600,12600
81,2.67,2.83,2.67,2.83,ok,1430352000,95300
82,2.67,2.67,2.63,2.63,ok,1430438400,24300
83,2.84,2.86,2.66,2.69,ok,1430697600,70800
84,2.73,2.89,2.7,2.83,ok,1430784000,79900
85,2.63,2.76,2.61,2.7,ok,1430870400,98200
86,2.59,2.62,2.59,2.61,ok,1430956800,61300
87,2.52,2.62,2.49,2.55,ok,1431043200,129700
88,2.6,2.6,2.54,2.58,ok,1431302400,118200
89,2.65,2.69,2.63,2.69,ok,1431388800,93600
90,2.67,2.7,2.64,2.66,ok,1431475200,72400
91,2.58,2.7,2.56,2.67,ok,1431561600,70800
92,2.69,2.69,2.58,2.58,ok,1431648000,37300
93,2.67,2.7,2.64,2.67,ok,1431907200,21700
94,2.5,2.64,2.46,2.64,ok,1431993600,68000
95,2.45,2.55,2.41,2.47,ok,1432080000,60900
96,2.46,2.49,2.4,2.45,ok,1432166400,117600
97,2.45,2.47,2.41,2.44,ok,1432252800,17600
98,2.33,2.42,2.33,2.4,ok,1432598400,72200
99,2.34,2.39,2.33,2.35,ok,1432684800,55600
100,2.39,2.41,2.33,2.33,ok,1432771200,76400
101,2.4,2.41,2.39,2.41,ok,1432857600,47900
102,2.37,2.42,2.34,2.4,ok,1433116800,91300
103,2.38,2.41,2.36,2.37,ok,1433203200,79500
104,2.34,2.38,2.33,2.36,ok,1433289600,57300
105,2.34,2.38,2.3,2.31,ok,1433376000,49200
106,2.37,2.38,2.34,2.35,ok,1433462400,50800
107,2.34,2.38,2.33,2.35,ok,1433721600,16700
108,2.35,2.36,2.33,2.34,ok,1433808000,27900
109,2.34,2.35,2.32,2.34,ok,1433894400,63100
110,2.43,2.43,2.32,2.33,ok,1433980800,87300
111,2.47,2.49,2.38,2.39,ok,1434067200,49600
112,2.43,2.49,2.41,2.45,ok,1434326400,18700
113,2.47,2.49,2.41,2.41,ok,1434412800,31700
114,2.45,2.57,2.43,2.48,ok,1434499200,57500
115,2.45,2.52,2.43,2.45,ok,1434585600,13500
116,2.4,2.48,2.4,2.48,ok,1434672000,51200
117,2.42,2.45,2.38,2.44,ok,1434931200,32600
118,2.4,2.44,2.38,2.4,ok,1435017600,17100
119,2.35,2.44,2.35,2.39,ok,1435104000,14600
120,2.28,2.37,2.28,2.37,ok,1435190400,87400
121,2.34,2.34,2.27,2.31,ok,1435276800,36100
122,2.18,2.31,2.18,2.29,ok,1435536000,58000
123,2.19,2.27,2.19,2.21,ok,1435622400,21100
124,2.17,2.21,2.16,2.19,ok,1435708800,11400
125,2.07,2.18,2.03,2.18,ok,1435795200,161500
126,2.12,2.14,2.01,2.02,ok,1436140800,38900
127,2.1,2.15,2.06,2.09,ok,1436227200,16300
128,2.01,2.13,2.01,2.13,ok,1436313600,24600
129,2.08,2.09,2.01,2.07,ok,1436400000,17400
130,2.02,2.09,2.0,2.08,ok,1436486400,52400
131,2.1,2.11,2.0,2.0,ok,1436745600,24800
132,2.17,2.18,2.04,2.04,ok,1436832000,28700
133,2.09,2.18,2.06,2.17,ok,1436918400,17200
134,2.07,2.11,2.04,2.07,ok,1437004800,11500
135,2.04,2.07,2.01,2.07,ok,1437091200,11100
136,2.01,2.03,2.0,2.02,ok,1437350400,21100
137,2.01,2.03,1.99,2.01,ok,1437436800,25600
138,2.0,2.03,1.99,2.0,ok,1437523200,12900
139,2.02,2.04,1.99,1.99,ok,1437609600,15100
140,2.0,2.04,1.99,2.04,ok,1437696000,10100
141,1.99,2.01,1.97,2.0,ok,1437955200,31000
142,1.95,1.99,1.92,1.97,ok,1438041600,53800
143,1.93,1.96,1.92,1.94,ok,1438128000,19600
144,1.85,1.92,1.76,1.9,ok,1438214400,78000
145,1.82,1.9,1.8,1.9,ok,1438300800,27500
146,1.85,2.02,1.82,1.82,ok,1438560000,91800
147,2.0,2.04,1.91,1.97,ok,1438646400,67200
148,1.96,2.1,1.94,2.01,ok,1438732800,42000
149,1.85,1.94,1.81,1.86,ok,1438819200,52400
150,1.82,1.91,1.82,1.85,ok,1438905600,5100
151,1.82,1.99,1.82,1.86,ok,1439164800,26500
152,2.01,2.1,1.95,2.0,ok,1439251200,122700
153,2.26,2.29,2.05,2.07,ok,1439337600,97000
154,2.24,2.33,2.21,2.29,ok,1439424000,50600
155,2.33,2.34,2.23,2.24,ok,1439510400,29700
