,c,h,l,o,s,t,v
0,25.4674,25.5574,25.1474,25.4574,ok,1420156800,145400
1,25.1435,25.5335,25.0335,25.4935,ok,1420416000,205800
2,25.1351,25.6751,25.1351,25.3151,ok,1420502400,282800
3,25.3926,25.5326,25.0826,25.3126,ok,1420588800,215000
4,25.6252,25.6952,25.5052,25.5952,ok,1420675200,138800
5,25.4508,25.7408,25.2808,25.7408,ok,1420761600,66100
6,25.4259,25.4959,25.1759,25.4559,ok,1421020800,65700
7,25.4757,25.8857,25.3057,25.5657,ok,1421107200,109800
8,25.7166,25.7166,25.2666,25.3466,ok,1421193600,102500
9,25.8744,25.9344,25.6444,25.8144,ok,1421280000,163500
10,26.1153,26.1153,25.7553,25.7853,ok,1421366400,136500
11,26.1568,26.1668,25.8668,26.1668,ok,1421712000,638200
12,26.3894,26.4094,25.7994,26.1194,ok,1421798400,303500
13,26.3063,26.5363,26.1063,26.4963,ok,1421884800,89600
14,26.3811,26.5211,26.3111,26.3711,ok,1421971200,56100
15,26.3894,26.4494,26.0794,26.4494,ok,1422230400,157100
16,26.4309,26.6009,26.2409,26.6009,ok,1422316800,108800
17,26.1651,26.8051,26.0951,26.5451,ok,1422403200,110200
18,26.4974,26.5174,25.9474,26.1374,ok,1422489600,89300
19,25.9159,26.6959,25.8759,26.6959,ok,1422576000,89100
20,26.0488,26.1288,25.6088,26.0388,ok,1422835200,132800
21,26.1734,26.2534,25.8634,26.0234,ok,1422921600,155500
22,25.808,26.648,25.768,26.648,ok,1423008000,103500
23,26.0405,26.1205,25.7905,25.8705,ok,1423094400,63600
24,25.0105,26.2305,24.8505,26.2305,ok,1423180800,347500
25,24.7697,25.2097,24.6697,25.0597,ok,1423440000,176000
26,25.2597,25.2997,24.6797,24.7297,ok,1423526400,85400
27,24.7198,25.3398,24.6898,25.3398,ok,1423612800,71000
28,24.6201,24.8401,24.5701,24.8401,ok,1423699200,147800
29,24.2962,24.6862,24.0762,24.6862,ok,1423785600,316700
30,24.2381,24.5281,24.0381,24.2081,ok,1424131200,3405500
31,24.8029,24.8329,24.1129,24.1129,ok,1424217600,915400
32,24.5703,24.8503,24.4903,24.8203,ok,1424304000,175800
33,24.5952,24.6252,24.2152,24.5952,ok,1424390400,56500
34,24.7447,24.7547,24.5347,24.5447,ok,1424649600,81000
35,24.9026,25.0726,24.6726,24.7126,ok,1424736000,99900
36,24.5454,24.9754,24.5354,24.9754,ok,1424822400,147600
37,24.3793,24.7093,24.3593,24.6693,ok,1424908800,39600
38,24.3543,24.4443,24.2543,24.3943,ok,1424995200,84500
