,c,h,l,o,s,t,v
0,5.7003,5.7813,5.7003,5.7813,ok,1430870400,3300
1,5.7173,6.4,5.7173,6.4,ok,1431043200,6100
2,6.1867,6.1867,6.1867,6.1867,ok,1431648000,1000
3,6.1867,6.1867,6.1867,6.1867,ok,1431907200,1000
4,6.016,6.016,6.016,6.016,ok,1433203200,1200
5,6.1867,6.1867,6.1867,6.1867,ok,1433462400,2200
6,6.2293,6.2293,6.2293,6.2293,ok,1434499200,300
7,6.1013,6.1867,6.1013,6.1867,ok,1434585600,2700
8,6.1909,6.1909,6.1909,6.1909,ok,1434931200,100
9,6.2507,6.2507,6.1867,6.1867,ok,1435104000,3900
10,6.5067,6.5067,6.4,6.4,ok,1435190400,300
11,6.4,6.4,6.4,6.4,ok,1435536000,2400
12,6.4213,6.4213,6.4213,6.4213,ok,1436227200,300
13,6.4213,6.4213,6.4213,6.4213,ok,1436745600,1000
14,6.4213,6.5067,6.4213,6.4853,ok,1436918400,3700
15,6.4213,6.5067,6.4213,6.5067,ok,1437004800,400
16,6.5067,6.5067,6.4213,6.4213,ok,1437436800,1800
17,6.4427,6.4427,6.4427,6.4427,ok,1437609600,1500
18,6.4427,6.4427,6.4213,6.4213,ok,1437955200,6700
19,6.4853,6.4853,6.4853,6.4853,ok,1438041600,100
20,6.528,6.528,6.528,6.528,ok,1438128000,1000
21,6.5707,6.5707,6.5707,6.5707,ok,1438560000,1000
22,6.5707,6.5707,6.5707,6.5707,ok,1438646400,100
23,6.6133,6.6133,6.6133,6.6133,ok,1438819200,1000
24,6.6133,6.6133,6.6133,6.6133,ok,1438905600,1000
25,6.7413,6.7499,6.7413,6.7413,ok,1439251200,3700
26,6.8267,6.8267,6.8267,6.8267,ok,1439337600,100
27,7.4667,7.68,7.2533,7.2533,ok,1439424000,3700
28,7.7227,7.7227,7.68,7.68,ok,1439510400,6400
29,7.168,7.4667,7.168,7.4667,ok,1440547200,1000
30,7.1467,7.4667,7.1467,7.4667,ok,1441065600,400
31,7.2533,7.4667,7.2533,7.4453,ok,1441152000,10600
32,7.4453,7.4453,7.4453,7.4453,ok,1441238400,1000
33,7.4667,7.4667,7.4453,7.4453,ok,1441756800,1000
34,7.4624,7.4624,7.4624,7.4624,ok,1442275200,100
35,7.4667,7.4709,7.4667,7.4667,ok,1442880000,2700
36,7.2533,7.2533,7.2533,7.2533,ok,1443398400,100
37,7.1552,7.2107,7.1552,7.2107,ok,1443484800,3700
38,7.2533,7.2533,7.2107,7.2107,ok,1444262400,1000
39,7.1253,7.1893,7.1253,7.1893,ok,1444694400,1200
40,7.0827,7.0827,7.0827,7.0827,ok,1444867200,300
41,7.04,7.168,7.04,7.168,ok,1445385600,4600
42,7.1253,7.1253,7.1253,7.1253,ok,1445472000,100
43,7.1253,7.1253,7.1253,7.1253,ok,1445558400,100
44,7.168,7.168,7.168,7.168,ok,1445817600,300
45,7.168,7.168,7.168,7.168,ok,1445904000,1500
46,7.1253,7.168,7.1253,7.168,ok,1445990400,400
47,7.2533,7.2533,7.2533,7.2533,ok,1446508800,300
48,7.2533,7.2533,7.2533,7.2533,ok,1446768000,300
49,7.168,7.168,7.168,7.168,ok,1447113600,3300
50,7.168,7.168,7.168,7.168,ok,1447372800,4600
51,7.2533,7.2533,7.2533,7.2533,ok,1447718400,56500
52,7.232,7.232,7.232,7.232,ok,1447891200,4900
53,7.2533,7.2533,7.2533,7.2533,ok,1447977600,17400
54,7.2533,7.2533,7.2533,7.2533,ok,1448236800,3300
55,7.2533,7.2533,7.2533,7.2533,ok,1448323200,6900
56,7.296,7.296,7.296,7.296,ok,1448409600,300
57,7.296,7.296,7.2533,7.2533,ok,1448841600,2200
58,7.296,7.296,7.296,7.296,ok,1448928000,100
59,7.3813,7.3813,7.296,7.296,ok,1449014400,9700
60,7.2747,7.3813,7.2747,7.3813,ok,1449532800,15000
61,7.3387,7.3387,7.3387,7.3387,ok,1449619200,11500
62,7.36,7.36,7.36,7.36,ok,1450137600,900
63,7.3387,7.4027,7.3387,7.4027,ok,1450224000,2400
64,7.4027,7.4027,7.4027,7.4027,ok,1450310400,1900
65,7.3813,7.3813,7.3813,7.3813,ok,1450656000,1200
66,7.424,7.424,7.424,7.424,ok,1450828800,300
67,7.3813,7.3818,7.3813,7.3818,ok,1450915200,5500
68,7.36,7.3813,7.36,7.3813,ok,1451433600,1500
69,7.36,7.36,7.36,7.36,ok,1452038400,1200
70,7.4027,7.4027,7.3387,7.36,ok,1452211200,1500
71,7.3429,7.36,7.3429,7.36,ok,1452556800,3700
72,7.3173,7.3173,7.3003,7.3003,ok,1452643200,22600
73,7.2576,7.3003,7.2576,7.3003,ok,1452816000,1500
74,7.1509,7.2363,7.1509,7.2363,ok,1453248000,1800
75,7.1509,7.1509,7.1509,7.1509,ok,1453334400,1000
76,7.2149,7.2363,7.2149,7.2363,ok,1453420800,900
77,7.2363,7.2363,7.2363,7.2363,ok,1453680000,300
78,7.2363,7.2363,7.2363,7.2363,ok,1453852800,100
79,7.3387,7.3387,7.3387,7.3387,ok,1453939200,2200
80,7.2533,7.2576,7.2533,7.2576,ok,1454630400,4900
81,7.2533,7.2533,7.2533,7.2533,ok,1454889600,1000
82,7.2533,7.2533,7.2533,7.2533,ok,1455062400,3700
83,7.2533,7.2533,7.2533,7.2533,ok,1455148800,3000
84,7.2533,7.2533,7.2533,7.2533,ok,1455235200,1000
85,7.2533,7.2533,7.2533,7.2533,ok,1455667200,1000
86,7.2533,7.2533,7.2533,7.2533,ok,1455840000,1000
87,7.2533,7.2533,7.2533,7.2533,ok,1456099200,400
