,c,h,l,o,s,t,v
0,19.6561,19.6661,19.4861,19.5161,ok,1420156800,15500
1,19.1356,19.4756,19.0856,19.4756,ok,1420416000,39700
2,18.9138,19.1238,18.7338,19.0538,ok,1420502400,2200
3,19.0295,19.0595,18.9595,18.9595,ok,1420588800,2900
4,19.4151,19.4151,19.2651,19.2751,ok,1420675200,3600
5,19.2223,19.4423,19.1723,19.4423,ok,1420761600,25600
6,18.9813,19.0213,18.9013,18.9013,ok,1421020800,1500
7,18.962,19.342,18.852,19.2421,ok,1421107200,4100
8,18.7114,18.8114,18.6314,18.8014,ok,1421193600,6400
9,18.6921,18.9821,18.6521,18.9021,ok,1421280000,2000
10,18.9428,18.9428,18.5628,18.5928,ok,1421366400,2500
11,18.856,18.916,18.756,18.916,ok,1421712000,6100
12,19.097,19.097,18.897,18.897,ok,1421798400,3200
13,19.4344,19.4444,19.0644,19.1344,ok,1421884800,5900
14,19.3862,19.4262,19.3262,19.3962,ok,1421971200,5500
15,19.4151,19.4151,19.3051,19.3751,ok,1422230400,700
16,19.4537,19.4537,19.2137,19.2137,ok,1422316800,3000
17,19.0777,19.3477,19.0777,19.3477,ok,1422403200,15100
18,19.2127,19.2227,18.9227,18.9427,ok,1422489600,5600
19,18.9524,19.2124,18.9524,19.2124,ok,1422576000,10600
20,18.9813,19.0513,18.8113,19.0513,ok,1422835200,5600
21,19.6079,19.6179,19.4079,19.4679,ok,1422921600,5200
22,19.579,19.619,19.509,19.579,ok,1423008000,19100
23,19.714,19.714,19.564,19.564,ok,1423094400,3700
24,19.7815,19.9115,19.7615,19.7815,ok,1423180800,5100
25,19.7622,19.8122,19.7422,19.7522,ok,1423440000,4700
26,19.9743,20.0043,19.7443,19.9343,ok,1423526400,7000
27,19.9068,19.9868,19.8368,19.9368,ok,1423612800,30100
28,20.1285,20.1285,19.9485,19.9485,ok,1423699200,5400
29,20.2442,20.2442,20.1342,20.1342,ok,1423785600,1700
30,20.3117,20.3317,20.2117,20.2117,ok,1424131200,5900
31,20.302,20.302,20.222,20.232,ok,1424217600,1400
32,20.4273,20.4373,20.2473,20.2473,ok,1424304000,7600
33,20.5527,20.5527,20.1827,20.1827,ok,1424390400,5500
34,20.5237,20.5237,20.4137,20.4937,ok,1424649600,6600
35,20.5816,20.5816,20.4916,20.5316,ok,1424736000,3400
36,20.6298,20.7198,20.5598,20.5598,ok,1424822400,4900
37,20.6394,20.6794,20.5894,20.5994,ok,1424908800,3600
38,20.5527,20.6527,20.5527,20.6527,ok,1424995200,11900
39,20.7551,20.7751,20.5751,20.5751,ok,1425254400,15700
40,20.6105,20.7205,20.5605,20.7205,ok,1425340800,800
41,20.6009,20.6009,20.4309,20.4909,ok,1425427200,5000
42,20.543,20.563,20.503,20.513,ok,1425513600,4600
43,20.2442,20.5242,20.2442,20.5242,ok,1425600000,3000
44,20.3599,20.3899,20.3199,20.3899,ok,1425859200,3600
45,20.0225,20.1825,19.9825,20.1825,ok,1425945600,13700
46,20.0803,20.0803,19.9703,19.9803,ok,1426032000,2300
47,20.3406,20.3406,20.2106,20.2206,ok,1426118400,8700
48,20.1381,20.3981,20.1381,20.3981,ok,1426204800,1100
49,20.4177,20.4277,20.4177,20.4277,ok,1426464000,1200
50,20.5141,20.5241,20.3841,20.3841,ok,1426550400,2700
51,20.4948,20.5248,20.4948,20.5248,ok,1426636800,800
52,20.784,20.794,20.714,20.784,ok,1426723200,4000
53,20.9672,20.9672,20.9072,20.9072,ok,1426809600,1800
54,20.9575,21.0475,20.9575,21.0175,ok,1427068800,34600
55,20.8419,20.8619,20.8319,20.8519,ok,1427155200,1100
56,20.4917,20.8517,20.4917,20.8417,ok,1427241600,3900
57,20.4917,20.5017,20.3917,20.3917,ok,1427328000,10500
58,20.4531,20.4531,20.4531,20.4531,ok,1427414400,100
59,20.7714,20.8014,20.6714,20.7114,ok,1427673600,3400
60,20.7039,20.7739,20.6339,20.6339,ok,1427760000,5300
61,20.5881,20.6481,20.4781,20.6481,ok,1427846400,1400
62,20.646,20.746,20.646,20.716,ok,1427932800,12600
63,20.8293,20.8293,20.5593,20.5593,ok,1428278400,24600
64,20.7618,20.8618,20.7618,20.7818,ok,1428364800,1600
65,20.7136,20.7836,20.6436,20.7436,ok,1428451200,2300
66,20.8004,20.8504,20.6904,20.8504,ok,1428537600,4300
67,20.8776,20.9176,20.8076,20.8076,ok,1428624000,21700
68,20.8872,20.9272,20.8872,20.9072,ok,1428883200,2000
69,20.7618,20.7918,20.6518,20.7218,ok,1428969600,5800
70,21.0223,21.0523,20.8223,20.8223,ok,1429056000,71600
71,20.9354,20.9754,20.9154,20.9654,ok,1429142400,6900
72,20.6653,20.7053,20.6353,20.7053,ok,1429228800,2900
73,20.839,20.859,20.759,20.759,ok,1429488000,2800
74,20.81,20.82,20.76,20.82,ok,1429574400,4400
75,20.839,20.889,20.769,20.779,ok,1429660800,27000
76,20.9258,20.9258,20.9258,20.9258,ok,1429747200,300
77,20.7907,20.8407,20.7907,20.8407,ok,1429833600,800
78,20.7039,20.8939,20.7039,20.8539,ok,1430092800,2600
79,20.6943,20.7143,20.6843,20.6943,ok,1430179200,2900
80,20.5785,20.6685,20.5685,20.6385,ok,1430265600,800
