,c,h,l,o,s,t,v
0,18.2897,18.5597,18.1397,18.4297,ok,1420156800,259300
1,18.2606,18.3806,17.9006,18.1606,ok,1420416000,836100
2,18.4735,18.5235,18.2035,18.2335,ok,1420502400,827200
3,18.58,18.61,18.3,18.58,ok,1420588800,956500
4,19.0251,19.0651,18.7051,18.7951,ok,1420675200,513000
5,19.0638,19.1838,18.9138,19.1238,ok,1420761600,522100
6,19.3058,19.3058,18.8858,19.0058,ok,1421020800,791300
7,19.3832,19.5232,19.1832,19.3632,ok,1421107200,988100
8,19.3928,19.4628,19.1528,19.1528,ok,1421193600,561500
9,19.538,19.558,19.318,19.558,ok,1421280000,794500
10,19.6928,19.7028,19.3428,19.5328,ok,1421366400,630900
11,19.9057,19.9457,19.5957,19.6657,ok,1421712000,635900
12,19.838,19.898,19.668,19.888,ok,1421798400,565400
13,19.9541,20.0041,19.7441,19.8841,ok,1421884800,436100
14,19.838,19.988,19.788,19.938,ok,1421971200,309800
15,19.6638,19.8638,19.4338,19.8638,ok,1422230400,903200
16,19.567,19.667,19.337,19.487,ok,1422316800,977200
17,19.5477,19.7577,19.4677,19.7277,ok,1422403200,327800
18,19.7219,19.7419,19.3819,19.5719,ok,1422489600,528200
19,19.4219,19.7019,19.3419,19.6419,ok,1422576000,908000
20,19.5767,19.6067,19.2967,19.3967,ok,1422835200,573600
21,19.838,19.848,19.558,19.688,ok,1422921600,388800
22,19.838,19.988,19.738,19.818,ok,1423008000,645200
23,20.8154,20.8254,20.1554,20.2354,ok,1423094400,1065600
24,20.8734,21.1534,20.7934,20.8534,ok,1423180800,410400
25,20.3509,20.7509,20.2709,20.3209,ok,1423440000,744800
26,20.5638,20.5938,20.3438,20.3938,ok,1423526400,390700
27,20.7283,20.8083,20.5483,20.5583,ok,1423612800,550600
28,20.8734,21.0234,20.5634,20.7334,ok,1423699200,630300
29,20.7863,20.9363,20.6963,20.8663,ok,1423785600,410400
30,20.9799,20.9799,20.7099,20.7499,ok,1424131200,416900
31,21.2992,21.3192,20.8792,20.9692,ok,1424217600,716300
32,21.067,21.327,20.977,21.207,ok,1424304000,1166300
33,21.1831,21.1931,20.8931,20.9431,ok,1424390400,579500
34,21.2799,21.2899,21.0399,21.1099,ok,1424649600,421600
35,21.3379,21.4379,21.2079,21.2779,ok,1424736000,445300
36,21.4444,21.5344,21.2644,21.4344,ok,1424822400,371700
37,21.4734,21.6134,21.3734,21.4834,ok,1424908800,421400
38,21.5024,21.7624,21.4324,21.7624,ok,1424995200,467300
39,21.9379,22.0379,21.5379,21.5679,ok,1425254400,855500
40,21.8605,21.9105,21.6505,21.8405,ok,1425340800,595000
41,21.5605,21.9005,21.5205,21.8605,ok,1425427200,662300
42,21.6282,21.7282,21.4082,21.5582,ok,1425513600,437800
43,21.4154,21.6154,21.3354,21.4854,ok,1425600000,529700
44,22.0347,22.0847,21.3147,21.4347,ok,1425859200,826100
45,21.667,21.867,21.567,21.867,ok,1425945600,566300
46,21.5412,21.8312,21.4512,21.6712,ok,1426032000,408700
47,21.6863,21.7663,21.5763,21.5763,ok,1426118400,378400
48,21.9089,21.9289,21.5789,21.6389,ok,1426204800,619000
49,22.9443,22.9743,21.8243,21.9343,ok,1426464000,1291500
50,22.8379,22.9979,22.6279,22.9579,ok,1426550400,1481600
51,22.9443,23.0043,22.7143,22.7943,ok,1426636800,1224000
52,22.9056,23.0356,22.8956,22.9756,ok,1426723200,678000
53,22.925,23.055,22.885,22.995,ok,1426809600,1970300
54,22.9927,23.0127,22.8727,22.8727,ok,1427068800,506400
55,22.7605,23.0405,22.7405,23.0305,ok,1427155200,591900
56,22.2379,22.7879,22.2279,22.7779,ok,1427241600,394200
57,22.0831,22.2631,21.9531,22.1631,ok,1427328000,662600
58,22.2863,22.3363,21.9563,22.1163,ok,1427414400,325000
59,22.6637,22.7337,22.3537,22.3537,ok,1427673600,325000
60,22.4992,22.6992,22.4192,22.5992,ok,1427760000,413900
61,22.2379,22.5279,22.1479,22.4179,ok,1427846400,485000
62,22.4121,22.4821,22.2721,22.2821,ok,1427932800,499600
63,22.1992,22.5192,22.1192,22.2492,ok,1428278400,905900
64,21.9863,22.3263,21.9763,22.1763,ok,1428364800,572100
65,22.1411,22.3211,21.9811,21.9811,ok,1428451200,609200
66,21.8411,22.2911,21.8111,22.1511,ok,1428537600,728100
67,22.0153,22.0353,21.7853,21.8653,ok,1428624000,1546100
68,21.9573,22.2473,21.9173,21.9673,ok,1428883200,509800
69,21.8121,22.1521,21.7321,21.9221,ok,1428969600,450500
70,21.754,22.014,21.724,21.854,ok,1429056000,330200
71,21.8024,21.8724,21.5724,21.6524,ok,1429142400,503100
72,21.4444,21.7144,21.4344,21.7144,ok,1429228800,583900
73,21.5315,21.7715,21.4915,21.4915,ok,1429488000,1537600
74,21.6089,21.7289,21.5389,21.5989,ok,1429574400,597400
75,21.8411,21.8511,21.5211,21.6711,ok,1429660800,1164800
76,21.754,21.914,21.714,21.754,ok,1429747200,945700
77,21.5702,21.7802,21.4602,21.7802,ok,1429833600,422800
78,21.2992,21.6292,21.2292,21.5792,ok,1430092800,791400
79,21.4831,21.5831,21.2331,21.2331,ok,1430179200,619200
80,21.4444,21.6244,21.2744,21.4844,ok,1430265600,738900
81,21.1541,21.5241,21.1341,21.3741,ok,1430352000,544700
82,21.4541,21.7541,21.0141,21.0641,ok,1430438400,578700
83,21.8992,21.9292,21.4692,21.5392,ok,1430697600,780100
84,21.4831,22.0731,21.4631,22.0431,ok,1430784000,585900
85,21.2315,21.6315,21.1915,21.6115,ok,1430870400,265000
86,21.8411,21.9111,21.1311,21.2111,ok,1430956800,712800
87,21.9379,22.2479,21.8679,22.0379,ok,1431043200,1292000
88,22.0057,22.1857,21.8557,21.8957,ok,1431302400,452200
89,22.025,22.135,21.795,21.935,ok,1431388800,353600
90,22.2282,22.3282,22.0182,22.0482,ok,1431475200,500700
91,22.4024,22.4324,22.1624,22.3624,ok,1431561600,374400
92,22.4605,22.5005,22.2805,22.4505,ok,1431648000,301400
93,22.5572,22.5972,22.1972,22.3772,ok,1431907200,345700
94,22.5379,22.6179,22.4579,22.5279,ok,1431993600,402300
95,22.4895,22.6095,22.4395,22.5295,ok,1432080000,348100
96,22.2573,22.5673,22.2173,22.5673,ok,1432166400,432200
97,22.1218,22.2718,22.1018,22.1818,ok,1432252800,299700
98,21.8315,22.0915,21.7315,22.0115,ok,1432598400,716300
99,21.9379,22.0179,21.8079,21.8579,ok,1432684800,654000
100,21.8411,22.0711,21.8011,21.8811,ok,1432771200,427800
101,21.7637,21.8737,21.6437,21.8137,ok,1432857600,537700
102,22.054,22.134,21.694,21.864,ok,1433116800,493200
103,22.0831,22.1131,21.7031,21.9531,ok,1433203200,427800
104,22.1605,22.2605,21.9505,22.0605,ok,1433289600,301000
105,22.0734,22.2134,21.9934,22.1034,ok,1433376000,342500
106,21.7637,22.0837,21.7337,22.0837,ok,1433462400,463700
107,21.3766,21.8366,21.3566,21.8066,ok,1433721600,665500
108,21.1734,21.4034,21.1634,21.3734,ok,1433808000,677200
109,21.4444,21.6044,21.2144,21.2144,ok,1433894400,699900
110,21.3283,21.6583,21.2983,21.5383,ok,1433980800,560900
111,21.2799,21.3799,21.1599,21.2199,ok,1434067200,288600
112,20.9702,21.2002,20.8102,21.2002,ok,1434326400,428400
113,21.1347,21.2047,20.9247,20.9247,ok,1434412800,321100
114,20.9218,21.2018,20.9018,21.1518,ok,1434499200,661000
115,20.9025,21.0625,20.8825,20.9125,ok,1434585600,700300
116,21.096,21.126,20.826,20.936,ok,1434672000,724500
117,21.2508,21.4308,21.0908,21.2208,ok,1434931200,335900
118,21.125,21.325,21.045,21.245,ok,1435017600,552400
119,20.9509,21.2009,20.9309,21.1509,ok,1435104000,319800
120,20.8444,21.0744,20.7744,20.9844,ok,1435190400,542300
121,21.0767,21.1967,20.7667,20.8367,ok,1435276800,2676500
122,20.738,21.018,20.718,20.908,ok,1435536000,590700
123,20.6412,20.9012,20.5012,20.9012,ok,1435622400,793900
124,20.9218,20.9318,20.6518,20.7118,ok,1435708800,772500
125,20.767,20.987,20.707,20.937,ok,1435795200,616700
126,20.9315,20.9415,20.6115,20.6115,ok,1436140800,782100
127,21.0476,21.0476,20.7176,20.9776,ok,1436227200,730500
128,20.7767,20.9767,20.6467,20.8667,ok,1436313600,800500
129,20.5347,21.0747,20.5147,20.9847,ok,1436400000,800900
130,20.8928,20.9328,20.6028,20.6828,ok,1436486400,397000
131,21.0089,21.1189,20.9389,21.0289,ok,1436745600,379600
132,21.0863,21.2463,20.8363,21.0363,ok,1436832000,620800
133,21.2992,21.4292,20.9392,21.0392,ok,1436918400,714500
134,21.2799,21.4899,21.2199,21.4399,ok,1437004800,425200
135,21.2992,21.3692,21.1392,21.2892,ok,1437091200,671400
136,21.2992,21.3592,21.2692,21.3192,ok,1437350400,329500
137,21.2315,21.4315,21.1715,21.3015,ok,1437436800,504500
138,21.3186,21.3886,21.1086,21.2286,ok,1437523200,445200
139,21.2025,21.3925,21.1325,21.3725,ok,1437609600,365200
140,21.0379,21.2179,21.0079,21.2179,ok,1437696000,330900
141,20.8154,20.9454,20.6654,20.9454,ok,1437955200,463100
142,20.6605,21.3005,20.5805,21.3005,ok,1438041600,850700
143,21.067,21.187,20.617,20.667,ok,1438128000,830700
144,21.3186,21.4986,20.6186,20.6186,ok,1438214400,667100
145,21.4928,21.6628,21.2128,21.3228,ok,1438300800,695700
146,21.5508,21.5708,21.3508,21.4808,ok,1438560000,604000
147,21.5315,21.6415,21.4515,21.5215,ok,1438646400,439600
148,22.8766,23.2766,21.8566,21.8866,ok,1438732800,1377300
149,21.9476,22.9676,21.9276,22.9676,ok,1438819200,852700
150,22.1024,22.1524,21.7324,21.9224,ok,1438905600,728300
151,22.0153,22.3953,22.0053,22.1653,ok,1439164800,473800
152,22.1315,22.2315,21.8315,21.8515,ok,1439251200,718900
153,22.025,22.225,21.745,22.135,ok,1439337600,381300
154,22.0057,22.1257,21.9257,22.1057,ok,1439424000,270500
155,21.8895,22.0795,21.7395,21.9695,ok,1439510400,534000
156,22.0637,22.0637,21.5837,21.8637,ok,1439769600,439700
157,21.9669,22.2169,21.9469,22.0869,ok,1439856000,466200
158,22.0153,22.1653,21.6553,21.8953,ok,1439942400,704500
159,21.667,21.897,21.637,21.857,ok,1440028800,515700
160,21.3379,21.6479,21.3179,21.5579,ok,1440115200,883300
161,20.767,21.257,20.257,20.437,ok,1440374400,1263600
162,21.1734,21.6834,21.1534,21.5134,ok,1440460800,1478900
163,22.0444,22.1044,21.3144,21.5044,ok,1440547200,1369100
164,22.3153,22.4953,21.9753,22.0753,ok,1440633600,1185700
165,22.6734,22.6834,22.0834,22.1634,ok,1440720000,625500
166,22.2573,22.6673,22.1473,22.5673,ok,1440979200,569700
167,21.725,22.065,21.635,21.925,ok,1441065600,573100
168,21.9669,22.0369,21.6569,21.9169,ok,1441152000,649000
169,21.8799,22.2498,21.8298,22.0098,ok,1441238400,674400
170,21.6089,21.8589,21.4789,21.6489,ok,1441324800,465500
171,22.1605,22.2005,21.8105,21.9105,ok,1441670400,539000
172,22.0831,22.4731,22.0631,22.3231,ok,1441756800,459400
173,22.1895,22.3095,22.0295,22.0295,ok,1441843200,443800
174,22.2476,22.3076,21.9076,22.0676,ok,1441929600,304700
175,22.1024,22.3424,22.0824,22.2724,ok,1442188800,367500
176,22.2573,22.3473,22.1373,22.2273,ok,1442275200,632800
177,22.5185,22.5985,22.2285,22.2285,ok,1442361600,719700
178,22.7024,22.9924,22.5424,22.5524,ok,1442448000,605800
179,22.3734,22.7834,22.2734,22.4234,ok,1442534400,1131000
180,22.7121,22.8721,22.4821,22.4921,ok,1442793600,514500
181,22.5089,22.6689,22.1989,22.4189,ok,1442880000,966900
182,22.4508,22.5708,22.3908,22.5108,ok,1442966400,466600
183,22.2669,22.3569,22.0569,22.3569,ok,1443052800,565600
184,22.2863,22.6363,22.1963,22.4463,ok,1443139200,390300
185,21.8508,22.2608,21.8108,22.2008,ok,1443398400,488200
186,21.7734,21.9634,21.6234,21.8434,ok,1443484800,638900
187,22.8476,22.9376,21.9876,22.0576,ok,1443571200,1009100
188,22.9443,23.0343,22.5143,22.7843,ok,1443657600,663000
189,22.7508,22.7808,22.3208,22.7508,ok,1443744000,889400
190,22.8959,23.0159,22.7559,22.7959,ok,1444003200,1086200
191,22.6637,23.0237,22.5337,22.9237,ok,1444089600,879500
192,23.2733,23.3033,22.7233,22.7333,ok,1444176000,648900
193,23.3411,23.5411,23.0511,23.2211,ok,1444262400,767200
194,23.6411,23.7611,23.3111,23.3611,ok,1444348800,346000
195,23.525,23.685,23.465,23.685,ok,1444608000,448700
196,23.5346,23.6346,23.3946,23.4346,ok,1444694400,501700
197,23.1669,23.5669,23.1369,23.5469,ok,1444780800,358800
198,23.1669,23.4269,23.0969,23.1969,ok,1444867200,662800
199,23.4669,23.5269,23.0569,23.1669,ok,1444953600,590000
200,23.225,23.685,23.155,23.405,ok,1445212800,928400
201,23.2346,23.2946,22.9546,23.1646,ok,1445299200,597300
202,22.8282,23.4482,22.7382,23.3282,ok,1445385600,633500
203,23.0121,23.1621,22.8521,22.9121,ok,1445472000,529700
204,23.4959,23.5359,23.0859,23.1259,ok,1445558400,440400
205,23.5637,23.7037,23.3737,23.5337,ok,1445817600,360000
206,23.3217,23.6217,23.2117,23.5117,ok,1445904000,417500
207,24.0475,24.0575,23.2475,23.3375,ok,1445990400,626700
208,24.0959,24.1359,23.8559,23.8859,ok,1446076800,654100
209,23.9798,24.2998,23.9798,24.1298,ok,1446163200,936000
210,23.9894,24.1794,23.8794,24.0094,ok,1446422400,699100
211,23.9024,24.0224,23.7924,23.9524,ok,1446508800,360700
212,24.0378,24.0378,23.7578,23.9278,ok,1446595200,358200
213,24.1249,25.0649,23.8849,24.6049,ok,1446681600,942800
214,24.154,24.284,23.894,24.114,ok,1446768000,574200
215,24.1636,24.1936,23.8736,24.1136,ok,1447027200,690800
216,24.4636,24.4936,24.0436,24.0436,ok,1447113600,734600
217,25.0152,25.1352,24.3952,24.5052,ok,1447200000,981800
218,24.812,24.992,24.732,24.922,ok,1447286400,593200
219,24.1443,24.7643,24.1143,24.7543,ok,1447372800,591300
220,24.4443,24.4443,24.0543,24.0643,ok,1447632000,589900
221,24.3959,24.6559,24.3459,24.5659,ok,1447718400,632400
222,24.4056,24.4556,24.1856,24.4456,ok,1447804800,532100
223,24.2604,24.4804,24.1904,24.4204,ok,1447891200,637400
