,c,h,l,o,s,t,v
0,6.33,6.48,6.13,6.31,ok,1420156800,174900
1,6.04,6.33,5.92,6.33,ok,1420416000,184900
2,6.07,6.26,5.91,6.26,ok,1420502400,199900
3,6.13,6.21,6.0,6.09,ok,1420588800,99600
4,6.36,6.45,6.18,6.21,ok,1420675200,150300
5,6.34,6.48,6.18,6.31,ok,1420761600,194000
6,6.13,6.28,5.86,6.28,ok,1421020800,135300
7,5.86,6.23,5.75,6.14,ok,1421107200,116400
8,5.87,5.92,5.58,5.84,ok,1421193600,174500
9,5.71,5.94,5.6,5.92,ok,1421280000,117300
10,5.8,5.9,5.68,5.7,ok,1421366400,99200
11,5.81,5.84,5.69,5.8,ok,1421712000,68500
12,5.89,5.92,5.65,5.82,ok,1421798400,97800
13,5.75,5.93,5.71,5.93,ok,1421884800,60500
14,5.73,5.86,5.59,5.86,ok,1421971200,127900
15,5.64,5.78,5.63,5.7,ok,1422230400,140300
16,5.65,5.68,5.57,5.57,ok,1422316800,165500
17,5.45,5.7,5.45,5.66,ok,1422403200,138800
18,5.34,5.46,5.25,5.46,ok,1422489600,169200
19,5.28,5.51,5.26,5.26,ok,1422576000,142200
20,5.32,5.46,5.3,5.33,ok,1422835200,231800
21,5.36,5.37,5.33,5.34,ok,1422921600,166100
22,5.34,5.37,5.31,5.35,ok,1423008000,122300
23,5.38,5.57,5.32,5.37,ok,1423094400,177800
24,5.41,5.48,5.36,5.36,ok,1423180800,200900
25,5.49,5.53,5.37,5.37,ok,1423440000,218300
26,5.39,5.5,5.32,5.5,ok,1423526400,109500
27,5.46,5.5,5.34,5.4,ok,1423612800,143000
28,5.76,5.82,5.49,5.49,ok,1423699200,195600
29,5.92,6.06,5.7,5.76,ok,1423785600,233700
30,6.1,6.25,5.96,6.03,ok,1424131200,183200
31,6.33,6.5,6.1,6.1,ok,1424217600,185400
32,6.14,6.55,6.09,6.25,ok,1424304000,214400
33,6.14,6.3,6.05,6.1,ok,1424390400,115900
34,5.85,6.09,5.77,6.09,ok,1424649600,157800
35,5.94,5.97,5.81,5.88,ok,1424736000,76600
36,6.05,6.07,5.92,5.94,ok,1424822400,87700
37,6.05,6.17,5.71,6.05,ok,1424908800,383600
38,6.15,6.24,6.08,6.08,ok,1424995200,122600
39,6.05,6.17,6.0,6.17,ok,1425254400,75200
40,6.15,6.15,6.01,6.05,ok,1425340800,97600
41,6.35,6.37,6.03,6.16,ok,1425427200,153700
42,6.19,6.38,6.19,6.37,ok,1425513600,42800
43,6.03,6.32,5.95,6.19,ok,1425600000,102400
44,6.12,6.15,5.95,6.07,ok,1425859200,77900
45,6.04,6.11,5.98,6.07,ok,1425945600,112300
46,6.01,6.09,5.98,6.04,ok,1426032000,95200
47,6.18,6.21,6.02,6.06,ok,1426118400,127700
48,6.03,6.14,5.91,6.13,ok,1426204800,55800
49,6.0,6.05,5.67,6.05,ok,1426464000,183300
50,6.34,6.34,5.91,6.01,ok,1426550400,144800
51,6.44,6.47,6.07,6.35,ok,1426636800,182100
52,6.41,6.43,6.18,6.38,ok,1426723200,104600
53,6.61,6.62,6.42,6.48,ok,1426809600,140500
54,6.84,6.87,6.62,6.62,ok,1427068800,86900
55,6.84,6.88,6.7,6.85,ok,1427155200,37100
56,6.8,6.87,6.61,6.87,ok,1427241600,113500
57,6.56,6.85,6.55,6.85,ok,1427328000,68300
58,6.68,6.68,6.5,6.55,ok,1427414400,69300
59,6.78,6.83,6.59,6.65,ok,1427673600,132000
60,6.55,6.7,6.46,6.7,ok,1427760000,66000
61,6.47,6.68,6.37,6.68,ok,1427846400,81700
62,6.53,6.55,6.3,6.43,ok,1427932800,75500
63,6.48,6.54,6.41,6.52,ok,1428278400,56800
64,6.45,6.55,6.33,6.48,ok,1428364800,55400
65,6.5,6.5,6.29,6.48,ok,1428451200,74500
66,6.53,6.63,6.44,6.5,ok,1428537600,104500
67,6.45,6.57,6.42,6.55,ok,1428624000,33700
68,6.39,6.66,6.32,6.48,ok,1428883200,106700
69,6.54,6.6,6.39,6.41,ok,1428969600,58300
70,6.77,6.79,6.59,6.6,ok,1429056000,58300
71,6.72,6.78,6.65,6.75,ok,1429142400,63700
72,6.68,6.69,6.41,6.68,ok,1429228800,65500
73,6.7,6.75,6.6,6.7,ok,1429488000,39400
74,6.78,6.8,6.46,6.68,ok,1429574400,78500
