,c,h,l,o,s,t,v
0,13.2149,13.2649,13.1849,13.2649,ok,1420502400,1200
1,13.188,13.193,13.188,13.193,ok,1420588800,1400
2,12.4951,12.4951,12.4701,12.4701,ok,1421712000,1200
3,12.5175,12.6225,12.2675,12.2675,ok,1421798400,2200
4,13.1433,13.1433,12.4433,12.4433,ok,1421884800,800
5,12.7991,13.1541,12.7991,13.1541,ok,1421971200,400
6,13.1478,13.1478,13.1478,13.1478,ok,1422230400,200
7,12.893,13.173,12.883,13.173,ok,1422316800,1400
8,12.7097,13.1847,12.5747,13.1847,ok,1422403200,1000
9,13.1657,13.1657,12.4557,12.4557,ok,1423008000,3200
10,13.188,13.188,13.188,13.188,ok,1423094400,400
11,13.188,13.188,13.163,13.163,ok,1423526400,800
12,13.0441,13.0441,13.0441,13.0441,ok,1424217600,600
13,12.8192,12.8192,12.8192,12.8192,ok,1424304000,1000
14,12.5853,12.7703,12.5853,12.7203,ok,1424390400,5000
15,12.5943,12.5943,12.5043,12.5043,ok,1424736000,2400
16,13.0441,13.0441,13.0441,13.0441,ok,1424822400,200
17,13.0441,13.0441,12.5691,12.5691,ok,1424908800,10400
18,13.0396,13.0446,13.0396,13.0446,ok,1424995200,3600
19,12.8192,12.8192,12.7142,12.7142,ok,1425254400,400
20,12.8192,12.8442,12.8192,12.8442,ok,1425340800,3000
21,12.8192,12.8192,12.8192,12.8192,ok,1425859200,1600
22,12.6393,12.6393,12.6243,12.6243,ok,1426032000,600
23,12.8192,12.8192,12.8192,12.8192,ok,1426464000,3200
24,12.5943,12.5943,12.5943,12.5943,ok,1426809600,800
25,12.6168,12.6168,12.6168,12.6168,ok,1427068800,400
26,12.6168,12.6168,12.6168,12.6168,ok,1427241600,600
27,13.0261,13.0261,13.0261,13.0261,ok,1427673600,400
28,12.8192,12.8192,12.8192,12.8192,ok,1427760000,400
29,12.6618,13.0868,12.6618,13.0668,ok,1428278400,4000
30,12.9182,12.9182,12.9182,12.9182,ok,1429228800,1200
31,12.9182,13.0582,12.9182,13.0582,ok,1429747200,800
32,12.6393,12.6393,12.6393,12.6393,ok,1430179200,400
33,12.8192,12.8192,12.8192,12.8192,ok,1430352000,200
34,12.5493,12.6793,12.5493,12.6793,ok,1430697600,9200
35,12.4594,12.6094,12.3594,12.6094,ok,1430784000,2800
36,12.5943,12.5943,12.5943,12.5943,ok,1430870400,4000
37,12.6758,12.6758,12.5908,12.5908,ok,1431561600,6400
38,12.7844,12.7844,12.7844,12.7844,ok,1431648000,400
39,12.3815,12.6165,12.3815,12.6165,ok,1432080000,10800
40,12.5626,12.5626,12.4226,12.4226,ok,1432252800,3600
41,12.5807,12.5807,12.5607,12.5607,ok,1432684800,1200
42,12.2457,12.2457,12.2457,12.2457,ok,1432771200,3600
43,12.789,12.789,12.514,12.514,ok,1432857600,4000
44,12.7346,12.7346,12.7346,12.7346,ok,1433116800,400
45,12.6758,12.6758,12.6758,12.6758,ok,1433203200,400
46,12.2729,12.7179,12.2729,12.6979,ok,1433289600,10800
47,12.2684,12.3284,12.2684,12.3284,ok,1433721600,1000
48,12.4947,12.4947,12.2597,12.2847,ok,1433808000,1000
49,12.3046,12.6746,12.3046,12.6746,ok,1433980800,1200
50,12.6758,12.6758,12.2308,12.2308,ok,1434326400,13600
51,12.7844,12.7894,12.5144,12.6644,ok,1434412800,12200
52,13.1285,13.1285,12.6785,12.7485,ok,1434499200,4200
53,13.4454,14.0954,13.0954,13.0954,ok,1434585600,3600
54,11.4082,11.4082,11.4082,11.4082,ok,1434672000,5200
55,12.9021,13.0921,12.1771,12.1771,ok,1434931200,4600
56,13.3186,13.3186,13.3186,13.3186,ok,1435104000,800
57,12.8976,12.8976,12.8976,12.8976,ok,1435190400,600
58,12.789,12.789,12.789,12.789,ok,1436486400,400
59,12.6984,12.6984,12.6984,12.6984,ok,1437091200,400
60,12.6984,12.6984,12.6734,12.6734,ok,1437350400,1400
