,c,h,l,o,s,t,v
0,11.6677,12.3877,11.4777,12.0477,ok,1420156800,142200
1,11.6978,11.9478,11.2278,11.5078,ok,1420416000,407900
2,11.0716,12.5916,10.7816,12.5916,ok,1420502400,278500
3,10.781,11.531,10.601,11.431,ok,1420588800,269700
4,11.0215,11.1915,10.6315,10.6315,ok,1420675200,253800
5,11.0014,11.6714,10.7914,10.9914,ok,1420761600,247900
6,11.2319,11.6519,10.5819,10.8419,ok,1421020800,267000
7,11.1868,11.9068,10.6668,11.4768,ok,1421107200,152400
8,10.4203,10.9203,10.1703,10.6303,ok,1421193600,3222200
9,10.4053,10.8653,10.2853,10.6153,ok,1421280000,976000
10,10.6959,10.7359,10.0959,10.0959,ok,1421366400,434200
11,10.6257,10.8057,10.4157,10.8057,ok,1421712000,443100
12,10.6458,10.7858,10.4658,10.6858,ok,1421798400,425200
13,10.746,10.886,10.5059,10.686,ok,1421884800,542000
14,10.9363,11.0663,10.4963,10.4963,ok,1421971200,635000
15,11.1818,11.2618,10.3518,10.6718,ok,1422230400,447000
16,11.1668,11.2068,10.7568,10.9168,ok,1422316800,211800
17,11.2018,11.7118,11.1518,11.2718,ok,1422403200,504700
18,11.5525,11.7625,10.7925,10.9125,ok,1422489600,485600
19,11.7178,11.7878,10.9078,11.2778,ok,1422576000,917300
20,11.4323,11.9123,11.1223,11.9123,ok,1422835200,425000
21,11.5024,11.8824,11.2524,11.3724,ok,1422921600,274600
22,11.7028,11.8428,11.1828,11.2128,ok,1423008000,202500
23,11.9232,11.9232,11.4432,11.4932,ok,1423094400,293500
24,11.6427,12.3627,11.4527,12.1427,ok,1423180800,307200
25,11.292,12.052,11.272,11.992,ok,1423440000,275900
26,11.1818,11.5918,10.9018,11.5318,ok,1423526400,295700
27,11.5175,11.9775,10.9175,11.0475,ok,1423612800,354600
28,11.0766,11.9666,10.9666,11.9666,ok,1423699200,370900
29,11.2119,11.2819,10.4419,11.0019,ok,1423785600,264100
30,11.2569,11.3869,11.0669,11.2669,ok,1424131200,202300
31,11.287,11.357,11.167,11.237,ok,1424217600,218500
32,11.3521,11.5021,11.1121,11.2021,ok,1424304000,150100
33,11.3872,11.4672,10.8772,11.3572,ok,1424390400,372800
34,11.297,11.607,11.057,11.497,ok,1424649600,245400
35,11.4924,11.5224,10.8624,11.1324,ok,1424736000,170100
36,11.8331,11.9231,10.8631,11.2831,ok,1424822400,403000
37,12.5595,13.2595,10.7395,11.4395,ok,1424908800,1029500
38,12.3741,13.2941,12.2341,12.7941,ok,1424995200,648500
39,12.4142,12.4242,12.0542,12.3042,ok,1425254400,307700
40,12.0485,12.7685,12.0285,12.7685,ok,1425340800,380800
41,12.2,12.72,11.98,12.05,ok,1425427200,558300
42,12.3516,12.6916,11.9816,12.3816,ok,1425513600,238800
43,12.2203,12.5403,12.0903,12.3302,ok,1425600000,358200
44,12.5323,12.6123,12.0423,12.0423,ok,1425859200,302600
