,c,h,l,o,s,t,v
0,3.6504,3.9004,3.6504,3.8504,ok,1420156800,45500
1,3.7117,3.8817,3.6417,3.6417,ok,1420416000,25700
2,3.6749,3.7949,3.6449,3.7949,ok,1420502400,12700
3,3.6872,3.7272,3.6472,3.7172,ok,1420588800,16400
4,3.7913,3.8413,3.6413,3.6613,ok,1420675200,32500
5,3.8219,3.8219,3.6719,3.8019,ok,1420761600,18400
6,3.7423,3.8023,3.7123,3.8023,ok,1421020800,8200
7,3.7362,3.8262,3.7262,3.7662,ok,1421107200,22700
8,3.7117,3.7517,3.6317,3.6317,ok,1421193600,21800
9,3.8771,3.9371,3.5971,3.5971,ok,1421280000,54100
10,3.8709,3.9809,3.7609,3.8509,ok,1421366400,19800
11,3.8893,3.9193,3.7693,3.8893,ok,1421712000,12300
12,3.8954,3.9654,3.8654,3.9054,ok,1421798400,21800
13,3.9077,3.9277,3.8877,3.8977,ok,1421884800,12300
14,3.9567,3.9767,3.8467,3.8467,ok,1421971200,27700
15,3.9444,3.9744,3.8744,3.9744,ok,1422230400,6400
16,3.9873,4.0973,3.8073,3.9073,ok,1422316800,12300
17,3.9812,4.0512,3.9412,3.9612,ok,1422403200,10800
18,3.9628,4.0128,3.8728,3.9028,ok,1422489600,3300
19,3.9506,3.9606,3.9206,3.9206,ok,1422576000,3100
20,3.7913,4.0813,3.7613,4.0713,ok,1422835200,56200
21,3.8403,3.9903,3.7203,3.8403,ok,1422921600,15000
22,3.8771,3.9871,3.7771,3.8471,ok,1423008000,24300
23,3.9506,3.9606,3.8206,3.8206,ok,1423094400,14800
24,3.8954,4.0354,3.8954,4.0154,ok,1423180800,7200
25,3.9444,4.0444,3.7844,3.8144,ok,1423440000,18400
26,4.0485,4.0485,3.8285,3.8785,ok,1423526400,17300
27,4.024,4.094,3.904,4.094,ok,1423612800,14600
28,3.9934,4.0934,3.9734,4.0934,ok,1423699200,14600
29,4.0057,4.0657,3.9657,3.9657,ok,1423785600,3700
30,4.0057,4.0357,3.9457,3.9657,ok,1424131200,12800
31,3.9138,4.0638,3.8538,4.0638,ok,1424217600,30700
32,4.073,4.133,3.823,3.873,ok,1424304000,36000
33,3.9444,4.0444,3.9244,4.0444,ok,1424390400,46400
34,3.9444,3.9644,3.8944,3.9344,ok,1424649600,21700
35,3.9383,3.9683,3.9283,3.9483,ok,1424736000,3700
36,4.0057,4.0157,3.9057,3.9157,ok,1424822400,15500
37,3.9995,4.0195,3.9995,4.0195,ok,1424908800,2300
38,3.9567,4.0967,3.9167,4.0567,ok,1424995200,34500
39,3.9383,4.0283,3.9083,3.9983,ok,1425254400,31900
40,3.9383,3.9683,3.8483,3.9483,ok,1425340800,14000
41,3.9016,3.9716,3.8616,3.9716,ok,1425427200,23800
42,3.9322,3.9322,3.8522,3.9222,ok,1425513600,31500
