,c,h,l,o,s,t,v
0,20.34,20.79,20.17,20.7,ok,1420156800,327800
1,20.01,20.34,19.91,20.25,ok,1420416000,280400
2,19.94,20.3,19.74,20.09,ok,1420502400,417800
3,19.9,20.13,19.85,20.03,ok,1420588800,291700
4,20.27,20.4,20.01,20.08,ok,1420675200,454900
5,19.93,20.33,19.89,20.31,ok,1420761600,170300
6,19.98,20.16,19.86,19.93,ok,1421020800,269100
7,19.96,20.2,19.65,20.07,ok,1421107200,560600
8,19.85,19.98,19.66,19.74,ok,1421193600,353900
9,18.91,19.66,18.88,19.34,ok,1421280000,639100
10,19.51,19.53,18.9,18.9,ok,1421366400,258900
11,20.15,20.31,19.38,19.63,ok,1421712000,1131300
12,19.87,20.48,19.75,20.15,ok,1421798400,417400
13,20.01,20.16,19.73,19.98,ok,1421884800,428800
14,19.97,20.16,19.84,20.05,ok,1421971200,248800
15,19.94,20.03,19.68,19.96,ok,1422230400,463800
16,19.81,19.91,19.6,19.7,ok,1422316800,310700
17,19.7,19.99,19.66,19.94,ok,1422403200,527800
18,19.85,19.98,19.54,19.79,ok,1422489600,556700
19,15.25,17.17,15.11,17.01,ok,1422576000,4579400
20,14.96,15.75,14.53,15.22,ok,1422835200,1987200
21,13.94,15.27,13.87,14.99,ok,1422921600,4125000
22,14.71,14.88,14.15,14.24,ok,1423008000,1935400
23,14.84,14.86,14.55,14.73,ok,1423094400,554700
24,15.42,15.63,14.81,14.86,ok,1423180800,1204800
25,15.2,15.52,15.12,15.44,ok,1423440000,571700
26,15.22,15.33,15.09,15.32,ok,1423526400,389900
27,15.12,15.31,15.04,15.15,ok,1423612800,694000
28,15.2,15.37,15.14,15.25,ok,1423699200,477500
29,15.54,15.55,15.03,15.11,ok,1423785600,714700
30,15.68,15.87,15.41,15.62,ok,1424131200,612000
31,15.66,15.83,15.55,15.62,ok,1424217600,734100
32,15.87,16.09,15.64,15.71,ok,1424304000,486700
33,15.87,15.96,15.54,15.88,ok,1424390400,375200
34,15.81,15.91,15.6,15.88,ok,1424649600,304700
35,15.8,15.96,15.72,15.83,ok,1424736000,297700
36,15.93,15.95,15.66,15.76,ok,1424822400,314600
37,15.95,15.98,15.75,15.88,ok,1424908800,301300
38,15.51,15.93,15.48,15.93,ok,1424995200,474000
39,15.84,15.9,15.47,15.53,ok,1425254400,501000
40,15.63,15.82,15.51,15.79,ok,1425340800,508900
41,15.85,15.98,15.46,15.54,ok,1425427200,600700
42,17.1,17.15,16.51,16.8,ok,1425513600,1492300
43,16.45,17.14,16.36,17.14,ok,1425600000,590500
44,16.34,16.55,16.02,16.44,ok,1425859200,804400
45,15.99,16.37,15.89,16.22,ok,1425945600,501000
46,16.06,16.13,15.74,15.99,ok,1426032000,326700
47,16.26,16.3,16.16,16.16,ok,1426118400,252200
48,16.35,16.48,16.14,16.21,ok,1426204800,916100
49,16.5,16.75,16.36,16.6,ok,1426464000,610100
50,16.4,16.85,16.36,16.64,ok,1426550400,341400
51,16.22,16.49,16.16,16.4,ok,1426636800,797500
52,16.3,16.41,16.11,16.2,ok,1426723200,410900
53,16.31,16.44,16.26,16.41,ok,1426809600,1440600
54,16.43,16.67,16.26,16.31,ok,1427068800,429100
55,16.5,16.55,16.32,16.43,ok,1427155200,423700
56,16.27,16.55,16.27,16.41,ok,1427241600,959100
57,16.21,16.29,16.07,16.27,ok,1427328000,289600
58,16.46,16.53,16.16,16.16,ok,1427414400,638700
59,16.02,16.48,16.0,16.48,ok,1427673600,329900
60,15.92,16.13,15.84,15.99,ok,1427760000,403800
61,16.28,16.3,15.88,15.94,ok,1427846400,247400
62,16.34,16.49,16.22,16.3,ok,1427932800,226500
63,16.29,16.39,16.13,16.3,ok,1428278400,180300
64,16.53,16.64,16.25,16.3,ok,1428364800,510800
65,16.78,16.87,16.46,16.61,ok,1428451200,350300
66,16.49,16.71,16.35,16.69,ok,1428537600,341200
67,17.05,17.44,16.63,16.68,ok,1428624000,737000
68,17.0,17.03,16.91,17.0,ok,1428883200,216000
69,17.03,17.11,16.85,16.99,ok,1428969600,260600
70,17.11,17.25,16.88,17.06,ok,1429056000,206000
71,16.99,17.2,16.95,17.06,ok,1429142400,176400
72,16.69,16.96,16.58,16.83,ok,1429228800,570200
73,16.96,17.03,16.59,16.81,ok,1429488000,303500
74,16.91,17.01,16.84,16.97,ok,1429574400,169400
75,16.97,17.03,16.73,17.0,ok,1429660800,167500
76,16.89,16.99,16.79,16.92,ok,1429747200,120500
77,16.7,16.86,16.65,16.86,ok,1429833600,112100
