,c,h,l,o,s,t,v
0,15.0167,15.2667,14.9367,15.1767,ok,1420156800,87700
1,14.4571,15.2171,14.4271,15.1171,ok,1420416000,337800
2,14.4501,14.6501,14.2501,14.5101,ok,1420502400,140100
3,14.59,14.63,14.47,14.63,ok,1420588800,259000
4,14.7649,14.8549,14.5849,14.6949,ok,1420675200,236400
5,14.7719,14.8419,14.6419,14.8219,ok,1420761600,122500
6,14.639,14.879,14.509,14.879,ok,1421020800,108700
7,14.5617,14.9717,14.3917,14.7817,ok,1421107200,151800
8,14.4141,14.5341,14.2841,14.2941,ok,1421193600,235400
9,14.3508,14.5908,14.2608,14.5608,ok,1421280000,178100
10,14.5546,14.5746,14.2346,14.2346,ok,1421366400,157100
11,14.653,14.713,14.413,14.623,ok,1421712000,178300
12,14.6601,14.7601,14.5301,14.6601,ok,1421798400,111100
13,14.8849,14.8949,14.5749,14.7049,ok,1421884800,137700
14,14.8849,15.0649,14.8849,14.9249,ok,1421971200,121100
15,14.8568,15.0168,14.7568,14.9268,ok,1422230400,166300
16,14.7795,14.8295,14.6395,14.7395,ok,1422316800,146400
17,14.6109,15.0109,14.6109,14.9809,ok,1422403200,116100
18,14.6671,14.7071,14.3671,14.6371,ok,1422489600,102700
19,14.4984,14.7284,14.4484,14.6384,ok,1422576000,119900
20,14.6319,14.6419,14.3019,14.4219,ok,1422835200,138400
21,14.9341,14.9341,14.5141,14.5141,ok,1422921600,99000
22,14.9201,15.1101,14.8201,14.9101,ok,1423008000,117700
23,15.0396,15.0796,14.8996,14.9696,ok,1423094400,86700
24,14.9904,15.2104,14.9304,15.0504,ok,1423180800,85100
25,15.0325,15.0725,14.9525,14.9625,ok,1423440000,91700
26,15.1879,15.2379,15.0379,15.0379,ok,1423526400,93000
27,15.1243,15.2143,15.0643,15.2143,ok,1423612800,125500
28,15.1455,15.2955,15.1455,15.1555,ok,1423699200,81400
29,15.2232,15.2532,15.1332,15.1732,ok,1423785600,119400
30,15.1667,15.2867,15.1567,15.2367,ok,1424131200,118000
31,15.1949,15.2249,15.0949,15.1249,ok,1424217600,101500
32,15.2232,15.3532,15.1232,15.1532,ok,1424304000,115600
33,15.3291,15.3291,15.1691,15.2191,ok,1424390400,111900
34,15.3432,15.4432,15.2632,15.3232,ok,1424649600,117600
35,15.4138,15.4538,15.2238,15.2538,ok,1424736000,117900
36,15.3926,15.4526,15.2926,15.3126,ok,1424822400,179000
37,15.3644,15.4144,15.2544,15.3544,ok,1424908800,108400
38,15.3503,15.3803,15.2803,15.2903,ok,1424995200,92900
39,15.3926,15.4526,15.3226,15.3526,ok,1425254400,112700
