,c,h,l,o,s,t,v
0,20.6745,21.0591,20.4918,20.9437,ok,1420156800,42557600
1,20.295,20.6892,20.2181,20.6892,ok,1420416000,43714500
2,19.8577,20.3385,19.7231,20.2327,ok,1420502400,66310400
3,19.866,20.1641,19.7698,19.991,ok,1420588800,45388200
4,20.1052,20.1149,19.8745,20.0572,ok,1420675200,44953300
5,19.8248,20.3055,19.7478,20.2959,ok,1420761600,44857400
6,19.7835,19.9373,19.5816,19.87,ok,1421020800,44585900
7,19.6845,20.1364,19.4633,20.0691,ok,1421107200,42819700
8,19.6185,19.6858,19.2627,19.4935,ok,1421193600,43524800
9,19.4535,19.8285,19.4343,19.7227,ok,1421280000,32739300
10,19.4618,19.5194,19.3271,19.3848,ok,1421366400,51785600
11,19.6763,19.6955,19.3878,19.6666,ok,1421712000,46344500
12,19.833,19.8715,19.5157,19.6311,ok,1421798400,39125100
13,20.031,20.1079,19.7233,20.0502,ok,1421884800,49014400
14,20.196,20.5902,20.0133,20.1479,ok,1421971200,66288200
15,20.2868,20.431,20.1041,20.4118,ok,1422230400,40741800
16,20.1135,20.1904,19.9404,20.1231,ok,1422316800,39934000
17,19.668,20.293,19.6392,20.2738,ok,1422403200,51639900
18,19.866,19.9814,19.5775,19.6352,ok,1422489600,42053800
19,19.7093,19.9208,19.6419,19.6996,ok,1422576000,56900600
20,19.9733,19.9829,19.6752,19.7713,ok,1422835200,41186600
21,20.1878,20.2454,19.9858,20.0147,ok,1422921600,39232700
22,19.932,20.1916,19.8551,20.1724,ok,1423008000,34565400
23,20.2125,20.2125,19.9625,19.9721,ok,1423094400,26673200
24,20.229,20.4502,20.1809,20.2482,ok,1423180800,28570800
25,20.328,20.4338,20.1453,20.1645,ok,1423440000,28375300
26,20.394,20.4709,20.2305,20.4421,ok,1423526400,28158800
27,20.4352,20.4833,20.2718,20.3776,ok,1423612800,25433500
28,20.5343,20.6304,20.3612,20.4573,ok,1423699200,27583100
29,20.7487,20.768,20.5468,20.5949,ok,1423785600,34399200
30,20.7653,20.8037,20.5826,20.7172,ok,1424131200,37429000
31,20.8313,20.8697,20.7351,20.8697,ok,1424217600,31970400
32,20.8306,21.0229,20.7729,20.8498,ok,1424304000,34562200
33,20.9972,21.0068,20.6029,20.6799,ok,1424390400,41485300
34,20.9638,21.0888,20.8965,21.0119,ok,1424649600,32005400
35,21.1471,21.2048,20.8586,20.8875,ok,1424736000,44162600
36,21.5802,21.7244,21.1283,21.1379,ok,1424822400,70948300
37,21.5635,21.6789,21.4866,21.6116,ok,1424908800,39777000
38,21.6468,21.916,21.416,21.493,ok,1424995200,53593000
39,21.7468,21.7564,21.4968,21.5256,ok,1425254400,33705300
40,21.5385,21.7501,21.4616,21.7212,ok,1425340800,31763900
41,21.372,21.4777,21.1893,21.4681,ok,1425427200,32805500
42,21.5052,21.5052,21.2745,21.3129,ok,1425513600,29508700
43,21.1721,21.5182,21.0855,21.4509,ok,1425600000,33578200
44,21.3553,21.413,21.2111,21.2399,ok,1425859200,32854700
45,20.9638,21.4158,20.9638,21.2812,ok,1425945600,38939700
46,20.9805,21.269,20.9324,21.067,ok,1426032000,37646000
47,21.1554,21.165,20.9343,21.0304,ok,1426118400,30544200
48,20.8556,21.1633,20.6344,21.0863,ok,1426204800,47119200
49,21.1971,21.2259,20.7259,20.8221,ok,1426464000,35994800
50,21.0805,21.1574,20.8689,21.0708,ok,1426550400,35629300
51,21.3553,21.5572,20.8457,20.913,ok,1426636800,39834900
52,21.0971,21.3663,21.0298,21.2029,ok,1426723200,39847300
53,21.1554,21.2804,21.0593,21.0977,ok,1426809600,52657900
54,21.2137,21.4733,21.1945,21.2233,ok,1427068800,33263800
55,21.0471,21.2491,21.0471,21.1529,ok,1427155200,26833300
56,20.7473,21.1511,20.7473,21.055,ok,1427241600,36293200
57,20.6557,20.7711,20.5307,20.6557,ok,1427328000,33804500
58,20.7057,20.7633,20.5614,20.7633,ok,1427414400,29453400
59,20.9222,20.9991,20.778,20.7876,ok,1427673600,28372600
60,20.664,20.9332,20.664,20.9332,ok,1427760000,36338500
61,20.689,20.7659,20.4294,20.5736,ok,1427846400,40299400
62,20.7723,20.83,20.5415,20.6473,ok,1427932800,30381600
63,20.9722,21.1933,20.5972,20.703,ok,1428278400,34782900
64,20.8389,21.0889,20.8197,20.9831,ok,1428364800,22112000
65,20.8306,20.9364,20.696,20.869,ok,1428451200,23336700
66,21.4303,21.5264,20.6514,20.8149,ok,1428537600,62555800
67,23.7457,23.9092,22.2938,22.4188,ok,1428624000,366809900
68,23.0128,23.5512,22.8878,23.4262,ok,1428883200,160144200
69,23.096,23.2018,22.7595,22.8557,ok,1428969600,58008200
70,22.8712,23.2462,22.8423,23.0923,ok,1429056000,58676900
71,22.7212,22.9328,22.6251,22.7501,ok,1429142400,64857600
72,22.6963,23.1289,22.3789,22.8405,ok,1429228800,91306200
73,22.5047,22.9085,22.4951,22.7932,ok,1429488000,64154400
74,22.1715,22.5946,22.1042,22.5658,ok,1429574400,79947100
75,22.4131,22.5188,22.115,22.2112,ok,1429660800,48938300
76,22.3631,22.5746,22.2285,22.2958,ok,1429747200,39692400
77,22.3215,22.4561,22.2253,22.3984,ok,1429833600,28822500
78,22.3881,22.5035,22.3208,22.465,ok,1430092800,37666400
79,22.588,22.6264,22.1264,22.4245,ok,1430179200,39963600
80,22.563,22.7168,22.3803,22.4284,ok,1430265600,38640100
81,22.5547,22.8143,22.4489,22.5354,ok,1430352000,44704400
82,22.7462,22.7558,22.4385,22.5347,ok,1430438400,29435400
83,22.7129,23.0398,22.6937,22.7995,ok,1430697600,27249700
84,22.4214,22.8445,22.3541,22.7387,ok,1430784000,31561100
85,22.3298,22.6856,22.1375,22.5125,ok,1430870400,28871400
86,22.5214,22.5983,22.156,22.2714,ok,1430956800,32279700
87,22.7879,22.9129,22.6533,22.6821,ok,1431043200,38710300
88,22.4214,22.7868,22.3637,22.7387,ok,1431302400,33751500
89,22.513,22.5707,22.2438,22.3111,ok,1431388800,30981300
90,22.6629,22.6918,22.3841,22.4802,ok,1431475200,38657200
91,22.8295,22.8488,22.5795,22.743,ok,1431561600,28055100
92,22.7129,22.8764,22.6937,22.8187,ok,1431648000,37199400
93,22.7462,22.8232,22.6501,22.6501,ok,1431907200,23389000
94,22.7795,22.818,22.6449,22.7026,ok,1431993600,30316800
95,23.0211,23.0788,22.598,22.7326,ok,1432080000,41780500
