,c,h,l,o,s,t,v
0,3.3059,3.3059,3.1559,3.1559,ok,1420156800,402100
1,3.2441,3.3641,3.1541,3.3541,ok,1420416000,530600
2,3.3535,3.3535,3.1135,3.1235,ok,1420502400,797700
3,3.363,3.393,3.283,3.283,ok,1420588800,525800
4,3.4058,3.4958,3.2758,3.2958,ok,1420675200,557400
5,3.4439,3.4439,3.3339,3.3639,ok,1420761600,423000
6,3.4582,3.4582,3.3582,3.4282,ok,1421020800,553800
7,3.3813,3.6013,3.3213,3.5513,ok,1421107200,557300
8,3.3189,3.4189,3.2089,3.3589,ok,1421193600,588800
9,3.4149,3.4349,3.2849,3.3049,ok,1421280000,776100
10,3.5686,3.5686,3.2886,3.3186,ok,1421366400,1380400
11,3.6599,3.7199,3.5399,3.7099,ok,1421712000,923100
12,3.6743,3.6943,3.5543,3.6743,ok,1421798400,693200
13,3.6647,3.7347,3.6347,3.7247,ok,1421884800,414300
14,3.6071,3.7271,3.5471,3.7271,ok,1421971200,519700
15,3.6215,3.6415,3.4515,3.5815,ok,1422230400,560100
16,3.6983,3.7383,3.5383,3.6083,ok,1422316800,559400
17,3.583,3.803,3.583,3.803,ok,1422403200,591600
18,3.535,3.615,3.405,3.585,ok,1422489600,428000
19,3.583,3.663,3.433,3.433,ok,1422576000,423700
20,3.6983,3.6983,3.3883,3.3983,ok,1422835200,503500
21,3.7223,3.7723,3.6023,3.6723,ok,1422921600,609200
22,3.7175,3.7675,3.6275,3.7675,ok,1423008000,373300
23,3.7704,3.7704,3.6204,3.6704,ok,1423094400,349000
24,3.6743,3.8543,3.6743,3.8143,ok,1423180800,668300
25,3.7079,3.7179,3.6279,3.6779,ok,1423440000,536800
26,3.6643,3.7543,3.5843,3.7543,ok,1423526400,516800
27,3.5625,3.7225,3.5525,3.7225,ok,1423612800,536100
28,3.6207,3.6407,3.5307,3.5307,ok,1423699200,396800
29,3.6788,3.6788,3.5388,3.5688,ok,1423785600,245000
30,3.6255,3.6755,3.5655,3.6755,ok,1424131200,398600
31,3.6255,3.6255,3.4955,3.5555,ok,1424217600,372400
32,3.5916,3.6616,3.5416,3.6616,ok,1424304000,406700
33,3.6158,3.7058,3.5858,3.6858,ok,1424390400,460600
34,3.6061,3.6461,3.5761,3.6061,ok,1424649600,441600
35,3.6061,3.6061,3.5361,3.5461,ok,1424736000,296700
36,3.6643,3.6643,3.5443,3.5443,ok,1424822400,295200
37,3.6594,3.7594,3.6194,3.7094,ok,1424908800,282300
38,3.6788,3.7388,3.5388,3.6388,ok,1424995200,475700
39,3.6546,3.7446,3.6146,3.6846,ok,1425254400,361700
40,3.6594,3.6694,3.6094,3.6394,ok,1425340800,344400
41,3.6304,3.6604,3.5904,3.6204,ok,1425427200,292900
42,3.6352,3.6352,3.5952,3.6152,ok,1425513600,258700
43,3.5383,3.7083,3.4683,3.6383,ok,1425600000,768300
44,3.4559,3.6459,3.4559,3.6459,ok,1425859200,411200
45,3.3783,3.5083,3.3583,3.4783,ok,1425945600,482400
46,3.388,3.388,3.298,3.348,ok,1426032000,493600
47,3.4026,3.4926,3.3626,3.3726,ok,1426118400,252200
48,3.3487,3.4887,3.3087,3.4887,ok,1426204800,405000
49,3.3193,3.3893,3.2993,3.3593,ok,1426464000,562100
50,3.2997,3.3897,3.2597,3.2797,ok,1426550400,291600
51,3.3977,3.4177,3.1177,3.1677,ok,1426636800,572100
52,3.383,3.393,3.323,3.363,ok,1426723200,244900
53,3.4417,3.4517,3.3717,3.3717,ok,1426809600,263900
54,3.4564,3.4864,3.3964,3.4564,ok,1427068800,356200
55,3.4809,3.5509,3.4309,3.4609,ok,1427155200,284400
56,3.5054,3.5954,3.4654,3.4854,ok,1427241600,453100
57,3.4907,3.5807,3.4607,3.5607,ok,1427328000,227900
58,3.4368,3.5268,3.4368,3.5168,ok,1427414400,287800
59,3.4319,3.4919,3.3219,3.4119,ok,1427673600,295300
60,3.4026,3.4526,3.4026,3.4226,ok,1427760000,318000
61,3.4515,3.4615,3.3515,3.3515,ok,1427846400,276700
62,3.4711,3.5111,3.3911,3.3911,ok,1427932800,251200
63,3.5543,3.5743,3.4243,3.4443,ok,1428278400,362700
64,3.5347,3.6147,3.4947,3.4947,ok,1428364800,368200
65,3.5152,3.5952,3.5052,3.5252,ok,1428451200,219600
66,3.5054,3.5354,3.4654,3.4754,ok,1428537600,187800
67,3.5347,3.5547,3.4847,3.5147,ok,1428624000,287200
68,3.5201,3.5501,3.5101,3.5401,ok,1428883200,329900
69,3.5547,3.5647,3.4647,3.4847,ok,1428969600,309100
70,3.6239,3.6239,3.4739,3.4939,ok,1429056000,363400
71,3.6387,3.6587,3.5787,3.6287,ok,1429142400,235300
72,3.5942,3.6742,3.5742,3.6342,ok,1429228800,256100
73,3.6041,3.6141,3.5641,3.5641,ok,1429488000,297500
74,3.5893,3.6693,3.5893,3.6693,ok,1429574400,174900
75,3.5744,3.6244,3.5444,3.6044,ok,1429660800,327100
76,3.6239,3.6339,3.5239,3.5839,ok,1429747200,351700
77,3.6189,3.6289,3.5489,3.5989,ok,1429833600,359700
78,3.6437,3.6837,3.5537,3.5937,ok,1430092800,434100
79,3.7129,3.7129,3.5629,3.5629,ok,1430179200,433900
80,3.7079,3.7879,3.6079,3.6079,ok,1430265600,438000
81,3.6783,3.7083,3.5983,3.7083,ok,1430352000,364100
82,3.7326,3.7326,3.5526,3.5626,ok,1430438400,323500
83,3.6684,3.8284,3.6684,3.8284,ok,1430697600,327800
84,3.6882,3.7282,3.6382,3.6782,ok,1430784000,298700
85,3.6535,3.7635,3.6335,3.7635,ok,1430870400,588200
86,3.614,3.694,3.574,3.694,ok,1430956800,276600
87,3.6783,3.6783,3.5683,3.6083,ok,1431043200,212500
88,3.6585,3.7385,3.6285,3.7185,ok,1431302400,307000
89,3.6934,3.6934,3.5734,3.6334,ok,1431388800,292100
90,3.6884,3.7684,3.6884,3.6984,ok,1431475200,353200
91,3.6884,3.7684,3.6884,3.7184,ok,1431561600,293800
92,3.6934,3.7034,3.6134,3.6434,ok,1431648000,236000
93,3.6635,3.7235,3.6335,3.7235,ok,1431907200,554400
94,3.6335,3.6835,3.5835,3.6635,ok,1431993600,400900
95,3.6335,3.6435,3.5835,3.6335,ok,1432080000,258700
96,3.6186,3.6886,3.5886,3.6886,ok,1432166400,502300
97,3.5986,3.6586,3.5686,3.6386,ok,1432252800,382700
98,3.5287,3.6187,3.4687,3.6187,ok,1432598400,531300
99,3.5237,3.5637,3.4737,3.5437,ok,1432684800,315200
100,3.5237,3.5537,3.4537,3.4737,ok,1432771200,309000
101,3.5137,3.5637,3.4937,3.5037,ok,1432857600,257700
102,3.5038,3.5538,3.4838,3.5538,ok,1433116800,292700
103,3.5587,3.5587,3.4587,3.4587,ok,1433203200,335800
104,3.5487,3.5887,3.5187,3.5487,ok,1433289600,460500
105,3.5237,3.5537,3.4937,3.5537,ok,1433376000,291500
106,3.5337,3.5537,3.4637,3.5037,ok,1433462400,259900
107,3.5237,3.5437,3.4737,3.5237,ok,1433721600,268700
108,3.5437,3.5537,3.4937,3.5337,ok,1433808000,338900
109,3.5587,3.5687,3.5287,3.5487,ok,1433894400,612600
110,3.5487,3.5887,3.5387,3.5687,ok,1433980800,323400
111,3.5285,3.5485,3.4985,3.5285,ok,1434067200,278400
112,3.5184,3.5384,3.4884,3.5184,ok,1434326400,229500
113,3.5336,3.5336,3.4836,3.5036,ok,1434412800,267300
114,3.5184,3.5484,3.4784,3.5284,ok,1434499200,452900
115,3.5588,3.5688,3.5188,3.5188,ok,1434585600,374900
116,3.5084,3.6184,3.5084,3.6184,ok,1434672000,206500
117,3.5084,3.5284,3.4684,3.5284,ok,1434931200,258700
118,3.4882,3.5582,3.4882,3.5582,ok,1435017600,288200
119,3.5084,3.5484,3.4484,3.4684,ok,1435104000,337400
120,3.4378,3.6078,3.4378,3.5578,ok,1435190400,354900
121,3.3874,3.5174,3.3874,3.4674,ok,1435276800,441300
122,3.2916,3.4616,3.2916,3.4316,ok,1435536000,648600
123,3.2815,3.3915,3.2815,3.3215,ok,1435622400,551300
124,3.2462,3.3562,3.1962,3.3262,ok,1435708800,697500
125,3.2765,3.2965,3.1565,3.1865,ok,1435795200,448200
126,3.2916,3.2916,2.9816,3.1616,ok,1436140800,460200
127,3.2664,3.2664,3.1164,3.1764,ok,1436227200,481800
128,3.1958,3.3058,3.1558,3.2858,ok,1436313600,417700
129,3.2009,3.2509,3.1709,3.2009,ok,1436400000,314500
130,3.211,3.241,3.151,3.191,ok,1436486400,288200
131,3.211,3.211,3.161,3.201,ok,1436745600,394700
132,3.2059,3.2159,3.1659,3.1859,ok,1436832000,217200
133,3.104,3.314,3.104,3.264,ok,1436918400,583300
134,3.0836,3.1536,3.0436,3.1136,ok,1437004800,712700
135,3.002,3.162,2.942,3.112,ok,1437091200,1189000
136,2.7829,3.0129,2.7829,3.0029,ok,1437350400,1810200
