,c,h,l,o,s,t,v
0,487.9463,491.8254,481.8859,491.8254,ok,1420156800,32700
1,494.226,495.803,484.3589,485.1444,ok,1420416000,34200
2,477.8126,496.7008,473.867,495.2447,ok,1420502400,84000
3,477.7843,483.1559,475.9232,479.4701,ok,1420588800,25600
4,494.0219,494.0219,475.5929,477.6352,ok,1420675200,75300
5,493.3475,497.9216,490.8581,492.3385,ok,1420761600,47300
6,497.3998,502.5116,489.7745,489.7745,ok,1421020800,37400
7,497.2013,505.4914,495.2315,497.8902,ok,1421107200,58500
8,494.7645,497.9247,494.6376,495.9911,ok,1421193600,40500
9,497.6039,504.4195,493.4226,496.057,ok,1421280000,43500
10,505.2607,508.3604,498.9828,498.9828,ok,1421366400,14700
11,500.5454,510.1103,500.1405,507.4034,ok,1421712000,30700
12,501.4012,504.0054,497.7577,503.3528,ok,1421798400,30100
13,508.5707,508.5707,497.3623,500.9393,ok,1421884800,59900
14,507.3918,510.6848,505.5005,506.0322,ok,1421971200,36400
15,524.2529,524.5248,508.6275,509.0686,ok,1422230400,39700
16,528.549,532.0958,519.3103,523.4855,ok,1422316800,24400
17,532.6807,534.4632,527.3937,529.6959,ok,1422403200,39500
18,555.5916,556.5402,532.9451,533.6157,ok,1422489600,58900
19,532.5872,555.9588,527.0101,555.9588,ok,1422576000,84000
20,538.8906,544.4133,533.0356,533.0356,ok,1422835200,41300
21,550.6205,556.1553,545.1462,555.4604,ok,1422921600,48900
22,546.7998,550.8602,542.7031,550.8602,ok,1423008000,27400
23,548.861,549.5316,542.293,542.293,ok,1423094400,35200
24,545.94,553.2814,540.6409,543.4446,ok,1423180800,33700
25,544.4479,548.593,541.0824,548.2969,ok,1423440000,29900
26,544.2487,547.3484,541.868,542.8831,ok,1423526400,19600
27,546.6348,547.8493,544.6469,546.0366,ok,1423612800,12900
28,547.2894,556.3891,545.6942,550.3166,ok,1423699200,50300
29,556.1212,559.2631,547.2692,548.6227,ok,1423785600,60700
30,561.0806,563.8843,555.8299,555.8299,ok,1424131200,58200
31,569.4683,569.5226,559.571,559.571,ok,1424217600,26400
32,564.7764,573.1993,562.3837,570.3716,ok,1424304000,34000
33,562.2766,584.3491,559.5817,584.3491,ok,1424390400,55700
34,563.7228,563.7531,551.4207,558.0914,ok,1424649600,52600
35,565.2773,567.3015,561.3378,562.22,ok,1424736000,51900
36,561.9463,569.8738,556.5203,563.8315,ok,1424822400,121400
37,560.3007,563.9321,557.6843,563.9321,ok,1424908800,27400
38,561.6616,563.8489,556.9244,560.1873,ok,1424995200,27400
39,567.5096,568.5005,560.4401,564.138,ok,1425254400,133300
40,571.7858,571.7858,563.0486,564.8613,ok,1425340800,99100
41,599.8467,604.9585,567.5567,569.6715,ok,1425427200,70000
42,597.4835,607.8159,588.8914,601.5077,ok,1425513600,42800
43,596.3163,606.1773,590.3284,590.3284,ok,1425600000,43800
44,593.1049,596.972,589.407,593.7031,ok,1425859200,30600
45,582.5134,587.3473,580.03,585.5768,ok,1425945600,19000
46,586.3629,593.8372,577.4445,578.7738,ok,1426032000,44300
47,606.4974,606.4974,580.4491,580.4491,ok,1426118400,50100
48,614.7596,617.968,600.7415,605.3517,ok,1426204800,71100
49,621.826,625.9952,612.1705,616.0134,ok,1426464000,56700
50,615.9726,621.3986,610.2264,617.5375,ok,1426550400,53100
51,616.4453,618.1733,610.0464,617.2972,ok,1426636800,43500
52,614.2244,615.6021,608.8226,615.6021,ok,1426723200,38000
53,617.8459,617.8459,611.4773,614.7946,ok,1426809600,98600
54,613.5526,624.181,613.2264,616.1569,ok,1427068800,23900
55,618.5863,620.4594,611.2993,616.1996,ok,1427155200,27400
56,611.7759,624.0055,610.507,619.9995,ok,1427241600,71900
57,600.5699,612.8297,599.4702,611.1318,ok,1427328000,40700
58,593.9019,602.0228,592.3732,599.3762,ok,1427414400,50100
59,592.1938,597.0276,588.8644,595.3478,ok,1427673600,39200
60,597.677,597.8945,591.2419,591.6468,ok,1427760000,47600
61,595.1661,597.4319,588.4773,595.0452,ok,1427846400,37200
62,597.6543,597.8537,592.6815,592.6815,ok,1427932800,20300
63,600.9285,604.8499,594.0705,594.0705,ok,1428278400,47900
64,606.2468,610.9598,599.2438,599.2438,ok,1428364800,21300
65,603.024,608.5346,601.1993,607.3322,ok,1428451200,48400
66,603.32,607.1629,598.8306,607.1629,ok,1428537600,36900
67,602.4886,604.9902,601.2681,604.5551,ok,1428624000,16300
68,599.3242,604.6052,597.4149,604.6052,ok,1428883200,43500
69,590.4215,600.5061,584.6874,598.6753,ok,1428969600,57900
70,590.2444,591.8879,587.8214,588.1417,ok,1429056000,100400
71,580.7415,591.2067,578.7354,590.8804,ok,1429142400,69600
