,c,h,l,o,s,t,v
0,9.6,9.6,9.6,9.6,ok,1586304000,100000
1,9.61,9.61,9.61,9.61,ok,1586390400,10000
2,9.716,9.8,9.716,9.8,ok,1586908800,6300
3,9.8,9.8,9.8,9.8,ok,1586995200,600
4,9.78,9.78,9.78,9.78,ok,1587427200,50000
5,9.805,9.81,9.805,9.81,ok,1587513600,25400
6,9.77,9.77,9.77,9.77,ok,1587600000,100
7,9.75,9.77,9.75,9.77,ok,1587945600,13500
8,9.901,10.05,9.75,10.05,ok,1588032000,62800
9,10.148,10.148,10.148,10.148,ok,1588204800,200
10,9.78,10.15,9.78,10.15,ok,1588291200,15100
11,10.26,10.26,10.26,10.26,ok,1588550400,300
12,10.2,10.2,10.043,10.2,ok,1588636800,1100
13,10.0,10.0,10.0,10.0,ok,1588809600,21500
14,10.0,10.0,10.0,10.0,ok,1588896000,9100
15,10.0,10.0,10.0,10.0,ok,1589155200,400
16,10.0,10.05,10.0,10.05,ok,1589241600,7700
17,10.05,10.05,10.0,10.0,ok,1589328000,3300
18,9.96,10.0,9.96,10.0,ok,1589414400,700
19,10.05,10.05,10.05,10.05,ok,1589846400,400
20,10.05,10.05,10.05,10.05,ok,1589932800,900
21,10.05,10.05,10.05,10.05,ok,1590451200,300
22,10.047,10.05,10.047,10.05,ok,1590624000,2500
23,9.983,10.0,9.975,10.0,ok,1590710400,400
