,c,h,l,o,s,t,v
0,15.1181,15.1181,15.1181,15.1181,ok,1420156800,700
1,15.1181,15.3181,15.1181,15.3181,ok,1420502400,4300
2,15.1267,15.2667,15.1267,15.2667,ok,1420588800,800
3,15.2633,15.2633,15.2433,15.2433,ok,1420675200,700
4,15.1181,15.1781,15.1181,15.1781,ok,1420761600,1500
5,15.2548,15.2548,15.2548,15.2548,ok,1421020800,500
6,15.2548,15.2548,15.1448,15.2548,ok,1421107200,1100
7,15.1865,15.2065,15.1865,15.2065,ok,1421193600,600
8,15.1438,15.1438,15.1338,15.1438,ok,1421280000,2800
9,15.0156,15.2056,15.0156,15.1556,ok,1421366400,2800
10,15.0413,15.0513,15.0413,15.0413,ok,1421712000,2500
11,14.879,15.059,14.879,15.059,ok,1421798400,4000
12,14.879,14.879,14.879,14.879,ok,1421884800,800
13,14.9131,14.9531,14.8731,14.8931,ok,1421971200,4000
14,14.8704,14.8804,14.8704,14.8804,ok,1422316800,1000
15,14.9371,14.9371,14.9371,14.9371,ok,1422403200,300
16,14.8858,14.9658,14.8858,14.9658,ok,1422489600,3900
17,15.0055,15.1255,14.8655,14.8655,ok,1422576000,9100
18,15.1338,15.1338,15.1338,15.1338,ok,1422835200,1000
19,15.2364,15.2564,15.1464,15.2564,ok,1422921600,1100
20,15.0141,15.1541,15.0141,15.1541,ok,1423008000,2500
21,15.0312,15.0312,14.9112,15.0112,ok,1423094400,6100
22,15.0483,15.0483,14.8983,14.8983,ok,1423526400,2700
23,14.9799,14.9799,14.9799,14.9799,ok,1423699200,300
24,15.2535,15.2735,14.9335,15.2535,ok,1423785600,3300
25,15.262,15.262,15.262,15.262,ok,1424390400,100
26,15.2535,15.2935,15.2535,15.2935,ok,1424736000,1000
27,15.0113,15.0113,15.0113,15.0113,ok,1425254400,100
28,15.268,15.268,15.268,15.268,ok,1425340800,200
29,15.2338,15.2338,15.2138,15.2138,ok,1425427200,500
30,15.2338,15.2938,15.0338,15.0338,ok,1425513600,6300
31,15.3108,15.3108,15.2808,15.2808,ok,1425600000,2000
32,15.3194,15.3194,15.2894,15.2894,ok,1425859200,3100
33,15.2338,15.2338,15.2338,15.2338,ok,1425945600,400
34,15.3793,15.3793,15.3793,15.3793,ok,1426464000,500
35,15.2595,15.2595,15.2595,15.2595,ok,1427068800,500
