,c,h,l,o,s,t,v
0,96.4,107.2,94.0,95.6,ok,1420502400,700
1,99.6,104.0,96.0,96.0,ok,1420588800,300
2,96.4,100.4,96.0,96.0,ok,1421107200,200
3,93.6,93.6,92.0,92.0,ok,1421798400,200
4,92.0,92.4,92.0,92.0,ok,1421884800,200
5,90.0,92.0,90.0,92.0,ok,1422230400,300
6,81.2,87.2,73.6,87.2,ok,1422576000,200
7,74.8,76.8,74.4,74.4,ok,1422835200,200
8,68.0,76.0,65.6,74.0,ok,1422921600,200
9,68.0,74.4,68.0,70.0,ok,1423180800,400
10,67.6,69.2,65.6,68.0,ok,1423440000,500
11,67.2,67.6,66.0,66.0,ok,1423526400,100
12,66.0,69.2,66.0,69.2,ok,1423612800,100
13,68.0,73.6,60.0,60.0,ok,1423785600,300
14,65.6,66.8,63.6,64.4,ok,1424304000,100
15,65.6,65.6,64.8,65.2,ok,1424649600,100
16,63.6,67.6,63.6,66.8,ok,1425600000,200
17,63.2,68.0,63.2,63.2,ok,1425859200,100
18,60.4,63.6,60.4,63.6,ok,1426118400,100
19,49.2,60.4,48.8,60.4,ok,1426550400,200
20,48.4,52.0,48.4,51.6,ok,1426809600,200
21,50.4,50.4,48.0,48.0,ok,1427068800,400
22,50.0,52.0,42.8,52.0,ok,1427673600,200
23,48.4,50.4,47.2,49.6,ok,1427760000,200
24,50.8,51.2,49.6,49.6,ok,1427846400,400
25,52.0,52.8,49.6,49.6,ok,1427932800,100
26,56.4,60.0,53.6,53.6,ok,1428364800,300
27,56.0,56.8,54.8,55.2,ok,1428537600,100
28,66.8,73.2,64.8,71.2,ok,1429142400,200
29,61.6,69.6,58.0,69.6,ok,1429574400,200
30,58.8,60.0,58.4,60.0,ok,1429660800,100
31,57.6,59.6,57.6,58.0,ok,1429747200,100
32,56.8,59.2,48.4,58.0,ok,1429833600,1800
33,76.0,76.0,61.2,68.0,ok,1430092800,1600
34,65.2,78.0,60.0,76.0,ok,1430179200,1500
35,64.4,65.2,60.4,64.8,ok,1430265600,100
36,64.4,64.4,50.0,64.0,ok,1430352000,1600
37,60.0,75.6,58.8,60.8,ok,1430438400,1000
38,54.4,65.6,53.6,60.0,ok,1431043200,300
39,54.4,54.4,52.4,52.4,ok,1431388800,300
40,57.6,57.6,55.2,57.2,ok,1431907200,100
41,58.8,59.6,57.6,57.6,ok,1432598400,100
42,54.8,57.6,54.8,57.2,ok,1432684800,100
43,55.2,55.2,50.8,51.6,ok,1434067200,100
44,53.2,56.0,52.0,56.0,ok,1434499200,100
45,54.0,56.8,53.6,54.0,ok,1434931200,600
46,53.2,53.2,50.4,51.6,ok,1435017600,100
47,51.6,51.6,48.4,48.4,ok,1435190400,100
48,52.4,52.4,50.0,52.0,ok,1435276800,100
49,45.6,50.0,45.6,50.0,ok,1435622400,300
50,44.8,49.6,44.0,48.8,ok,1435708800,400
51,47.2,47.2,45.2,45.2,ok,1436400000,100
52,54.0,54.0,45.6,48.8,ok,1436832000,500
53,59.2,60.0,52.4,52.4,ok,1436918400,400
54,58.8,63.2,52.0,63.2,ok,1437004800,300
55,60.0,60.0,57.2,58.8,ok,1437091200,200
56,63.2,63.2,62.8,62.8,ok,1437350400,100
57,55.6,66.0,55.2,63.2,ok,1437436800,200
58,57.2,58.8,56.8,58.8,ok,1437523200,100
59,58.0,59.2,58.0,58.0,ok,1437609600,300
60,54.0,55.6,53.6,54.8,ok,1438214400,300
61,54.0,54.4,54.0,54.0,ok,1438560000,100
62,54.0,56.4,54.0,54.0,ok,1438646400,100
63,45.2,54.4,45.2,54.0,ok,1438732800,900
64,45.2,50.4,45.2,46.4,ok,1438819200,400
65,45.2,46.4,45.2,45.2,ok,1438905600,100
66,45.2,45.2,45.2,45.2,ok,1439164800,100
67,45.2,45.6,45.2,45.2,ok,1439251200,100
68,42.4,45.2,42.4,45.2,ok,1439337600,400
69,50.0,56.0,50.0,56.0,ok,1439856000,200
70,42.8,46.0,42.8,46.0,ok,1440028800,100
71,45.6,46.4,42.4,46.4,ok,1440115200,100
72,40.4,45.2,40.4,42.8,ok,1440547200,100
73,40.4,41.2,39.2,41.2,ok,1440633600,300
74,41.6,57.2,39.2,41.6,ok,1440979200,300
75,41.2,42.4,40.8,42.0,ok,1441065600,100
76,51.6,53.2,44.4,46.0,ok,1441670400,300
77,54.0,54.4,44.4,54.4,ok,1441756800,300
78,38.8,43.2,38.8,39.2,ok,1443398400,100
79,40.0,41.2,35.2,38.8,ok,1443484800,100
80,39.6,39.6,38.4,39.6,ok,1443571200,100
81,36.0,40.8,33.6,40.0,ok,1444089600,100
82,36.4,38.4,34.0,34.0,ok,1444176000,100
83,38.0,38.0,36.0,36.4,ok,1444348800,800
84,37.6,37.6,35.6,37.2,ok,1444953600,100
85,36.0,36.0,36.0,36.0,ok,1445904000,300
86,29.6,35.6,29.6,35.2,ok,1445990400,100
87,25.6,28.8,22.4,28.8,ok,1446422400,1000
88,24.0,25.6,24.0,25.6,ok,1446508800,200
