,c,h,l,o,s,t,v
0,39.4884,39.5084,39.2984,39.2984,ok,1571961600,2500
1,39.7642,39.8242,39.6742,39.6742,ok,1572220800,10800
2,39.3898,39.4798,39.3898,39.4398,ok,1572307200,1800
3,39.3997,39.3997,39.1397,39.1397,ok,1572393600,1200
4,39.3504,39.3504,39.0904,39.1004,ok,1572480000,2400
5,40.0598,40.0798,39.8998,39.8998,ok,1572566400,2500
6,40.316,40.516,40.316,40.396,ok,1572825600,11500
7,40.6805,40.7405,40.6505,40.7405,ok,1572912000,5300
8,40.444,40.594,40.394,40.544,ok,1572998400,1900
9,40.9367,41.1267,40.9167,40.9167,ok,1573084800,7900
10,40.5229,40.6229,40.5029,40.5229,ok,1573171200,5200
11,40.0894,40.0894,39.7094,39.7094,ok,1573430400,9000
12,39.5278,39.6578,39.5178,39.6578,ok,1573516800,900
13,39.5179,39.5379,39.4379,39.5379,ok,1573603200,600
14,39.8529,39.8529,39.6529,39.6929,ok,1573689600,4500
15,39.5179,39.5479,39.5179,39.5479,ok,1573776000,1100
16,39.5869,39.6369,39.5169,39.5169,ok,1574035200,2300
17,39.8923,39.9423,39.8923,39.9123,ok,1574121600,1600
18,39.3701,39.6201,39.3401,39.5501,ok,1574208000,5000
19,39.38,39.39,39.31,39.34,ok,1574294400,20800
20,38.8775,38.9275,38.7775,38.9275,ok,1574380800,1800
21,39.1632,39.2532,39.1332,39.1332,ok,1574640000,8600
22,39.3997,39.3997,39.2197,39.2197,ok,1574726400,3300
23,39.3997,39.4097,39.3797,39.3897,ok,1574812800,1200
24,38.6903,38.7903,38.6903,38.7003,ok,1574985600,4100
25,38.5622,38.7222,38.5322,38.7222,ok,1575244800,6600
26,38.4933,38.4933,38.4333,38.4833,ok,1575331200,1200
27,38.9957,38.9957,38.9957,38.9957,ok,1575417600,600
28,39.2519,39.2519,39.2519,39.2519,ok,1575504000,200
29,39.5376,39.5676,39.4876,39.4976,ok,1575590400,4100
30,39.1632,39.4132,39.1632,39.4132,ok,1575849600,3900
31,39.5376,39.5376,39.4576,39.4576,ok,1575936000,400
32,39.7051,39.7051,39.4351,39.4351,ok,1576022400,10800
33,40.3849,40.3849,39.1949,39.1949,ok,1576108800,5900
34,40.0105,40.6305,40.0105,40.1805,ok,1576195200,8000
35,40.6411,40.7711,40.5611,40.5611,ok,1576454400,3400
36,41.1337,41.1337,40.9837,40.9837,ok,1576540800,5800
37,41.0844,41.0844,40.9744,40.9944,ok,1576627200,1000
38,40.9268,40.9268,40.7668,40.7668,ok,1576713600,1100
39,41.114,41.124,40.864,40.864,ok,1576800000,4900
40,40.34,40.38,40.3,40.31,ok,1577059200,5700
41,40.56,40.58,40.56,40.58,ok,1577145600,200
42,41.14,41.14,40.99,40.99,ok,1577318400,1700
43,41.02,41.05,40.92,40.92,ok,1577404800,8100
44,41.53,41.55,41.36,41.47,ok,1577664000,16100
45,41.86,41.87,41.66,41.66,ok,1577750400,2400
46,42.71,42.71,42.5,42.58,ok,1577923200,8400
47,42.2,42.36,42.13,42.13,ok,1578009600,2700
48,42.24,42.31,42.24,42.31,ok,1578268800,3500
49,42.42,42.55,42.42,42.55,ok,1578355200,6800
50,42.38,42.65,42.19,42.19,ok,1578441600,4300
51,42.7,42.83,42.69,42.79,ok,1578528000,12700
52,42.8,42.8,42.68,42.7,ok,1578614400,4500
53,43.73,43.73,43.22,43.22,ok,1578873600,4000
54,43.35,43.36,43.18,43.28,ok,1578960000,2500
55,43.04,43.06,43.0,43.04,ok,1579046400,2000
56,43.13,43.13,43.02,43.02,ok,1579132800,6600
57,43.3,43.33,43.3,43.32,ok,1579219200,300
58,41.88,42.17,41.88,41.96,ok,1579564800,9000
59,42.05,42.31,42.04,42.31,ok,1579651200,6800
60,41.06,41.08,40.44,40.87,ok,1579737600,19400
61,40.75,41.2,40.65,41.09,ok,1579824000,7500
62,38.86,38.87,37.85,37.85,ok,1580083200,132500
63,39.2,39.37,38.74,38.74,ok,1580169600,59300
64,39.48,39.72,39.37,39.72,ok,1580256000,21300
65,38.81,38.87,38.29,38.3,ok,1580342400,242600
66,37.74,38.35,37.66,38.27,ok,1580428800,489700
67,36.0,36.88,35.27,36.56,ok,1580688000,232900
68,37.65,37.91,37.32,37.68,ok,1580774400,11900
69,37.85,37.89,37.38,37.89,ok,1580860800,56800
70,38.89,39.5,38.87,39.4,ok,1582761600,29500
71,36.04,36.04,35.87,35.87,ok,1587686400,2000
72,36.32,36.35,36.3,36.3,ok,1587945600,1900
73,36.41,36.67,36.41,36.67,ok,1588032000,5800
74,36.79,36.8,36.64,36.77,ok,1588118400,2000
75,36.05,36.98,36.05,36.95,ok,1588204800,6700
76,34.9,35.2,34.9,35.09,ok,1588291200,900
77,34.7,34.81,34.7,34.81,ok,1588550400,200
78,35.18,35.33,35.18,35.28,ok,1588636800,22800
79,36.16,36.3,36.16,36.3,ok,1588723200,4300
80,36.61,36.61,36.52,36.55,ok,1588809600,700
81,37.25,37.34,37.25,37.34,ok,1588896000,700
82,36.94,37.1,36.94,37.1,ok,1589155200,4900
83,37.21,37.62,37.21,37.37,ok,1589241600,2200
84,37.3,37.52,37.21,37.52,ok,1589328000,1000
85,37.35,37.35,36.82,36.82,ok,1589414400,700
86,36.8,36.8,36.68,36.68,ok,1589500800,600
87,37.95,37.95,37.56,37.56,ok,1589760000,600
88,37.67,37.86,37.67,37.7,ok,1589846400,1400
89,37.57,37.85,37.57,37.84,ok,1589932800,1700
90,37.14,37.14,36.97,37.14,ok,1590019200,600
91,36.17,36.17,36.17,36.17,ok,1590105600,300
92,36.59,36.97,36.59,36.84,ok,1590451200,4300
93,36.15,36.34,36.0,36.34,ok,1590537600,2100
94,36.02,36.35,36.02,36.35,ok,1590624000,7600
95,36.9,36.9,36.41,36.48,ok,1590710400,2500
