,c,h,l,o,s,t,v
0,99.67,102.46,98.58,102.19,ok,1420156800,16500
1,96.54,98.4,95.84,98.02,ok,1420416000,22000
2,94.06,96.16,93.5,95.69,ok,1420502400,24300
3,95.11,95.48,94.51,95.02,ok,1420588800,16700
4,95.9,96.01,94.59,95.05,ok,1420675200,9300
5,93.84,95.13,93.84,95.0,ok,1420761600,11400
6,91.74,93.74,91.43,93.33,ok,1421020800,31900
7,92.37,92.5,90.9,91.05,ok,1421107200,27800
8,92.61,92.61,90.65,91.1,ok,1421193600,27300
9,88.1,89.67,87.21,89.67,ok,1421280000,64100
10,85.76,87.03,84.98,87.03,ok,1421366400,63700
11,83.49,84.32,82.94,84.32,ok,1421712000,52500
12,83.4,84.42,81.97,82.01,ok,1421798400,39300
13,82.1,83.38,81.59,82.31,ok,1421884800,62700
14,83.38,84.2,82.99,82.99,ok,1421971200,34800
15,85.13,85.67,84.62,84.7,ok,1422230400,42700
16,83.22,84.32,82.8,84.32,ok,1422316800,38200
17,84.54,85.14,83.93,84.47,ok,1422403200,31200
18,88.25,88.8,86.11,86.3,ok,1422489600,44600
19,84.22,87.76,84.22,87.63,ok,1422576000,50100
20,85.63,86.7,84.7,86.7,ok,1422835200,93300
21,87.46,88.17,86.64,86.64,ok,1422921600,23400
22,86.71,87.74,86.0,86.68,ok,1423008000,19900
23,86.64,88.15,86.64,87.79,ok,1423094400,20000
24,91.05,92.0,89.9,90.38,ok,1423180800,64900
25,90.31,90.78,89.99,90.76,ok,1423440000,21500
26,91.37,91.74,90.5,91.25,ok,1423526400,23800
27,93.48,93.58,91.2,91.2,ok,1423612800,29400
28,93.05,93.28,92.35,92.45,ok,1423699200,13100
29,92.03,92.17,91.22,91.86,ok,1423785600,18600
30,95.05,95.75,94.21,94.43,ok,1424131200,29600
31,94.56,96.68,94.43,95.22,ok,1424217600,34900
32,95.3,95.35,94.25,94.67,ok,1424304000,10400
33,96.34,96.73,94.47,94.81,ok,1424390400,28200
34,96.0,96.53,94.7,96.42,ok,1424649600,70200
35,96.19,97.74,96.0,96.69,ok,1424736000,23000
36,95.49,96.0,95.13,95.27,ok,1424822400,8500
37,94.86,95.23,94.01,94.28,ok,1424908800,19500
38,94.66,94.66,93.33,93.54,ok,1424995200,29000
39,95.37,95.48,93.89,94.02,ok,1425254400,18400
40,95.84,95.94,94.16,94.75,ok,1425340800,13400
41,96.24,96.49,95.51,95.52,ok,1425427200,9500
42,96.49,96.7,94.92,95.86,ok,1425513600,12000
43,101.75,102.04,99.46,99.53,ok,1425600000,88800
44,101.64,101.68,100.59,100.73,ok,1425859200,33900
45,102.58,102.85,101.0,101.32,ok,1425945600,37100
46,103.76,104.8,102.95,103.0,ok,1426032000,28400
47,103.78,104.55,102.92,103.0,ok,1426118400,30500
48,103.61,104.11,102.86,103.03,ok,1426204800,15000
49,103.86,104.48,103.01,103.4,ok,1426464000,35300
50,104.64,105.58,102.89,105.34,ok,1426550400,19300
51,100.75,104.98,99.62,104.41,ok,1426636800,78300
52,100.78,102.02,100.23,101.58,ok,1426723200,47200
53,98.55,100.38,97.8,100.38,ok,1426809600,57400
54,97.35,98.45,97.15,98.23,ok,1427068800,19400
55,96.74,97.8,96.67,97.04,ok,1427155200,16200
56,96.4,96.62,95.78,96.11,ok,1427241600,41400
57,95.18,95.5,94.65,94.97,ok,1427328000,32000
58,96.05,96.47,95.55,95.92,ok,1427414400,13500
59,98.07,98.43,97.69,98.11,ok,1427673600,23200
60,98.18,98.9,97.34,98.09,ok,1427760000,18700
61,94.94,96.86,94.27,96.86,ok,1427846400,37400
62,95.44,96.1,94.94,95.35,ok,1427932800,11000
63,93.27,93.39,91.8,92.15,ok,1428278400,26900
64,93.92,94.13,93.44,93.69,ok,1428364800,5600
65,95.19,95.75,94.17,94.4,ok,1428451200,19000
66,96.33,96.78,96.14,96.33,ok,1428537600,9800
67,94.33,94.88,93.92,94.26,ok,1428624000,14700
68,95.49,95.97,95.05,95.05,ok,1428883200,14200
69,96.69,96.78,96.03,96.5,ok,1428969600,17200
70,95.03,96.55,94.81,96.2,ok,1429056000,12500
71,95.84,96.27,94.72,94.9,ok,1429142400,7600
72,94.99,95.24,94.54,95.24,ok,1429228800,5800
73,96.31,96.75,95.81,96.22,ok,1429488000,20500
74,95.14,95.89,95.0,95.83,ok,1429574400,5700
75,97.69,97.77,94.62,95.89,ok,1429660800,21400
76,96.36,97.63,95.79,97.63,ok,1429747200,10500
77,98.88,99.33,97.03,97.03,ok,1429833600,20400
78,94.9,97.85,94.22,97.35,ok,1430092800,32500
79,93.4,94.88,92.99,94.88,ok,1430179200,16300
80,94.66,94.91,93.33,93.96,ok,1430265600,11900
81,97.94,98.65,97.2,97.2,ok,1430352000,37300
82,98.65,100.0,98.65,99.71,ok,1430438400,14900
83,96.89,97.67,96.31,97.67,ok,1430697600,6200
84,96.18,96.18,95.2,95.51,ok,1430784000,12400
85,96.32,96.68,95.93,96.02,ok,1430870400,11300
