,c,h,l,o,s,t,v
0,13.87,14.03,13.45,13.72,ok,1420156800,149700
1,13.53,14.4,13.4,13.8,ok,1420416000,274300
2,13.16,13.74,12.8,13.63,ok,1420502400,139700
3,13.18,13.38,12.88,13.38,ok,1420588800,101200
4,13.33,13.51,13.13,13.36,ok,1420675200,85500
5,13.1,13.31,13.03,13.29,ok,1420761600,81100
6,12.98,13.24,12.96,13.13,ok,1421020800,72800
7,13.58,14.0,13.28,13.5,ok,1421107200,295600
8,13.51,13.73,13.1,13.38,ok,1421193600,158200
9,13.11,13.55,12.95,13.54,ok,1421280000,75100
10,13.4,13.48,13.06,13.06,ok,1421366400,76600
11,13.11,13.59,12.83,13.4,ok,1421712000,158800
12,12.8,13.13,12.68,13.08,ok,1421798400,123200
13,13.09,13.14,12.54,12.96,ok,1421884800,151100
14,13.15,13.24,12.95,13.13,ok,1421971200,38000
15,13.28,13.31,12.95,13.15,ok,1422230400,93800
16,13.51,13.66,13.06,13.06,ok,1422316800,90600
17,13.11,13.73,12.96,13.64,ok,1422403200,148100
18,13.31,13.35,12.93,13.19,ok,1422489600,141700
19,12.88,13.41,12.85,13.17,ok,1422576000,169700
20,13.21,13.45,12.57,12.98,ok,1422835200,125700
21,13.16,13.56,13.06,13.32,ok,1422921600,139900
22,13.04,13.19,12.79,13.05,ok,1423008000,83400
23,13.26,13.51,12.76,12.76,ok,1423094400,123900
24,13.24,13.6,13.1,13.3,ok,1423180800,87900
25,12.84,13.19,12.69,13.13,ok,1423440000,93500
26,12.93,13.19,12.9,13.01,ok,1423526400,92200
27,13.16,13.23,12.89,12.89,ok,1423612800,72100
28,13.3,13.3,13.0,13.26,ok,1423699200,67800
29,13.51,13.68,13.2,13.28,ok,1423785600,90400
30,13.14,13.59,13.0,13.49,ok,1424131200,81900
31,13.2,13.23,12.85,13.14,ok,1424217600,72400
32,13.17,13.32,13.11,13.13,ok,1424304000,43300
33,13.22,13.35,13.02,13.19,ok,1424390400,63800
34,13.38,13.57,13.01,13.12,ok,1424649600,49400
35,13.22,13.49,13.16,13.42,ok,1424736000,86200
36,12.91,13.47,12.66,13.22,ok,1424822400,260600
37,12.9,13.05,12.75,12.85,ok,1424908800,177400
38,12.71,13.06,12.65,12.89,ok,1424995200,103700
39,12.98,13.1,12.71,12.71,ok,1425254400,181800
40,12.78,12.95,12.55,12.95,ok,1425340800,87400
41,12.58,12.8,12.39,12.67,ok,1425427200,85300
42,12.82,13.03,12.56,12.64,ok,1425513600,83000
43,12.44,12.72,12.33,12.67,ok,1425600000,86400
44,12.07,12.58,11.94,12.5,ok,1425859200,123900
45,11.78,11.95,11.76,11.9,ok,1425945600,119600
46,11.79,12.01,11.67,11.78,ok,1426032000,112200
47,12.5,12.62,11.95,11.95,ok,1426118400,156300
48,12.6,12.73,12.4,12.53,ok,1426204800,175500
49,12.83,12.99,12.53,12.67,ok,1426464000,233300
50,13.0,13.16,12.7,12.84,ok,1426550400,220000
51,13.09,13.28,12.83,13.01,ok,1426636800,211600
52,13.46,13.5,13.06,13.06,ok,1426723200,144200
53,13.82,13.92,13.51,13.52,ok,1426809600,544600
54,13.35,14.11,13.34,13.75,ok,1427068800,334700
55,13.44,13.62,13.29,13.36,ok,1427155200,206400
56,13.05,13.89,12.81,13.5,ok,1427241600,156300
57,13.09,13.21,12.81,12.97,ok,1427328000,206900
58,13.29,13.3,13.02,13.07,ok,1427414400,176600
59,13.3,13.54,13.12,13.23,ok,1427673600,247100
60,12.98,13.35,12.89,13.25,ok,1427760000,243900
61,12.27,13.04,12.14,12.95,ok,1427846400,201400
62,12.18,12.42,12.01,12.32,ok,1427932800,78800
63,11.84,12.27,11.81,12.06,ok,1428278400,155400
64,11.56,11.89,11.54,11.78,ok,1428364800,112400
65,11.74,11.85,11.57,11.65,ok,1428451200,82400
66,11.66,11.86,11.37,11.67,ok,1428537600,132900
67,11.8,11.88,11.63,11.76,ok,1428624000,164600
68,12.14,12.33,11.62,11.87,ok,1428883200,201000
69,12.27,12.33,11.93,12.12,ok,1428969600,126700
70,12.56,12.6,12.21,12.38,ok,1429056000,105800
71,12.88,13.0,12.29,12.52,ok,1429142400,463700
72,10.86,12.93,10.58,12.75,ok,1429228800,1125600
73,10.85,11.16,10.75,10.75,ok,1429488000,367300
74,10.73,10.85,10.62,10.74,ok,1429574400,105600
75,10.51,10.78,10.42,10.71,ok,1429660800,164900
76,10.93,10.95,10.45,10.52,ok,1429747200,147600
77,10.69,11.04,10.58,11.0,ok,1429833600,113000
78,10.35,10.84,10.2,10.68,ok,1430092800,227200
79,10.04,10.42,9.93,10.31,ok,1430179200,260400
80,9.68,10.22,9.62,10.0,ok,1430265600,291400
81,9.6,9.79,9.51,9.57,ok,1430352000,159600
82,10.11,10.11,9.67,9.67,ok,1430438400,202300
83,10.19,10.45,10.0,10.09,ok,1430697600,291400
84,9.78,10.19,9.75,10.12,ok,1430784000,133600
85,9.38,10.04,9.08,9.87,ok,1430870400,367900
86,9.36,9.37,9.1,9.33,ok,1430956800,211100
87,9.52,9.61,9.34,9.61,ok,1431043200,216300
88,9.41,9.57,9.39,9.55,ok,1431302400,180000
89,9.51,9.56,9.14,9.36,ok,1431388800,124900
90,9.37,9.7,9.32,9.58,ok,1431475200,138100
91,9.42,9.54,9.21,9.41,ok,1431561600,90300
92,9.4,9.5,9.25,9.4,ok,1431648000,71700
93,9.57,9.67,9.21,9.34,ok,1431907200,193500
