,c,h,l,o,s,t,v
0,28.51,31.5,28.0,31.0,ok,1560988800,13395500
1,28.6,29.9,27.88,29.74,ok,1561075200,1773000
2,29.99,30.39,27.75,28.61,ok,1561334400,1085400
3,30.69,31.293,29.599,29.9,ok,1561420800,788900
4,32.98,35.63,31.04,31.49,ok,1561507200,2939200
5,32.71,33.95,32.05,33.31,ok,1561593600,1057100
6,32.88,34.2,32.273,32.74,ok,1561680000,541000
7,33.1,33.74,31.22,33.25,ok,1561939200,995900
8,33.0,33.73,32.607,32.79,ok,1562025600,380700
9,33.2,33.5,33.012,33.02,ok,1562112000,251100
10,33.03,33.49,32.81,33.26,ok,1562284800,191800
11,32.25,33.0,31.6,32.92,ok,1562544000,332300
12,32.68,32.69,32.16,32.16,ok,1562630400,76100
13,32.72,33.0,32.001,32.73,ok,1562716800,266300
14,33.13,33.25,32.32,33.0,ok,1562803200,177900
15,33.81,34.31,32.51,33.12,ok,1562889600,251300
16,35.38,35.56,33.5,33.85,ok,1563148800,556900
17,34.81,36.09,32.71,35.42,ok,1563235200,869300
18,35.45,36.6,34.49,34.78,ok,1563321600,401200
19,35.87,36.05,35.11,35.99,ok,1563408000,176000
20,37.65,38.45,35.72,36.11,ok,1563494400,442300
21,39.25,39.56,37.11,37.7,ok,1563753600,404000
22,36.85,39.44,36.086,39.25,ok,1563840000,745600
23,38.35,39.2,36.9,36.9,ok,1563926400,429900
24,38.16,39.0,37.99,38.47,ok,1564012800,234000
25,38.99,39.0,38.13,38.3,ok,1564099200,157200
26,39.07,39.24,38.41,39.1,ok,1564358400,272000
27,38.54,39.01,38.31,38.95,ok,1564444800,274800
28,38.94,39.1,38.3,38.68,ok,1564531200,220800
29,38.93,39.15,38.0,38.98,ok,1564617600,641200
30,38.75,39.1,37.15,38.8,ok,1564704000,329600
31,38.44,38.56,36.51,37.81,ok,1564963200,614000
32,37.2,38.5,36.741,38.4,ok,1565049600,428600
33,37.6,38.0,36.641,37.09,ok,1565136000,134500
34,37.82,38.25,37.36,37.82,ok,1565222400,134800
35,37.84,38.08,37.06,37.91,ok,1565308800,296600
36,37.54,38.0,37.17,37.97,ok,1565568000,236000
37,37.6,38.0,36.51,37.38,ok,1565654400,535100
38,39.5,42.31,38.52,41.1,ok,1565740800,3592900
39,43.76,43.82,40.0,40.0,ok,1565827200,1243100
40,46.64,47.3,44.58,44.58,ok,1565913600,1134000
41,43.33,47.575,43.0,47.37,ok,1566172800,916000
42,42.96,43.682,41.93,43.38,ok,1566259200,517200
43,41.78,43.96,41.75,43.28,ok,1566345600,319900
44,43.56,43.81,41.65,41.67,ok,1566432000,329200
45,41.75,43.56,41.74,43.2,ok,1566518400,233800
46,42.8,43.29,42.09,42.28,ok,1566777600,190400
47,44.01,46.74,42.6,43.0,ok,1566864000,703600
48,42.57,45.8,42.53,44.11,ok,1566950400,432900
49,41.82,43.4,40.5,42.87,ok,1567036800,575500
50,40.45,42.15,40.04,41.83,ok,1567123200,393500
51,40.3,41.15,39.58,40.36,ok,1567468800,491700
52,40.06,40.703,39.31,40.34,ok,1567555200,372100
53,40.08,40.52,39.6,40.22,ok,1567641600,304800
54,39.74,40.763,39.47,40.1,ok,1567728000,400100
55,37.03,39.95,36.565,39.85,ok,1567987200,834900
56,35.21,36.93,34.21,36.71,ok,1568073600,888200
57,36.65,36.94,34.939,35.21,ok,1568160000,596100
58,36.85,37.69,36.19,36.82,ok,1568246400,420500
59,36.96,37.77,36.601,36.89,ok,1568332800,373700
60,37.15,38.61,36.87,36.9,ok,1568592000,598900
61,36.73,38.21,36.5,37.17,ok,1568678400,259600
62,36.87,37.58,36.32,37.0,ok,1568764800,409500
63,37.42,37.56,36.05,36.06,ok,1568851200,631700
64,38.08,38.7,37.53,37.67,ok,1568937600,2388700
65,38.92,39.33,37.75,38.09,ok,1569196800,434100
66,37.79,39.51,37.34,39.0,ok,1569283200,328800
67,35.91,39.25,35.11,37.77,ok,1569369600,493000
68,35.71,36.32,34.53,35.96,ok,1569456000,361000
69,34.36,36.24,33.83,35.76,ok,1569542400,647400
70,34.68,34.99,33.96,34.21,ok,1569801600,676800
71,33.69,34.64,32.92,34.52,ok,1569888000,1087300
72,33.01,33.18,30.5,30.55,ok,1569974400,1474600
73,33.91,35.3,31.62,34.0,ok,1570060800,2264800
74,34.0,34.75,33.06,34.51,ok,1570147200,6780900
75,33.55,34.35,32.89,34.27,ok,1570406400,1129400
