,c,h,l,o,s,t,v
0,0.63,0.63,0.59,0.62,ok,1420156800,481100
1,0.64,0.68,0.62,0.65,ok,1420416000,599900
2,0.68,0.72,0.65,0.67,ok,1420502400,1557200
3,0.66,0.71,0.66,0.69,ok,1420588800,820600
4,0.65,0.68,0.62,0.66,ok,1420675200,851700
5,0.67,0.67,0.63,0.64,ok,1420761600,392200
6,0.68,0.69,0.66,0.67,ok,1421020800,635200
7,0.66,0.71,0.65,0.69,ok,1421107200,922400
8,0.66,0.69,0.64,0.68,ok,1421193600,605900
9,0.67,0.69,0.65,0.69,ok,1421280000,745600
10,0.7,0.72,0.67,0.68,ok,1421366400,1027700
11,0.75,0.76,0.72,0.73,ok,1421712000,992500
12,0.73,0.78,0.71,0.76,ok,1421798400,808300
13,0.76,0.76,0.71,0.73,ok,1421884800,519400
14,0.72,0.76,0.71,0.75,ok,1421971200,322800
15,0.74,0.75,0.68,0.71,ok,1422230400,571900
16,0.77,0.77,0.73,0.74,ok,1422316800,626400
17,0.72,0.77,0.72,0.77,ok,1422403200,279100
18,0.67,0.72,0.66,0.72,ok,1422489600,659600
19,0.71,0.71,0.66,0.66,ok,1422576000,311600
20,0.7,0.72,0.67,0.71,ok,1422835200,377400
21,0.67,0.7,0.66,0.68,ok,1422921600,529400
22,0.67,0.68,0.66,0.68,ok,1423008000,411600
23,0.67,0.68,0.66,0.67,ok,1423094400,331300
24,0.64,0.67,0.63,0.66,ok,1423180800,661900
25,0.64,0.66,0.63,0.65,ok,1423440000,254600
26,0.63,0.64,0.62,0.64,ok,1423526400,398600
27,0.63,0.64,0.62,0.64,ok,1423612800,226300
28,0.64,0.64,0.62,0.63,ok,1423699200,181300
29,0.64,0.66,0.64,0.64,ok,1423785600,273000
30,0.63,0.65,0.62,0.64,ok,1424131200,288100
31,0.67,0.67,0.62,0.63,ok,1424217600,238400
32,0.64,0.67,0.63,0.66,ok,1424304000,197100
33,0.62,0.66,0.62,0.63,ok,1424390400,518600
34,0.61,0.62,0.61,0.61,ok,1424649600,203300
35,0.62,0.62,0.61,0.62,ok,1424736000,178800
36,0.61,0.62,0.6,0.62,ok,1424822400,384500
37,0.6,0.62,0.6,0.61,ok,1424908800,307000
38,0.62,0.62,0.61,0.61,ok,1424995200,188600
39,0.6,0.62,0.6,0.61,ok,1425254400,261100
40,0.61,0.62,0.6,0.6,ok,1425340800,152500
41,0.6,0.61,0.6,0.61,ok,1425427200,242500
42,0.6,0.61,0.59,0.59,ok,1425513600,244000
43,0.6,0.61,0.58,0.6,ok,1425600000,796400
44,0.55,0.6,0.55,0.58,ok,1425859200,890200
45,0.56,0.57,0.52,0.54,ok,1425945600,823300
46,0.59,0.59,0.52,0.56,ok,1426032000,563500
47,0.55,0.59,0.55,0.59,ok,1426118400,377100
48,0.57,0.57,0.53,0.57,ok,1426204800,257500
49,0.55,0.58,0.54,0.56,ok,1426464000,521500
50,0.54,0.57,0.54,0.55,ok,1426550400,347600
51,0.56,0.57,0.53,0.54,ok,1426636800,417000
52,0.58,0.58,0.54,0.54,ok,1426723200,488400
53,0.57,0.62,0.57,0.58,ok,1426809600,724700
54,0.6,0.61,0.59,0.59,ok,1427068800,251100
55,0.62,0.62,0.6,0.62,ok,1427155200,113000
56,0.62,0.63,0.59,0.62,ok,1427241600,146700
57,0.57,0.61,0.57,0.61,ok,1427328000,315200
58,0.55,0.57,0.55,0.57,ok,1427414400,237100
59,0.54,0.55,0.54,0.55,ok,1427673600,240000
60,0.58,0.58,0.53,0.54,ok,1427760000,980600
61,0.61,0.63,0.56,0.58,ok,1427846400,654600
62,0.6,0.61,0.58,0.6,ok,1427932800,101900
63,0.6,0.61,0.6,0.6,ok,1428278400,172900
64,0.6,0.62,0.6,0.6,ok,1428364800,132700
65,0.58,0.61,0.58,0.6,ok,1428451200,166200
66,0.56,0.59,0.55,0.59,ok,1428537600,176500
67,0.57,0.58,0.56,0.56,ok,1428624000,74800
68,0.55,0.58,0.55,0.57,ok,1428883200,162500
69,0.55,0.56,0.55,0.56,ok,1428969600,277800
70,0.56,0.57,0.55,0.55,ok,1429056000,244500
71,0.56,0.57,0.55,0.57,ok,1429142400,276600
72,0.55,0.58,0.55,0.58,ok,1429228800,170900
73,0.56,0.56,0.54,0.55,ok,1429488000,333700
74,0.56,0.57,0.54,0.55,ok,1429574400,178700
75,0.54,0.56,0.54,0.56,ok,1429660800,190000
76,0.56,0.56,0.54,0.54,ok,1429747200,198300
77,0.53,0.56,0.53,0.55,ok,1429833600,348200
78,0.54,0.56,0.53,0.53,ok,1430092800,317200
79,0.54,0.56,0.53,0.54,ok,1430179200,435000
80,0.53,0.56,0.53,0.54,ok,1430265600,449100
81,0.53,0.55,0.53,0.54,ok,1430352000,450600
82,0.54,0.55,0.53,0.53,ok,1430438400,69800
83,0.54,0.56,0.54,0.55,ok,1430697600,250600
84,0.55,0.56,0.54,0.55,ok,1430784000,116300
85,0.54,0.55,0.53,0.55,ok,1430870400,177800
86,0.54,0.55,0.53,0.54,ok,1430956800,213500
87,0.55,0.57,0.53,0.55,ok,1431043200,475400
88,0.57,0.59,0.55,0.56,ok,1431302400,585300
89,0.58,0.58,0.54,0.54,ok,1431388800,208500
90,0.6,0.6,0.58,0.59,ok,1431475200,499400
91,0.58,0.6,0.57,0.6,ok,1431561600,360900
92,0.6,0.6,0.58,0.59,ok,1431648000,600700
93,0.62,0.62,0.6,0.61,ok,1431907200,380600
94,0.57,0.61,0.56,0.6,ok,1431993600,649400
95,0.57,0.59,0.55,0.59,ok,1432080000,343100
96,0.56,0.58,0.56,0.58,ok,1432166400,82600
97,0.57,0.58,0.55,0.56,ok,1432252800,95000
98,0.55,0.57,0.55,0.56,ok,1432598400,134500
99,0.56,0.56,0.53,0.55,ok,1432684800,266700
100,0.54,0.57,0.54,0.56,ok,1432771200,249600
101,0.53,0.57,0.53,0.54,ok,1432857600,755800
102,0.56,0.56,0.53,0.54,ok,1433116800,250600
103,0.55,0.56,0.55,0.56,ok,1433203200,123700
104,0.54,0.55,0.53,0.54,ok,1433289600,214900
105,0.53,0.54,0.53,0.53,ok,1433376000,333000
106,0.51,0.53,0.51,0.53,ok,1433462400,555400
107,0.49,0.52,0.49,0.52,ok,1433721600,715300
108,0.48,0.51,0.47,0.5,ok,1433808000,755100
109,0.48,0.5,0.48,0.5,ok,1433894400,812000
110,0.45,0.48,0.44,0.48,ok,1433980800,1418000
111,0.47,0.48,0.45,0.46,ok,1434067200,481800
112,0.46,0.46,0.42,0.45,ok,1434326400,1301400
113,0.45,0.47,0.45,0.45,ok,1434412800,623900
114,0.46,0.47,0.45,0.47,ok,1434499200,792200
115,0.48,0.5,0.46,0.5,ok,1434585600,1432500
116,0.32,0.55,0.32,0.49,ok,1434672000,24588800
117,0.41,0.43,0.41,0.42,ok,1434931200,4420000
118,0.43,0.43,0.42,0.42,ok,1435017600,1513000
119,0.44,0.44,0.43,0.44,ok,1435104000,400500
120,0.43,0.44,0.43,0.44,ok,1435190400,403800
121,0.42,0.44,0.42,0.43,ok,1435276800,396200
122,0.43,0.44,0.42,0.42,ok,1435536000,240500
123,0.43,0.43,0.42,0.43,ok,1435622400,169200
124,0.42,0.43,0.42,0.43,ok,1435708800,206500
125,0.43,0.44,0.42,0.42,ok,1435795200,189400
126,0.43,0.44,0.42,0.44,ok,1436140800,228100
127,0.41,0.42,0.4,0.41,ok,1436227200,653100
128,0.38,0.41,0.38,0.41,ok,1436313600,511700
129,0.41,0.41,0.38,0.38,ok,1436400000,261400
130,0.41,0.41,0.39,0.41,ok,1436486400,420800
131,0.4,0.4,0.37,0.39,ok,1436745600,594800
132,0.42,0.42,0.4,0.4,ok,1436832000,126400
133,0.39,0.42,0.39,0.41,ok,1436918400,295800
134,0.4,0.41,0.38,0.39,ok,1437004800,266500
135,0.38,0.4,0.38,0.4,ok,1437091200,322600
136,0.35,0.37,0.34,0.37,ok,1437350400,894200
137,0.35,0.36,0.34,0.35,ok,1437436800,424800
138,0.33,0.34,0.32,0.33,ok,1437523200,774300
139,0.32,0.33,0.32,0.32,ok,1437609600,326700
140,0.34,0.34,0.3,0.31,ok,1437696000,430700
141,0.33,0.34,0.32,0.32,ok,1437955200,316300
142,0.34,0.34,0.33,0.33,ok,1438041600,148600
143,0.33,0.35,0.33,0.34,ok,1438128000,130100
144,0.33,0.34,0.33,0.33,ok,1438214400,99500
145,0.35,0.35,0.34,0.34,ok,1438300800,274100
146,0.34,0.37,0.34,0.35,ok,1438560000,211500
147,0.34,0.35,0.33,0.35,ok,1438646400,174400
148,0.34,0.35,0.34,0.34,ok,1438732800,114600
149,0.35,0.36,0.34,0.35,ok,1438819200,168700
150,0.35,0.36,0.34,0.35,ok,1438905600,335300
151,0.39,0.41,0.35,0.36,ok,1439164800,727000
152,0.43,0.45,0.4,0.4,ok,1439251200,972700
153,0.47,0.49,0.44,0.49,ok,1439337600,1592100
154,0.45,0.47,0.44,0.47,ok,1439424000,582400
155,0.42,0.48,0.41,0.47,ok,1439510400,668000
156,0.43,0.45,0.42,0.43,ok,1439769600,273700
157,0.41,0.43,0.4,0.43,ok,1439856000,422500
158,0.43,0.46,0.41,0.42,ok,1439942400,336200
159,0.45,0.47,0.45,0.46,ok,1440028800,341400
160,0.42,0.46,0.41,0.46,ok,1440115200,380900
161,0.39,0.4,0.38,0.39,ok,1440374400,519000
162,0.38,0.4,0.38,0.39,ok,1440460800,202600
163,0.37,0.38,0.36,0.36,ok,1440547200,452700
164,0.38,0.4,0.37,0.38,ok,1440633600,309400
165,0.4,0.42,0.39,0.39,ok,1440720000,232300
166,0.41,0.41,0.4,0.41,ok,1440979200,147700
167,0.4,0.43,0.4,0.4,ok,1441065600,216200
168,0.4,0.4,0.39,0.4,ok,1441152000,82300
169,0.41,0.41,0.39,0.4,ok,1441238400,130600
170,0.4,0.41,0.39,0.39,ok,1441324800,81800
171,0.38,0.41,0.38,0.41,ok,1441670400,125700
172,0.37,0.39,0.37,0.38,ok,1441756800,279000
173,0.38,0.39,0.37,0.38,ok,1441843200,273600
174,0.4,0.4,0.37,0.38,ok,1441929600,296300
175,0.39,0.41,0.38,0.39,ok,1442188800,183300
176,0.37,0.4,0.37,0.38,ok,1442275200,281400
177,0.41,0.41,0.38,0.38,ok,1442361600,520600
178,0.41,0.43,0.4,0.41,ok,1442448000,162600
179,0.4,0.43,0.4,0.42,ok,1442534400,207500
180,0.43,0.44,0.38,0.4,ok,1442793600,533300
181,0.38,0.42,0.38,0.42,ok,1442880000,500600
182,0.4,0.41,0.39,0.39,ok,1442966400,174300
183,0.42,0.44,0.41,0.41,ok,1443052800,261500
184,0.43,0.43,0.41,0.41,ok,1443139200,99400
185,0.4,0.42,0.38,0.4,ok,1443398400,381100
186,0.4,0.42,0.39,0.4,ok,1443484800,94500
187,0.39,0.41,0.39,0.39,ok,1443571200,106000
188,0.4,0.4,0.39,0.39,ok,1443657600,141100
189,0.42,0.43,0.4,0.4,ok,1443744000,228700
190,0.42,0.43,0.41,0.43,ok,1444003200,307700
191,0.48,0.49,0.43,0.43,ok,1444089600,1365900
192,0.48,0.49,0.44,0.49,ok,1444176000,445200
193,0.47,0.49,0.44,0.47,ok,1444262400,236300
194,0.54,0.54,0.48,0.49,ok,1444348800,1184600
195,0.53,0.59,0.53,0.55,ok,1444608000,813300
196,0.54,0.56,0.53,0.53,ok,1444694400,505300
197,0.61,0.61,0.55,0.55,ok,1444780800,2143200
198,0.63,0.63,0.58,0.61,ok,1444867200,788600
199,0.55,0.62,0.55,0.62,ok,1444953600,920500
200,0.53,0.56,0.51,0.53,ok,1445212800,717000
201,0.58,0.58,0.5,0.51,ok,1445299200,309000
202,0.56,0.57,0.51,0.55,ok,1445385600,331300
203,0.54,0.57,0.53,0.53,ok,1445472000,367400
204,0.56,0.56,0.53,0.55,ok,1445558400,233100
205,0.55,0.57,0.54,0.56,ok,1445817600,281200
206,0.55,0.57,0.54,0.55,ok,1445904000,570900
207,0.57,0.58,0.54,0.55,ok,1445990400,857800
208,0.54,0.56,0.54,0.55,ok,1446076800,526300
209,0.56,0.57,0.54,0.54,ok,1446163200,421400
210,0.55,0.55,0.53,0.55,ok,1446422400,489900
211,0.54,0.55,0.53,0.54,ok,1446508800,425800
212,0.57,0.6,0.55,0.56,ok,1446595200,784900
213,0.48,0.59,0.45,0.59,ok,1446681600,1285400
214,0.47,0.48,0.43,0.45,ok,1446768000,465100
215,0.46,0.47,0.44,0.47,ok,1447027200,370900
216,0.44,0.45,0.44,0.44,ok,1447113600,282600
217,0.46,0.46,0.44,0.46,ok,1447200000,274600
218,0.47,0.48,0.45,0.45,ok,1447286400,336100
219,0.47,0.48,0.44,0.44,ok,1447372800,364700
220,0.46,0.5,0.46,0.5,ok,1447632000,235400
221,0.44,0.48,0.43,0.47,ok,1447718400,231900
222,0.45,0.46,0.44,0.44,ok,1447804800,138900
223,0.46,0.48,0.44,0.46,ok,1447891200,383600
224,0.46,0.48,0.45,0.46,ok,1447977600,137900
225,0.45,0.47,0.44,0.45,ok,1448236800,102700
226,0.47,0.48,0.46,0.46,ok,1448323200,159600
227,0.48,0.48,0.46,0.47,ok,1448409600,93700
228,0.46,0.47,0.45,0.46,ok,1448582400,101600
229,0.47,0.48,0.46,0.46,ok,1448841600,171700
230,0.48,0.48,0.47,0.48,ok,1448928000,297900
231,0.48,0.48,0.47,0.48,ok,1449014400,194100
232,0.49,0.5,0.48,0.48,ok,1449100800,339600
233,0.51,0.51,0.49,0.49,ok,1449187200,205500
234,0.49,0.51,0.49,0.5,ok,1449446400,315200
235,0.49,0.51,0.47,0.48,ok,1449532800,418400
236,0.51,0.52,0.49,0.5,ok,1449619200,267400
237,0.51,0.52,0.51,0.51,ok,1449705600,256100
238,0.49,0.5,0.48,0.5,ok,1449792000,190000
239,0.47,0.49,0.47,0.49,ok,1450051200,282700
240,0.47,0.48,0.47,0.48,ok,1450137600,110400
241,0.49,0.5,0.47,0.48,ok,1450224000,349700
242,0.45,0.49,0.44,0.49,ok,1450310400,469800
243,0.46,0.47,0.45,0.45,ok,1450396800,132300
244,0.46,0.47,0.46,0.46,ok,1450656000,220500
245,0.45,0.47,0.45,0.47,ok,1450742400,187200
246,0.48,0.49,0.46,0.46,ok,1450828800,297900
247,0.5,0.51,0.49,0.49,ok,1450915200,131400
248,0.54,0.55,0.49,0.5,ok,1451260800,519000
249,0.52,0.54,0.51,0.51,ok,1451347200,289600
250,0.5,0.52,0.47,0.51,ok,1451433600,626600
251,0.5,0.51,0.47,0.5,ok,1451520000,429100
252,0.51,0.53,0.5,0.52,ok,1451865600,277200
253,0.49,0.53,0.49,0.53,ok,1451952000,97600
254,0.5,0.51,0.49,0.5,ok,1452038400,274000
255,0.52,0.53,0.5,0.5,ok,1452124800,386700
256,0.49,0.53,0.49,0.53,ok,1452211200,361500
257,0.49,0.52,0.49,0.52,ok,1452470400,591100
258,0.47,0.5,0.46,0.5,ok,1452556800,445500
259,0.46,0.48,0.46,0.46,ok,1452643200,230300
260,0.41,0.47,0.41,0.47,ok,1452729600,460500
261,0.44,0.45,0.43,0.43,ok,1452816000,273500
262,0.41,0.43,0.41,0.43,ok,1453161600,372700
263,0.44,0.46,0.42,0.42,ok,1453248000,364200
264,0.46,0.46,0.42,0.42,ok,1453334400,96200
265,0.45,0.46,0.43,0.45,ok,1453420800,549300
266,0.46,0.47,0.45,0.46,ok,1453680000,246100
267,0.5,0.5,0.46,0.47,ok,1453766400,532600
268,0.51,0.52,0.48,0.49,ok,1453852800,614300
269,0.5,0.52,0.49,0.5,ok,1453939200,402500
270,0.51,0.52,0.5,0.51,ok,1454025600,314500
271,0.54,0.54,0.52,0.52,ok,1454284800,270900
272,0.51,0.55,0.51,0.52,ok,1454371200,283400
273,0.54,0.55,0.51,0.52,ok,1454457600,467400
274,0.56,0.59,0.56,0.57,ok,1454544000,715400
275,0.58,0.59,0.55,0.58,ok,1454630400,834900
276,0.56,0.62,0.54,0.59,ok,1454889600,1461700
277,0.54,0.57,0.53,0.55,ok,1454976000,611900
278,0.54,0.55,0.52,0.54,ok,1455062400,334600
279,0.61,0.61,0.57,0.58,ok,1455148800,1218200
280,0.65,0.65,0.59,0.61,ok,1455235200,1011100
281,0.61,0.64,0.6,0.63,ok,1455580800,776700
282,0.63,0.65,0.62,0.62,ok,1455667200,358200
283,0.69,0.69,0.62,0.62,ok,1455753600,886100
284,0.74,0.75,0.7,0.71,ok,1455840000,1169600
285,0.71,0.75,0.68,0.7,ok,1456099200,676900
286,0.74,0.74,0.71,0.74,ok,1456185600,786200
287,0.77,0.79,0.73,0.75,ok,1456272000,812100
288,0.75,0.79,0.75,0.76,ok,1456358400,469200
289,0.7,0.77,0.67,0.77,ok,1456444800,1013600
290,0.69,0.71,0.68,0.69,ok,1456704000,548600
291,0.67,0.71,0.64,0.71,ok,1456790400,926200
292,0.69,0.7,0.66,0.66,ok,1456876800,400600
293,0.74,0.75,0.68,0.69,ok,1456963200,578600
294,0.78,0.83,0.77,0.77,ok,1457049600,1474800
295,0.82,0.85,0.8,0.81,ok,1457308800,1115300
296,0.81,0.85,0.78,0.85,ok,1457395200,835700
297,0.8,0.82,0.76,0.78,ok,1457481600,401100
298,0.86,0.89,0.82,0.84,ok,1457568000,1130300
299,0.87,0.88,0.85,0.87,ok,1457654400,802600
300,0.82,0.88,0.81,0.88,ok,1457913600,907200
301,0.82,0.85,0.77,0.78,ok,1458000000,910600
302,0.91,0.92,0.82,0.83,ok,1458086400,811800
303,0.98,1.04,0.91,0.91,ok,1458172800,2169300
304,0.98,1.03,0.96,0.98,ok,1458259200,1002300
305,1.01,1.03,0.96,0.99,ok,1458518400,1542900
306,1.05,1.08,1.02,1.04,ok,1458604800,1175400
307,1.01,1.03,0.93,0.97,ok,1458691200,1376700
308,0.96,1.02,0.96,0.99,ok,1458777600,708600
309,0.98,0.98,0.96,0.98,ok,1459123200,462000
310,1.01,1.02,0.97,0.97,ok,1459209600,1005500
311,0.97,1.03,0.92,1.0,ok,1459296000,1459400
312,0.95,1.02,0.94,1.0,ok,1459382400,588400
313,0.98,0.98,0.86,0.9,ok,1459468800,1433600
314,0.9,0.98,0.9,0.93,ok,1459728000,698300
315,0.95,0.95,0.91,0.91,ok,1459814400,604900
316,0.95,0.96,0.92,0.94,ok,1459900800,434200
317,0.96,0.99,0.95,0.98,ok,1459987200,493200
318,1.02,1.02,0.96,0.96,ok,1460073600,1183800
319,1.12,1.14,0.96,1.07,ok,1460332800,2185500
320,1.15,1.16,1.1,1.11,ok,1460419200,1662100
321,1.15,1.18,1.12,1.15,ok,1460505600,794800
322,1.13,1.18,1.11,1.15,ok,1460592000,877900
323,1.19,1.19,1.12,1.13,ok,1460678400,735700
324,1.26,1.26,1.2,1.21,ok,1460937600,1789900
325,1.45,1.45,1.37,1.39,ok,1461024000,2927800
326,1.46,1.64,1.46,1.56,ok,1461110400,4954000
327,1.48,1.62,1.45,1.59,ok,1461196800,3013600
328,1.39,1.55,1.27,1.51,ok,1461283200,3034800
329,1.43,1.47,1.42,1.47,ok,1461542400,1452100
330,1.61,1.62,1.44,1.49,ok,1461628800,2069400
331,1.78,1.79,1.66,1.67,ok,1461715200,3481600
332,1.97,1.98,1.8,1.81,ok,1461801600,3531100
333,2.16,2.25,2.04,2.04,ok,1461888000,5539400
334,1.85,2.25,1.81,2.22,ok,1462147200,8055800
335,1.75,1.9,1.59,1.89,ok,1462233600,6178300
336,1.57,1.7,1.38,1.59,ok,1462320000,5927900
337,1.62,1.71,1.6,1.66,ok,1462406400,2236300
338,1.84,1.85,1.71,1.73,ok,1462492800,2929000
339,1.66,1.77,1.61,1.74,ok,1462752000,2209500
340,1.72,1.76,1.62,1.63,ok,1462838400,1355100
341,1.85,1.94,1.75,1.86,ok,1462924800,2734200
342,1.78,1.85,1.72,1.83,ok,1463011200,1975700
343,1.75,1.82,1.72,1.76,ok,1463097600,1138100
344,1.77,1.85,1.75,1.83,ok,1463356800,1606700
345,1.82,1.84,1.76,1.79,ok,1463443200,1441100
346,1.61,1.8,1.6,1.78,ok,1463529600,2054400
347,1.65,1.68,1.38,1.51,ok,1463616000,2556800
348,1.65,1.7,1.57,1.7,ok,1463702400,1404500
349,1.68,1.72,1.6,1.67,ok,1463961600,1129100
350,1.51,1.61,1.5,1.54,ok,1464048000,1734400
351,1.55,1.59,1.46,1.46,ok,1464134400,1370600
352,1.52,1.66,1.51,1.6,ok,1464220800,941600
353,1.44,1.53,1.44,1.51,ok,1464307200,1260300
354,1.4,1.47,1.33,1.41,ok,1464652800,2167500
355,1.41,1.47,1.36,1.41,ok,1464739200,1067300
356,1.45,1.46,1.4,1.44,ok,1464825600,740900
357,1.58,1.6,1.54,1.58,ok,1464912000,2266500
358,1.65,1.66,1.57,1.65,ok,1465171200,1698500
359,1.63,1.65,1.58,1.61,ok,1465257600,847000
360,1.69,1.77,1.67,1.77,ok,1465344000,1811600
361,1.73,1.74,1.67,1.7,ok,1465430400,1070800
362,1.68,1.78,1.6,1.78,ok,1465516800,1650300
363,1.66,1.74,1.63,1.73,ok,1465776000,1028700
364,1.6,1.67,1.6,1.66,ok,1465862400,883500
365,1.69,1.71,1.6,1.6,ok,1465948800,1553900
366,1.64,1.8,1.63,1.78,ok,1466035200,1973000
367,1.55,1.69,1.55,1.67,ok,1466121600,1302300
368,1.62,1.64,1.44,1.56,ok,1466380800,1548100
369,1.52,1.58,1.5,1.54,ok,1466467200,911800
370,1.56,1.57,1.49,1.49,ok,1466553600,564600
371,1.53,1.62,1.53,1.58,ok,1466640000,718400
372,1.58,1.72,1.56,1.72,ok,1466726400,1729200
373,1.49,1.62,1.46,1.62,ok,1466985600,1813700
374,1.54,1.56,1.48,1.49,ok,1467072000,852600
375,1.68,1.7,1.6,1.61,ok,1467158400,2116200
376,1.65,1.74,1.62,1.7,ok,1467244800,2391500
377,1.72,1.76,1.67,1.76,ok,1467331200,2271900
378,1.87,1.89,1.75,1.75,ok,1467676800,3673400
379,1.86,2.0,1.83,1.89,ok,1467763200,4228000
380,1.54,1.65,1.5,1.64,ok,1467849600,11840500
381,1.52,1.56,1.5,1.54,ok,1467936000,3639500
382,1.55,1.58,1.47,1.55,ok,1468195200,5555400
383,1.47,1.57,1.47,1.57,ok,1468281600,3453700
384,1.48,1.52,1.46,1.51,ok,1468368000,2787400
385,1.4,1.47,1.39,1.46,ok,1468454400,3885900
386,1.36,1.4,1.34,1.39,ok,1468540800,3205300
387,1.32,1.38,1.3,1.37,ok,1468800000,3167100
388,1.35,1.36,1.3,1.32,ok,1468886400,1869100
389,1.31,1.35,1.28,1.3,ok,1468972800,2295700
390,1.33,1.36,1.31,1.31,ok,1469059200,1424500
391,1.34,1.34,1.31,1.32,ok,1469145600,976300
392,1.26,1.33,1.23,1.31,ok,1469404800,1832000
