,c,h,l,o,s,t,v
0,15.3302,15.4522,15.2902,15.3702,ok,1498435200,832500
1,15.2417,15.3807,15.1117,15.2917,ok,1498521600,738300
2,15.2578,15.3978,14.9178,15.0078,ok,1498608000,462700
3,15.1531,15.3031,15.0531,15.0631,ok,1498694400,791800
4,15.2336,15.3136,15.1136,15.1136,ok,1498780800,515300
5,15.2417,15.3717,15.1817,15.3717,ok,1499040000,67600
6,15.3785,15.4885,15.1885,15.1885,ok,1499212800,258200
7,15.2497,15.3097,15.1697,15.2197,ok,1499299200,82900
8,15.2578,15.3478,15.2078,15.2278,ok,1499385600,105600
9,15.298,15.417,15.198,15.198,ok,1499644800,154100
10,15.3061,15.3961,15.2861,15.3361,ok,1499731200,101800
11,15.3544,15.4344,15.2944,15.3544,ok,1499817600,77500
12,15.4027,15.5327,15.3327,15.5327,ok,1499904000,89100
13,15.4591,15.5171,15.3591,15.3591,ok,1499990400,112000
14,15.3544,15.5244,15.3244,15.4844,ok,1500249600,199100
15,15.298,15.528,15.268,15.298,ok,1500336000,360900
16,15.3383,15.4083,15.2383,15.2983,ok,1500422400,429900
17,15.3383,15.4983,15.3283,15.4283,ok,1500508800,146300
18,15.298,15.528,15.258,15.278,ok,1500595200,283100
19,15.3302,15.5202,15.2702,15.5202,ok,1500854400,346900
20,15.2658,15.3598,15.1758,15.3058,ok,1500940800,357200
21,15.1934,15.3234,15.1934,15.3234,ok,1501027200,186000
22,15.1209,15.2809,15.1109,15.2109,ok,1501113600,156600
23,15.137,15.222,15.087,15.117,ok,1501200000,121800
24,15.1773,15.2773,15.1473,15.1473,ok,1501459200,78600
25,15.2175,15.2575,15.1075,15.1075,ok,1501545600,55100
26,15.4832,15.4932,15.0732,15.0832,ok,1501632000,159600
27,15.443,15.513,15.273,15.403,ok,1501718400,132400
28,15.5396,15.5396,15.2996,15.3296,ok,1501804800,93900
29,15.4993,15.5493,15.4293,15.5493,ok,1502064000,114500
30,15.4349,15.5649,15.4249,15.5149,ok,1502150400,116400
31,15.2658,15.5258,15.2158,15.4558,ok,1502236800,147700
32,15.4108,15.4708,15.2408,15.2708,ok,1502323200,125200
33,15.5235,15.5235,15.2435,15.4935,ok,1502409600,54300
34,15.3785,15.5785,15.3685,15.5785,ok,1502668800,150300
35,15.3463,15.5863,15.3163,15.5163,ok,1502755200,207400
36,15.4671,15.4671,15.3171,15.3571,ok,1502841600,60100
37,15.443,15.563,15.373,15.413,ok,1502928000,74900
38,15.3544,15.5344,15.3144,15.4844,ok,1503014400,252600
39,15.3785,15.3985,15.3485,15.3985,ok,1503273600,59200
40,15.3785,15.5185,15.3085,15.3285,ok,1503360000,77300
41,15.3383,15.4283,15.3383,15.4283,ok,1503446400,71600
42,15.4108,15.4508,15.3008,15.4008,ok,1503532800,73600
43,15.451,15.461,15.331,15.371,ok,1503619200,53400
44,15.443,15.503,15.383,15.423,ok,1503878400,63600
45,15.3222,15.4922,15.3022,15.4922,ok,1503964800,58900
46,15.4188,15.4278,15.1888,15.3408,ok,1504051200,110200
47,15.4108,15.4608,15.3708,15.4208,ok,1504137600,83700
48,15.451,15.471,15.381,15.411,ok,1504224000,91900
49,15.4913,15.4913,15.3803,15.4413,ok,1504569600,170700
50,15.443,15.518,15.343,15.503,ok,1504656000,119900
51,15.4027,15.4727,15.3427,15.3627,ok,1504742400,69600
52,15.3302,15.4802,15.2912,15.3802,ok,1504828800,104700
53,15.4188,15.4688,15.3538,15.3688,ok,1505088000,117400
54,15.4832,15.4932,15.3632,15.3632,ok,1505174400,93600
