,c,h,l,o,s,t,v
0,90.1945,90.5045,89.0445,89.7345,ok,1420156800,383600
1,87.423,90.093,87.153,90.093,ok,1420416000,565300
2,86.8951,88.9251,86.8051,87.4751,ok,1420502400,1078500
3,86.4803,88.2003,86.2803,87.3203,ok,1420588800,630200
4,88.0452,89.1352,86.6452,86.6452,ok,1420675200,647500
5,87.0177,88.4077,86.5677,88.4077,ok,1420761600,572300
6,86.1693,86.9893,85.3193,86.9893,ok,1421020800,423800
7,86.1316,87.2916,85.0016,86.5916,ok,1421107200,391000
8,85.0475,85.6875,83.8275,85.4975,ok,1421193600,505100
9,84.0765,85.9065,84.0565,84.6665,ok,1421280000,584300
10,84.5667,84.6467,83.4467,84.1267,ok,1421366400,789100
11,84.529,85.429,84.059,84.809,ok,1421712000,494100
12,85.2737,85.3837,83.9237,84.1737,ok,1421798400,459700
13,85.9053,86.1353,84.8053,86.0353,ok,1421884800,517400
14,82.408,85.998,82.328,85.878,ok,1421971200,842500
15,83.0962,83.1962,81.9462,82.1362,ok,1422230400,629100
16,83.2753,83.6053,81.9353,82.1253,ok,1422316800,536600
17,81.5785,83.5985,81.3885,83.5285,ok,1422403200,560100
18,80.1362,82.2462,79.3762,82.1262,ok,1422489600,1703500
19,81.7104,82.5105,79.7104,79.9804,ok,1422576000,579500
20,82.8322,82.8522,80.9122,81.8122,ok,1422835200,721300
21,85.4057,85.7557,83.0957,83.0957,ok,1422921600,768900
22,85.8865,85.9865,84.1765,84.8365,ok,1423008000,1024200
23,96.4538,99.0338,92.6438,93.6338,ok,1423094400,3801300
24,94.4742,97.0442,93.6442,96.5942,ok,1423180800,1971100
25,92.5888,94.9788,92.4688,94.5888,ok,1423440000,950800
26,92.7774,93.6174,91.6874,93.0574,ok,1423526400,1129800
27,93.6069,93.7969,91.5469,93.0769,ok,1423612800,775000
28,94.1914,95.6114,93.9314,94.3814,ok,1423699200,755100
29,95.7845,96.0045,94.3745,94.3745,ok,1423785600,841400
30,95.0398,96.2098,94.9898,95.7198,ok,1424131200,691600
31,94.2856,94.7457,93.7057,94.6956,ok,1424217600,581300
32,93.9651,94.4851,93.5451,93.5451,ok,1424304000,449900
33,94.6062,94.6662,92.8862,93.8562,ok,1424390400,479200
34,95.0021,95.0021,93.7121,94.2221,ok,1424649600,471000
35,94.3045,95.5545,94.1945,95.2345,ok,1424736000,280700
36,93.9463,95.0263,93.3063,94.3463,ok,1424822400,762100
37,93.9746,94.7146,93.4946,94.0546,ok,1424908800,293400
38,93.4655,94.5355,93.3655,93.7355,ok,1424995200,229700
39,94.5307,95.0607,92.9107,93.4007,ok,1425254400,620100
40,93.7578,94.5578,93.2578,94.0778,ok,1425340800,283600
41,93.4938,93.7138,92.9738,93.5738,ok,1425427200,287500
42,93.475,94.505,93.105,93.765,ok,1425513600,432600
43,92.2495,93.7995,91.6695,93.0795,ok,1425600000,517800
44,92.9282,93.6482,91.9082,92.1082,ok,1425859200,364000
45,91.6179,92.3979,91.5079,92.3679,ok,1425945600,348900
46,90.7412,92.2312,90.5712,91.6812,ok,1426032000,415200
47,91.5331,91.7131,90.5031,91.4631,ok,1426118400,668700
48,90.2699,91.4999,89.6699,91.2599,ok,1426204800,616300
49,90.5621,90.6821,89.4621,90.2421,ok,1426464000,594500
50,90.317,90.537,89.487,89.827,ok,1426550400,511600
51,91.3445,92.0145,89.4445,89.7545,ok,1426636800,482000
52,90.5433,91.2333,89.8633,91.2333,ok,1426723200,238100
53,91.7499,91.8399,90.3599,90.9199,ok,1426809600,604900
54,92.0327,92.8927,91.5927,91.5927,ok,1427068800,546200
55,91.3539,92.4439,91.1339,91.9539,ok,1427155200,291000
56,90.383,92.183,90.343,91.653,ok,1427241600,372300
57,91.5236,92.0136,89.9236,90.2636,ok,1427328000,573600
58,92.504,92.614,90.804,91.314,ok,1427414400,468300
59,93.1922,93.4922,92.5422,93.3822,ok,1427673600,512400
60,93.2016,93.2016,91.9316,92.2416,ok,1427760000,615000
61,92.5794,93.4194,92.0294,93.4194,ok,1427846400,587500
62,92.8622,93.4522,92.2922,92.2922,ok,1427932800,344000
63,93.5881,94.0681,92.6781,92.6781,ok,1428278400,370100
64,93.5598,94.2998,93.4398,93.6498,ok,1428364800,285500
65,93.475,94.295,92.775,93.545,ok,1428451200,381900
66,93.8709,94.2509,93.4509,93.4509,ok,1428537600,483500
67,93.7954,94.7355,93.5154,94.2355,ok,1428624000,467100
68,93.3241,94.0241,93.2741,93.8741,ok,1428883200,303500
69,93.0979,93.4279,92.8079,93.3279,ok,1428969600,393800
70,93.3807,94.1507,92.8507,93.5507,ok,1429056000,888200
71,92.4003,93.5103,92.4003,93.3603,ok,1429142400,786600
72,91.1277,92.7977,90.8777,92.1077,ok,1429228800,884000
73,90.9958,92.4658,90.8758,91.7858,ok,1429488000,957700
74,91.5048,91.7948,90.4448,91.0148,ok,1429574400,986200
75,91.5331,92.7831,90.8331,91.493,ok,1429660800,1409700
76,91.4011,94.3611,90.6211,92.4611,ok,1429747200,1506200
77,91.5048,92.0448,90.2148,91.4348,ok,1429833600,791100
78,91.6179,91.8679,91.0079,91.4679,ok,1430092800,692300
79,91.8819,91.9719,90.9219,91.5019,ok,1430179200,684500
80,92.1175,92.6675,90.9675,91.6575,ok,1430265600,619600
81,91.1749,92.1049,91.0448,91.7948,ok,1430352000,686700
82,91.7499,92.2799,91.2299,91.2299,ok,1430438400,494100
83,91.6839,92.4139,91.3539,91.6739,ok,1430697600,349900
84,90.8543,92.3043,90.4343,91.7543,ok,1430784000,363800
