,c,h,l,o,s,t,v
0,12.1498,12.3298,12.0198,12.3298,ok,1420156800,16000
1,11.872,12.322,11.752,12.182,ok,1420416000,41700
2,11.6324,11.9524,11.5924,11.9524,ok,1420502400,43100
3,11.7091,11.7891,11.6091,11.6091,ok,1420588800,24500
4,11.6612,11.8612,11.6612,11.8512,ok,1420675200,19400
5,11.5366,11.7066,11.4766,11.6866,ok,1420761600,9100
6,11.2875,11.5875,11.1875,11.5875,ok,1421020800,19600
7,10.8563,11.4963,10.7163,11.4563,ok,1421107200,19300
8,10.0418,10.9418,9.7618,10.9418,ok,1421193600,44000
9,9.8406,10.1706,9.7606,10.1706,ok,1421280000,49500
10,9.716,9.776,9.426,9.746,ok,1421366400,32600
11,9.5819,9.7419,9.4719,9.6919,ok,1421712000,97600
12,9.5915,9.8415,9.5615,9.6215,ok,1421798400,41300
13,9.6777,9.7577,9.5877,9.6977,ok,1421884800,147100
14,9.6202,9.8302,9.5902,9.8002,ok,1421971200,96000
15,9.6585,9.7385,9.5785,9.7285,ok,1422230400,20400
16,9.4669,9.8469,9.4669,9.6369,ok,1422316800,32600
17,9.4765,9.6565,9.3865,9.5665,ok,1422403200,19400
18,9.4382,9.7082,9.2982,9.5182,ok,1422489600,7900
19,9.946,9.976,9.386,9.416,ok,1422576000,50700
20,10.061,10.241,9.981,10.091,ok,1422835200,139600
21,10.1376,10.2176,9.9876,10.2076,ok,1422921600,64200
22,10.0802,10.2102,9.9902,10.2102,ok,1423008000,1142000
23,10.0514,10.0914,9.9114,10.0314,ok,1423094400,43000
24,9.7639,10.1139,9.7439,10.0939,ok,1423180800,22900
25,9.534,9.894,9.474,9.894,ok,1423440000,59500
26,9.2944,9.5744,9.2344,9.5644,ok,1423526400,26100
27,9.1411,9.3611,9.0911,9.3611,ok,1423612800,21800
28,9.122,9.272,9.102,9.272,ok,1423699200,61800
29,9.1795,9.1995,9.1295,9.1795,ok,1423785600,31100
30,9.0261,9.2361,8.8661,9.2361,ok,1424131200,24400
31,8.9782,9.1382,8.6582,9.0582,ok,1424217600,125200
32,8.9495,9.2095,8.9395,9.1095,ok,1424304000,22300
33,8.8153,9.0753,8.7853,9.0753,ok,1424390400,47600
34,8.7387,8.9387,8.7387,8.8787,ok,1424649600,93500
35,8.8058,8.8958,8.7358,8.8058,ok,1424736000,80600
36,8.7579,8.8279,8.5978,8.6979,ok,1424822400,230200
37,8.7483,8.8483,8.6883,8.8483,ok,1424908800,146900
38,8.7674,8.8174,8.6374,8.6974,ok,1424995200,56500
39,8.48,8.85,8.47,8.79,ok,1425254400,88100
40,8.5854,8.6154,8.4354,8.4354,ok,1425340800,35300
41,8.5183,8.6283,8.4783,8.5883,ok,1425427200,143800
42,8.595,8.625,8.475,8.475,ok,1425513600,85500
43,8.5375,8.8275,8.4875,8.5975,ok,1425600000,30600
44,8.4225,8.5825,8.3825,8.5525,ok,1425859200,63000
45,8.4416,8.5316,8.3816,8.3816,ok,1425945600,53900
46,8.4608,8.5508,8.4308,8.4308,ok,1426032000,112100
47,8.3075,8.5975,8.2675,8.5375,ok,1426118400,213000
48,8.3362,8.5362,8.1762,8.5362,ok,1426204800,46300
49,8.3171,8.3371,8.0771,8.3071,ok,1426464000,16500
50,8.25,8.49,8.22,8.32,ok,1426550400,137500
51,8.0105,8.3905,7.9005,8.2905,ok,1426636800,238500
52,7.7901,8.1501,7.6601,8.0701,ok,1426723200,245300
53,7.8572,7.9572,7.8072,7.8172,ok,1426809600,156100
54,7.8092,7.9592,7.8092,7.8992,ok,1427068800,27400
55,7.6559,7.8559,7.5859,7.8559,ok,1427155200,68000
56,7.5601,7.6801,7.5401,7.6801,ok,1427241600,38800
57,7.4355,7.7055,7.3755,7.6055,ok,1427328000,33700
58,7.4451,7.5251,7.1151,7.4151,ok,1427414400,47400
59,7.5026,7.6526,7.4626,7.5026,ok,1427673600,18300
60,7.2343,7.4543,7.1443,7.3243,ok,1427760000,55100
61,7.2439,7.3939,7.2139,7.3139,ok,1427846400,67700
62,7.196,7.316,7.116,7.116,ok,1427932800,53600
63,7.2056,7.4056,7.1556,7.2756,ok,1428278400,117000
64,7.1673,7.3073,7.1573,7.2273,ok,1428364800,59300
65,7.081,7.301,7.031,7.211,ok,1428451200,54600
66,7.0714,7.1814,7.0214,7.1314,ok,1428537600,88500
67,7.196,7.256,7.076,7.086,ok,1428624000,65200
68,7.2152,7.2552,6.9952,7.2252,ok,1428883200,273900
69,7.4643,7.5343,7.1743,7.2643,ok,1428969600,84400
70,7.3397,7.6397,7.2797,7.5497,ok,1429056000,743700
71,7.6464,7.6764,7.2664,7.2664,ok,1429142400,76500
72,7.5505,7.7705,7.4505,7.6705,ok,1429228800,156900
73,7.4643,7.7043,7.4643,7.6443,ok,1429488000,217600
74,7.5697,7.6097,7.4097,7.5197,ok,1429574400,95500
75,7.6176,7.7176,7.5676,7.6176,ok,1429660800,90300
76,7.9383,7.9783,7.5983,7.6383,ok,1429747200,103100
77,8.2056,8.2356,7.9156,7.9456,ok,1429833600,114400
78,8.4827,8.5627,8.1927,8.2327,ok,1430092800,130800
79,8.7302,8.7602,8.3502,8.5602,ok,1430179200,92800
80,7.9185,8.6685,7.8585,8.6685,ok,1430265600,76600
81,7.9383,8.0483,7.7283,7.9083,ok,1430352000,70400
82,7.7898,7.9198,7.7498,7.9098,ok,1430438400,32400
83,7.9482,7.9982,7.7782,7.7782,ok,1430697600,40100
84,7.9878,8.0378,7.8578,7.9478,ok,1430784000,100500
85,7.9977,8.0777,7.9677,8.0777,ok,1430870400,44000
86,7.9383,7.9783,7.7883,7.8883,ok,1430956800,160400
87,8.0472,8.0772,7.9372,7.9372,ok,1431043200,37100
88,8.4431,8.4731,8.0831,8.0831,ok,1431302400,69400
89,8.5025,8.6625,8.4325,8.4625,ok,1431388800,41600
90,8.5619,8.6219,8.4919,8.5819,ok,1431475200,23200
91,8.3342,8.6442,8.2442,8.6142,ok,1431561600,18500
92,8.1858,8.4658,8.1058,8.3658,ok,1431648000,22200
93,8.2155,8.3055,7.8855,8.1855,ok,1431907200,52400
94,8.067,8.317,7.937,8.307,ok,1431993600,34400
95,8.0175,8.0675,7.9175,8.0075,ok,1432080000,30800
96,7.8789,8.0789,7.8289,8.0389,ok,1432166400,43200
97,7.7502,7.9802,7.6802,7.9802,ok,1432252800,29900
98,7.5226,7.6726,7.3526,7.6726,ok,1432598400,46600
99,7.5424,7.7624,7.3324,7.5824,ok,1432684800,54300
100,7.6018,7.6118,7.2518,7.4218,ok,1432771200,50900
101,7.6513,7.7513,7.2913,7.5613,ok,1432857600,99200
102,7.5325,7.7325,7.3925,7.7325,ok,1433116800,79500
103,7.4731,7.6231,7.4331,7.5731,ok,1433203200,37900
104,7.4236,7.5136,7.3536,7.4136,ok,1433289600,6500
105,7.3048,7.4848,7.2948,7.3448,ok,1433376000,93000
106,7.1366,7.4266,7.1366,7.2266,ok,1433462400,96100
107,7.186,7.266,7.006,7.186,ok,1433721600,116800
108,7.2157,7.2857,7.1657,7.2057,ok,1433808000,20600
109,7.0772,7.2772,7.0772,7.2472,ok,1433894400,66000
110,7.2058,7.2558,7.0058,7.0258,ok,1433980800,108400
111,7.3246,7.3946,7.2046,7.2246,ok,1434067200,77500
112,7.285,7.345,7.185,7.245,ok,1434326400,26800
113,7.3147,7.3147,7.0547,7.2847,ok,1434412800,21600
114,7.2553,7.3253,7.1253,7.2453,ok,1434499200,56900
115,7.186,7.316,7.146,7.226,ok,1434585600,179700
116,7.1465,7.2465,7.0665,7.1665,ok,1434672000,120200
117,7.2157,7.3157,7.1057,7.1057,ok,1434931200,98900
118,7.2157,7.3757,7.1557,7.1757,ok,1435017600,419900
119,7.2058,7.3558,7.1758,7.1758,ok,1435104000,95100
120,7.186,7.296,7.186,7.226,ok,1435190400,23900
121,7.2058,7.3158,7.1558,7.3158,ok,1435276800,138800
122,7.1366,7.3266,7.0766,7.3266,ok,1435536000,8900
123,6.9485,7.3085,6.8385,7.2485,ok,1435622400,113300
124,7.1267,7.1967,6.9167,7.0267,ok,1435708800,64200
125,7.1366,7.2866,7.0466,7.0966,ok,1435795200,78400
126,6.9188,7.2588,6.7288,7.0988,ok,1436140800,43800
127,6.7901,6.9601,6.7301,6.8801,ok,1436227200,67200
128,6.6911,6.7711,6.6211,6.6311,ok,1436313600,52900
129,6.7703,6.8503,6.6603,6.6603,ok,1436400000,39200
130,6.7901,7.0601,6.7801,6.8101,ok,1436486400,25800
131,6.6416,6.8516,6.6016,6.8516,ok,1436745600,34000
132,6.6318,6.7618,6.5718,6.6218,ok,1436832000,26000
133,6.6713,6.6813,6.5313,6.6313,ok,1436918400,30200
134,6.701,6.741,6.541,6.681,ok,1437004800,82100
135,6.4635,6.6135,6.3535,6.6135,ok,1437091200,307000
136,6.2556,6.4256,6.1856,6.4256,ok,1437350400,72800
137,6.216,6.496,6.196,6.296,ok,1437436800,204500
138,5.9092,6.2192,5.8092,6.1692,ok,1437523200,43700
139,5.4935,6.0235,5.4935,5.8835,ok,1437609600,75500
140,5.8003,5.8503,5.4403,5.5203,ok,1437696000,96500
141,5.7409,5.8509,5.5809,5.8009,ok,1437955200,168300
142,5.8102,5.8802,5.7402,5.8802,ok,1438041600,58300
143,5.8201,5.9201,5.8001,5.8801,ok,1438128000,37600
144,5.8399,6.1099,5.8199,5.8399,ok,1438214400,82200
145,5.8498,5.9098,5.7898,5.8498,ok,1438300800,96300
146,5.6914,5.9214,5.6614,5.8214,ok,1438560000,39100
147,5.5133,5.7633,5.3033,5.7533,ok,1438646400,103300
148,5.4737,5.6037,5.4037,5.5037,ok,1438732800,59800
149,5.4143,5.4443,5.4043,5.4043,ok,1438819200,23500
150,5.3846,5.5146,5.3846,5.4446,ok,1438905600,79000
151,5.4242,5.5742,5.3942,5.4342,ok,1439164800,122400
152,5.2559,5.4359,5.1959,5.3459,ok,1439251200,26700
153,5.0085,5.1785,4.9385,5.1485,ok,1439337600,24900
154,4.8402,5.1502,4.8002,5.0002,ok,1439424000,53500
