,c,h,l,o,s,t,v
0,10.03,10.08,10.03,10.03,ok,1574121600,1365900
1,10.05,10.08,10.02,10.02,ok,1574208000,557300
2,10.03,10.06,10.02,10.043,ok,1574294400,75000
3,10.06,10.07,10.03,10.05,ok,1574380800,341400
4,10.05,10.07,10.04,10.055,ok,1574640000,156000
5,10.06,10.06,10.04,10.04,ok,1574726400,44100
6,10.05,10.06,10.05,10.06,ok,1574812800,1700
7,10.05,10.055,10.05,10.055,ok,1575244800,6700
8,10.03,10.05,10.03,10.05,ok,1575331200,3300
9,10.12,10.12,10.04,10.05,ok,1575417600,33500
10,10.09,10.12,10.09,10.12,ok,1575504000,64200
11,10.1,10.15,10.095,10.11,ok,1575590400,68700
12,10.095,10.095,10.08,10.08,ok,1575849600,20200
13,10.085,10.1,10.08,10.092,ok,1575936000,19400
14,10.08,10.11,10.08,10.11,ok,1576022400,17600
15,10.1,10.1,10.06,10.06,ok,1576108800,61900
16,10.1,10.1,10.09,10.09,ok,1576195200,15100
17,10.09,10.095,10.08,10.095,ok,1576454400,7700
18,10.06,10.09,10.06,10.09,ok,1576540800,1300
19,10.05,10.092,10.05,10.06,ok,1576627200,7100
20,10.1,10.1,10.1,10.1,ok,1576713600,10000
21,10.1,10.1,10.1,10.1,ok,1577145600,1500
22,10.1,10.1,10.094,10.094,ok,1577318400,5500
23,10.1,10.1,10.1,10.1,ok,1577404800,5700
24,10.1,10.1,10.1,10.1,ok,1577664000,6200
25,10.09,10.1,10.09,10.1,ok,1577750400,64400
26,10.1,10.1,10.1,10.1,ok,1577923200,2700
27,10.17,10.2,10.1,10.1,ok,1578268800,16200
28,10.15,10.15,10.15,10.15,ok,1578355200,1000
29,10.14,10.14,10.14,10.14,ok,1578441600,1000
30,10.15,10.15,10.14,10.14,ok,1578614400,1100
31,10.2,10.2,10.2,10.2,ok,1578873600,100
32,10.12,10.16,10.12,10.12,ok,1579046400,11600
33,10.12,10.121,10.12,10.12,ok,1579132800,18500
34,10.12,10.12,10.12,10.12,ok,1579737600,100
35,10.35,10.35,10.34,10.34,ok,1581033600,1100
36,10.3,10.3,10.3,10.3,ok,1581292800,20100
37,10.27,10.3,10.26,10.27,ok,1581379200,9000
38,10.31,10.31,10.265,10.27,ok,1581465600,58700
39,10.31,10.31,10.31,10.31,ok,1581984000,100
40,10.33,10.33,10.202,10.254,ok,1582156800,3500
41,10.3,10.35,10.3,10.32,ok,1582243200,12500
42,10.3,10.3,10.3,10.3,ok,1582588800,1000
43,10.39,10.39,10.19,10.22,ok,1582848000,66200
44,10.3,10.3,9.75,10.05,ok,1583971200,25400
45,10.25,10.4,9.84,9.84,ok,1584316800,2500
46,10.3,10.4,10.0,10.0,ok,1584403200,25900
47,9.95,11.92,9.95,11.92,ok,1584662400,6200
48,10.0,10.0,10.0,10.0,ok,1586131200,200
49,10.1,10.1,10.1,10.1,ok,1586995200,1000
50,10.1,10.1,10.1,10.1,ok,1588032000,1500
51,10.12,10.12,10.0,10.05,ok,1589760000,9800
52,10.14,10.14,10.14,10.14,ok,1589932800,200
53,10.15,10.15,10.07,10.09,ok,1590019200,5100
54,10.15,10.15,10.15,10.15,ok,1590154200,0
55,10.15,10.15,10.15,10.15,ok,1590499800,0
56,10.15,10.15,10.15,10.15,ok,1590586200,0
57,10.15,10.15,10.15,10.15,ok,1590672600,0
58,10.15,10.15,10.15,10.15,ok,1590759000,0
