,c,h,l,o,s,t,v
0,14.24,15.74,13.5,15.2,ok,1538092800,1452600
1,13.45,14.5,13.07,14.5,ok,1538352000,263400
2,12.55,15.05,12.5,13.5,ok,1538438400,244700
3,12.55,13.26,12.49,12.61,ok,1538524800,157700
4,12.33,13.34,12.26,12.5,ok,1538611200,105100
5,12.37,13.06,12.01,12.4,ok,1538697600,112300
6,11.95,12.6,11.76,12.56,ok,1538956800,142600
7,11.61,12.1,11.51,12.1,ok,1539043200,194000
8,11.65,12.01,11.5,11.61,ok,1539129600,99700
9,12.28,12.7,11.67,11.95,ok,1539216000,104500
10,12.45,13.0,12.25,12.31,ok,1539302400,185900
11,12.2,13.2,12.19,12.5,ok,1539561600,229600
12,12.5,13.0,11.22,12.28,ok,1539648000,260100
13,12.99,13.15,12.18,12.5,ok,1539734400,168000
14,15.49,15.5,12.96,13.1,ok,1539820800,165700
15,15.01,15.72,14.41,15.36,ok,1539907200,202000
16,15.17,16.0,14.5,14.92,ok,1540166400,136900
17,15.29,16.79,14.05,14.85,ok,1540252800,607300
18,14.86,16.07,14.2,15.34,ok,1540339200,155400
19,15.88,16.02,15.0,15.1,ok,1540425600,108400
20,16.83,17.5,15.7,15.71,ok,1540512000,169800
21,16.58,17.75,16.25,17.07,ok,1540771200,156100
22,16.46,17.0,16.24,16.49,ok,1540857600,68800
23,17.01,17.49,16.57,16.57,ok,1540944000,57300
24,19.04,20.15,16.9,17.13,ok,1541030400,146700
25,19.17,20.0,19.0,19.0,ok,1541116800,87400
26,20.98,21.5,19.19,19.19,ok,1541376000,90100
27,22.58,23.13,20.81,20.96,ok,1541462400,124700
28,24.47,24.9,22.35,22.6,ok,1541548800,131900
29,25.81,27.08,23.2,24.74,ok,1541635200,169100
30,23.6,27.73,23.57,25.88,ok,1541721600,209800
31,20.84,23.25,20.17,23.2,ok,1541980800,180700
32,20.86,22.27,20.61,20.84,ok,1542067200,219700
33,19.99,21.74,19.74,20.8,ok,1542153600,91600
34,20.29,22.6,19.46,19.86,ok,1542240000,56500
35,23.0,23.5,19.81,20.12,ok,1542326400,168000
36,23.7,24.23,22.24,22.8,ok,1542585600,155000
37,21.93,23.89,21.83,23.47,ok,1542672000,92700
38,22.06,22.41,21.69,21.74,ok,1542758400,57000
39,22.74,23.73,21.81,21.82,ok,1542931200,62500
40,23.7,24.5,22.88,22.96,ok,1543190400,182700
41,23.28,24.22,23.11,23.76,ok,1543276800,193700
42,24.36,24.76,23.13,23.13,ok,1543363200,115100
43,25.24,26.75,23.23,24.14,ok,1543449600,169200
44,28.04,28.25,24.42,25.16,ok,1543536000,193600
45,28.91,29.59,28.25,28.6,ok,1543795200,195600
46,30.23,30.38,28.47,29.28,ok,1543881600,106200
47,31.1,31.54,30.0,30.41,ok,1544054400,138800
48,29.46,32.9,28.13,31.39,ok,1544140800,173600
49,26.11,29.67,24.37,29.67,ok,1544400000,192900
50,25.18,26.36,24.6,26.36,ok,1544486400,150100
51,24.65,25.6,24.17,25.4,ok,1544572800,126700
52,24.28,27.28,23.81,24.65,ok,1544659200,111900
53,22.18,24.7,22.0,24.25,ok,1544745600,223200
54,20.61,23.9,19.92,22.04,ok,1545004800,177000
55,19.53,21.5,19.22,20.61,ok,1545091200,129200
56,17.71,20.17,17.26,19.71,ok,1545177600,186800
57,14.7,17.28,13.01,17.28,ok,1545264000,328900
58,15.01,17.66,13.0,17.41,ok,1545350400,1131000
59,14.26,15.42,14.02,15.1,ok,1545609600,82900
60,16.29,16.52,14.41,14.41,ok,1545782400,199500
61,15.76,16.74,14.63,16.5,ok,1545868800,163100
62,15.61,15.97,15.09,15.79,ok,1545955200,118500
63,15.45,16.0,14.26,15.8,ok,1546214400,105300
64,16.29,16.95,15.0,15.12,ok,1546387200,232800
65,17.05,17.75,15.56,16.18,ok,1546473600,269300
66,17.97,18.0,16.57,17.45,ok,1546560000,145400
67,18.49,19.52,18.05,18.24,ok,1546819200,170400
68,16.44,19.19,16.27,18.6,ok,1546905600,82100
69,17.23,17.42,15.4,16.25,ok,1546992000,125800
70,17.82,19.14,15.75,17.15,ok,1547078400,223800
71,18.72,19.36,17.73,17.73,ok,1547164800,178300
72,18.96,19.2,17.82,18.5,ok,1547424000,150100
73,16.61,19.5,16.6,19.14,ok,1547510400,117300
74,16.18,17.5,15.65,16.71,ok,1547596800,121900
75,15.77,16.8,15.4,16.21,ok,1547683200,116300
76,15.6,16.38,15.48,15.78,ok,1547769600,43000
77,14.58,15.99,14.4,15.48,ok,1548115200,82200
78,13.06,16.04,13.0,16.04,ok,1548201600,154000
79,13.85,14.59,13.05,13.17,ok,1548288000,120500
80,14.18,14.74,13.17,13.92,ok,1548374400,104900
81,13.87,14.74,13.62,13.9,ok,1548633600,99000
82,13.66,14.15,13.5,13.91,ok,1548720000,51600
83,12.73,13.89,12.3,13.8,ok,1548806400,109500
84,12.8,13.4,12.65,12.7,ok,1548892800,101100
85,12.68,13.2,11.63,12.83,ok,1548979200,227200
86,13.57,13.69,12.45,12.79,ok,1549238400,166200
87,13.12,13.7,12.72,13.7,ok,1549324800,46700
88,13.54,14.67,13.19,13.2,ok,1549411200,527400
89,13.24,13.68,12.73,13.42,ok,1549497600,57200
90,12.88,13.48,12.59,13.14,ok,1549584000,60700
91,12.86,13.15,12.71,12.91,ok,1549843200,106500
92,12.69,13.64,12.57,12.97,ok,1549929600,189500
93,12.02,13.22,12.02,12.73,ok,1550016000,63900
94,11.26,12.37,10.89,12.15,ok,1550102400,190800
95,11.62,12.38,11.02,11.32,ok,1550188800,118100
96,11.65,12.24,11.59,11.6,ok,1550534400,76700
97,12.08,12.3,11.67,11.67,ok,1550620800,45700
98,11.99,12.37,11.8,12.2,ok,1550707200,54800
99,12.57,13.18,12.02,12.07,ok,1550793600,98900
100,12.34,12.95,12.15,12.7,ok,1551052800,70800
101,12.99,13.3,11.93,12.37,ok,1551139200,99500
102,12.9,13.29,12.55,12.94,ok,1551225600,61100
103,12.86,13.08,12.1,13.08,ok,1551312000,206600
104,13.1,13.25,12.86,12.9,ok,1551398400,39100
105,13.09,14.02,12.75,13.21,ok,1551657600,103400
106,12.03,13.1,11.75,13.0,ok,1551744000,102400
107,11.64,12.2,11.01,12.1,ok,1551830400,94200
108,11.61,12.88,11.52,12.6,ok,1551916800,50500
109,10.93,11.86,10.81,11.6,ok,1552003200,95300
110,10.62,11.26,10.55,11.0,ok,1552262400,40700
111,10.51,11.02,10.5,10.75,ok,1552348800,87200
112,10.74,10.84,10.29,10.64,ok,1552435200,57500
113,9.97,10.92,9.66,10.73,ok,1552521600,91700
114,10.15,10.6,9.78,10.13,ok,1552608000,135100
115,13.34,13.44,10.5,10.5,ok,1552867200,350400
116,11.92,14.16,11.8,13.57,ok,1552953600,276800
117,11.7,12.1,11.26,11.82,ok,1553040000,111200
118,11.45,12.12,11.0,11.51,ok,1553126400,120700
119,11.45,11.72,11.06,11.35,ok,1553212800,131800
120,10.93,11.45,9.78,11.44,ok,1553472000,201800
121,11.5,11.64,10.97,11.28,ok,1553558400,55500
122,11.89,12.46,11.56,11.74,ok,1553644800,143100
123,12.54,12.84,11.6,11.96,ok,1553731200,118400
124,13.3,13.84,12.68,13.0,ok,1553817600,345900
125,13.46,14.91,12.77,13.48,ok,1554076800,916500
126,14.74,14.98,13.14,13.46,ok,1554163200,213100
127,14.43,15.47,14.1,14.95,ok,1554249600,138200
128,15.17,15.41,14.13,14.51,ok,1554336000,118700
129,15.7,15.94,14.92,15.16,ok,1554422400,95100
130,15.52,15.7,14.65,15.69,ok,1554681600,112700
131,14.34,15.64,14.09,15.51,ok,1554768000,143500
