,c,h,l,o,s,t,v
0,178.1285,179.4485,176.4185,179.0185,ok,1420156800,1877700
1,172.5668,178.2668,171.7068,177.2868,ok,1420416000,3413200
2,169.0759,173.2059,168.4759,172.8459,ok,1420502400,3429200
3,171.5956,172.3056,170.0856,171.1656,ok,1420588800,1896800
4,174.3352,174.8852,173.3152,173.4152,ok,1420675200,1962500
5,171.6597,175.6197,171.2697,174.7897,ok,1420761600,1980700
6,169.5706,172.0306,168.6106,171.8606,ok,1421020800,2084200
7,169.4424,173.8924,167.8824,171.0924,ok,1421107200,2745300
8,165.136,167.416,163.006,166.086,ok,1421193600,5204700
9,163.5417,166.6517,162.5517,165.2317,ok,1421280000,3146000
10,162.3873,165.2573,159.2173,161.8873,ok,1421366400,5124100
11,160.9212,163.6212,159.5212,162.8613,ok,1421712000,3606600
12,162.3139,163.5539,157.9839,159.7139,ok,1421798400,3737000
13,166.7944,167.3444,162.0044,163.5644,ok,1421884800,6228200
14,165.3742,167.8642,165.3042,166.3142,ok,1421971200,3123800
15,165.3101,165.8801,162.9501,163.6101,ok,1422230400,2736500
16,161.7092,163.8592,161.5192,162.4592,ok,1422316800,3335600
17,158.5573,163.4773,158.4773,163.2373,ok,1422403200,3017300
18,161.2511,161.5611,158.3311,158.4411,ok,1422489600,2421400
19,157.9709,161.2509,157.8809,159.6909,ok,1422576000,3037400
20,160.793,160.903,157.563,158.293,ok,1422835200,2975300
21,165.1452,165.3851,160.8152,160.9151,ok,1422921600,3766900
22,163.8074,165.7374,163.5574,163.7474,ok,1423008000,2980500
23,165.6308,166.4608,164.0908,164.3008,ok,1423094400,2434400
24,168.068,169.258,165.778,166.688,ok,1423180800,3250900
25,166.9594,167.6893,165.8893,166.4294,ok,1423440000,2421900
26,169.1034,169.3434,166.8934,167.8934,ok,1423526400,2556300
27,171.9345,172.4745,168.0345,168.3546,ok,1423612800,4079600
28,173.8862,174.1062,171.5062,172.3562,ok,1423699200,3086700
29,173.1715,175.5015,172.5115,174.0415,ok,1423785600,2720400
30,174.1061,174.7161,172.3961,172.8661,ok,1424131200,2123300
31,172.8692,174.2392,172.0192,173.7392,ok,1424217600,1850700
32,173.2723,174.0123,171.4323,171.8423,ok,1424304000,1470400
33,175.4713,175.6013,171.0113,172.3113,ok,1424390400,2317100
34,174.3718,174.8018,173.3318,174.8018,ok,1424649600,1691100
35,176.1219,177.1819,173.5819,173.9319,ok,1424736000,2627300
36,175.6637,176.3937,174.4037,175.4937,ok,1424822400,2775700
37,176.6564,176.9264,174.4564,174.9664,ok,1424908800,2449300
38,174.4413,177.1513,174.4413,175.8413,ok,1424995200,2572400
39,176.2795,176.4095,174.2695,174.4895,ok,1425254400,1659400
40,175.8016,177.4016,175.1016,175.2316,ok,1425340800,1487800
41,174.331,175.481,173.641,175.011,ok,1425427200,1648500
42,174.7079,175.3479,173.6979,174.7579,ok,1425513600,1330100
43,171.7942,176.2841,171.4642,172.4642,ok,1425600000,4103600
44,172.7317,173.5917,171.3717,172.1017,ok,1425859200,2233700
45,167.9339,171.3639,167.9339,170.8139,ok,1425945600,2768500
46,169.285,170.945,168.115,168.405,ok,1426032000,2098600
47,174.5884,174.6384,170.5784,170.5784,ok,1426118400,3114800
48,174.0277,174.4277,170.8477,173.5577,ok,1426204800,3095100
49,176.3806,176.9707,174.3806,174.5206,ok,1426464000,2127700
50,175.1582,175.8282,173.3882,175.5582,ok,1426550400,1883200
51,176.7667,177.4867,173.6467,174.1167,ok,1426636800,2790100
52,174.6068,176.3967,173.7267,176.3967,ok,1426723200,2097100
53,177.5112,178.3012,174.2812,174.8512,ok,1426809600,3473800
54,176.4358,178.7258,176.4358,177.7458,ok,1427068800,1590500
55,175.8108,177.0408,175.6908,176.4708,ok,1427155200,1799100
56,172.1986,176.0786,172.1986,175.9286,ok,1427241600,2542000
