,c,h,l,o,s,t,v
0,37.2881,37.5981,37.0781,37.4181,ok,1442793600,217800
1,36.8523,37.1203,36.5723,37.1123,ok,1442880000,63500
2,36.843,36.983,36.673,36.983,ok,1442966400,73400
3,36.7132,36.7732,36.2432,36.7032,ok,1443052800,22800
4,36.6826,37.1256,36.4656,37.1256,ok,1443139200,55500
5,35.6653,36.5853,35.6353,36.3853,ok,1443398400,93300
6,35.7024,36.0124,35.5534,35.8324,ok,1443484800,58500
7,36.3886,36.4086,35.8686,36.2286,ok,1443571200,32200
8,36.3979,36.5379,35.9679,36.5379,ok,1443657600,7400
9,36.8523,36.8523,35.8323,35.8323,ok,1443744000,11800
10,37.5571,37.5571,37.2461,37.2471,ok,1444003200,29200
11,37.3159,37.6359,37.1419,37.6359,ok,1444089600,58200
12,37.5107,37.6107,37.2207,37.6007,ok,1444176000,34800
13,37.8538,37.8938,37.4338,37.5018,ok,1444262400,17800
14,37.9465,38.0265,37.7765,38.0165,ok,1444348800,38900
15,38.0022,38.0622,37.8922,38.0622,ok,1444608000,10600
16,37.7425,38.1125,37.7065,37.8025,ok,1444694400,14400
17,37.4458,37.8758,37.4358,37.8758,ok,1444780800,15300
18,37.9271,37.9481,37.5341,37.6281,ok,1444867200,37500
19,38.1468,38.1508,37.8708,37.8708,ok,1444953600,4800
20,38.2433,38.2633,38.0633,38.1033,ok,1445212800,36400
21,38.1598,38.3098,38.0998,38.2798,ok,1445299200,15000
22,37.9373,38.2273,37.9173,38.2113,ok,1445385600,64800
23,38.4936,38.5437,38.1837,38.1837,ok,1445472000,353400
24,38.809,38.859,38.563,38.779,ok,1445558400,21800
25,38.7626,38.8126,38.6426,38.7126,ok,1445817600,61800
26,38.7255,38.7755,38.5755,38.7355,ok,1445904000,31900
27,39.1242,39.1242,38.6342,38.8742,ok,1445990400,27000
28,39.1057,39.1427,38.9537,39.1157,ok,1446076800,28600
29,39.0037,39.1937,38.9937,39.1137,ok,1446163200,23200
30,39.4024,39.4524,38.9724,39.1324,ok,1446422400,35600
31,39.4303,39.5703,39.2603,39.4203,ok,1446508800,23800
32,39.2912,39.6212,39.2512,39.6212,ok,1446595200,228900
33,39.3468,39.3968,39.1668,39.2468,ok,1446681600,22500
34,39.2541,39.3441,39.0671,39.3331,ok,1446768000,78300
35,38.8831,39.2731,38.6831,39.1531,ok,1447027200,162900
36,38.9295,38.9795,38.7395,38.8195,ok,1447113600,31900
37,38.7904,39.0544,38.7784,39.0544,ok,1447200000,21400
38,38.2804,38.6704,38.2804,38.6304,ok,1447286400,35300
39,37.7518,38.2218,37.7318,38.2218,ok,1447372800,79000
40,38.2711,38.2711,37.7211,37.7211,ok,1447632000,11100
41,38.2711,38.5611,38.2011,38.4411,ok,1447718400,669800
42,38.9017,38.9117,38.3517,38.4417,ok,1447804800,14500
43,38.847,38.926,38.806,38.926,ok,1447891200,93100
44,39.0408,39.1608,38.9908,39.1608,ok,1447977600,29500
45,39.0872,39.2372,39.0172,39.2272,ok,1448236800,44300
46,39.0974,39.2164,38.7964,38.9664,ok,1448323200,63800
47,39.1984,39.2384,39.1464,39.1584,ok,1448409600,48100
48,39.2522,39.2942,39.1242,39.2942,ok,1448582400,8800
49,39.0408,39.4408,39.0008,39.4408,ok,1448841600,1468700
50,39.4395,39.4395,39.1995,39.3095,ok,1448928000,80800
51,39.0519,39.4999,39.0299,39.4999,ok,1449014400,150600
52,38.4751,39.2351,38.3561,39.2351,ok,1449100800,54700
53,39.3097,39.3597,38.4897,38.4897,ok,1449187200,101900
54,39.1242,39.3742,38.9642,39.3742,ok,1449446400,157400
55,38.9759,39.1159,38.6859,38.6859,ok,1449532800,27700
56,38.5957,39.2257,38.4357,38.9257,ok,1449619200,22000
57,38.7162,38.9262,38.5622,38.7162,ok,1449705600,84400
58,38.0393,38.3793,37.9693,38.3593,ok,1449792000,242200
59,38.1598,38.1698,37.6498,37.9998,ok,1450051200,45100
60,38.5493,38.7293,38.4613,38.6293,ok,1450137600,101000
61,39.115,39.165,38.612,38.735,ok,1450224000,51000
62,38.5771,39.0671,38.5771,39.0671,ok,1450310400,95900
63,37.9744,38.4644,37.9744,38.4644,ok,1450396800,127900
64,38.2247,38.2847,37.9497,38.1547,ok,1450656000,55400
65,38.5957,38.6757,38.1757,38.4257,ok,1450742400,356000
66,39.0061,39.0061,38.7071,38.8631,ok,1450828800,200100
67,38.9782,39.0782,38.8942,38.9782,ok,1450915200,25300
68,38.8386,38.8886,38.5896,38.8886,ok,1451260800,61100
69,39.2481,39.3281,39.1081,39.1081,ok,1451347200,82200
70,39.034,39.244,39.014,39.244,ok,1451433600,119400
71,38.6338,39.0238,38.6338,38.8638,ok,1451520000,185100
72,38.0847,38.1347,37.6647,38.1347,ok,1451865600,217100
73,38.1666,38.2186,37.9926,38.1586,ok,1451952000,83700
74,37.7217,37.9217,37.4917,37.8117,ok,1452038400,127200
