,c,h,l,o,s,t,v
0,23.69,24.47,23.44,23.9,ok,1420156800,86700
1,23.52,23.94,23.33,23.54,ok,1420416000,89100
2,22.97,23.82,22.89,23.48,ok,1420502400,121300
3,23.38,23.45,23.02,23.05,ok,1420588800,74400
4,23.51,23.86,23.4,23.45,ok,1420675200,99300
5,23.56,23.81,23.45,23.45,ok,1420761600,113700
6,23.44,23.74,23.31,23.6,ok,1421020800,240900
7,23.42,23.81,23.27,23.54,ok,1421107200,193300
8,23.49,23.61,23.16,23.21,ok,1421193600,204600
9,23.33,23.6,23.17,23.59,ok,1421280000,172300
10,23.55,23.61,23.2,23.2,ok,1421366400,222500
11,23.51,23.92,23.31,23.65,ok,1421712000,195600
12,23.43,23.62,23.34,23.41,ok,1421798400,127700
13,23.68,23.7,23.36,23.48,ok,1421884800,206400
14,24.01,24.09,23.69,23.69,ok,1421971200,220300
15,24.71,24.91,23.95,24.08,ok,1422230400,177500
16,25.01,25.45,24.5,24.55,ok,1422316800,138800
17,24.72,25.49,24.63,25.24,ok,1422403200,130100
18,24.92,24.94,24.5,24.79,ok,1422489600,138800
19,24.08,24.98,24.05,24.69,ok,1422576000,72300
20,24.11,24.26,23.72,24.08,ok,1422835200,69300
21,24.52,24.66,24.27,24.27,ok,1422921600,61700
22,23.94,24.57,23.88,24.42,ok,1423008000,228900
23,23.99,24.31,23.92,24.05,ok,1423094400,178700
24,23.87,24.14,23.84,24.03,ok,1423180800,147500
25,23.49,24.07,23.46,23.91,ok,1423440000,115100
26,23.3,23.73,23.24,23.56,ok,1423526400,287200
27,24.49,24.69,23.0,23.15,ok,1423612800,213300
28,24.04,24.68,23.92,24.68,ok,1423699200,71800
29,24.03,24.19,23.85,24.08,ok,1423785600,112100
30,24.16,24.49,23.91,24.0,ok,1424131200,140900
31,24.12,24.52,24.02,24.19,ok,1424217600,159300
32,20.87,23.01,19.84,21.1,ok,1424304000,640500
33,18.44,20.91,18.36,20.74,ok,1424390400,649800
34,18.67,18.93,18.14,18.39,ok,1424649600,449900
35,18.52,19.31,18.49,18.63,ok,1424736000,311100
36,18.38,18.65,18.23,18.43,ok,1424822400,280400
37,18.88,18.98,18.36,18.4,ok,1424908800,115800
38,18.85,19.22,18.47,18.81,ok,1424995200,202000
39,18.78,19.13,18.49,18.79,ok,1425254400,173300
40,18.8,18.94,18.41,18.7,ok,1425340800,180800
41,19.28,19.32,18.71,18.71,ok,1425427200,185000
42,19.04,19.39,18.86,19.33,ok,1425513600,157200
43,19.83,20.09,18.86,18.86,ok,1425600000,273100
44,19.78,20.08,19.59,19.75,ok,1425859200,202800
45,19.9,20.01,19.25,19.67,ok,1425945600,205000
46,19.31,20.0,19.25,19.9,ok,1426032000,113100
47,20.55,20.6,19.45,19.45,ok,1426118400,245700
48,20.34,20.72,19.92,20.57,ok,1426204800,99700
49,20.41,20.91,20.24,20.36,ok,1426464000,114100
50,20.74,20.84,20.03,20.38,ok,1426550400,139900
51,20.68,20.75,20.17,20.66,ok,1426636800,116400
52,20.98,21.0,20.51,20.62,ok,1426723200,65800
53,21.05,21.2,20.87,21.04,ok,1426809600,150800
54,20.83,21.18,20.72,21.03,ok,1427068800,96800
55,20.67,20.87,20.57,20.77,ok,1427155200,97400
56,20.11,20.67,20.06,20.66,ok,1427241600,158900
57,19.92,20.16,19.85,20.1,ok,1427328000,159200
58,19.89,20.15,19.83,19.9,ok,1427414400,227200
59,20.07,20.27,19.87,20.07,ok,1427673600,105300
60,19.88,20.18,19.74,19.97,ok,1427760000,104800
61,20.56,20.62,19.85,19.88,ok,1427846400,182500
62,19.88,20.58,19.85,20.58,ok,1427932800,145400
63,19.84,20.05,19.58,19.7,ok,1428278400,114700
64,19.63,19.98,19.59,19.82,ok,1428364800,80300
65,19.7,20.0,19.61,19.62,ok,1428451200,86900
66,19.69,19.92,19.35,19.67,ok,1428537600,125900
67,19.92,20.06,19.56,19.8,ok,1428624000,107100
68,19.98,20.11,19.75,19.97,ok,1428883200,88300
69,20.07,20.22,19.86,19.97,ok,1428969600,152200
70,20.05,20.12,19.97,20.1,ok,1429056000,104300
71,19.95,20.22,19.93,19.97,ok,1429142400,77100
72,19.15,19.88,18.93,19.82,ok,1429228800,129300
73,19.55,19.71,19.15,19.22,ok,1429488000,80200
74,19.37,19.64,19.31,19.64,ok,1429574400,44000
75,19.36,19.38,18.99,19.35,ok,1429660800,127000
76,19.4,19.46,19.1,19.28,ok,1429747200,86300
77,19.51,19.56,19.25,19.38,ok,1429833600,24900
78,19.16,19.66,18.98,19.44,ok,1430092800,107000
79,19.68,19.76,19.04,19.21,ok,1430179200,60000
80,19.07,19.68,18.97,19.68,ok,1430265600,114200
81,18.72,19.24,18.65,18.89,ok,1430352000,221300
82,19.17,19.19,18.4,18.74,ok,1430438400,216800
83,19.25,19.51,19.14,19.14,ok,1430697600,115500
84,19.11,19.26,19.0,19.15,ok,1430784000,136400
85,19.2,19.36,18.95,19.21,ok,1430870400,201600
86,20.26,20.27,18.91,19.38,ok,1430956800,377500
87,22.41,22.75,20.45,20.45,ok,1431043200,323900
88,22.94,23.12,22.24,22.48,ok,1431302400,313300
89,23.18,23.5,22.75,22.8,ok,1431388800,293500
90,23.47,23.85,23.02,23.18,ok,1431475200,238400
91,23.7,23.75,23.28,23.55,ok,1431561600,71000
92,23.48,23.74,23.36,23.68,ok,1431648000,129100
93,23.68,23.8,23.34,23.48,ok,1431907200,141600
94,23.54,23.75,23.41,23.68,ok,1431993600,112100
95,23.57,23.79,23.4,23.6,ok,1432080000,173700
96,23.56,23.64,23.32,23.63,ok,1432166400,135100
97,23.5,23.75,23.16,23.55,ok,1432252800,90500
98,23.39,23.61,23.27,23.4,ok,1432598400,171500
99,23.44,23.51,23.21,23.43,ok,1432684800,101600
100,23.75,23.83,23.22,23.44,ok,1432771200,170200
101,24.0,24.16,23.32,23.75,ok,1432857600,135900
102,23.96,24.44,23.94,24.34,ok,1433116800,176600
103,24.03,24.5,23.82,23.82,ok,1433203200,74100
104,24.17,24.22,23.82,24.1,ok,1433289600,75100
105,24.05,24.16,23.78,24.0,ok,1433376000,63700
106,24.4,24.46,23.83,23.99,ok,1433462400,80600
107,24.1,24.45,24.01,24.37,ok,1433721600,54400
108,24.09,24.37,23.93,24.01,ok,1433808000,68200
109,24.27,24.52,24.2,24.23,ok,1433894400,87800
110,24.4,24.6,24.15,24.28,ok,1433980800,120000
111,24.45,24.66,24.19,24.39,ok,1434067200,144000
112,24.4,24.71,24.13,24.36,ok,1434326400,213700
113,24.3,24.56,24.15,24.42,ok,1434412800,165900
114,24.25,24.51,24.21,24.43,ok,1434499200,65300
115,24.67,24.75,24.03,24.35,ok,1434585600,100300
116,25.0,25.26,24.7,24.73,ok,1434672000,265000
117,25.67,26.0,24.76,25.26,ok,1434931200,233800
118,25.72,25.79,25.27,25.79,ok,1435017600,194500
