,c,h,l,o,s,t,v
0,13.08,13.23,12.56,13.23,ok,1420156800,65400
1,12.95,13.1,12.73,12.97,ok,1420416000,65700
2,12.64,13.12,12.57,12.88,ok,1420502400,53500
3,12.85,12.88,12.57,12.67,ok,1420588800,34300
4,12.9,13.09,12.67,13.09,ok,1420675200,122200
5,13.14,13.43,12.81,13.2,ok,1420761600,111900
6,12.82,13.22,12.57,13.2,ok,1421020800,104800
7,12.56,13.02,12.25,12.88,ok,1421107200,104600
8,12.37,12.59,12.15,12.47,ok,1421193600,115400
9,12.43,12.55,12.13,12.3,ok,1421280000,90900
10,12.46,12.5,12.16,12.35,ok,1421366400,81100
11,12.74,12.82,12.33,12.43,ok,1421712000,127300
12,12.42,12.7,12.3,12.7,ok,1421798400,118400
13,12.65,12.68,12.11,12.53,ok,1421884800,232700
14,12.58,12.74,12.27,12.56,ok,1421971200,356500
15,12.49,12.71,12.25,12.49,ok,1422230400,54000
16,12.25,12.44,12.21,12.4,ok,1422316800,36400
17,11.69,12.28,11.57,12.28,ok,1422403200,169200
18,11.63,11.75,11.32,11.75,ok,1422489600,135900
19,11.51,11.69,11.4,11.5,ok,1422576000,154100
20,11.71,11.75,11.36,11.56,ok,1422835200,52000
21,12.4,12.46,11.75,11.75,ok,1422921600,111200
22,12.36,12.71,12.27,12.4,ok,1423008000,61000
23,12.62,12.64,12.27,12.45,ok,1423094400,91500
24,12.51,12.64,12.4,12.59,ok,1423180800,25500
25,12.51,12.82,12.31,12.51,ok,1423440000,120700
26,12.48,12.6,12.26,12.56,ok,1423526400,81800
27,12.23,12.46,12.1,12.46,ok,1423612800,36300
28,12.38,12.53,12.08,12.28,ok,1423699200,136800
29,12.56,12.73,12.35,12.35,ok,1423785600,43800
30,12.43,12.59,12.34,12.59,ok,1424131200,141400
31,12.42,12.47,12.13,12.39,ok,1424217600,86700
32,12.34,12.47,12.3,12.33,ok,1424304000,58100
33,14.12,14.74,12.97,13.0,ok,1424390400,838800
34,14.6,14.66,14.04,14.1,ok,1424649600,223300
35,14.87,15.04,14.38,14.6,ok,1424736000,234100
36,15.1,15.19,14.62,14.8,ok,1424822400,170700
