,c,h,l,o,s,t,v
0,26.0308,26.0708,25.8008,25.8908,ok,1420156800,164100
1,25.2445,25.7645,25.1345,25.7645,ok,1420416000,418200
2,25.2276,25.5776,25.0576,25.2476,ok,1420502400,324900
3,25.439,25.549,25.329,25.409,ok,1420588800,406000
4,25.8786,25.9886,25.5786,25.5786,ok,1420675200,285700
5,25.8955,25.9755,25.6655,25.9155,ok,1420761600,412400
6,25.625,25.745,25.405,25.745,ok,1421020800,299900
7,25.346,25.826,25.116,25.706,ok,1421107200,596400
8,24.9571,25.0171,24.5471,24.9271,ok,1421193600,257000
9,25.0163,25.3163,24.9963,25.2263,ok,1421280000,338900
10,25.6081,25.6281,25.0681,25.0681,ok,1421366400,133900
11,25.6503,25.7103,25.5103,25.6303,ok,1421712000,817600
12,26.0392,26.0492,25.6092,25.6092,ok,1421798400,421800
13,26.3267,26.3767,26.0667,26.1567,ok,1421884800,299700
14,25.8448,26.1548,25.8348,26.1548,ok,1421971200,260300
15,26.1153,26.1253,25.6853,25.8453,ok,1422230400,338700
16,26.1576,26.2576,25.8076,25.8076,ok,1422316800,459900
17,25.6165,26.2565,25.5365,26.2565,ok,1422403200,243600
18,25.5827,25.6527,25.2427,25.6527,ok,1422489600,272300
19,25.5404,25.8504,25.2904,25.2904,ok,1422576000,480000
20,26.0139,26.0839,25.6339,25.6639,ok,1422835200,249700
21,26.741,26.791,26.251,26.251,ok,1422921600,1340800
22,26.4112,26.6312,26.3712,26.5712,ok,1423008000,317400
23,26.9439,26.9539,26.4539,26.4539,ok,1423094400,419600
24,26.538,26.8081,26.448,26.8081,ok,1423180800,872300
25,26.6902,26.8202,26.6202,26.6202,ok,1423440000,477700
26,26.538,26.6481,26.2681,26.6481,ok,1423526400,246200
27,26.4197,26.4897,26.1497,26.3197,ok,1423612800,681100
28,26.8678,26.9078,26.6378,26.7378,ok,1423699200,333200
29,27.3243,27.3243,26.9943,26.9943,ok,1423785600,332300
30,27.2144,27.3044,27.0444,27.1844,ok,1424131200,282300
31,27.282,27.302,26.992,26.992,ok,1424217600,341500
32,27.0707,27.1907,26.7907,26.9407,ok,1424304000,606500
33,27.2229,27.2429,26.9028,26.9529,ok,1424390400,298700
34,26.9523,27.0123,26.8323,27.0123,ok,1424649600,374300
35,27.2482,27.2982,26.9782,27.0482,ok,1424736000,203400
36,27.2989,27.3189,27.1889,27.2889,ok,1424822400,254700
37,27.0115,27.3015,26.9415,27.3015,ok,1424908800,223700
38,27.0622,27.1522,27.0022,27.0022,ok,1424995200,529700
39,26.9185,26.9885,26.7685,26.9885,ok,1425254400,429400
40,26.741,26.891,26.711,26.891,ok,1425340800,227000
41,26.4366,26.6366,26.2966,26.6366,ok,1425427200,558800
42,26.3436,26.4936,26.3036,26.4936,ok,1425513600,207700
43,25.7433,26.1933,25.7033,26.1933,ok,1425600000,201000
44,25.6842,25.8142,25.6742,25.7942,ok,1425859200,127300
45,25.0416,25.4016,25.0416,25.3616,ok,1425945600,193600
46,25.0247,25.1147,24.8147,25.1147,ok,1426032000,251300
47,25.1008,25.4108,25.0708,25.3308,ok,1426118400,804100
48,24.7796,24.9896,24.4896,24.9896,ok,1426204800,157900
49,24.9402,24.9602,24.6802,24.8102,ok,1426464000,177800
50,24.9402,25.0002,24.7802,24.8802,ok,1426550400,219800
