,c,h,l,o,s,t,v
0,41.5916,43.6416,39.8616,42.4416,ok,1420156800,33600
1,39.9919,41.8319,39.8219,41.6519,ok,1420416000,70800
2,39.5312,40.6611,38.6712,40.3611,ok,1420502400,45200
3,39.3921,39.932,38.7121,39.932,ok,1420588800,54200
4,39.4616,39.5716,38.6816,39.3116,ok,1420675200,65400
5,38.427,39.457,38.367,39.457,ok,1420761600,26800
6,37.3229,38.4229,36.1529,38.4229,ok,1421020800,55600
7,37.2707,38.2207,36.4507,37.6307,ok,1421107200,53000
8,36.4361,37.0761,35.7761,36.7061,ok,1421193600,29700
9,34.7756,36.8856,34.4256,36.8456,ok,1421280000,70400
10,35.132,35.222,33.252,34.542,ok,1421366400,51300
11,34.793,36.003,34.623,36.003,ok,1421712000,42800
12,33.9497,34.6497,33.4297,34.6197,ok,1421798400,46900
13,33.628,34.568,32.818,34.098,ok,1421884800,149400
14,33.7584,34.5984,33.1084,33.6284,ok,1421971200,45200
15,34.4713,34.7513,33.3413,33.8013,ok,1422230400,27200
16,34.3757,34.9357,33.9157,34.1657,ok,1422316800,19100
17,33.6802,34.8202,33.5402,34.8202,ok,1422403200,57600
18,34.6713,34.7513,33.2313,33.5113,ok,1422489600,35200
19,33.8453,34.9153,33.6953,34.3953,ok,1422576000,41500
20,34.054,34.314,33.354,34.154,ok,1422835200,83000
21,34.9842,35.3742,33.6642,34.3442,ok,1422921600,58400
22,34.2453,35.4053,33.7253,35.4053,ok,1423008000,81800
23,34.9408,35.1308,32.5008,34.2008,ok,1423094400,95200
24,35.8189,36.3088,34.4389,35.6688,ok,1423180800,94600
25,35.5146,36.6446,35.1846,35.9146,ok,1423440000,47300
26,34.7321,35.8721,34.2421,35.8721,ok,1423526400,40400
27,34.2626,34.9426,34.2327,34.8227,ok,1423612800,44400
28,34.9582,35.2982,34.5882,34.7182,ok,1423699200,40100
29,36.497,37.067,34.777,34.777,ok,1423785600,63800
30,36.8274,36.9674,36.2674,36.6774,ok,1424131200,26900
31,36.6883,36.7083,36.1982,36.5783,ok,1424217600,22700
32,36.2014,36.6614,36.0814,36.4214,ok,1424304000,18100
33,36.1145,36.3245,35.2444,36.2345,ok,1424390400,44400
34,35.9927,36.3027,35.2527,35.8327,ok,1424649600,24900
35,36.4013,37.4513,35.8214,36.1413,ok,1424736000,38800
36,35.9927,36.7627,35.5327,36.2327,ok,1424822400,33100
37,36.0102,37.4002,35.5702,36.1602,ok,1424908800,42600
38,35.2935,36.2935,35.0635,35.9735,ok,1424995200,46100
39,35.4945,35.8145,34.6445,35.3845,ok,1425254400,79800
40,35.6169,35.9269,34.9569,35.4269,ok,1425340800,59100
41,35.5208,35.6808,34.6608,35.4208,ok,1425427200,41000
42,35.4596,35.9896,34.8696,35.9896,ok,1425513600,36400
43,34.5768,36.0868,34.3968,35.2268,ok,1425600000,34500
44,35.9316,36.4916,34.9516,35.0016,ok,1425859200,54400
45,35.1537,35.8837,34.9237,35.7237,ok,1425945600,34900
46,36.6745,37.1145,35.2845,35.2845,ok,1426032000,45500
47,37.6097,37.7397,36.6797,37.0397,ok,1426118400,48800
48,37.7146,37.9046,36.3346,37.7046,ok,1426204800,56000
49,37.0154,38.0054,36.5654,38.0054,ok,1426464000,43100
50,36.7357,37.2757,36.3357,36.9357,ok,1426550400,58400
51,37.8282,38.1382,36.4782,36.5682,ok,1426636800,52300
52,36.6308,37.5508,36.2508,37.5008,ok,1426723200,34400
53,37.8282,38.0382,36.0582,36.6782,ok,1426809600,92500
54,38.7372,39.3972,37.3572,37.6172,ok,1427068800,84600
55,39.0606,39.3706,38.0106,38.4906,ok,1427155200,35200
56,39.0082,40.2782,38.8282,38.8282,ok,1427241600,64400
57,38.9382,39.7782,38.6382,39.0282,ok,1427328000,45200
58,38.5449,39.4149,37.8749,38.8349,ok,1427414400,50100
59,39.4364,39.5364,38.3264,38.4764,ok,1427673600,38200
60,38.9907,40.0007,37.0407,39.3207,ok,1427760000,65200
61,38.1866,38.7866,37.8366,38.7866,ok,1427846400,33100
62,38.7634,38.8434,37.6734,37.8134,ok,1427932800,30900
63,38.8246,39.2046,38.7046,38.7146,ok,1428278400,21700
64,38.6411,38.9811,38.5311,38.9811,ok,1428364800,28500
65,38.6323,39.6123,38.1923,38.8123,ok,1428451200,55100
66,38.6236,39.2336,38.0136,38.8436,ok,1428537600,44200
67,39.1218,39.3118,38.4918,38.8818,ok,1428624000,46100
68,38.7984,40.0984,38.6584,40.0984,ok,1428883200,45700
69,39.4539,39.6139,38.2239,38.7039,ok,1428969600,37500
70,40.1531,40.8231,39.3331,39.7731,ok,1429056000,75000
71,38.9994,40.1794,38.9294,40.1794,ok,1429142400,24600
72,37.2601,38.9901,36.6301,38.5501,ok,1429228800,45500
73,37.2601,38.2401,37.0101,37.3301,ok,1429488000,27900
74,37.1202,37.6602,36.8302,37.1602,ok,1429574400,19200
75,37.1902,37.5802,36.5102,37.4402,ok,1429660800,38000
76,38.7459,38.9559,36.8659,37.0059,ok,1429747200,35600
77,39.6375,39.7875,38.6275,38.6275,ok,1429833600,24500
78,39.9871,40.7371,39.5871,40.2271,ok,1430092800,26100
79,40.7912,40.9512,40.1212,40.1212,ok,1430179200,23300
80,39.62,40.88,39.44,40.88,ok,1430265600,20100
81,38.8683,40.1783,37.8783,39.4383,ok,1430352000,36700
82,38.947,39.037,37.897,39.037,ok,1430438400,32700
83,38.9907,39.8007,38.7807,38.8807,ok,1430697600,22800
84,38.6935,39.1035,37.7935,38.7435,ok,1430784000,34500
85,38.3876,39.1576,36.5576,38.8476,ok,1430870400,29100
86,37.5398,37.8998,37.0998,37.6898,ok,1430956800,32800
87,42.4081,43.7581,40.6881,40.6881,ok,1431043200,80100
88,42.0848,43.1348,41.8348,42.4748,ok,1431302400,59900
89,42.8189,43.1189,41.2989,42.0989,ok,1431388800,59100
90,42.3033,43.3333,41.7233,43.3333,ok,1431475200,42200
91,42.6441,43.0241,42.1941,42.3541,ok,1431561600,33400
92,41.7526,42.8026,41.2226,42.8026,ok,1431648000,50500
93,42.0935,42.5935,41.2735,41.7935,ok,1431907200,29200
94,42.4081,42.7882,40.9181,42.0382,ok,1431993600,60100
95,43.221,43.281,41.931,42.271,ok,1432080000,37400
96,42.7053,43.6353,42.5053,43.2453,ok,1432166400,28300
97,41.7177,43.4677,41.3177,42.9077,ok,1432252800,35900
98,42.076,42.296,39.976,41.396,ok,1432598400,54000
99,42.2159,42.3859,40.7959,42.3859,ok,1432684800,25600
100,41.7944,42.0944,41.2244,42.0044,ok,1432771200,21000
101,41.3993,42.3393,40.7493,41.8493,ok,1432857600,55200
102,40.7232,42.1232,40.4432,42.1232,ok,1433116800,41800
103,41.452,42.192,40.032,40.652,ok,1433203200,73000
104,41.8646,42.6146,41.0546,41.6846,ok,1433289600,57300
105,41.2061,42.0361,40.6361,41.8761,ok,1433376000,24100
106,41.2676,41.6376,40.2676,41.1276,ok,1433462400,37800
107,41.0481,41.4181,40.7281,41.0081,ok,1433721600,24300
108,41.0744,41.2444,40.6944,41.1144,ok,1433808000,40000
109,41.8822,42.5322,40.9322,40.9322,ok,1433894400,52000
110,42.5407,42.6107,41.5007,41.8407,ok,1433980800,31500
111,42.8217,43.4817,42.3217,42.4417,ok,1434067200,49500
112,42.1632,43.0032,41.3332,42.8132,ok,1434326400,43900
113,43.0237,43.8137,41.4537,42.1837,ok,1434412800,64200
114,42.9007,43.4307,42.3107,43.4307,ok,1434499200,43400
115,43.489,44.059,42.459,42.839,ok,1434585600,43900
116,42.5583,44.1083,42.2983,43.7583,ok,1434672000,71500
117,42.8041,43.3541,42.3941,43.1041,ok,1434931200,68100
118,43.489,43.529,42.469,42.989,ok,1435017600,54100
119,44.0949,44.2549,43.1549,43.1549,ok,1435104000,76400
120,44.2968,44.4068,43.4768,44.0168,ok,1435190400,44000
121,45.3944,45.3944,43.2244,44.1944,ok,1435276800,157700
122,43.8754,45.5053,43.7253,45.0653,ok,1435536000,70500
123,43.3046,44.5746,43.0246,44.4446,ok,1435622400,68200
124,43.9368,44.2568,42.8768,44.0068,ok,1435708800,76900
125,43.4802,44.1802,42.3402,44.0002,ok,1435795200,35200
126,43.6997,44.4297,42.2097,42.9497,ok,1436140800,64200
127,42.049,43.579,41.679,43.579,ok,1436227200,77400
128,42.1807,42.3307,41.8207,41.8207,ok,1436313600,90500
129,42.0051,42.9651,41.3151,42.9351,ok,1436400000,64100
130,41.9612,42.9212,41.7012,42.9212,ok,1436486400,40900
131,42.1895,42.3395,41.9095,42.3395,ok,1436745600,86800
132,42.0403,42.3603,41.8303,42.3403,ok,1436832000,52000
133,40.2052,42.3452,39.9852,42.3452,ok,1436918400,56200
134,40.3983,40.6883,39.8783,40.6883,ok,1437004800,60600
135,40.1437,40.6337,39.7337,40.6037,ok,1437091200,54900
136,38.9057,40.3257,38.8457,40.2757,ok,1437350400,46300
137,38.8969,39.7969,38.3569,38.8269,ok,1437436800,40300
138,38.7037,39.1337,38.2737,38.9737,ok,1437523200,42200
139,37.852,39.112,37.702,39.082,ok,1437609600,54600
140,36.535,38.175,35.815,38.175,ok,1437696000,78500
141,36.8599,37.5799,36.3599,36.3599,ok,1437955200,80300
142,37.3867,37.8967,36.5767,36.9567,ok,1438041600,72000
143,37.8257,38.2357,37.4557,37.4557,ok,1438128000,74300
144,37.5623,37.9323,36.4923,37.6823,ok,1438214400,77800
145,37.3779,38.0779,37.1079,37.8679,ok,1438300800,48600
146,37.2462,37.8162,36.6762,37.3162,ok,1438560000,59000
147,36.9916,38.2116,36.6816,37.5816,ok,1438646400,48600
148,36.9213,38.1113,36.8213,37.5413,ok,1438732800,57600
149,37.6764,38.0664,35.9464,36.9964,ok,1438819200,80800
150,35.3584,37.4384,31.7384,31.7384,ok,1438905600,168200
151,37.8959,38.3859,34.7859,35.0559,ok,1439164800,138500
152,36.6052,37.7352,36.0552,37.7352,ok,1439251200,68000
153,36.2804,36.6304,35.3604,36.3204,ok,1439337600,67300
154,35.2794,36.4794,35.1794,36.4794,ok,1439424000,47700
155,35.9994,36.2094,35.2494,35.2594,ok,1439510400,95400
156,36.0169,36.4069,34.9169,35.6369,ok,1439769600,63800
157,34.9721,35.9021,34.6821,35.9021,ok,1439856000,40100
158,34.3136,35.0036,33.9436,35.0036,ok,1439942400,41300
159,33.6814,34.5614,33.6014,34.2514,ok,1440028800,79300
160,33.2599,33.9999,33.0899,33.0899,ok,1440115200,49400
161,31.6092,33.3792,30.4092,31.7092,ok,1440374400,125600
162,31.0648,32.9948,30.8448,32.9948,ok,1440460800,59500
163,31.9341,31.9341,30.5641,31.7841,ok,1440547200,78400
164,33.6902,33.7902,31.7902,32.0902,ok,1440633600,102200
165,33.8315,34.0415,33.0215,33.4614,ok,1440720000,56300
166,33.752,33.862,32.932,33.422,ok,1440979200,45000
167,32.9748,33.6748,32.9548,33.1148,ok,1441065600,44400
168,34.0875,34.0875,33.0375,33.2475,ok,1441152000,51000
169,33.7166,35.0666,33.3866,34.1566,ok,1441238400,68800
170,33.0985,33.5585,32.9885,33.2185,ok,1441324800,46700
171,32.8954,33.7354,32.8354,33.5954,ok,1441670400,47500
172,32.3743,33.5343,32.2743,33.1143,ok,1441756800,53200
173,32.5863,33.1663,32.1263,32.3663,ok,1441843200,52400
174,32.6658,32.9158,32.3558,32.5758,ok,1441929600,115100
175,31.9858,32.7158,31.2658,32.7158,ok,1442188800,94300
176,32.4008,32.4108,31.5408,31.9108,ok,1442275200,59900
177,32.3743,32.9043,31.6343,32.4443,ok,1442361600,115100
178,33.2309,34.0309,32.1109,32.1209,ok,1442448000,66600
