,c,h,l,o,s,t,v
0,3.15,3.63,3.15,3.63,ok,1420156800,700
1,3.3,3.33,3.2,3.2,ok,1420416000,6100
2,3.29,3.31,3.29,3.3,ok,1420502400,3500
3,3.54,3.54,3.24,3.25,ok,1420588800,5200
4,3.35,3.62,3.24,3.27,ok,1420675200,7800
5,3.26,3.35,3.24,3.32,ok,1420761600,3300
6,3.49,3.49,3.24,3.24,ok,1421020800,1500
7,3.36,3.49,3.27,3.37,ok,1421107200,2800
8,3.3,3.58,3.3,3.58,ok,1421193600,3700
9,3.16,3.29,3.15,3.28,ok,1421280000,2400
10,3.28,3.58,3.17,3.17,ok,1421366400,2700
11,3.34,3.34,3.22,3.22,ok,1421712000,2600
12,3.27,3.39,3.2,3.38,ok,1421798400,6400
13,3.36,3.36,3.2,3.2,ok,1421884800,18200
14,3.23,3.35,3.12,3.12,ok,1421971200,6700
15,3.13,3.3,3.12,3.12,ok,1422230400,13300
16,3.22,3.22,3.16,3.16,ok,1422316800,600
17,3.19,3.26,3.13,3.14,ok,1422403200,12200
18,3.29,3.4,3.14,3.19,ok,1422489600,1300
19,3.17,3.2,3.12,3.13,ok,1422576000,1200
20,3.24,3.32,3.13,3.32,ok,1422835200,5000
21,3.23,3.25,3.13,3.21,ok,1422921600,7400
22,3.2,3.2,3.15,3.15,ok,1423008000,1500
23,3.18,3.19,3.18,3.19,ok,1423094400,1000
24,3.38,3.39,3.19,3.21,ok,1423180800,6900
25,3.29,3.38,3.15,3.33,ok,1423440000,19500
26,3.18,3.28,3.17,3.17,ok,1423526400,1200
27,3.26,3.28,3.13,3.24,ok,1423612800,2300
28,3.18,3.4,3.15,3.25,ok,1423699200,7700
29,3.2,3.35,3.18,3.35,ok,1423785600,5300
30,3.18,3.27,3.18,3.27,ok,1424131200,1000
31,3.12,3.28,3.11,3.18,ok,1424217600,7900
32,3.14,3.29,3.11,3.18,ok,1424304000,14900
33,3.1,3.29,3.1,3.12,ok,1424390400,19400
34,3.1,3.18,3.1,3.18,ok,1424649600,19100
35,3.06,3.16,3.06,3.15,ok,1424736000,6900
36,3.15,3.27,3.11,3.11,ok,1424822400,6200
37,3.15,3.29,3.11,3.29,ok,1424908800,6000
38,3.06,3.22,3.06,3.22,ok,1424995200,9900
39,3.26,3.3,3.06,3.07,ok,1425254400,12000
40,3.3,3.3,3.25,3.25,ok,1425340800,3900
41,3.17,3.17,3.17,3.17,ok,1425427200,100
42,3.11,3.2,3.08,3.08,ok,1425513600,14200
43,3.13,3.28,3.08,3.1,ok,1425600000,5200
44,3.01,3.1,3.0,3.09,ok,1425859200,44700
45,3.0,3.03,2.96,3.0,ok,1425945600,27900
46,2.84,3.0,2.84,2.97,ok,1426032000,42700
47,2.99,3.08,2.81,2.95,ok,1426118400,49400
48,2.95,3.05,2.81,3.05,ok,1426204800,57100
49,3.02,3.02,2.95,2.96,ok,1426464000,20500
50,2.86,2.99,2.85,2.93,ok,1426550400,18400
51,2.86,2.97,2.85,2.86,ok,1426636800,17200
52,2.86,2.96,2.85,2.86,ok,1426723200,25400
53,2.84,3.28,2.81,2.87,ok,1426809600,348500
54,2.93,2.99,2.85,2.86,ok,1427068800,8800
55,2.86,2.96,2.85,2.86,ok,1427155200,3000
56,2.86,2.97,2.85,2.85,ok,1427241600,48500
57,2.86,2.88,2.86,2.86,ok,1427328000,2700
58,2.86,2.99,2.86,2.86,ok,1427414400,24200
59,2.88,2.89,2.85,2.87,ok,1427673600,12900
60,2.85,2.89,2.85,2.89,ok,1427760000,10300
61,2.87,2.87,2.85,2.85,ok,1427846400,23600
62,2.94,2.94,2.87,2.87,ok,1427932800,1500
63,2.85,2.99,2.85,2.99,ok,1428278400,89100
64,2.86,2.87,2.85,2.85,ok,1428364800,2000
65,2.88,2.92,2.85,2.85,ok,1428451200,8800
66,2.85,2.87,2.85,2.87,ok,1428537600,12000
67,2.87,2.98,2.86,2.87,ok,1428624000,4700
68,3.0,3.26,2.92,2.92,ok,1428883200,41800
69,3.13,3.2,3.05,3.19,ok,1428969600,22500
70,3.19,3.22,3.15,3.2,ok,1429056000,23800
71,3.28,3.35,3.14,3.14,ok,1429142400,30300
72,3.6,3.7,3.27,3.34,ok,1429228800,85600
73,3.62,3.72,3.48,3.5,ok,1429488000,27800
74,3.66,3.66,3.5,3.5,ok,1429574400,13500
75,3.51,3.66,3.51,3.51,ok,1429660800,13400
76,3.94,4.12,3.5,3.5,ok,1429747200,53100
77,3.84,3.85,3.69,3.8,ok,1429833600,38900
78,3.65,3.81,3.55,3.77,ok,1430092800,3200
79,3.66,3.7,3.65,3.69,ok,1430179200,2200
80,3.61,3.69,3.53,3.64,ok,1430265600,5400
81,3.61,3.64,3.6,3.61,ok,1430352000,10500
82,3.89,3.9,3.65,3.65,ok,1430438400,33400
83,3.73,3.89,3.73,3.8,ok,1430697600,13100
84,3.65,3.8,3.65,3.78,ok,1430784000,9000
85,3.69,3.73,3.55,3.65,ok,1430870400,2600
86,3.69,3.7,3.55,3.7,ok,1430956800,3700
87,3.53,3.57,3.51,3.51,ok,1431043200,8500
88,3.53,3.57,3.53,3.53,ok,1431302400,500
89,3.45,3.58,3.45,3.51,ok,1431388800,13000
90,3.4,3.48,3.4,3.4,ok,1431475200,7000
91,3.4,3.53,3.36,3.44,ok,1431561600,3300
92,3.51,3.61,3.27,3.61,ok,1431648000,6000
93,3.33,3.5,3.22,3.5,ok,1431907200,12700
