,c,h,l,o,s,t,v
0,7.8122,8.0422,7.7322,7.9122,ok,1420156800,86500
1,7.6865,7.9465,7.6765,7.8065,ok,1420416000,108400
2,7.5518,7.7518,7.4318,7.6818,ok,1420502400,85200
3,7.5159,7.8159,7.4459,7.5859,ok,1420588800,97000
4,7.6237,7.7337,7.5437,7.5737,ok,1420675200,69000
5,7.4979,7.7279,7.3479,7.6379,ok,1420761600,49500
6,7.6057,7.7257,7.4257,7.4557,ok,1421020800,139800
7,7.6506,8.0206,7.5106,7.6106,ok,1421107200,92800
8,7.4351,7.7151,7.3751,7.5951,ok,1421193600,68900
9,7.1747,7.5747,7.1547,7.5047,ok,1421280000,69700
10,7.2555,7.4355,7.1355,7.1355,ok,1421366400,114100
11,7.1657,7.4457,7.1057,7.2357,ok,1421712000,53700
12,6.9412,7.1912,6.8912,7.1512,ok,1421798400,51200
13,7.0939,7.1839,6.8639,6.9239,ok,1421884800,48500
14,7.0669,7.1869,7.0269,7.1269,ok,1421971200,29100
15,6.8155,7.0455,6.8055,7.0455,ok,1422230400,58900
16,6.8245,6.8945,6.5345,6.6245,ok,1422316800,95700
17,6.8245,6.8745,6.6945,6.8445,ok,1422403200,76300
18,6.9951,7.0051,6.7851,6.8451,ok,1422489600,34400
19,6.8065,7.1265,6.7465,6.9265,ok,1422576000,97200
20,7.031,7.061,6.661,6.781,ok,1422835200,65200
21,7.1388,7.2288,7.0688,7.0688,ok,1422921600,48400
22,7.049,7.189,7.049,7.089,ok,1423008000,21900
23,7.3722,7.4022,6.9822,7.0222,ok,1423094400,39200
24,7.1567,7.4567,7.1167,7.4367,ok,1423180800,65100
25,7.0669,7.2169,7.0469,7.1169,ok,1423440000,44900
26,7.1926,7.2726,7.0026,7.0926,ok,1423526400,36400
27,7.1567,7.3167,7.1067,7.1467,ok,1423612800,101600
28,7.2914,7.4114,7.1714,7.2414,ok,1423699200,46800
29,7.3184,7.3784,7.1584,7.2284,ok,1423785600,43300
30,7.3184,7.4984,7.2484,7.3184,ok,1424131200,27500
31,7.3273,7.4173,7.1973,7.2873,ok,1424217600,31800
32,7.1747,7.3247,7.1647,7.2847,ok,1424304000,22700
33,7.1208,7.2108,7.0608,7.2008,ok,1424390400,50000
34,7.0669,7.1669,7.0469,7.1469,ok,1424649600,39000
35,7.1208,7.1708,7.0008,7.0608,ok,1424736000,44000
36,8.0996,8.1496,7.1796,7.1796,ok,1424822400,119900
37,8.2881,8.3681,7.9481,8.0581,ok,1424908800,42200
38,7.911,8.351,7.871,8.351,ok,1424995200,101000
39,7.911,8.011,7.671,7.941,ok,1425254400,181500
40,7.8302,8.0202,7.7602,7.8602,ok,1425340800,34500
41,8.0637,8.1237,7.7337,7.7937,ok,1425427200,91100
42,8.1535,8.2735,7.9935,8.0735,ok,1425513600,83300
43,8.1714,8.2414,8.0614,8.0814,ok,1425600000,49800
44,8.1804,8.3204,8.1404,8.2104,ok,1425859200,53100
45,8.0547,8.2947,7.7547,8.0147,ok,1425945600,58000
46,8.0188,8.2588,7.9388,8.1388,ok,1426032000,44900
47,8.0547,8.1247,7.8547,8.0347,ok,1426118400,46800
48,7.911,8.071,7.831,8.071,ok,1426204800,33900
49,7.902,7.962,7.652,7.932,ok,1426464000,33500
50,7.8841,7.9041,7.8041,7.8841,ok,1426550400,43200
51,7.8751,7.9051,7.4251,7.8251,ok,1426636800,56700
52,7.8571,7.8971,7.7971,7.8071,ok,1426723200,34300
53,7.8122,7.9422,7.7822,7.8622,ok,1426809600,115000
54,7.7224,7.8724,7.6624,7.7824,ok,1427068800,99100
55,7.9559,8.0859,7.7659,8.0859,ok,1427155200,31400
56,7.7045,8.0645,7.6945,7.9545,ok,1427241600,83000
57,7.7224,7.8024,7.6424,7.6824,ok,1427328000,72400
58,7.8122,7.9722,7.7122,7.7122,ok,1427414400,109300
59,8.0277,8.0477,7.8577,7.8577,ok,1427673600,43600
60,8.0277,8.0777,7.8777,7.9477,ok,1427760000,23600
61,8.4049,8.4249,7.9349,7.9349,ok,1427846400,167500
62,8.333,8.633,8.253,8.493,ok,1427932800,89300
63,8.2612,8.3612,8.0412,8.3312,ok,1428278400,111500
64,8.1445,8.3945,8.0945,8.2245,ok,1428364800,47400
65,8.2253,8.3253,8.0953,8.0953,ok,1428451200,38800
66,7.9739,8.2839,7.9439,8.2839,ok,1428537600,58100
67,7.9469,8.0969,7.8669,7.9569,ok,1428624000,45600
68,7.9828,7.9928,7.7528,7.8328,ok,1428883200,64000
69,8.0277,8.0677,7.9277,8.0177,ok,1428969600,20000
70,8.3151,8.3451,7.9851,8.0451,ok,1429056000,42600
71,8.351,8.511,8.261,8.331,ok,1429142400,46500
72,8.2702,8.4202,8.1402,8.2902,ok,1429228800,89100
73,8.809,9.269,8.339,8.349,ok,1429488000,237500
74,8.9257,9.0657,8.8257,8.9257,ok,1429574400,89200
75,8.9437,9.0937,8.8737,8.9837,ok,1429660800,83600
76,8.8898,8.9298,8.6298,8.8198,ok,1429747200,63000
77,8.7461,8.9461,8.5561,8.9461,ok,1429833600,37900
78,8.8808,9.0608,8.7308,8.7308,ok,1430092800,77300
79,9.0155,9.0655,8.8255,8.8355,ok,1430179200,47800
80,8.8808,9.0408,8.7508,9.0308,ok,1430265600,45800
81,8.6204,9.0004,8.5504,8.8904,ok,1430352000,102100
82,8.8449,8.8649,8.5249,8.5749,ok,1430438400,62100
83,8.7461,8.8461,8.3361,8.4361,ok,1430697600,106100
84,8.4677,8.8477,8.3977,8.7377,ok,1430784000,63900
85,8.3869,8.4769,8.0669,8.3969,ok,1430870400,80900
86,8.5306,8.6506,8.3406,8.4206,ok,1430956800,45200
87,8.4049,8.6349,8.3849,8.6349,ok,1431043200,63800
88,8.4767,8.5767,8.4067,8.4467,ok,1431302400,53000
89,8.4857,8.6457,8.3857,8.4857,ok,1431388800,66100
90,9.7967,10.0267,8.6467,9.0867,ok,1431475200,478800
91,10.1559,10.5759,9.6459,9.7759,ok,1431561600,243000
92,10.1379,10.2879,10.0479,10.1979,ok,1431648000,114200
93,10.5241,10.9241,10.0041,10.1241,ok,1431907200,175800
