,c,h,l,o,s,t,v
0,21.421,21.751,21.031,21.521,ok,1538006400,120800
1,21.4566,21.6066,21.3666,21.4666,ok,1538092800,27200
2,21.3764,21.5664,21.3764,21.5264,ok,1538352000,28100
3,21.3319,21.5219,21.2019,21.5219,ok,1538438400,28500
4,21.421,21.771,21.411,21.421,ok,1538524800,57900
5,21.323,21.433,21.203,21.433,ok,1538611200,13900
6,21.3319,21.3819,21.3319,21.3819,ok,1538697600,8400
7,21.3764,21.3764,21.3064,21.3264,ok,1538956800,8400
8,21.3319,21.5319,21.3319,21.3819,ok,1539043200,3600
9,21.2428,21.3428,21.2128,21.2928,ok,1539129600,10600
10,21.2161,21.2761,21.0961,21.2761,ok,1539216000,3100
11,21.3649,21.4349,21.2849,21.4349,ok,1539302400,13400
12,21.3291,21.4291,21.3091,21.4291,ok,1539561600,8900
13,21.2932,21.4332,21.2432,21.3432,ok,1539648000,9000
14,21.2663,21.3363,21.1263,21.1263,ok,1539734400,4000
15,21.2035,21.2935,21.1535,21.2535,ok,1539820800,13200
16,21.1587,21.2087,21.1487,21.2087,ok,1539907200,4500
17,21.2125,21.2425,21.1625,21.2425,ok,1540166400,5000
18,21.0242,21.0942,21.0242,21.0942,ok,1540252800,10400
19,21.0242,21.0642,20.0242,20.8442,ok,1540339200,17500
20,20.7642,20.9342,20.7042,20.9342,ok,1540425600,85800
21,20.818,20.848,20.748,20.748,ok,1540512000,39200
22,20.818,20.898,20.798,20.798,ok,1540771200,59100
23,20.8449,20.8449,20.7149,20.8049,ok,1540857600,10500
24,21.0422,21.0422,20.8222,20.8522,ok,1540944000,18300
25,20.9973,20.9973,20.9773,20.9773,ok,1541030400,2400
26,20.9615,21.0015,20.8815,21.0015,ok,1541116800,3700
27,20.8987,20.9287,20.8587,20.8887,ok,1541376000,10600
28,20.8898,20.8998,20.8598,20.8898,ok,1541462400,11000
29,20.9884,21.0284,20.9484,20.9684,ok,1541548800,17500
30,20.8898,21.0398,20.8098,21.0298,ok,1541635200,12200
31,20.8898,20.8898,20.7998,20.8898,ok,1541721600,9800
32,20.8449,21.0949,20.8449,21.0949,ok,1541980800,5800
33,20.8001,20.9501,20.7501,20.7501,ok,1542067200,7500
34,20.8091,20.8991,20.7191,20.8691,ok,1542153600,12500
35,20.7284,20.8884,20.7284,20.8084,ok,1542240000,17200
36,20.836,20.946,20.716,20.716,ok,1542326400,5400
