,c,h,l,o,s,t,v
0,11.4543,11.5443,11.3343,11.3743,ok,1420156800,77700
1,11.8134,11.8334,11.5134,11.5134,ok,1420416000,229200
2,12.023,12.143,11.823,11.853,ok,1420502400,295400
3,11.9032,12.0032,11.8732,11.9632,ok,1420588800,121700
4,11.6937,11.8437,11.6937,11.7937,ok,1420675200,136700
5,11.8334,11.8734,11.6934,11.6934,ok,1420761600,97500
6,12.023,12.053,11.823,11.823,ok,1421020800,87300
7,11.9831,12.0931,11.7631,11.8731,ok,1421107200,177000
8,12.0529,12.2229,12.0529,12.0929,ok,1421193600,326500
9,12.2724,12.2724,12.0124,12.0524,ok,1421280000,244400
10,12.1627,12.3427,12.1227,12.3327,ok,1421366400,164200
11,12.0729,12.2129,12.0029,12.0729,ok,1421712000,105000
12,11.8733,12.0233,11.8433,12.0233,ok,1421798400,117600
13,11.6239,11.8939,11.6139,11.8439,ok,1421884800,163900
14,11.6438,11.6638,11.5738,11.6238,ok,1421971200,185900
15,11.574,11.684,11.574,11.644,ok,1422230400,34600
16,11.6538,11.7838,11.6138,11.7238,ok,1422316800,157700
17,11.9232,11.9332,11.6532,11.6632,ok,1422403200,172600
18,11.7636,11.9736,11.7336,11.8636,ok,1422489600,128400
19,11.8833,11.8833,11.7333,11.8633,ok,1422576000,125100
20,11.6738,11.9338,11.6538,11.8638,ok,1422835200,122100
21,11.3645,11.6745,11.3545,11.6745,ok,1422921600,138100
22,11.5041,11.5341,11.4041,11.4441,ok,1423008000,108100
23,11.3944,11.5044,11.3644,11.5044,ok,1423094400,148000
24,11.4243,11.4243,11.3343,11.3943,ok,1423180800,76000
25,11.4642,11.4942,11.4042,11.4142,ok,1423440000,56300
26,11.3744,11.5044,11.3744,11.4144,ok,1423526400,164000
27,11.3844,11.4344,11.3644,11.4044,ok,1423612800,236700
28,11.1449,11.3249,11.1249,11.3249,ok,1423699200,224300
29,11.0252,11.1252,11.0152,11.1252,ok,1423785600,147600
30,11.0053,11.0753,10.9853,11.0553,ok,1424131200,155700
31,10.9853,11.0353,10.9753,11.0053,ok,1424217600,47900
32,10.9554,11.0454,10.9254,10.9854,ok,1424304000,68500
33,10.8656,11.0156,10.8556,11.0156,ok,1424390400,129500
34,10.9254,10.9554,10.8454,10.8654,ok,1424649600,92500
35,10.8855,10.9555,10.8655,10.9255,ok,1424736000,107300
36,10.8456,10.9056,10.8256,10.9056,ok,1424822400,61600
37,10.8656,10.8956,10.8056,10.8256,ok,1424908800,46100
38,10.9155,10.9155,10.8455,10.8755,ok,1424995200,62000
39,10.8556,10.9156,10.8356,10.9156,ok,1425254400,39400
40,10.9155,10.9355,10.8555,10.8555,ok,1425340800,61600
41,10.9753,11.0353,10.9153,10.9153,ok,1425427200,76900
42,10.9653,11.0253,10.9653,11.0253,ok,1425513600,75400
43,11.135,11.135,10.955,10.995,ok,1425600000,133600
44,11.1449,11.1949,11.1049,11.1149,ok,1425859200,36500
45,11.2946,11.3446,11.2446,11.2746,ok,1425945600,178000
46,11.2946,11.3246,11.2046,11.2846,ok,1426032000,112100
47,11.2048,11.2748,11.1948,11.2748,ok,1426118400,92000
48,11.2946,11.3546,11.1946,11.2246,ok,1426204800,88200
49,11.2248,11.2948,11.2248,11.2348,ok,1426464000,165800
50,11.1849,11.2849,11.1849,11.2349,ok,1426550400,50600
51,11.0352,11.2652,10.9852,11.2152,ok,1426636800,315800
52,11.0452,11.1152,11.0352,11.1152,ok,1426723200,66900
53,10.9254,11.0654,10.9154,11.0354,ok,1426809600,93300
54,10.8556,10.9256,10.8356,10.9056,ok,1427068800,69000
55,10.9055,10.9155,10.8355,10.9155,ok,1427155200,49400
56,11.0951,11.0951,10.8851,10.9251,ok,1427241600,153300
57,11.1749,11.2049,11.1149,11.2049,ok,1427328000,92000
58,11.125,11.215,11.035,11.085,ok,1427414400,35000
59,10.9953,11.0853,10.9853,11.0853,ok,1427673600,86900
60,11.0551,11.0751,11.0051,11.0051,ok,1427760000,127100
61,11.105,11.165,11.075,11.115,ok,1427846400,206600
62,11.0452,11.1252,11.0252,11.1252,ok,1427932800,28400
63,10.9254,11.1054,10.9054,11.1054,ok,1428278400,95900
64,10.9554,10.9754,10.8854,10.9754,ok,1428364800,48900
65,10.8756,10.9456,10.8656,10.9256,ok,1428451200,67200
66,10.8656,10.9556,10.8656,10.9256,ok,1428537600,22100
67,10.8356,10.8956,10.8356,10.8656,ok,1428624000,68400
68,10.8756,10.9056,10.8156,10.9056,ok,1428883200,47200
69,10.8456,11.0256,10.8456,10.9256,ok,1428969600,105000
70,10.7059,10.8559,10.6959,10.8559,ok,1429056000,171600
71,10.7159,10.7759,10.6859,10.7759,ok,1429142400,64300
72,10.9454,10.9754,10.8654,10.8854,ok,1429228800,149300
73,10.8157,10.9057,10.8157,10.9057,ok,1429488000,61100
74,10.8057,10.8357,10.7657,10.8157,ok,1429574400,46100
75,10.7359,10.8659,10.7159,10.7459,ok,1429660800,58900
76,10.676,10.756,10.656,10.726,ok,1429747200,79100
77,10.7558,10.7758,10.6558,10.6758,ok,1429833600,44900
78,10.7558,10.7758,10.6758,10.7758,ok,1430092800,85500
79,10.7159,10.8259,10.7059,10.7859,ok,1430179200,70400
80,10.7558,10.8158,10.7358,10.8058,ok,1430265600,59000
81,10.9554,10.9954,10.7754,10.8454,ok,1430352000,167900
82,10.8356,10.9256,10.8356,10.9256,ok,1430438400,99400
83,10.7957,10.8357,10.7757,10.8057,ok,1430697600,84100
84,10.9055,10.9355,10.7655,10.7655,ok,1430784000,119600
85,10.9554,11.0154,10.8254,10.8254,ok,1430870400,110000
86,10.9055,10.9855,10.8755,10.9855,ok,1430956800,94600
87,10.8456,10.8656,10.8056,10.8256,ok,1431043200,89500
88,10.7957,10.8457,10.7557,10.8457,ok,1431302400,48800
