,c,h,l,o,s,t,v
0,22.6096,22.6356,22.4156,22.6356,ok,1572393600,1600
1,22.4511,22.6911,22.4511,22.6911,ok,1572480000,2600
2,23.0249,23.0249,22.5049,22.5049,ok,1572566400,800
3,23.4048,23.4578,23.2378,23.2378,ok,1572825600,5000
4,23.3474,23.3634,23.1834,23.3634,ok,1572912000,1500
5,23.0605,23.3715,23.0605,23.2215,ok,1572998400,5000
6,22.9412,23.2432,22.9412,23.2432,ok,1573084800,1900
7,22.9631,22.9631,22.8241,22.8241,ok,1573171200,100
8,22.911,22.94,22.85,22.85,ok,1573430400,200
9,22.7987,23.0607,22.7987,22.9307,ok,1573516800,1200
10,23.2545,23.2545,23.2085,23.2085,ok,1573776000,100
11,22.8261,22.8261,22.6881,22.6881,ok,1574208000,4300
12,22.8498,22.8498,22.6658,22.6658,ok,1574294400,1000
13,22.996,23.157,22.996,23.157,ok,1575244800,100
14,23.4883,23.4883,23.4883,23.4883,ok,1575590400,100
15,23.6802,23.6802,23.5772,23.5772,ok,1575849600,7600
16,23.5705,23.5865,23.5705,23.5865,ok,1575936000,200
17,23.3942,23.3942,23.3942,23.3942,ok,1576022400,100
18,23.2709,23.3799,23.2709,23.3799,ok,1576108800,100
19,23.2995,23.2995,23.2995,23.2995,ok,1576195200,100
20,23.6344,23.7684,23.6344,23.7684,ok,1576540800,2900
21,23.9592,23.9802,23.8082,23.8082,ok,1576627200,3500
22,24.0503,24.0823,24.0413,24.0523,ok,1576713600,9400
23,24.3549,24.3549,24.3549,24.3549,ok,1576800000,100
24,24.33,24.342,24.318,24.342,ok,1577059200,500
25,24.2923,24.3213,24.2923,24.3213,ok,1577145600,600
26,24.4515,24.4515,24.4515,24.4515,ok,1577318400,100
27,24.4901,24.5841,24.4901,24.5841,ok,1577404800,100
28,24.2619,24.5539,24.2619,24.5539,ok,1577664000,800
29,24.5278,24.5278,24.3708,24.3708,ok,1577750400,700
30,24.0494,24.0494,23.9424,24.0124,ok,1577923200,1300
31,24.2518,24.4948,24.1048,24.1048,ok,1578009600,32100
32,24.3567,25.4757,24.1507,24.1857,ok,1578268800,25700
33,24.1653,24.1653,24.1653,24.1653,ok,1578355200,200
34,24.1579,24.1579,24.1429,24.1529,ok,1578441600,900
35,24.2205,24.7075,23.9925,24.0175,ok,1578528000,11600
36,24.1906,24.2506,24.1906,24.2506,ok,1578614400,7100
37,24.4853,24.5143,24.4473,24.5143,ok,1578873600,1100
38,24.4844,24.7143,24.4844,24.7143,ok,1578960000,100
39,24.6556,24.6556,24.6556,24.6556,ok,1579046400,100
40,24.8736,24.8736,24.8736,24.8736,ok,1579132800,100
41,24.9381,24.9381,24.9331,24.9331,ok,1579219200,200
42,24.8212,24.9812,24.8002,24.9812,ok,1579564800,1000
43,24.8324,25.2404,24.8324,25.2404,ok,1579651200,300
44,24.9288,24.9288,24.7498,24.7498,ok,1579737600,5500
45,24.5629,24.9089,24.4889,24.9089,ok,1579824000,2600
46,23.9866,24.1386,23.9866,24.0626,ok,1580083200,2400
47,24.2869,24.3079,24.2869,24.2979,ok,1580169600,2400
48,23.9165,24.1635,23.9165,24.1635,ok,1580256000,1100
49,23.9202,23.9202,23.4932,23.4932,ok,1580342400,600
50,23.6395,23.6825,23.5925,23.6825,ok,1580428800,1400
51,23.6199,23.9839,23.6139,23.6639,ok,1580688000,3700
52,24.0025,24.1575,24.0025,24.1575,ok,1580774400,700
53,24.7267,24.7267,24.7267,24.7267,ok,1580860800,100
54,24.8707,24.9377,24.8707,24.9077,ok,1580947200,700
55,24.5901,25.0071,24.5901,25.0071,ok,1581033600,600
56,24.7201,24.8331,24.5501,24.8331,ok,1581292800,900
