,c,h,l,o,s,t,v
0,5.85,7.02,5.8,7.0,ok,1482796800,12500
1,5.68,6.2,5.67,6.02,ok,1482883200,17800
2,5.4,5.65,5.19,5.5,ok,1482969600,17600
3,4.95,5.29,4.9,5.29,ok,1483056000,10500
4,4.677,5.0,4.677,5.0,ok,1483401600,23000
5,5.93,5.93,4.55,4.75,ok,1483488000,24600
6,5.0,5.9,4.95,5.9,ok,1483574400,38900
7,5.12,5.3,5.03,5.3,ok,1483660800,30600
8,4.68,5.462,4.68,5.26,ok,1483920000,14100
9,4.21,4.97,4.19,4.96,ok,1484006400,19900
10,4.25,4.9,4.16,4.16,ok,1484092800,26100
11,4.27,4.4,4.051,4.4,ok,1484179200,17700
12,4.15,4.474,3.941,4.474,ok,1484265600,36700
13,4.36,4.5,4.2,4.33,ok,1484611200,115300
14,4.2,4.455,4.03,4.45,ok,1484697600,51600
15,4.05,4.166,4.02,4.09,ok,1484784000,29000
16,4.06,4.22,4.05,4.22,ok,1484870400,34800
17,4.09,4.28,4.05,4.05,ok,1485129600,26600
18,4.177,4.25,4.03,4.03,ok,1485216000,37700
19,4.03,4.2,4.02,4.12,ok,1485302400,31900
20,4.05,4.15,4.05,4.13,ok,1485388800,19100
21,3.96,4.055,3.9,4.05,ok,1485475200,5600
22,3.8,3.89,3.01,3.74,ok,1485734400,4700
23,3.7,3.9,3.53,3.9,ok,1485820800,17500
24,3.96,3.997,3.7,3.97,ok,1485907200,11100
25,3.7,3.94,3.7,3.89,ok,1485993600,12600
26,3.95,3.95,3.8,3.84,ok,1486080000,10800
27,4.025,4.04,3.8,4.02,ok,1486339200,12600
28,4.04,4.07,4.01,4.01,ok,1486425600,10400
29,4.07,4.085,4.01,4.05,ok,1486512000,12700
30,4.09,4.09,4.03,4.07,ok,1486598400,14700
31,4.02,4.09,3.99,4.09,ok,1486684800,10700
32,4.07,4.1,4.02,4.08,ok,1486944000,37700
33,4.06,4.14,4.02,4.1,ok,1487030400,38200
34,4.034,4.1,4.02,4.1,ok,1487116800,25500
35,4.06,4.1,4.0,4.1,ok,1487203200,30300
36,4.2,4.43,4.01,4.1,ok,1487289600,38500
37,4.14,4.46,3.92,4.46,ok,1487635200,28100
38,4.04,4.14,3.98,4.03,ok,1487721600,38700
39,4.04,4.09,3.92,3.98,ok,1487808000,31500
40,4.02,4.09,3.77,3.97,ok,1487894400,37200
41,3.96,4.08,3.8,4.08,ok,1488153600,26200
42,3.78,4.06,3.75,3.98,ok,1488240000,40100
43,3.82,4.0,3.8,3.99,ok,1488326400,20700
44,3.3,3.89,3.08,3.89,ok,1488412800,50400
45,3.46,3.57,3.27,3.45,ok,1488499200,43500
46,3.35,3.65,3.32,3.5,ok,1488758400,60400
47,3.69,3.9,3.4,3.4,ok,1488844800,23500
48,3.93,3.93,3.43,3.88,ok,1488931200,50300
49,3.99,3.99,3.61,3.71,ok,1489017600,38500
50,4.07,4.08,3.6,3.97,ok,1489104000,63400
51,3.99,4.4,3.85,4.08,ok,1489363200,76000
52,3.99,4.17,3.84,4.17,ok,1489449600,39000
53,3.9,4.0,3.8,3.95,ok,1489536000,29200
54,3.89,3.99,3.56,3.93,ok,1489622400,42700
55,3.67,4.001,3.67,3.99,ok,1489708800,51600
56,3.52,3.74,3.49,3.74,ok,1489968000,39400
57,3.45,3.68,3.25,3.68,ok,1490054400,14700
58,3.41,3.56,3.29,3.36,ok,1490140800,46700
59,3.36,3.62,3.3,3.62,ok,1490227200,29000
60,3.35,3.53,3.31,3.53,ok,1490313600,32000
61,3.36,3.41,3.283,3.41,ok,1490572800,29200
62,3.45,3.6,3.28,3.6,ok,1490659200,41600
63,3.44,3.44,3.29,3.4,ok,1490745600,38000
64,3.36,3.42,3.27,3.42,ok,1490832000,24300
65,3.26,3.4,3.15,3.39,ok,1490918400,24700
66,3.19,3.394,2.62,3.37,ok,1491177600,37300
67,3.18,3.22,3.15,3.22,ok,1491264000,12700
68,3.31,3.49,2.88,3.49,ok,1491350400,17400
69,3.32,3.34,3.25,3.34,ok,1491436800,10900
70,3.35,3.4,2.93,3.36,ok,1491523200,11100
71,3.35,3.42,3.266,3.42,ok,1491782400,9900
72,3.4,3.48,3.19,3.35,ok,1491868800,14200
