,c,h,l,o,s,t,v
0,23.961,24.1,23.961,24.1,ok,1582761600,1300
1,25.242,25.242,24.6,24.6,ok,1583107200,200
2,25.144,25.144,25.0,25.0,ok,1583193600,100
3,26.317,26.317,26.317,26.317,ok,1583280000,100
4,25.903,26.15,25.903,26.15,ok,1583366400,1000
5,25.453,25.453,25.0,25.1,ok,1583452800,50100
6,23.785,24.5,23.785,24.5,ok,1583712000,500
7,24.395,24.395,24.22,24.23,ok,1583798400,5000
8,23.17,23.75,23.17,23.75,ok,1583884800,200
9,20.931,21.1,20.931,21.1,ok,1583971200,300
10,21.22,21.22,21.12,21.163,ok,1584057600,700
11,19.172,19.172,19.172,19.172,ok,1584316800,100
12,20.472,20.472,20.472,20.472,ok,1584403200,100
13,19.697,19.697,19.697,19.697,ok,1584489600,100
14,20.345,20.345,20.345,20.345,ok,1584576000,100
15,20.057,20.981,20.057,20.981,ok,1584662400,100
16,19.748,19.748,18.41,18.41,ok,1584921600,100
17,21.614,22.06,21.4,21.4,ok,1585094400,30400
18,22.54,22.54,22.54,22.54,ok,1585180800,100
19,21.908,21.908,21.908,21.908,ok,1585267200,200
20,22.709,22.709,22.709,22.709,ok,1585526400,100
21,22.368,22.804,22.336,22.804,ok,1585612800,300
22,21.442,21.442,21.442,21.442,ok,1585699200,100
23,24.883,24.91,24.883,24.91,ok,1586822400,200
24,25.648,25.66,25.447,25.447,ok,1587081600,3000
25,25.91,25.91,25.75,25.75,ok,1587340800,1300
26,25.305,25.61,25.087,25.6,ok,1587427200,1400
27,26.059,26.32,26.059,26.32,ok,1587600000,400
28,27.005,27.23,26.013,27.23,ok,1587945600,10500
29,26.379,26.55,26.379,26.55,ok,1588032000,400
30,25.711,26.51,25.55,25.55,ok,1588291200,1000
31,26.281,26.281,25.76,26.28,ok,1588550400,3100
32,26.693,26.755,26.47,26.75,ok,1588636800,2200
33,27.438,27.9,27.328,27.9,ok,1588809600,300
34,27.881,27.881,27.733,27.74,ok,1588896000,800
35,28.956,29.07,28.939,28.939,ok,1589155200,1200
36,28.617,29.59,28.617,29.59,ok,1589241600,1800
37,28.236,28.236,28.184,28.214,ok,1589328000,300
38,28.228,28.228,28.07,28.07,ok,1589414400,200
39,29.066,29.066,28.52,28.52,ok,1589500800,2400
40,29.579,29.87,29.579,29.799,ok,1589760000,1600
41,29.674,29.674,29.52,29.67,ok,1589846400,2300
42,29.771,30.0,29.57,30.0,ok,1589932800,700
43,29.731,29.841,29.559,29.81,ok,1590019200,800
44,29.897,30.0,29.897,30.0,ok,1590105600,1000
45,29.359,30.0,29.359,30.0,ok,1590451200,1700
46,28.975,29.29,28.5,29.29,ok,1590537600,4800
47,29.189,29.44,29.189,29.4,ok,1590624000,300
48,29.663,29.663,29.07,29.41,ok,1590710400,800
