,c,h,l,o,s,t,v
0,17.8026,17.8326,17.8026,17.8126,ok,1437350400,17200
1,17.1438,17.1438,17.1438,17.1438,ok,1438041600,200
2,17.4307,17.4457,17.4307,17.4457,ok,1438128000,400
3,17.5334,17.5334,17.5334,17.5334,ok,1438300800,100
4,17.5617,17.5617,17.5617,17.5617,ok,1438560000,200
5,17.5617,17.5617,17.5617,17.5617,ok,1438646400,200
6,17.6751,17.6751,17.6751,17.6751,ok,1438732800,100
7,17.7176,17.7176,17.7176,17.7176,ok,1438819200,200
8,17.7034,17.7034,17.6734,17.6734,ok,1439164800,5400
9,17.3726,17.3796,17.3726,17.3796,ok,1439424000,1100
10,16.7045,16.7045,16.7045,16.7045,ok,1440028800,800
11,16.2512,16.2612,16.2512,16.2612,ok,1440633600,4000
12,16.1024,16.1024,16.1024,16.1024,ok,1441152000,300
13,16.5558,16.5558,16.5558,16.5558,ok,1441756800,4400
14,16.3078,16.3078,16.3078,16.3078,ok,1441843200,115000
15,16.0528,16.0528,16.0528,16.0528,ok,1442188800,200
16,16.2653,16.2653,16.2653,16.2653,ok,1442275200,300
17,16.4708,16.4708,16.3808,16.3808,ok,1442361600,2500
18,16.3007,16.6107,16.3007,16.5407,ok,1442448000,1200
19,16.0563,16.0563,16.0473,16.0473,ok,1442534400,600
20,16.0599,16.2099,16.0599,16.2099,ok,1442793600,600
21,15.734,15.734,15.734,15.734,ok,1442880000,800
22,15.8828,15.8828,15.8028,15.8028,ok,1442966400,500
23,15.9961,16.1761,15.9961,16.1741,ok,1443139200,600
24,16.4219,16.4219,16.4159,16.4159,ok,1443744000,700
25,16.6854,16.6854,16.6204,16.6224,ok,1444003200,900
26,16.7045,16.7045,16.6546,16.6546,ok,1444089600,38100
27,16.8746,16.8746,16.8746,16.8746,ok,1444176000,100
28,16.9312,16.9312,16.9312,16.9312,ok,1444348800,400
29,16.7463,16.8273,16.7463,16.8273,ok,1444694400,33200
30,16.825,16.825,16.794,16.794,ok,1444867200,1100
31,16.8179,16.8179,16.7599,16.7599,ok,1445299200,300
32,16.9596,16.9596,16.9596,16.9596,ok,1445472000,800
33,16.8484,16.9054,16.8484,16.9054,ok,1445904000,500
34,16.9497,16.9537,16.9497,16.9537,ok,1446076800,2200
35,16.9242,16.9242,16.9242,16.9242,ok,1446422400,100
36,16.995,16.995,16.995,16.995,ok,1446595200,700
37,16.8746,16.8746,16.8746,16.8746,ok,1446681600,700
38,16.8838,16.8838,16.8838,16.8838,ok,1446768000,100
39,16.6769,16.6769,16.6769,16.6769,ok,1447027200,200
40,16.6266,16.6646,16.6266,16.6646,ok,1447200000,400
41,16.6195,16.6195,16.6195,16.6195,ok,1447804800,200
42,16.9312,16.9312,16.9312,16.9312,ok,1448841600,400
43,16.9649,16.9649,16.9649,16.9649,ok,1449014400,300
44,16.6715,16.6715,16.5315,16.5315,ok,1449187200,400
45,16.5499,16.5499,16.5499,16.5499,ok,1449446400,200
46,16.1921,16.1921,16.1921,16.1921,ok,1449619200,400
47,15.6197,15.6197,15.6197,15.6197,ok,1450051200,200
48,15.9274,15.9274,15.9274,15.9274,ok,1450137600,700
49,16.3638,16.3638,16.3638,16.3638,ok,1450224000,100
50,16.185,16.235,16.185,16.235,ok,1450310400,11400
51,15.9775,15.9905,15.9775,15.9775,ok,1450396800,700
52,16.0397,16.2927,16.0397,16.2927,ok,1450656000,33700
53,16.278,16.278,16.068,16.068,ok,1450742400,800
54,16.6357,16.6357,16.6357,16.6357,ok,1450915200,100
55,16.5534,16.5534,16.5534,16.5534,ok,1451260800,200
56,16.6139,16.6139,16.6059,16.6059,ok,1451433600,300
57,16.5898,16.7598,16.5898,16.6498,ok,1451520000,1200
58,16.3165,16.3165,16.3015,16.3015,ok,1451952000,900
59,15.6707,15.8017,15.6707,15.8017,ok,1452124800,300
60,15.6787,15.7887,15.6787,15.7787,ok,1452470400,13400
61,15.4381,15.4381,15.4381,15.4381,ok,1452816000,200
62,15.6714,15.7314,15.6714,15.7314,ok,1453161600,300
63,15.2924,15.3504,15.2924,15.3384,ok,1453248000,400
64,15.4002,15.4322,15.3922,15.4322,ok,1453334400,800
65,15.8026,15.8026,15.8026,15.8026,ok,1453420800,100
66,15.5577,15.5677,15.5577,15.5677,ok,1453680000,600
67,15.8682,15.8782,15.8482,15.8782,ok,1453939200,700
68,16.2961,16.2961,16.2961,16.2961,ok,1454025600,500
69,16.1598,16.1798,16.0898,16.0898,ok,1454284800,500
70,15.6277,15.7777,15.6277,15.7777,ok,1454457600,900
71,15.183,15.203,15.183,15.203,ok,1454889600,105100
72,15.0533,15.0533,14.8613,14.8613,ok,1454976000,8000
73,14.9571,15.1171,14.9491,15.1171,ok,1455062400,1800
74,14.8259,14.8259,14.7559,14.8259,ok,1455148800,1500
75,15.0591,15.0791,15.0591,15.0791,ok,1455235200,4900
76,15.6714,15.6914,15.5814,15.6614,ok,1455580800,5700
77,16.014,16.014,16.014,16.014,ok,1455753600,1000
78,16.116,16.226,16.116,16.146,ok,1456099200,800
79,16.084,16.087,16.084,16.084,ok,1456358400,1000
80,16.3857,16.3857,16.3857,16.3857,ok,1456876800,1200
81,16.4149,16.4749,16.3849,16.4749,ok,1456963200,1400
82,16.5388,16.5688,16.5388,16.5688,ok,1457049600,900
83,16.4586,16.4586,16.4586,16.4586,ok,1457308800,100
84,16.4513,16.4513,16.4513,16.4513,ok,1457395200,5000
85,16.4732,16.4732,16.4732,16.4732,ok,1457568000,300
86,16.4951,16.4951,16.4951,16.4951,ok,1458086400,400
87,16.6124,16.6134,16.6114,16.6114,ok,1458259200,800
88,16.5534,16.6434,16.5534,16.6434,ok,1459382400,900
89,16.4987,16.4987,16.4987,16.4987,ok,1459728000,100
90,16.3055,16.3055,16.3055,16.3055,ok,1459814400,200
91,16.6554,16.6554,16.6554,16.6554,ok,1460332800,11000
92,16.9324,17.1524,16.9184,17.1524,ok,1460505600,1900
93,17.1292,17.2892,17.0492,17.2892,ok,1460592000,1300
94,17.2021,17.2231,17.2021,17.2231,ok,1461024000,6300
95,17.1817,17.1817,17.1597,17.1597,ok,1461196800,1100
96,16.947,16.947,16.907,16.907,ok,1461628800,1100
97,16.8304,16.8703,16.8304,16.8703,ok,1462147200,1300
98,16.7502,16.7502,16.7502,16.7502,ok,1462233600,200
99,16.5971,16.5971,16.5871,16.5871,ok,1462492800,400
100,16.5534,16.5534,16.5534,16.5534,ok,1462752000,200
101,16.5534,16.5534,16.5534,16.5534,ok,1463356800,100
102,16.5971,16.5971,16.5971,16.5971,ok,1463961600,200
103,16.8355,16.8385,16.8285,16.8385,ok,1464048000,2500
104,17.0206,17.0206,17.0206,17.0206,ok,1464134400,200
105,16.7866,16.7866,16.7866,16.7866,ok,1464825600,100
106,17.1073,17.1073,17.1073,17.1073,ok,1465344000,100
107,16.8989,16.8989,16.8849,16.8849,ok,1465430400,1100
108,16.2764,16.2864,16.2764,16.2864,ok,1465948800,3500
109,16.2159,16.2179,16.1989,16.2179,ok,1466035200,300
110,16.783,16.79,16.783,16.79,ok,1466380800,700
111,16.8085,16.8085,16.8085,16.8085,ok,1466467200,32300
112,17.0221,17.0221,17.0221,17.0221,ok,1466553600,700
113,17.1948,17.1948,17.1948,17.1948,ok,1466640000,400
114,16.5607,17.0507,16.5607,17.0307,ok,1466726400,9000
115,16.3843,16.5563,16.3843,16.5563,ok,1466985600,600
116,16.9368,16.9408,16.7108,16.8198,ok,1467072000,1800
117,17.326,17.376,16.966,17.033,ok,1467158400,5800
118,17.845,17.953,17.233,17.263,ok,1467244800,6300
119,17.9674,17.9674,17.8224,17.8224,ok,1467331200,2000
120,17.8071,17.8071,17.7571,17.7971,ok,1467676800,23300
121,17.7182,17.7182,17.4622,17.4882,ok,1467763200,32500
122,17.8153,17.8153,17.8153,17.8153,ok,1467849600,200
123,17.8825,17.8825,17.7725,17.7725,ok,1467936000,200
124,18.055,18.114,18.055,18.114,ok,1468195200,1100
125,18.0841,18.1741,18.0841,18.1741,ok,1468281600,43200
126,18.1214,18.2154,18.0814,18.1014,ok,1468368000,646200
127,18.0916,18.2016,18.0696,18.2016,ok,1468454400,733700
128,18.0841,18.0941,17.9931,18.0831,ok,1468540800,25700
129,18.1722,18.2242,18.1502,18.1742,ok,1468800000,9700
130,18.1886,18.1996,18.0886,18.1686,ok,1468886400,17400
131,18.1737,18.2837,18.1737,18.1737,ok,1468972800,56000
132,18.1371,18.2811,18.1261,18.2191,ok,1469059200,5900
133,18.267,18.267,18.212,18.242,ok,1469145600,14900
134,18.226,18.256,18.136,18.256,ok,1469404800,730000
135,18.2633,18.2643,18.1883,18.2433,ok,1469491200,6000
136,18.2857,18.4057,18.2227,18.4057,ok,1469577600,13400
137,18.2708,18.3008,18.2048,18.3008,ok,1469664000,5400
138,18.2558,18.2658,18.1658,18.1858,ok,1469750400,3600
139,18.1065,18.2065,18.0835,18.1865,ok,1470009600,5000
140,18.0617,18.1317,17.9717,18.1317,ok,1470096000,9200
141,18.0393,18.0393,17.9593,17.9893,ok,1470182400,5700
142,18.3529,18.3529,18.2729,18.3229,ok,1470268800,20500
143,18.45,18.5,18.42,18.47,ok,1470355200,154900
144,18.4948,18.5248,18.4648,18.4748,ok,1470614400,376500
145,18.5918,18.6618,18.5428,18.6418,ok,1470700800,82800
146,18.6135,18.6645,18.6135,18.6345,ok,1470787200,24100
147,18.8606,18.8606,18.6306,18.6306,ok,1470873600,2300
148,18.8606,18.8906,18.8106,18.8506,ok,1470960000,2400
149,18.9428,18.9727,18.9107,18.9527,ok,1471219200,79600
150,18.8158,18.9058,18.7758,18.8658,ok,1471305600,46200
151,18.786,18.816,18.666,18.666,ok,1471392000,30800
152,18.8009,18.8009,18.6809,18.6809,ok,1471478400,134700
153,18.7262,18.7662,18.7062,18.7162,ok,1471564800,233900
154,18.6814,18.7314,18.6014,18.6014,ok,1471824000,213200
155,18.7188,18.8488,18.7188,18.8488,ok,1471910400,5100
156,18.6142,18.7522,18.6142,18.6992,ok,1471996800,4500
157,18.5993,18.6793,18.5993,18.6093,ok,1472083200,25100
158,18.5493,18.7783,18.5493,18.7763,ok,1472169600,2100
159,18.7038,18.7338,18.6238,18.6238,ok,1472428800,1352200
160,18.6889,18.7089,18.6189,18.7089,ok,1472515200,966300
161,18.5844,18.7544,18.5044,18.7544,ok,1472601600,18200
162,18.5321,18.5321,18.3221,18.3921,ok,1472688000,15900
163,18.8681,18.9281,18.7191,18.7191,ok,1472774400,25400
164,18.674,18.714,18.644,18.714,ok,1473120000,10800
165,18.6964,18.7194,18.6264,18.7144,ok,1473206400,8400
166,18.771,18.771,18.711,18.731,ok,1473292800,12200
167,18.4037,18.6357,18.4037,18.6357,ok,1473379200,12000
168,18.4873,18.4873,18.1773,18.1793,ok,1473638400,28300
169,18.2185,18.3245,18.1585,18.2825,ok,1473724800,13300
170,18.1976,18.3656,18.1656,18.3656,ok,1473811200,10000
171,18.4052,18.4552,18.2552,18.2552,ok,1473897600,36600
172,18.4052,18.4522,18.2852,18.3652,ok,1473984000,437500
173,18.5485,18.6525,18.5365,18.5765,ok,1474243200,6100
174,18.659,18.779,18.619,18.779,ok,1474329600,64000
175,18.7785,18.7985,18.5785,18.6885,ok,1474416000,15100
176,18.898,18.998,18.828,18.998,ok,1474502400,68800
177,18.8308,18.9408,18.7608,18.7608,ok,1474588800,9700
178,18.6411,18.6871,18.6251,18.6251,ok,1474848000,5400
179,18.6292,18.6692,18.4692,18.4692,ok,1474934400,6900
180,18.8382,18.8582,18.6782,18.7482,ok,1475020800,7200
181,18.7785,18.9785,18.7125,18.9285,ok,1475107200,4800
182,18.8987,18.9477,18.8237,18.8237,ok,1475193600,7500
183,19.0473,19.1573,19.0273,19.0273,ok,1475452800,59300
184,19.3086,19.6586,19.2536,19.6586,ok,1475539200,115800
185,19.2862,19.2962,19.2162,19.2962,ok,1475625600,41900
186,19.2339,19.2639,19.1779,19.1849,ok,1475712000,3200
187,19.3235,19.3435,19.2135,19.2435,ok,1475798400,14800
188,19.4206,19.4236,19.3106,19.3106,ok,1476057600,9800
189,19.3385,19.4335,19.2485,19.4335,ok,1476144000,118900
190,19.2414,19.2914,19.1814,19.2814,ok,1476230400,13900
191,19.1369,19.1869,18.9249,18.9569,ok,1476316800,32300
192,19.1593,19.2893,19.1593,19.2893,ok,1476403200,17500
