,c,h,l,o,s,t,v
0,25.85,27.93,25.0,25.35,ok,1483488000,10828300
1,25.58,26.0,24.99,25.74,ok,1483574400,6358700
2,26.55,27.0,25.69,25.69,ok,1483660800,2260200
3,26.5,26.99,26.02,26.34,ok,1483920000,1735500
4,25.79,26.55,25.51,26.55,ok,1484006400,3243300
5,25.49,25.95,25.46,25.88,ok,1484092800,2460200
6,25.35,25.68,24.6,24.6,ok,1484179200,3774400
7,25.05,25.38,25.03,25.29,ok,1484265600,1617600
8,24.99,25.04,24.9,24.95,ok,1484611200,1088500
9,25.19,25.24,25.02,25.12,ok,1484697600,957200
10,26.09,26.98,25.97,26.01,ok,1484784000,2364300
11,26.6,26.74,25.87,25.98,ok,1484870400,1110000
12,27.14,27.23,26.48,26.48,ok,1485129600,1137600
13,28.65,28.71,26.78,26.94,ok,1485216000,854000
14,28.36,29.04,28.24,28.65,ok,1485302400,480100
15,28.23,28.5,28.18,28.5,ok,1485388800,1047500
16,28.51,28.67,28.0,28.17,ok,1485475200,440700
17,28.36,28.51,28.12,28.51,ok,1485734400,660000
18,29.33,29.46,28.1,28.2,ok,1485820800,1414600
19,29.26,29.79,29.1,29.1,ok,1485907200,1666400
20,29.03,29.44,28.97,29.44,ok,1485993600,1477900
21,29.31,29.73,28.68,29.35,ok,1486080000,1896400
22,29.3,29.41,28.93,29.0,ok,1486339200,298400
23,29.58,29.8,29.13,29.18,ok,1486425600,839400
24,30.01,30.09,29.62,29.73,ok,1486512000,889900
25,30.6,30.7,29.99,30.01,ok,1486598400,706100
26,30.35,30.76,30.17,30.73,ok,1486684800,247600
27,30.3,30.64,29.83,30.46,ok,1486944000,473100
28,29.62,30.35,29.51,30.29,ok,1487030400,998900
29,30.01,30.32,29.52,29.94,ok,1487116800,1826500
30,29.43,30.03,29.31,29.98,ok,1487203200,565900
31,29.48,29.54,28.91,29.48,ok,1487289600,538200
32,29.86,30.01,29.49,29.7,ok,1487635200,230600
33,29.71,29.88,29.22,29.75,ok,1487721600,244900
34,30.0,30.325,29.6,29.69,ok,1487808000,594300
35,30.01,30.39,29.78,29.9,ok,1487894400,474300
36,30.1,30.29,29.92,29.93,ok,1488153600,609500
37,29.94,30.21,29.855,30.02,ok,1488240000,650000
38,30.91,31.39,30.09,30.09,ok,1488326400,696300
39,30.35,30.96,29.69,30.96,ok,1488412800,729600
40,30.07,30.45,29.97,30.42,ok,1488499200,523300
41,29.69,30.34,29.665,29.87,ok,1488758400,351100
42,28.79,29.68,28.66,29.65,ok,1488844800,396000
43,28.11,28.88,27.92,28.88,ok,1488931200,912100
44,28.3,28.68,28.02,28.09,ok,1489017600,419200
45,28.86,28.915,28.3,28.3,ok,1489104000,311600
46,29.07,29.13,28.647,28.83,ok,1489363200,387100
47,29.02,29.11,28.72,29.11,ok,1489449600,318000
48,28.89,29.04,28.81,28.97,ok,1489536000,320600
49,28.89,29.07,28.68,28.89,ok,1489622400,536400
50,29.03,29.13,28.8,28.92,ok,1489708800,896500
51,28.9,29.08,28.54,28.92,ok,1489968000,399200
52,28.36,29.02,28.3,29.02,ok,1490054400,834900
53,28.1,28.54,27.96,28.34,ok,1490140800,520000
54,28.84,29.082,27.98,27.99,ok,1490227200,373700
55,28.85,29.24,28.68,28.75,ok,1490313600,451700
56,28.59,28.93,28.52,28.64,ok,1490572800,224200
57,28.89,28.98,28.31,28.61,ok,1490659200,338300
58,28.73,29.03,28.65,28.87,ok,1490745600,329300
