,c,h,l,o,s,t,v
0,14.8772,15.6772,13.7472,13.7872,ok,1557360000,9334000
1,15.8218,16.0218,14.5278,14.6618,ok,1557446400,1160000
2,14.6788,15.4288,14.4588,15.4288,ok,1557705600,442400
3,15.1133,15.3533,14.6133,14.9833,ok,1557792000,282500
4,14.9716,15.3216,14.6236,15.1216,ok,1557878400,489700
5,14.7355,15.1355,14.2455,14.9655,ok,1557964800,409400
6,14.9244,15.1124,14.5244,14.6744,ok,1558051200,334600
7,15.0472,15.1172,14.5672,14.5872,ok,1558310400,319300
8,15.5384,15.8164,14.9684,14.9684,ok,1558396800,512600
9,15.6234,15.7034,15.3634,15.4834,ok,1558483200,267300
10,15.3022,15.6622,15.3022,15.4722,ok,1558569600,47500
11,15.4156,15.5856,14.9966,15.3756,ok,1558656000,307500
12,15.5856,15.8046,15.3386,15.5756,ok,1559001600,89000
13,15.6801,15.7401,15.3301,15.4701,ok,1559088000,59100
14,15.7367,15.8257,15.5067,15.5067,ok,1559174400,54600
15,16.3035,16.6035,15.2835,15.4635,ok,1559260800,280800
16,16.1901,16.6101,15.7951,16.3201,ok,1559520000,224100
17,16.5869,16.5869,15.0119,16.3569,ok,1559606400,279000
18,15.6801,17.0801,15.3901,16.6401,ok,1559692800,274400
19,15.8218,16.2918,15.6068,15.7718,ok,1559779200,184300
20,15.4061,16.1761,15.0561,15.8461,ok,1559865600,325400
21,14.641,15.361,13.891,15.361,ok,1560124800,293600
22,14.4805,15.1305,14.2175,14.9005,ok,1560211200,421900
23,15.5289,15.7789,14.5089,14.5089,ok,1560297600,267600
24,16.1084,16.1784,15.4484,15.4484,ok,1560384000,44800
25,16.3498,16.3898,15.9868,16.1198,ok,1560470400,44400
26,16.5816,16.6616,15.9696,16.4816,ok,1560729600,16000
27,16.456,16.866,16.246,16.586,ok,1560816000,21000
28,16.3112,16.7112,16.3112,16.7112,ok,1560902400,40600
29,16.5526,16.8826,15.9426,16.4826,ok,1560988800,41000
30,16.0891,16.5941,15.6691,16.4991,ok,1561075200,371100
31,15.4517,16.3517,14.5617,16.2217,ok,1561334400,85500
32,15.3648,16.1248,15.2248,15.5048,ok,1561420800,44700
33,15.5096,15.7146,15.2496,15.2996,ok,1561507200,118200
34,15.4903,16.0703,14.8503,15.4603,ok,1561593600,114800
35,15.6931,15.8631,15.1931,15.4531,ok,1561680000,104100
36,15.8573,15.8973,15.0373,15.8073,ok,1561939200,95300
37,15.9635,16.0035,15.3635,15.8035,ok,1562025600,41200
38,15.838,15.928,15.443,15.838,ok,1562112000,11800
39,16.514,16.564,15.624,15.624,ok,1562284800,16000
40,16.7844,16.9044,15.4814,16.4844,ok,1562544000,14900
41,16.794,17.039,16.444,16.444,ok,1562630400,109600
42,17.3928,17.8728,16.2928,16.8228,ok,1562716800,183800
43,17.3831,19.1331,16.9131,17.4331,ok,1562803200,21700
44,17.3349,17.3849,16.5459,17.2349,ok,1562889600,3200
45,17.3735,17.7335,17.0135,17.2035,ok,1563148800,9400
46,17.7694,17.9494,16.5794,17.2194,ok,1563235200,52600
47,17.3831,17.7931,17.3381,17.5831,ok,1563321600,31900
48,17.528,17.628,16.678,17.228,ok,1563408000,67000
49,17.8563,18.4563,17.1163,17.1863,ok,1563494400,107300
50,17.3831,18.0531,17.3831,18.0531,ok,1563753600,15800
51,17.7308,17.8708,17.1408,17.5608,ok,1563840000,39500
52,17.7694,18.5794,16.6614,17.5594,ok,1563926400,188300
53,17.5666,17.8666,17.3766,17.4066,ok,1564012800,19300
54,17.5763,17.7663,17.2463,17.4733,ok,1564099200,22100
55,17.5859,18.3459,17.3259,17.4159,ok,1564358400,18900
56,17.8081,18.0831,17.3681,17.4481,ok,1564444800,21700
57,17.557,18.257,17.397,17.637,ok,1564531200,52600
58,19.2663,19.2663,17.3763,17.4363,ok,1564617600,135900
59,17.9143,18.4243,17.3893,18.4243,ok,1564704000,78000
60,17.4025,18.1525,16.8975,17.7425,ok,1564963200,67600
61,17.3831,17.7331,17.0081,17.4831,ok,1565049600,56000
62,17.4701,17.7001,17.1371,17.2301,ok,1565136000,17400
63,18.1074,18.1674,17.2024,17.5274,ok,1565222400,27200
64,17.9626,18.1826,17.5426,17.8626,ok,1565308800,6300
65,17.8177,17.9177,17.5677,17.8117,ok,1565568000,39900
66,18.0688,18.0688,17.5488,17.6088,ok,1565654400,30300
67,18.0398,18.3498,17.0998,17.7498,ok,1565740800,58200
68,18.1268,18.4967,17.1268,17.8568,ok,1565827200,42300
69,18.1074,18.3024,17.7324,17.7324,ok,1565913600,10600
70,17.7984,18.2784,17.6384,18.2684,ok,1566172800,36600
71,17.5087,17.9887,17.0397,17.9787,ok,1566259200,93100
72,17.3831,17.6841,17.0531,17.4231,ok,1566345600,35200
73,17.4218,17.5818,17.0418,17.1148,ok,1566432000,30000
74,17.2866,18.3366,17.1366,17.4766,ok,1566518400,4600
75,17.8081,17.9681,17.3681,17.8281,ok,1566777600,27100
76,17.4797,17.7297,17.0427,17.7297,ok,1566864000,46700
77,17.6729,17.6729,17.1129,17.1129,ok,1566950400,3500
78,17.866,17.916,17.176,17.239,ok,1567036800,4000
79,17.5859,18.5259,17.4759,17.7659,ok,1567123200,19900
80,17.866,17.996,17.236,17.496,ok,1567468800,15200
81,18.4937,18.4937,17.6737,17.7437,ok,1567555200,55500
82,18.4937,18.4937,17.5037,18.0037,ok,1567641600,46000
83,17.9529,18.9029,17.2979,18.9029,ok,1567728000,69800
84,17.3155,18.3455,17.3155,18.0555,ok,1567987200,52600
85,17.5087,17.6787,17.1987,17.3787,ok,1568073600,72300
86,17.528,18.158,17.228,17.478,ok,1568160000,97000
87,18.2137,18.2137,17.4887,17.4887,ok,1568246400,71200
88,19.218,19.218,17.738,18.194,ok,1568332800,249000
89,20.2803,20.5573,19.0403,19.6303,ok,1568592000,76700
90,19.894,20.284,19.624,20.284,ok,1568678400,93600
91,19.5174,20.0674,19.1524,20.0674,ok,1568764800,58800
92,19.0056,19.4856,18.8256,19.2356,ok,1568851200,44300
93,19.0828,19.1528,18.3528,18.8328,ok,1568937600,218400
94,19.3049,19.7949,18.3349,19.0449,ok,1569196800,202400
95,19.0539,19.4239,18.3439,18.9439,ok,1569283200,481800
96,18.6,19.27,18.275,18.82,ok,1569369600,232400
97,18.5613,18.8813,18.2313,18.3613,ok,1569456000,207200
98,18.2716,18.9416,17.8016,18.5816,ok,1569542400,210200
99,18.6289,18.7689,18.0389,18.0439,ok,1569801600,124300
100,19.0056,19.6936,18.0506,18.6556,ok,1569888000,317800
101,18.8607,19.1807,18.5507,19.1007,ok,1569974400,422100
102,18.6193,19.5293,18.3393,19.0643,ok,1570060800,231700
103,17.7984,18.9184,17.3684,18.6784,ok,1570147200,112000
104,17.4411,18.2411,16.9611,17.6611,ok,1570406400,106600
105,16.9003,17.6403,16.5353,17.6403,ok,1570492800,151100
106,16.9099,17.1599,16.8999,17.0299,ok,1570579200,54700
107,17.3542,17.5842,16.6842,16.8142,ok,1570665600,48600
108,17.4894,17.8534,17.0744,17.3094,ok,1570752000,260600
109,17.4894,17.8594,17.2994,17.3814,ok,1571011200,43900
110,18.1074,18.4074,17.4674,17.4674,ok,1571097600,306000
111,17.6439,18.3239,17.4739,17.9839,ok,1571184000,376200
112,17.5763,18.1713,17.4763,17.7613,ok,1571270400,59900
113,17.5087,17.8137,17.4387,17.5487,ok,1571356800,100100
114,17.5377,17.6977,17.4577,17.5877,ok,1571616000,49100
115,17.5377,17.7427,17.4877,17.4877,ok,1571702400,20400
116,17.6439,17.9939,17.4739,17.4839,ok,1571788800,47000
117,17.4121,17.9771,17.1821,17.7021,ok,1571875200,330700
118,17.1514,17.8714,17.0464,17.3214,ok,1571961600,193600
119,17.2962,18.3612,17.1462,17.1962,ok,1572220800,141400
120,17.0838,17.6038,16.8938,17.1938,ok,1572307200,35700
121,16.485,17.08,16.455,17.065,ok,1572393600,86700
122,16.8616,17.0416,16.1516,16.4516,ok,1572480000,57000
123,17.19,17.38,16.87,16.97,ok,1572566400,30100
124,17.5956,17.6756,17.0356,17.1156,ok,1572825600,57600
125,19.0249,19.0999,17.1249,17.1249,ok,1572912000,161900
126,18.2523,18.9823,17.6673,18.9823,ok,1572998400,92000
127,18.4165,18.5465,17.9565,18.1765,ok,1573084800,67200
128,18.6579,18.6879,17.4779,18.4079,ok,1573171200,143400
129,17.4411,18.9111,17.3211,18.9111,ok,1573430400,107600
130,17.9626,18.4426,17.6526,18.4426,ok,1573516800,93600
131,17.9915,18.3615,17.7015,17.7015,ok,1573603200,69200
132,17.7984,18.9584,17.4784,18.6034,ok,1573689600,81400
133,17.9626,18.2326,17.7026,17.9826,ok,1573776000,70000
134,17.3735,18.1735,16.7335,17.9435,ok,1574035200,163900
135,17.1127,17.5827,16.8927,17.5227,ok,1574121600,109100
136,18.1461,18.2461,16.6821,16.6821,ok,1574208000,63500
137,18.0109,18.1409,17.6209,17.9209,ok,1574294400,144700
138,17.7598,18.1198,17.6898,17.8248,ok,1574380800,36000
139,17.9529,18.1629,17.7279,17.9329,ok,1574640000,59700
140,18.0978,18.2078,17.7778,18.1528,ok,1574726400,114600
141,19.2953,19.4753,17.8353,18.3053,ok,1574812800,78300
142,19.7299,20.2899,18.6099,19.2799,ok,1574985600,33500
143,18.5034,19.8034,18.5034,19.8034,ok,1575244800,44200
144,18.5613,18.9713,18.1413,18.5363,ok,1575331200,70500
145,18.4841,18.7041,17.7141,18.6841,ok,1575417600,160100
146,19.4595,19.9595,18.6295,19.0895,ok,1575504000,244300
