,c,h,l,o,s,t,v
0,24.6473,24.6473,24.1423,24.1523,ok,1573084800,200
1,24.3298,24.9028,24.3298,24.9028,ok,1573171200,200
2,24.5305,24.7425,24.4224,24.7425,ok,1573430400,500
3,24.3587,24.3587,24.2527,24.2527,ok,1573516800,100
4,24.5944,26.1224,24.5624,26.1224,ok,1573689600,800
5,23.8565,24.1535,23.8215,24.1535,ok,1573776000,800
6,24.203,26.383,24.021,26.383,ok,1574035200,1600
7,24.3357,24.3357,21.6027,21.6027,ok,1574121600,1300
8,24.854,25.172,24.854,25.172,ok,1574208000,200
9,24.5844,24.6624,24.5844,24.6624,ok,1574380800,200
10,23.3373,24.5743,23.3373,24.5743,ok,1574640000,200
11,23.5609,23.6039,23.5609,23.6039,ok,1574726400,100
12,23.1256,23.4146,23.1256,23.4146,ok,1574812800,100
13,23.6768,23.6768,23.4738,23.4738,ok,1574985600,200
14,24.4396,24.4396,24.2426,24.3226,ok,1575244800,1100
15,25.501,26.221,25.501,25.681,ok,1575331200,13600
16,24.6413,27.2123,24.4323,27.2123,ok,1575417600,12500
17,24.6762,24.7722,24.5622,24.5622,ok,1575504000,1500
18,23.512,23.512,23.512,23.512,ok,1575590400,100
19,23.8435,23.8435,23.4795,23.4835,ok,1575849600,500
20,23.8615,24.1035,23.5035,24.1035,ok,1575936000,2200
21,23.2574,23.3644,23.2574,23.3644,ok,1576022400,1100
22,21.3823,22.1273,21.3823,22.1273,ok,1576108800,1000
23,21.8186,21.8186,20.8966,21.3966,ok,1576195200,1000
24,21.1127,21.1127,20.7577,20.9077,ok,1576454400,2300
25,20.8691,20.8691,20.8691,20.8691,ok,1576540800,100
26,20.6893,20.8783,20.6893,20.8783,ok,1576627200,200
27,20.4337,20.4337,20.4337,20.4337,ok,1576713600,100
28,20.1142,20.2292,20.1142,20.2292,ok,1576800000,900
29,19.6723,20.0653,19.5953,20.0053,ok,1577059200,1700
30,19.6853,19.6853,19.6253,19.6253,ok,1577145600,1300
31,19.5333,19.5713,19.5333,19.5713,ok,1577318400,600
32,19.8003,19.8953,19.5613,19.5613,ok,1577404800,2500
33,20.1792,20.8052,19.7352,20.6252,ok,1577664000,15700
34,19.8533,20.3153,19.8453,20.3153,ok,1577750400,3900
35,19.0455,19.7655,19.0455,19.7655,ok,1577923200,4400
36,19.7573,19.7653,19.7253,19.7253,ok,1578009600,2200
37,19.6753,20.3453,19.6753,20.3453,ok,1578268800,3300
38,19.2254,19.6874,19.2254,19.6754,ok,1578355200,1600
39,19.0905,19.5155,18.8495,19.0455,ok,1578441600,5600
40,18.7865,19.0655,18.7485,19.0655,ok,1578528000,3400
41,19.1694,19.1694,18.6654,18.6754,ok,1578614400,2200
42,18.7085,19.0355,18.7085,19.0355,ok,1578873600,2100
43,18.6206,18.7656,18.3656,18.7026,ok,1578960000,3900
44,18.9575,19.0655,18.7155,18.7655,ok,1579046400,3800
45,18.1957,18.3197,18.1957,18.3127,ok,1579132800,3700
46,18.0657,18.2657,18.0657,18.1957,ok,1579219200,1600
47,18.5446,18.5456,18.1756,18.3356,ok,1579564800,4800
48,18.7355,18.7355,18.2855,18.3955,ok,1579651200,4400
49,18.5036,19.2806,18.5036,19.2656,ok,1579737600,2400
50,19.4004,20.0254,18.4454,18.4454,ok,1579824000,5200
51,21.3949,21.8149,19.5519,21.8149,ok,1580083200,8500
52,20.2622,21.1752,20.1452,21.1752,ok,1580169600,27500
53,20.6881,20.6881,20.0151,20.2351,ok,1580256000,9400
54,20.7031,30.9851,20.7031,30.9851,ok,1580342400,4700
55,22.1457,24.4847,21.2747,21.2747,ok,1580428800,9800
56,21.6608,21.7948,16.9758,21.5048,ok,1580688000,9500
57,19.8583,20.3953,19.7533,20.3953,ok,1580774400,10100
58,18.7935,19.0455,18.6955,18.6955,ok,1580860800,12000
59,18.7405,18.8955,18.4355,18.6455,ok,1580947200,9100
60,19.8693,19.8693,19.4953,19.6053,ok,1581033600,4200
61,19.5593,20.2753,19.5593,20.2753,ok,1581292800,6500
62,18.6776,18.9376,18.4056,18.8956,ok,1581379200,6700
63,17.7348,18.0258,17.7158,18.0258,ok,1581465600,10500
64,18.0337,18.9667,18.0057,18.9667,ok,1581552000,2300
65,18.5046,18.6656,18.2256,18.2356,ok,1581638400,4300
66,18.4536,19.1756,18.4536,18.8356,ok,1581984000,2600
67,18.1057,18.4707,18.0257,18.4257,ok,1582070400,3300
68,18.1517,18.4757,17.9457,18.0377,ok,1582156800,5500
69,19.3154,19.4454,18.6354,18.6354,ok,1582243200,15600
70,21.9768,22.9948,21.0848,21.2448,ok,1582502400,19900
71,25.8938,25.9938,21.4738,21.4738,ok,1582588800,56600
72,25.7139,25.8639,22.6039,24.6339,ok,1582675200,97000
73,28.3622,29.6032,25.7932,29.3432,ok,1582761600,125700
74,28.9931,33.1361,27.7931,32.6131,ok,1582848000,128600
75,26.0908,29.7338,26.0908,27.9838,ok,1583107200,68000
76,28.7841,29.6991,24.3031,25.0031,ok,1583193600,77500
77,26.1738,29.2668,26.0938,28.7938,ok,1583280000,55500
78,29.8299,31.6429,28.0229,31.6429,ok,1583366400,63800
79,33.1921,35.9921,31.0221,35.2721,ok,1583452800,92400
80,46.219,55.799,38.159,42.909,ok,1583712000,119900
81,37.5811,49.9911,35.1511,41.6011,ok,1583798400,64800
82,44.4794,47.4894,40.3494,41.3394,ok,1583884800,112700
83,60.9855,63.6055,50.7255,51.9855,ok,1583971200,204800
84,45.989,62.989,44.979,54.889,ok,1584057600,127400
85,59.4658,64.9758,50.5858,50.5858,ok,1584316800,95900
86,55.7967,67.1967,48.4867,57.6867,ok,1584403200,103700
87,63.8848,70.9848,59.9948,61.3748,ok,1584489600,63700
88,57.0054,71.8564,54.4964,62.3264,ok,1584576000,45800
89,59.6858,63.3258,46.1358,53.9858,ok,1584662400,36000
90,62.985,67.485,54.995,59.985,ok,1584921600,98900
91,49.25,56.69,46.0,56.69,ok,1585008000,56400
92,36.34,43.846,31.13,42.0,ok,1585094400,104100
93,31.01,38.0,30.0,35.87,ok,1585180800,128000
94,33.42,35.99,33.19,35.99,ok,1585267200,102500
95,33.52,37.85,32.493,34.88,ok,1585526400,89800
96,34.59,35.55,31.64,33.59,ok,1585612800,80900
97,41.21,42.98,38.5,40.03,ok,1585699200,152900
