,c,h,l,o,s,t,v
0,4.8305,4.8605,4.7405,4.8605,ok,1420156800,350000
1,4.7314,4.8614,4.7014,4.8614,ok,1420416000,276100
2,4.7197,4.7497,4.6497,4.7497,ok,1420502400,179600
3,4.7314,4.7414,4.6814,4.7414,ok,1420588800,219600
4,4.7547,4.7947,4.7047,4.7247,ok,1420675200,257500
5,4.7431,4.7831,4.7131,4.7731,ok,1420761600,218600
6,4.7605,4.7705,4.6605,4.7305,ok,1421020800,243300
7,4.7605,4.7805,4.7005,4.7705,ok,1421107200,211200
8,4.6964,4.7764,4.6964,4.7564,ok,1421193600,321200
9,4.6906,4.7406,4.6506,4.7406,ok,1421280000,160200
10,4.7197,4.7197,4.6697,4.6897,ok,1421366400,130900
11,4.6731,4.7631,4.6731,4.7531,ok,1421712000,234600
12,4.6961,4.7361,4.6661,4.6861,ok,1421798400,466400
13,4.6961,4.7461,4.6961,4.7061,ok,1421884800,361200
14,4.7137,4.7337,4.6937,4.7037,ok,1421971200,246500
15,4.7078,4.7278,4.6878,4.7078,ok,1422230400,297800
16,4.7019,4.7119,4.6719,4.7019,ok,1422316800,242900
17,4.6902,4.7202,4.6602,4.7102,ok,1422403200,231800
18,4.6961,4.7061,4.6761,4.7061,ok,1422489600,134000
19,4.6784,4.7184,4.6584,4.7184,ok,1422576000,230200
20,4.6549,4.7149,4.6449,4.7149,ok,1422835200,269700
21,4.7078,4.7078,4.6278,4.6478,ok,1422921600,295100
22,4.6961,4.7061,4.6861,4.6861,ok,1423008000,310900
23,4.7196,4.7196,4.6796,4.6896,ok,1423094400,259700
24,4.7196,4.7296,4.6896,4.7196,ok,1423180800,184300
25,4.7431,4.7531,4.6931,4.6931,ok,1423440000,201000
26,4.7431,4.7531,4.7231,4.7431,ok,1423526400,171000
27,4.7431,4.7431,4.7131,4.7431,ok,1423612800,197400
28,4.7431,4.7631,4.7431,4.7531,ok,1423699200,170100
29,4.7783,4.7883,4.7483,4.7483,ok,1423785600,212800
30,4.7607,4.7907,4.7107,4.7707,ok,1424131200,429300
31,4.7957,4.7957,4.7357,4.7557,ok,1424217600,154500
32,4.7898,4.8098,4.7698,4.8098,ok,1424304000,171900
