,c,h,l,o,s,t,v
0,12.73,12.74,12.5,12.74,ok,1420156800,1500
1,12.52,12.52,12.52,12.52,ok,1420416000,200
2,12.5,12.51,12.5,12.5,ok,1420502400,1400
3,12.5,12.55,12.45,12.45,ok,1420588800,1400
4,12.56,12.56,12.51,12.51,ok,1420761600,2100
5,12.51,12.68,12.51,12.51,ok,1421020800,1900
6,12.54,12.56,12.51,12.51,ok,1421107200,800
7,12.5,12.5,12.45,12.45,ok,1421193600,1900
8,12.47,12.54,12.47,12.53,ok,1421280000,1900
9,12.55,12.55,12.4,12.49,ok,1421366400,8100
10,12.51,12.55,12.51,12.55,ok,1421712000,400
11,12.56,12.61,12.5,12.5,ok,1421798400,1100
12,12.71,12.71,12.55,12.55,ok,1421884800,200
13,12.57,12.69,12.52,12.52,ok,1421971200,5900
14,12.59,12.92,12.57,12.72,ok,1422230400,5300
15,12.51,12.6,12.4,12.4,ok,1422316800,2400
16,12.5,12.7,12.45,12.45,ok,1422403200,2000
17,12.72,12.72,12.35,12.35,ok,1422489600,4300
18,12.25,12.49,12.01,12.01,ok,1422576000,5100
19,12.25,12.5,12.15,12.24,ok,1422835200,5600
20,12.25,12.26,12.25,12.25,ok,1422921600,4100
21,12.25,12.35,12.25,12.25,ok,1423008000,2700
22,12.25,12.33,12.15,12.25,ok,1423094400,7700
23,12.12,12.47,12.1,12.1,ok,1423180800,3000
24,12.05,12.17,11.9,11.9,ok,1423440000,4900
25,11.97,12.15,11.95,12.15,ok,1423526400,8200
26,11.98,12.13,11.88,11.88,ok,1423612800,4300
27,12.01,12.01,12.0,12.0,ok,1423699200,1900
28,12.01,12.01,12.01,12.01,ok,1423785600,1300
29,12.01,12.01,11.95,11.96,ok,1424217600,10600
30,12.13,12.14,11.86,12.01,ok,1424304000,13800
31,12.03,12.06,12.01,12.06,ok,1424390400,5200
32,12.04,12.09,12.01,12.01,ok,1424649600,1800
33,12.04,12.04,12.04,12.04,ok,1424736000,2400
34,12.0,12.15,12.0,12.12,ok,1424822400,3000
35,11.93,12.0,11.86,11.9,ok,1424908800,4800
36,11.9,11.93,11.9,11.93,ok,1424995200,400
37,12.14,12.14,12.12,12.12,ok,1425254400,500
38,12.01,12.01,11.9,11.9,ok,1425340800,2000
39,12.0,12.0,12.0,12.0,ok,1425427200,500
40,11.99,12.0,11.9,11.98,ok,1425513600,4200
41,11.87,11.87,11.85,11.85,ok,1425600000,1100
42,11.85,11.9,11.46,11.85,ok,1425859200,20700
43,11.76,11.84,11.63,11.63,ok,1425945600,3900
44,11.87,11.95,11.71,11.8,ok,1426032000,2100
45,12.0,12.0,11.88,11.95,ok,1426118400,2500
46,12.06,12.06,11.9,12.0,ok,1426204800,6000
47,11.9,12.15,11.9,12.15,ok,1426464000,2800
48,12.01,12.07,11.88,11.88,ok,1426550400,1300
49,12.0,12.01,12.0,12.01,ok,1426636800,3400
50,12.05,12.13,12.05,12.13,ok,1426723200,500
51,12.14,12.14,12.14,12.14,ok,1426809600,400
52,12.13,12.13,12.13,12.13,ok,1427155200,200
53,12.02,12.02,12.02,12.02,ok,1427241600,200
54,12.14,12.14,12.14,12.14,ok,1427328000,100
55,12.1,12.1,12.1,12.1,ok,1427414400,2700
56,12.1,12.15,12.07,12.15,ok,1427673600,4500
57,12.1,12.12,12.1,12.1,ok,1427760000,4100
58,12.22,12.61,12.1,12.1,ok,1427846400,2600
59,12.34,12.34,12.34,12.34,ok,1427932800,600
60,12.05,12.52,11.55,12.44,ok,1428278400,11800
61,12.13,12.13,11.65,12.1,ok,1428364800,9400
62,11.7,12.07,11.7,12.07,ok,1428451200,5600
63,12.42,12.42,11.94,11.94,ok,1428537600,1400
64,12.44,12.44,12.44,12.44,ok,1428624000,200
65,12.36,12.36,12.13,12.13,ok,1428883200,600
66,12.12,12.14,12.0,12.14,ok,1428969600,6600
67,11.97,12.4,11.92,12.4,ok,1429056000,3700
68,11.76,12.2,11.76,12.2,ok,1429142400,5700
69,11.8,12.0,11.8,11.8,ok,1429228800,6400
70,12.01,12.28,12.01,12.28,ok,1429488000,600
71,11.86,11.87,11.84,11.86,ok,1429574400,6800
72,11.87,11.9,11.85,11.86,ok,1429660800,1400
73,11.87,12.24,11.86,12.24,ok,1429747200,1300
74,11.87,12.2,11.56,11.87,ok,1429833600,5100
75,12.23,12.24,11.86,12.24,ok,1430092800,1000
76,12.15,12.15,12.15,12.15,ok,1430179200,300
77,12.09,12.17,11.82,12.17,ok,1430265600,400
78,11.81,12.17,11.81,12.17,ok,1430352000,800
79,12.23,12.23,12.23,12.23,ok,1430438400,700
80,11.89,12.17,11.89,12.17,ok,1430784000,400
81,11.83,11.83,11.83,11.83,ok,1430870400,500
82,12.22,12.24,11.85,11.85,ok,1430956800,1700
83,12.13,12.19,11.95,12.18,ok,1431043200,600
84,11.9,11.96,11.85,11.87,ok,1431302400,7600
85,11.88,11.97,11.72,11.97,ok,1431388800,1300
86,11.77,11.99,11.77,11.99,ok,1431475200,1900
87,11.85,11.97,11.77,11.77,ok,1431561600,800
88,11.9,11.9,11.9,11.9,ok,1431993600,200
89,11.9,11.9,11.9,11.9,ok,1432166400,2100
90,11.61,11.8,11.2,11.8,ok,1432252800,4500
91,11.42,11.73,11.3,11.73,ok,1432598400,3800
92,11.3,11.66,11.3,11.3,ok,1432771200,3900
93,11.32,11.32,10.18,11.3,ok,1432857600,12900
94,11.73,11.73,10.7,11.37,ok,1433116800,6600
95,11.7,11.73,11.0,11.62,ok,1433203200,3100
96,11.23,11.54,11.13,11.13,ok,1433289600,1300
97,11.86,11.87,11.55,11.56,ok,1433376000,19300
98,12.0,12.1,11.9,11.95,ok,1433462400,5700
99,12.05,12.1,12.05,12.1,ok,1433721600,2500
100,12.05,12.1,12.05,12.05,ok,1433808000,1800
101,12.01,12.05,12.01,12.05,ok,1433894400,600
102,11.97,12.05,11.97,12.05,ok,1433980800,400
103,12.05,12.05,11.9,11.9,ok,1434067200,2100
104,12.05,12.05,12.03,12.05,ok,1434326400,1800
105,12.02,12.05,12.02,12.05,ok,1434412800,1700
106,12.0,12.07,11.9,11.9,ok,1434499200,4700
107,11.95,11.95,11.95,11.95,ok,1434585600,600
