,c,h,l,o,s,t,v
0,13.29,13.86,12.94,13.63,ok,1420156800,21300
1,12.78,13.04,12.78,13.04,ok,1420416000,15400
2,12.58,12.89,12.48,12.89,ok,1420502400,25800
3,12.75,13.11,12.17,12.17,ok,1420588800,9000
4,12.73,12.91,12.57,12.8,ok,1420675200,7500
5,12.66,12.75,12.44,12.65,ok,1420761600,5900
6,12.46,12.62,12.43,12.43,ok,1421020800,5800
7,12.49,12.73,12.35,12.73,ok,1421107200,4400
8,12.51,12.62,12.31,12.31,ok,1421193600,2000
9,12.34,12.53,12.33,12.53,ok,1421280000,4600
10,12.88,12.92,12.17,12.29,ok,1421366400,19100
11,12.61,12.72,12.35,12.35,ok,1421712000,8700
12,12.53,12.61,12.18,12.5,ok,1421798400,5500
13,13.11,13.11,12.27,12.31,ok,1421884800,9200
14,12.88,13.34,12.83,13.08,ok,1421971200,8600
15,12.86,13.0,12.65,12.8,ok,1422230400,14300
16,12.51,13.06,12.49,12.72,ok,1422316800,9700
17,12.32,12.74,12.28,12.43,ok,1422403200,10600
18,12.54,12.55,12.35,12.37,ok,1422489600,10400
19,12.48,12.5,12.3,12.41,ok,1422576000,14700
20,12.53,13.39,12.3,12.56,ok,1422835200,22000
21,13.0,13.24,12.75,12.75,ok,1422921600,15100
22,13.08,13.34,13.01,13.01,ok,1423008000,11800
23,12.85,13.1,12.73,13.08,ok,1423094400,5700
24,12.87,13.07,12.66,12.85,ok,1423180800,8000
25,12.68,12.91,12.63,12.91,ok,1423440000,7900
26,12.68,12.83,12.55,12.57,ok,1423526400,13600
27,12.7,12.84,12.67,12.67,ok,1423612800,9500
28,13.02,13.03,12.44,12.65,ok,1423699200,11300
29,13.25,13.38,12.87,12.88,ok,1423785600,11400
30,12.83,13.22,12.76,13.22,ok,1424131200,5400
31,12.84,12.84,12.78,12.82,ok,1424217600,2600
32,12.88,13.0,12.86,12.99,ok,1424304000,10200
33,12.67,12.95,12.42,12.95,ok,1424390400,12400
34,12.54,12.92,12.54,12.92,ok,1424649600,3800
35,12.64,12.66,12.52,12.56,ok,1424736000,1500
36,12.61,12.75,12.38,12.38,ok,1424822400,11000
37,12.61,12.69,12.37,12.42,ok,1424908800,4200
38,12.58,12.69,12.38,12.63,ok,1424995200,7000
39,12.62,12.65,12.51,12.53,ok,1425254400,4500
40,12.54,12.6,12.47,12.47,ok,1425340800,1900
41,12.38,12.57,12.38,12.57,ok,1425427200,2800
42,12.41,12.59,12.39,12.59,ok,1425513600,11900
43,12.6,13.0,12.29,12.29,ok,1425600000,25500
44,12.24,12.6,11.92,12.34,ok,1425859200,13600
45,12.19,12.44,12.15,12.2,ok,1425945600,16500
46,12.34,12.4,11.99,12.18,ok,1426032000,16500
