,c,h,l,o,s,t,v
0,21.0935,21.1035,21.0536,21.0935,ok,1516838400,5000
1,21.0944,21.1334,21.0734,21.0734,ok,1516924800,6900
2,21.0768,21.1668,21.0668,21.1668,ok,1517184000,7800
3,20.9845,21.0745,20.9745,21.0745,ok,1517270400,7600
4,20.9509,21.0149,20.9509,21.0149,ok,1517356800,5700
5,20.9593,20.9993,20.9593,20.9993,ok,1517443200,2100
6,20.7412,20.8812,20.7412,20.8812,ok,1517529600,11800
7,20.5733,20.7033,20.5733,20.7033,ok,1517788800,3300
8,20.5146,20.5146,20.4046,20.4076,ok,1517875200,2300
9,20.5566,20.5966,20.5206,20.5966,ok,1517961600,900
10,20.3132,20.6032,20.3132,20.6032,ok,1518048000,3600
11,20.179,20.639,19.999,20.639,ok,1518134400,1600
12,20.2881,20.2981,20.2381,20.2581,ok,1518393600,1600
13,20.3471,20.3471,20.2971,20.2971,ok,1518480000,2200
14,20.3978,20.3978,20.2718,20.2718,ok,1518566400,6500
15,20.4991,20.5091,20.4591,20.4891,ok,1518652800,1100
16,20.575,20.633,20.565,20.595,ok,1518739200,9000
17,20.5834,20.6094,20.5834,20.5934,ok,1519084800,400
18,20.5834,20.6034,20.5834,20.5904,ok,1519171200,2100
19,20.5328,20.5428,20.5038,20.5428,ok,1519257600,700
20,20.6088,20.6088,20.5588,20.5588,ok,1519344000,200
21,20.7354,20.7354,20.7254,20.7254,ok,1519603200,400
22,20.7185,20.7635,20.6985,20.7485,ok,1519689600,2300
23,20.624,20.686,20.624,20.686,ok,1519776000,7100
24,20.5919,20.6019,20.5919,20.6019,ok,1519862400,200
25,20.4965,20.4995,20.4295,20.4295,ok,1519948800,800
26,20.5834,20.5834,20.4934,20.4934,ok,1520208000,2100
27,20.6341,20.7841,20.5941,20.7841,ok,1520294400,3600
28,20.6678,20.6678,20.6478,20.6678,ok,1520467200,1200
29,20.7354,20.7354,20.7154,20.7154,ok,1520553600,1900
30,20.786,20.936,20.776,20.936,ok,1520812800,1200
31,20.8149,20.8449,20.7999,20.8449,ok,1520899200,500
32,20.7682,20.7932,20.7682,20.7932,ok,1520985600,1900
33,20.7554,20.9154,20.7504,20.9154,ok,1521072000,1100
34,20.7469,20.7469,20.7469,20.7469,ok,1521158400,900
35,20.6196,20.6796,20.6196,20.6796,ok,1521417600,3000
36,20.6009,20.6009,20.5929,20.5929,ok,1521504000,400
37,20.6026,20.7226,20.5826,20.7226,ok,1521590400,2100
38,20.5008,20.5598,20.5008,20.5598,ok,1521676800,2600
39,20.3904,20.4204,20.0404,20.2504,ok,1521763200,2900
40,20.3564,20.3564,20.3165,20.3265,ok,1522022400,3800
41,20.4413,20.4713,20.4413,20.4713,ok,1522108800,400
42,20.331,20.331,20.32,20.321,ok,1522195200,1400
43,20.4328,20.4328,20.3028,20.3028,ok,1522281600,900
44,20.3072,21.2052,20.3072,21.2052,ok,1522627200,1200
45,20.2478,20.3658,20.2478,20.3458,ok,1522713600,6200
46,20.4244,20.4244,20.2694,20.3044,ok,1522800000,1200
47,20.4923,20.4923,20.4813,20.4813,ok,1522886400,900
48,20.3548,20.4238,20.3548,20.4238,ok,1522972800,1600
49,20.4328,20.4528,20.3828,20.3828,ok,1523232000,1000
50,20.466,20.466,20.466,20.466,ok,1523318400,500
51,20.4838,20.5438,20.4838,20.4928,ok,1523404800,700
52,20.5529,20.5529,20.5329,20.5429,ok,1523491200,5200
53,20.5529,20.5529,20.5529,20.5529,ok,1523577600,400
54,20.5786,20.5886,20.5486,20.5486,ok,1523836800,400
55,20.6896,20.6896,20.6396,20.6396,ok,1523923200,1000
56,20.6904,20.7494,20.6904,20.7294,ok,1524009600,1100
57,20.5871,20.6171,20.5821,20.6101,ok,1524096000,1900
58,20.4163,20.8163,20.3763,20.8163,ok,1524441600,2300
59,20.3267,20.4317,20.3117,20.4317,ok,1524528000,2500
60,20.2968,20.3168,20.1768,20.3168,ok,1524614400,1400
61,20.4163,20.4163,20.2713,20.3063,ok,1524700800,1800
62,20.4001,20.4091,20.3991,20.4091,ok,1525046400,800
63,20.4419,20.4419,20.4419,20.4419,ok,1525132800,200
64,20.3557,22.4967,20.2667,22.4967,ok,1525305600,5300
65,20.3762,20.4832,20.3252,20.4832,ok,1525392000,9200
66,20.4821,20.4821,20.4351,20.4351,ok,1525651200,5000
67,21.0994,21.0994,21.0994,21.0994,ok,1525737600,1600
68,20.3822,20.3932,20.3822,20.3922,ok,1525824000,2000
69,20.5615,20.5715,20.5155,20.5155,ok,1525910400,10100
70,20.5958,20.6158,20.5498,20.5498,ok,1525996800,6400
71,20.6036,20.6146,20.6036,20.6146,ok,1526256000,400
72,20.5271,20.5271,20.4821,20.4821,ok,1526342400,300
73,20.4842,20.4842,20.4242,20.4242,ok,1526428800,2600
74,20.4584,20.4884,20.4584,20.4884,ok,1526515200,2900
75,20.4498,20.4598,20.4498,20.4498,ok,1526601600,4700
76,20.4928,20.5028,20.4928,20.5028,ok,1526860800,1800
77,20.4936,20.5226,20.4936,20.5226,ok,1526947200,2600
78,20.5048,20.5048,20.5048,20.5048,ok,1527033600,1500
79,20.6044,20.6044,20.6044,20.6044,ok,1527120000,700
80,20.6731,20.6731,20.6731,20.6731,ok,1527206400,1600
81,20.7264,20.7264,20.6904,20.7044,ok,1527552000,1800
82,20.7882,20.7942,20.6442,20.6442,ok,1527638400,1900
83,20.7693,20.7693,20.7693,20.7693,ok,1527811200,600
84,20.8277,20.8877,20.7777,20.8877,ok,1528070400,9300
85,20.8449,20.8849,20.7649,20.8849,ok,1528156800,8700
86,20.8277,22.3477,20.7827,22.3477,ok,1528243200,10500
87,20.8363,20.8763,20.8063,20.8763,ok,1528329600,9800
88,20.8638,20.8638,20.7918,20.8518,ok,1528416000,19400
89,20.8501,21.0641,20.8141,21.0641,ok,1528675200,13800
90,20.8535,20.8535,20.7935,20.8535,ok,1528761600,3000
91,20.8855,20.8995,20.8695,20.8995,ok,1528848000,1400
92,20.8803,20.8903,20.8653,20.8903,ok,1528934400,4600
93,20.8552,20.8842,20.8142,20.8642,ok,1529020800,7500
94,20.863,20.863,20.804,20.813,ok,1529280000,2700
95,20.7766,20.8266,20.7066,20.7766,ok,1529366400,5600
96,20.8285,20.8685,20.7685,20.7685,ok,1529452800,1600
97,20.7887,21.1047,20.7747,21.1047,ok,1529539200,3900
98,20.8198,20.8298,20.7948,20.7948,ok,1529625600,300
99,20.6643,20.8443,20.6443,20.8443,ok,1529884800,7200
100,20.7334,20.7434,20.6434,20.6734,ok,1529971200,8900
101,20.647,20.777,20.647,20.777,ok,1530057600,4200
102,20.647,20.647,20.647,20.647,ok,1530144000,100
103,20.7274,20.7844,20.6344,20.7844,ok,1530230400,4400
104,20.7593,21.3493,20.6893,21.3493,ok,1530489600,6000
105,20.8976,20.8976,20.8976,20.8976,ok,1530576000,1000
106,20.8112,20.8212,20.5932,20.7512,ok,1530748800,7200
107,20.7939,20.8639,20.7939,20.8639,ok,1530835200,2700
108,20.9235,21.0935,20.8335,21.0935,ok,1531094400,2700
109,20.8932,20.9482,20.8932,20.9482,ok,1531180800,1500
110,20.8457,20.9357,20.8457,20.9357,ok,1531267200,1800
111,20.9667,20.9667,20.8817,20.9267,ok,1531353600,6800
112,21.0066,21.0116,20.9566,20.9596,ok,1531440000,1400
113,20.9641,20.9881,20.8581,20.8581,ok,1531699200,4500
114,20.9849,20.9849,20.9849,20.9849,ok,1531785600,1200
115,20.9849,20.9849,20.9089,20.9089,ok,1531872000,2100
116,20.9936,21.2236,20.9636,21.2236,ok,1531958400,1500
117,20.9415,21.0015,20.9415,21.0015,ok,1532044800,600
118,20.9415,20.9515,20.9415,20.9515,ok,1532304000,1100
119,20.9415,20.9615,20.9415,20.9615,ok,1532390400,1000
120,20.9067,20.9577,20.7967,20.7967,ok,1532476800,800
121,21.0119,21.0609,20.9639,21.0609,ok,1532563200,5000
122,20.9328,21.0228,20.9328,20.9628,ok,1532649600,1900
123,20.8806,20.9206,20.8696,20.9206,ok,1532908800,5000
124,20.8824,20.9304,20.8824,20.9164,ok,1532995200,2800
125,20.9145,20.9155,20.8905,20.8905,ok,1533081600,1500
126,20.9762,20.9762,20.8562,20.8962,ok,1533168000,3900
127,21.0258,21.0288,20.9688,21.0288,ok,1533254400,1700
128,21.0857,21.0997,21.0547,21.0797,ok,1533513600,5900
129,21.0796,21.0796,21.0706,21.0706,ok,1533600000,200
130,21.1066,21.1066,21.0766,21.0966,ok,1533686400,8600
131,21.0883,21.0893,21.0883,21.0893,ok,1533772800,600
132,21.0979,21.0979,21.0379,21.0879,ok,1533859200,1300
133,21.0682,21.1132,21.0532,21.1132,ok,1534118400,2500
134,21.0804,21.2114,21.0804,21.2114,ok,1534204800,3300
135,21.0315,21.0885,21.0245,21.0885,ok,1534291200,5100
136,21.1075,21.1075,21.0585,21.0585,ok,1534377600,2300
137,21.1337,21.1537,21.1137,21.1237,ok,1534464000,1200
138,21.2036,21.2036,21.1906,21.2036,ok,1534723200,3800
139,21.2124,21.2224,21.2124,21.2224,ok,1534809600,2300
140,21.1949,21.2249,21.1949,21.2249,ok,1534896000,2200
141,21.2211,21.2261,21.1911,21.1911,ok,1534982400,3100
142,21.2823,21.2823,21.2323,21.2323,ok,1535068800,13300
143,21.2928,21.3008,21.2808,21.3008,ok,1535328000,2400
144,21.2823,21.4223,21.2823,21.4223,ok,1535414400,1500
145,21.3435,21.3435,21.2735,21.2735,ok,1535500800,2300
146,21.326,21.345,21.277,21.345,ok,1535587200,4300
147,21.326,21.326,21.276,21.276,ok,1535673600,3300
148,21.2875,21.3215,21.2115,21.3215,ok,1536019200,6000
149,21.2299,21.2999,21.2299,21.2999,ok,1536105600,1200
150,21.2211,21.2411,21.1321,21.2311,ok,1536192000,6300
151,21.125,21.245,21.075,21.245,ok,1536278400,3600
152,21.1599,21.1599,21.0699,21.0699,ok,1536537600,900
153,21.1573,21.1573,21.1493,21.1493,ok,1536624000,1100
154,21.1862,21.1862,21.1552,21.1592,ok,1536710400,1400
155,21.2473,21.2473,21.2273,21.2373,ok,1536796800,1200
156,21.1867,21.2867,21.1667,21.2867,ok,1536883200,1900
157,21.1691,21.1891,21.0891,21.1391,ok,1537142400,4800
158,21.1594,21.1604,21.1354,21.1354,ok,1537228800,2000
159,21.1067,21.1777,21.0977,21.1777,ok,1537315200,1900
160,21.1603,21.1603,21.1303,21.1303,ok,1537401600,2000
161,21.1603,21.1903,21.1583,21.1803,ok,1537488000,5400
162,21.1076,21.1376,21.1076,21.1176,ok,1537747200,7300
163,21.0197,21.1197,21.0197,21.1197,ok,1537833600,4900
164,21.1049,21.1379,21.0479,21.0479,ok,1537920000,3000
165,21.1603,21.1603,21.1373,21.1603,ok,1538006400,1300
166,21.1955,21.1955,21.1255,21.1655,ok,1538092800,3000
167,21.1339,21.2239,21.1339,21.2239,ok,1538352000,5900
168,21.2043,21.2043,21.1243,21.1653,ok,1538438400,5000
169,21.1076,21.1776,21.0586,21.1706,ok,1538524800,9400
170,20.9405,21.0905,20.9245,21.0905,ok,1538611200,6800
171,20.8526,20.9326,20.8126,20.9326,ok,1538697600,2800
172,20.8438,20.8838,20.7338,20.8838,ok,1538956800,13900
173,20.8526,21.0326,20.7626,21.0326,ok,1539043200,8800
174,20.624,20.824,20.624,20.804,ok,1539129600,24900
175,20.4781,20.6811,20.4781,20.6811,ok,1539216000,3100
176,20.5692,20.5692,20.5092,20.5692,ok,1539302400,7400
177,20.5958,20.6258,20.5498,20.5558,ok,1539561600,20800
178,20.7107,20.7107,20.5407,20.5807,ok,1539648000,10000
179,20.7372,20.9172,20.6802,20.9172,ok,1539734400,21100
180,20.5825,20.7575,20.5825,20.7575,ok,1539820800,3800
181,20.5781,20.6881,20.5781,20.6381,ok,1539907200,1500
182,20.5338,20.5688,20.5338,20.5688,ok,1540166400,1200
183,20.4719,20.4719,20.4719,20.4719,ok,1540252800,1300
184,20.2686,20.6786,20.2686,20.6786,ok,1540339200,4900
185,20.3924,20.3924,20.2434,20.2434,ok,1540425600,6500
186,20.3393,20.3393,20.1093,20.1093,ok,1540512000,6300
187,20.074,20.319,20.074,20.319,ok,1540771200,800
188,20.1562,20.1832,20.1132,20.1832,ok,1540857600,3100
189,20.3543,21.0273,20.2373,21.0273,ok,1540944000,3500
190,20.357,20.397,20.347,20.347,ok,1541030400,1400
191,20.3402,20.3402,20.2892,20.2892,ok,1541116800,4600
192,20.3393,20.3423,20.3393,20.3423,ok,1541376000,600
193,20.3835,20.3835,20.3735,20.3795,ok,1541462400,3700
194,20.5958,20.5958,20.5058,20.5058,ok,1541548800,25500
195,20.64,20.65,20.639,20.649,ok,1541635200,11300
196,20.5162,20.6662,20.5162,20.6662,ok,1541721600,1400
197,20.4065,20.4065,20.4005,20.4005,ok,1541980800,1100
198,20.3522,20.3522,20.1722,20.1722,ok,1542067200,3500
199,20.2793,20.4813,20.2793,20.4813,ok,1542153600,400
200,20.2455,20.2455,20.1965,20.1965,ok,1542240000,6800
201,20.4145,20.4145,20.3745,20.3745,ok,1542326400,1100
202,20.2722,20.3222,20.2622,20.3222,ok,1542585600,2000
203,20.1477,20.1877,20.1477,20.1877,ok,1542672000,2300
204,20.1477,20.1477,20.1477,20.1477,ok,1542758400,100
205,20.2722,20.2722,20.2722,20.2722,ok,1542931200,200
206,20.0943,20.1333,20.0943,20.1333,ok,1543190400,3300
207,20.0943,20.0943,20.0943,20.0943,ok,1543276800,100
208,20.3345,20.3745,20.3145,20.3145,ok,1543363200,7300
209,20.459,20.459,20.402,20.402,ok,1543449600,4500
210,20.3745,20.4135,20.3745,20.3995,ok,1543536000,1100
211,20.5657,20.5657,20.5657,20.5657,ok,1543795200,400
212,20.4412,20.6132,20.4412,20.6132,ok,1543881600,2400
213,20.3798,20.4488,20.2388,20.4488,ok,1544054400,6500
214,20.3167,20.3167,20.3167,20.3167,ok,1544140800,800
215,20.3611,20.3611,20.1971,20.2451,ok,1544400000,4000
216,20.3531,20.3531,20.3291,20.3521,ok,1544486400,1900
217,20.3674,20.4604,20.3674,20.4504,ok,1544572800,3100
218,20.4085,20.4085,20.3435,20.3505,ok,1544659200,2500
219,20.328,20.338,20.318,20.328,ok,1544745600,2400
220,20.0864,20.1384,20.0864,20.1064,ok,1545004800,1200
221,20.0954,20.1154,20.0254,20.0254,ok,1545091200,3600
222,20.0202,20.2042,20.0102,20.1392,ok,1545177600,6300
223,19.8842,20.0602,19.7762,20.0602,ok,1545264000,8400
224,19.7017,19.8317,19.6827,19.8317,ok,1545350400,2800
225,19.5049,19.6649,19.3949,19.6649,ok,1545609600,6700
226,19.6301,19.6301,19.3301,19.3901,ok,1545782400,3700
227,19.6838,19.6838,19.5838,19.6578,ok,1545868800,14900
228,19.8091,19.8691,19.7391,19.8691,ok,1545955200,1200
229,19.8833,19.8833,19.8833,19.8833,ok,1546214400,300
230,19.9683,19.9683,19.9193,19.9193,ok,1546387200,2100
231,19.8726,19.9566,19.8726,19.8926,ok,1546473600,1500
232,20.0301,20.0631,19.9491,19.9491,ok,1546560000,3200
233,20.1553,20.2163,20.1553,20.1683,ok,1546819200,5000
234,20.1911,20.2371,20.1541,20.2371,ok,1546905600,7500
235,20.3101,20.3181,20.2251,20.3101,ok,1546992000,2100
236,20.2618,20.3258,20.2368,20.3048,ok,1547078400,2200
237,20.3459,20.3459,20.3459,20.3459,ok,1547164800,500
238,20.4197,20.4197,20.4197,20.4197,ok,1547424000,200
239,20.3441,20.7281,20.2481,20.7281,ok,1547510400,5300
240,20.2757,20.3057,20.2757,20.3057,ok,1547596800,600
241,20.2982,20.2982,20.2982,20.2982,ok,1547683200,500
242,20.4368,20.5178,20.4368,20.5178,ok,1547769600,400
243,20.363,20.363,20.296,20.296,ok,1548115200,1200
244,20.3144,20.3814,20.2914,20.3814,ok,1548201600,1700
245,20.3144,20.3144,20.3144,20.3144,ok,1548288000,100
246,20.4728,20.4728,20.4728,20.4728,ok,1548374400,300
247,20.4512,20.4562,20.4172,20.4562,ok,1548633600,500
248,20.3837,20.4287,20.3837,20.4287,ok,1548720000,300
249,20.5475,20.5485,20.4655,20.5255,ok,1548806400,1400
250,20.6987,20.6987,20.6397,20.6397,ok,1548892800,900
251,20.7149,20.7369,20.6669,20.6669,ok,1548979200,2200
252,20.7005,20.7005,20.7005,20.7005,ok,1549238400,1000
253,20.8013,20.8373,20.8013,20.8373,ok,1549324800,2100
254,20.8004,22.0674,20.7674,22.0674,ok,1549411200,2700
255,20.7545,20.8025,20.7375,20.8025,ok,1549497600,6600
256,20.75,20.753,20.693,20.693,ok,1549584000,1700
257,20.7797,21.1597,20.7597,21.1597,ok,1549843200,8200
258,20.8391,20.8391,20.8231,20.8331,ok,1549929600,3900
259,20.8472,20.8772,20.8372,20.8572,ok,1550016000,4300
260,20.8517,20.8517,20.8517,20.8517,ok,1550102400,100
261,20.9015,20.9015,20.8995,20.8995,ok,1550188800,1200
262,21.0192,21.0192,20.9592,20.9592,ok,1550534400,6300
263,20.983,21.024,20.983,21.023,ok,1550620800,7500
264,20.964,20.967,20.915,20.955,ok,1550707200,5700
265,21.0183,21.0193,20.9603,21.0193,ok,1550793600,8000
266,21.0156,21.0196,21.0106,21.0196,ok,1551052800,5600
267,21.0735,21.0935,21.0145,21.0735,ok,1551139200,10200
268,21.1179,21.1189,21.0289,21.0689,ok,1551225600,5600
269,21.0826,21.1226,21.0726,21.1226,ok,1551312000,7200
270,21.0826,22.2926,20.9726,21.0426,ok,1551398400,23400
271,20.9893,21.1223,20.9613,21.0723,ok,1551657600,12300
272,20.9921,21.222,20.937,21.222,ok,1551744000,5400
273,21.0129,21.0199,20.9899,20.9899,ok,1551830400,8000
274,20.9911,21.0121,20.9591,21.0121,ok,1551916800,1400
275,20.9323,21.7933,20.9323,21.0683,ok,1552003200,11200
276,21.0283,21.1183,21.0283,21.1183,ok,1552262400,3400
277,21.1568,21.1568,21.0848,21.0848,ok,1552348800,8200
278,21.1604,21.2204,21.1204,21.2204,ok,1552435200,4800
279,21.1914,21.2174,21.1574,21.1874,ok,1552521600,10200
280,21.2879,21.3079,21.1689,21.3079,ok,1552608000,30500
281,21.2642,21.3402,21.2302,21.3402,ok,1552867200,3400
282,21.2606,21.3406,21.2306,21.3406,ok,1552953600,5200
283,21.378,21.379,21.207,21.349,ok,1553040000,4300
284,21.4017,21.4357,21.3847,21.3867,ok,1553126400,2500
285,21.4154,21.5454,21.4054,21.5354,ok,1553212800,14900
286,21.3607,21.5007,21.3607,21.4007,ok,1553472000,2600
287,21.4928,21.5278,21.4018,21.4878,ok,1553558400,7300
288,21.3334,21.5434,21.3334,21.3634,ok,1553644800,9300
289,21.4973,21.5273,21.4083,21.5273,ok,1553731200,6000
290,21.5611,21.5811,21.4871,21.4981,ok,1553817600,2900
291,21.5246,21.6646,21.5036,21.6646,ok,1554076800,3700
292,21.4518,21.5218,21.3218,21.3218,ok,1554163200,22800
293,21.6157,21.6157,21.4657,21.4687,ok,1554249600,1700
294,21.5975,21.5975,21.4585,21.5875,ok,1554336000,5800
295,21.4982,21.6572,21.4982,21.5432,ok,1554422400,3800
296,21.6685,21.6685,21.4005,21.4005,ok,1554681600,2500
297,21.6376,21.6616,21.4995,21.5736,ok,1554768000,2800
298,21.5429,21.6709,21.5329,21.6149,ok,1554854400,4800
299,21.7105,21.7155,21.6555,21.7155,ok,1554940800,2800
300,21.607,21.765,21.566,21.765,ok,1555027200,3000
301,21.6326,21.6726,21.6026,21.6026,ok,1555286400,3600
302,21.6418,21.7098,21.4678,21.6118,ok,1555372800,8800
303,21.6235,21.7234,21.5535,21.7234,ok,1555459200,5500
304,21.5868,21.5868,21.4268,21.4868,ok,1555545600,14400
305,21.6509,21.6709,21.5109,21.5829,ok,1555891200,5800
306,21.5868,21.6468,21.5768,21.6148,ok,1555977600,9700
307,21.6921,21.7171,21.6571,21.6931,ok,1556064000,4700
308,21.6601,21.6961,21.6351,21.6651,ok,1556150400,4500
309,21.7242,21.7242,21.6542,21.6542,ok,1556236800,1100
310,21.7416,21.7626,21.6996,21.6996,ok,1556496000,11400
311,21.7562,21.7562,21.7062,21.7412,ok,1556582400,25500
312,21.7425,21.8025,21.7025,21.8025,ok,1556668800,11400
313,21.6409,21.7519,21.6019,21.7519,ok,1556755200,8000
314,21.7608,21.7608,21.6408,21.7308,ok,1556841600,9900
315,21.77,21.78,21.699,21.73,ok,1557100800,7800
316,21.617,21.644,21.614,21.624,ok,1557187200,2900
317,21.5905,21.6765,21.5905,21.6645,ok,1557273600,5500
