,c,h,l,o,s,t,v
0,10.8791,11.0491,10.8491,10.9591,ok,1420156800,37300
1,10.7802,11.0102,10.6302,11.0102,ok,1420416000,26700
2,10.7616,10.7616,10.6916,10.6916,ok,1420502400,29200
3,10.7802,10.9402,10.6302,10.9402,ok,1420588800,21400
4,10.7802,10.8902,10.7402,10.7402,ok,1420675200,16800
5,10.873,10.873,10.663,10.663,ok,1420761600,19500
6,10.7926,10.9826,10.7626,10.7626,ok,1421020800,21100
7,10.8173,10.8873,10.6973,10.6973,ok,1421107200,19100
8,10.706,10.836,10.576,10.726,ok,1421193600,95300
9,10.6441,10.7741,10.6441,10.7041,ok,1421280000,24900
10,10.7245,10.7345,10.4945,10.5245,ok,1421366400,32200
11,10.6132,10.7932,10.4732,10.7532,ok,1421712000,30400
12,10.6936,10.7036,10.6236,10.6636,ok,1421798400,30100
13,10.706,10.766,10.656,10.746,ok,1421884800,32900
14,10.706,10.756,10.666,10.756,ok,1421971200,20600
15,10.7307,10.8307,10.5407,10.6407,ok,1422230400,28200
16,10.6751,10.7351,10.6551,10.7151,ok,1422316800,17900
17,10.5946,10.7947,10.5747,10.6846,ok,1422403200,35400
18,10.6318,10.6718,10.4918,10.4918,ok,1422489600,23000
19,10.6194,10.7494,10.6094,10.7494,ok,1422576000,31100
20,10.6441,10.6941,10.5441,10.5841,ok,1422835200,25600
21,10.7369,10.7369,10.5469,10.5469,ok,1422921600,42600
22,10.6936,10.7336,10.5936,10.6436,ok,1423008000,42900
23,10.7183,10.7283,10.4683,10.5883,ok,1423094400,60900
24,10.7122,10.7422,10.6422,10.7222,ok,1423180800,31900
25,10.8049,10.8449,10.5349,10.5349,ok,1423440000,83600
26,10.842,10.892,10.692,10.872,ok,1423526400,42700
27,10.8049,10.9249,10.7049,10.7549,ok,1423612800,37700
28,10.8173,10.9273,10.8073,10.8273,ok,1423699200,16400
29,10.8791,10.8891,10.7691,10.7691,ok,1423785600,30500
30,10.8324,10.9724,10.8124,10.9724,ok,1424131200,31900
31,10.7825,10.9025,10.6925,10.7725,ok,1424217600,33200
32,10.714,10.804,10.684,10.734,ok,1424304000,36000
33,10.7514,10.7714,10.6614,10.7414,ok,1424390400,26500
34,10.7763,10.7863,10.6663,10.6663,ok,1424649600,30000
35,10.8698,10.9298,10.6398,10.6598,ok,1424736000,44300
36,10.876,10.876,10.776,10.806,ok,1424822400,42700
37,10.8636,10.8936,10.8036,10.8136,ok,1424908800,26500
38,10.876,10.886,10.696,10.696,ok,1424995200,41000
39,10.8885,10.9185,10.8085,10.8185,ok,1425254400,48800
40,10.876,10.896,10.786,10.896,ok,1425340800,27800
41,10.901,10.901,10.771,10.801,ok,1425427200,38100
42,10.9758,10.9758,10.7858,10.8058,ok,1425513600,28700
43,10.8823,11.0523,10.7823,10.9323,ok,1425600000,26600
44,10.8511,10.9411,10.8011,10.9411,ok,1425859200,29600
45,10.9072,10.9072,10.7772,10.8372,ok,1425945600,29400
46,10.9072,11.0072,10.9072,10.9372,ok,1426032000,24300
47,10.901,11.021,10.871,10.931,ok,1426118400,24700
48,10.8978,10.9778,10.8378,10.9678,ok,1426204800,23000
49,10.8978,10.9378,10.8378,10.8678,ok,1426464000,30400
