,c,h,l,o,s,t,v
0,24.3936,24.7636,24.2886,24.4636,ok,1553040000,103300
1,24.7456,25.0366,24.5066,25.0366,ok,1553126400,14600
2,24.4711,24.7521,24.4711,24.6521,ok,1553212800,19200
3,24.678,24.798,24.428,24.798,ok,1553472000,1300
4,24.7741,25.1061,24.7161,25.1061,ok,1553558400,6700
5,24.8525,25.2645,24.7445,25.2645,ok,1553644800,7600
6,24.928,24.928,24.753,24.903,ok,1553731200,4700
7,24.8407,25.0337,24.8147,24.9847,ok,1553817600,5600
8,25.0417,25.2007,24.8707,25.2007,ok,1554076800,2900
9,25.1074,25.1074,24.7994,24.7994,ok,1554163200,3200
10,25.2192,25.2862,25.1912,25.2072,ok,1554249600,4500
11,25.4172,25.4172,25.3332,25.3932,ok,1554336000,1000
12,25.6467,25.6467,25.5587,25.5787,ok,1554422400,1100
13,25.6221,25.7891,25.5851,25.7891,ok,1554681600,3500
14,25.3368,25.5548,25.3368,25.5548,ok,1554768000,3700
15,25.6104,25.6104,25.4394,25.4394,ok,1554854400,1400
16,25.7329,25.7329,25.6959,25.7169,ok,1554940800,1400
17,25.8565,26.0445,25.7315,26.0445,ok,1555027200,3800
18,25.8025,25.9056,25.7656,25.9056,ok,1555286400,2100
19,25.678,25.746,25.618,25.738,ok,1555372800,2100
20,25.6153,25.6293,25.5273,25.5993,ok,1555459200,1900
21,25.6682,25.7282,25.5602,25.6882,ok,1555545600,2800
22,25.3859,26.1039,25.3859,26.1039,ok,1555891200,2000
23,25.6604,25.6814,25.5334,25.5334,ok,1555977600,8100
24,25.8055,25.8705,25.6455,25.6455,ok,1556064000,3100
25,25.6633,25.7233,25.4783,25.6233,ok,1556150400,4700
26,25.7486,25.7866,25.6296,25.6296,ok,1556236800,1100
27,25.7016,25.8076,25.7016,25.7376,ok,1556496000,12400
28,25.8163,25.8163,25.6653,25.6653,ok,1556582400,1100
29,25.7408,25.9768,25.7408,25.9768,ok,1556668800,1100
30,25.8339,25.8549,25.6899,25.6899,ok,1556755200,1200
31,26.032,26.041,25.866,25.907,ok,1556841600,1100
32,25.8937,25.9137,25.4937,25.4937,ok,1557100800,2300
33,25.4604,25.7524,25.3424,25.7524,ok,1557187200,3900
34,25.3437,25.4747,25.3437,25.4447,ok,1557273600,2700
35,25.3947,25.4177,25.1137,25.2937,ok,1557360000,2400
36,25.5055,25.5055,25.1115,25.1115,ok,1557446400,1100
37,25.1368,25.1848,25.0788,25.0988,ok,1557705600,1500
38,25.3574,25.4544,25.1844,25.1844,ok,1557792000,1300
39,25.4388,25.4828,25.2728,25.2728,ok,1557878400,1200
40,25.6182,25.6922,25.4772,25.4772,ok,1557964800,1100
41,25.5065,25.6415,25.5065,25.5215,ok,1558051200,3200
42,25.2555,25.4465,25.2555,25.4465,ok,1558310400,1000
43,25.5221,25.5811,25.4111,25.4211,ok,1558396800,1400
44,25.3064,25.3524,25.3064,25.3294,ok,1558483200,1600
45,25.1064,25.1494,25.0794,25.1494,ok,1558569600,9200
46,25.3496,25.3496,25.2446,25.2446,ok,1558656000,3500
47,25.0554,25.3504,25.0554,25.3504,ok,1559001600,1500
48,24.7897,24.8557,24.7897,24.8557,ok,1559088000,1700
49,24.7858,24.9658,24.7408,24.9658,ok,1559174400,600
50,24.6721,24.6761,24.5081,24.5181,ok,1559260800,1000
51,24.8594,24.8824,24.8564,24.8564,ok,1559520000,600
52,25.2917,25.2917,25.0057,25.0497,ok,1559606400,1400
53,25.5045,25.5045,25.1915,25.1915,ok,1559692800,500
54,25.3898,25.4438,25.3898,25.4038,ok,1559779200,1300
55,25.5398,25.6008,25.5168,25.5168,ok,1559865600,1100
56,25.6094,25.7484,25.6094,25.7484,ok,1560124800,1000
57,25.575,25.701,25.575,25.701,ok,1560211200,6700
58,25.5642,25.6182,25.5642,25.5912,ok,1560297600,2000
