,c,h,l,o,s,t,v
0,48.8769,49.7969,47.5269,48.5569,ok,1420156800,1312500
1,47.5268,48.2468,46.5468,48.0568,ok,1420416000,1995000
2,46.2058,48.8358,45.0158,47.5358,ok,1420502400,2165400
3,43.1574,46.5374,42.0974,46.1074,ok,1420588800,5164700
4,44.13,45.22,43.26,43.43,ok,1420675200,4431900
5,44.13,44.57,42.49,44.19,ok,1420761600,3110000
6,43.092,43.412,41.912,43.392,ok,1421020800,2731000
7,44.2751,44.6951,42.3551,42.6551,ok,1421107200,2782600
8,44.4421,44.5621,42.3621,43.5621,ok,1421193600,3192400
9,43.68,46.0,43.62,45.58,ok,1421280000,2078000
10,46.0679,46.2879,43.2979,43.4479,ok,1421366400,2019500
11,44.8776,46.4976,43.8876,46.4976,ok,1421712000,1731700
12,46.3945,46.4745,44.5045,45.0945,ok,1421798400,1755100
13,46.6486,46.8786,45.1186,46.6586,ok,1421884800,2072100
14,45.6978,47.7378,45.3978,46.8578,ok,1421971200,2556900
15,46.6268,46.6668,45.0268,45.5268,ok,1422230400,1451400
16,46.3147,47.2247,45.5447,46.3147,ok,1422316800,2355500
17,43.3098,47.3598,42.8998,47.3598,ok,1422403200,4188900
18,41.7057,42.1257,38.2457,40.0457,ok,1422489600,6595000
19,43.2299,44.2999,40.3099,40.82,ok,1422576000,3929300
20,46.2349,46.5349,43.0149,43.2049,ok,1422835200,3757300
21,49.247,49.467,46.787,47.047,ok,1422921600,5641800
22,47.701,50.421,46.181,48.011,ok,1423008000,5031500
23,48.6881,48.9181,46.6181,48.5081,ok,1423094400,3404300
24,49.3704,50.0504,47.7104,48.9904,ok,1423180800,2728100
25,50.5027,51.2027,49.4827,49.6827,ok,1423440000,2792600
26,48.1583,50.7483,47.1583,50.7483,ok,1423526400,4100000
27,47.8997,48.3898,46.3498,46.7398,ok,1423612800,1996400
28,48.3765,50.1665,48.1465,48.8865,ok,1423699200,1829800
29,51.0315,51.0815,48.6215,48.6515,ok,1423785600,2555100
30,52.1756,52.5856,49.1156,50.1156,ok,1424131200,2405700
31,51.8676,51.9476,50.0976,50.7776,ok,1424217600,2059200
32,51.5155,52.8255,49.5955,49.8155,ok,1424304000,2206500
33,51.1415,52.1615,50.4515,51.7815,ok,1424390400,1484500
34,49.5793,51.0393,48.9293,50.6193,ok,1424649600,2799000
35,49.3593,50.5393,48.2193,50.2793,ok,1424736000,2371700
36,49.616,50.036,47.666,49.636,ok,1424822400,2347700
37,48.5525,50.0525,48.2625,49.5825,ok,1424908800,2264900
38,49.1832,49.6132,48.5632,48.5832,ok,1424995200,1931300
39,48.1931,49.5431,47.4031,49.5431,ok,1425254400,2310500
40,49.3813,49.7313,47.3413,47.8313,ok,1425340800,1835500
41,48.8679,49.4479,47.3379,49.3679,ok,1425427200,2139900
